sampleMetadata	project	gene	sex	mouse_id	impc_id
i75851	5490aa	WT	M	641	75851
i75852	5490aa	WT	M	642	75852
i75853	5490aa	WT	M	643	75853
i75854	5490aa	WT	M	649	75854
i75855	5490aa	WT	M	650	75855
i75856	5490aa	WT	M	651	75856
i75857	5490aa	WT	M	652	75857
i75858	5490aa	WT	M	653	75858
i75999	5490ab	WT	M	658	75999
i76000	5490ab	WT	M	659	76000
i76001	5490ab	WT	M	660	76001
i76002	5490ab	WT	M	661	76002
i76003	5490ab	WT	M	662	76003
i76004	5490ab	WT	M	663	76004
i76005	5490ab	WT	M	664	76005
i76006	5490ab	WT	M	665	76006
i77015	5490ac	WT	M	660	77015
i77016	5490ac	WT	M	661	77016
i77019	5490ac	WT	M	662	77019
i77020	5490ac	WT	M	663	77020
i77021	5490ac	WT	M	664	77021
i77022	5490ac	WT	M	665	77022
i77012	5490ac	WT	M	666	77012
i77011	5490ac	WT	M	667	77011
i76983	5490ad	WT	M	668	76983
i76984	5490ad	WT	M	669	76984
i76985	5490ad	WT	M	670	76985
i76986	5490ad	WT	M	671	76986
i76979	5490ad	WT	M	672	76979
i76980	5490ad	WT	M	673	76980
i76981	5490ad	WT	M	674	76981
i76982	5490ad	WT	M	675	76982
i77451	5490ae	WT	M	684	77451
i77452	5490ae	WT	M	685	77452
i77463	5490ae	WT	M	686	77463
i77464	5490ae	WT	M	687	77464
i77465	5490ae	WT	M	688	77465
i77466	5490ae	WT	M	689	77466
i77453	5490ae	WT	M	690	77453
i77454	5490ae	WT	M	691	77454
i77534	5490af	WT	M	601	77534
i77535	5490af	WT	M	602	77535
i77536	5490af	WT	M	603	77536
i77544	5490af	WT	M	607	77544
i77545	5490af	WT	M	608	77545
i77546	5490af	WT	M	609	77546
i77547	5490af	WT	M	610	77547
i77548	5490af	WT	M	611	77548
i77671	5490ag	WT	M	624	77671
i77672	5490ag	WT	M	625	77672
i77673	5490ag	WT	M	626	77673
i77682	5490ag	WT	M	627	77682
i77683	5490ag	WT	M	628	77683
i77684	5490ag	WT	M	629	77684
i77685	5490ag	WT	M	630	77685
i78564	5490ah	WT	M	681	78564
i78565	5490ah	WT	M	682	78565
i78566	5490ah	WT	M	683	78566
i78567	5490ah	WT	M	684	78567
i78568	5490ah	WT	M	685	78568
i78569	5490ah	WT	M	690	78569
i78570	5490ah	WT	M	691	78570
i78829	5490ai	WT	M	603	78829
i78830	5490ai	WT	M	604	78830
i78831	5490ai	WT	M	605	78831
i78832	5490ai	WT	M	606	78832
i78837	5490ai	WT	M	607	78837
i78838	5490ai	WT	M	608	78838
i78839	5490ai	WT	M	609	78839
i78840	5490ai	WT	M	610	78840
i79231	5490aj	WT	M	608	79231
i79232	5490aj	WT	M	609	79232
i79233	5490aj	WT	M	610	79233
i79234	5490aj	WT	M	611	79234
i79235	5490aj	WT	M	612	79235
i79238	5490aj	WT	M	616	79238
i79239	5490aj	WT	M	617	79239
i79596	5490ak	WT	M	629	79596
i79597	5490ak	WT	M	630	79597
i79600	5490ak	WT	M	631	79600
i79601	5490ak	WT	M	632	79601
i79602	5490ak	WT	M	633	79602
i79603	5490ak	WT	M	634	79603
i79598	5490ak	WT	M	635	79598
i79599	5490ak	WT	M	636	79599
i80238	5490an	WT	M	652	80238
i80239	5490an	WT	M	653	80239
i80240	5490an	WT	M	654	80240
i80249	5490an	WT	M	655	80249
i80250	5490an	WT	M	656	80250
i80251	5490an	WT	M	657	80251
i80243	5490an	WT	M	658	80243
i80244	5490an	WT	M	659	80244
i80766	5490ao	WT	M	668	80766
i80767	5490ao	WT	M	669	80767
i80768	5490ao	WT	M	670	80768
i80769	5490ao	WT	M	671	80769
i80770	5490ao	WT	M	672	80770
i80775	5490ao	WT	M	673	80775
i80776	5490ao	WT	M	674	80776
i80777	5490ao	WT	M	675	80777
i80889	5490ap	WT	M	689	80889
i80890	5490ap	WT	M	690	80890
i80891	5490ap	WT	M	691	80891
i80892	5490ap	WT	M	692	80892
i80893	5490ap	WT	M	693	80893
i80894	5490ap	WT	M	694	80894
i80895	5490ap	WT	M	695	80895
i80914	5490aq	WT	M	601	80914
i80915	5490aq	WT	M	602	80915
i80916	5490aq	WT	M	603	80916
i80917	5490aq	WT	M	604	80917
i80910	5490aq	WT	M	605	80910
i80911	5490aq	WT	M	606	80911
i80912	5490aq	WT	M	607	80912
i80913	5490aq	WT	M	608	80913
i81146	5490ar	WT	M	621	81146
i81147	5490ar	WT	M	622	81147
i81148	5490ar	WT	M	623	81148
i81149	5490ar	WT	M	624	81149
i81158	5490ar	WT	M	629	81158
i81159	5490ar	WT	M	630	81159
i81160	5490ar	WT	M	631	81160
i81161	5490ar	WT	M	632	81161
i81479	5490as	WT	M	633	81479
i81480	5490as	WT	M	634	81480
i81481	5490as	WT	M	635	81481
i81483	5490as	WT	M	636	81483
i81484	5490as	WT	M	637	81484
i81488	5490as	WT	M	638	81488
i81489	5490as	WT	M	639	81489
i81490	5490as	WT	M	648	81490
i82349	5490at	WT	M	611	82349
i82350	5490at	WT	M	612	82350
i82351	5490at	WT	M	613	82351
i82359	5490at	WT	M	617	82359
i82360	5490at	WT	M	618	82360
i82361	5490at	WT	M	619	82361
i82354	5490at	WT	M	622	82354
i82355	5490at	WT	M	623	82355
i82538	5490av	WT	M	666	82538
i82539	5490av	WT	M	667	82539
i82540	5490av	WT	M	668	82540
i82541	5490av	WT	M	669	82541
i82530	5490av	WT	M	682	82530
i82531	5490av	WT	M	683	82531
i82533	5490av	WT	M	684	82533
i82526	5490av	WT	M	685	82526
i83325	5490aw	WT	M	680	83325
i83326	5490aw	WT	M	681	83326
i83327	5490aw	WT	M	682	83327
i83335	5490aw	WT	M	685	83335
i83328	5490aw	WT	M	688	83328
i83329	5490aw	WT	M	690	83329
i83332	5490aw	WT	M	692	83332
i83333	5490aw	WT	M	693	83333
i83886	5490ax	WT	M	682	83886
i83887	5490ax	WT	M	683	83887
i83888	5490ax	WT	M	684	83888
i83889	5490ax	WT	M	685	83889
i83890	5490ax	WT	M	686	83890
i83891	5490ax	WT	M	687	83891
i83892	5490ax	WT	M	688	83892
i83893	5490ax	WT	M	689	83893
i83947	5490ay	WT	M	678	83947
i83957	5490ay	WT	M	683	83957
i83958	5490ay	WT	M	684	83958
i83959	5490ay	WT	M	685	83959
i83952	5490ay	WT	M	690	83952
i83960	5490ay	WT	M	691	83960
i83961	5490ay	WT	M	692	83961
i83962	5490ay	WT	M	693	83962
i84202	5490az	WT	M	601	84202
i84203	5490az	WT	M	602	84203
i84204	5490az	WT	M	611	84204
i84205	5490az	WT	M	612	84205
i84210	5490az	WT	M	613	84210
i84211	5490az	WT	M	614	84211
i84200	5490az	WT	M	698	84200
i84201	5490az	WT	M	699	84201
i84331	5490ba	WT	M	627	84331
i84332	5490ba	WT	M	628	84332
i84333	5490ba	WT	M	629	84333
i84334	5490ba	WT	M	630	84334
i84335	5490ba	WT	M	631	84335
i84336	5490ba	WT	M	632	84336
i84337	5490ba	WT	M	633	84337
i84338	5490ba	WT	M	634	84338
i85355	5490bb	WT	M	635	85355
i85356	5490bb	WT	M	636	85356
i85357	5490bb	WT	M	637	85357
i85358	5490bb	WT	M	638	85358
i85359	5490bb	WT	M	639	85359
i85360	5490bb	WT	M	640	85360
i85361	5490bb	WT	M	641	85361
i85362	5490bb	WT	M	642	85362
i85451	5490bd	WT	M	651	85451
i85452	5490bd	WT	M	652	85452
i85453	5490bd	WT	M	653	85453
i85454	5490bd	WT	M	654	85454
i85463	5490bd	WT	M	659	85463
i85464	5490bd	WT	M	660	85464
i85465	5490bd	WT	M	661	85465
i85466	5490bd	WT	M	662	85466
i86434	5490be	WT	M	677	86434
i86435	5490be	WT	M	678	86435
i86436	5490be	WT	M	679	86436
i86437	5490be	WT	M	680	86437
i86442	5490be	WT	M	687	86442
i86443	5490be	WT	M	688	86443
i86444	5490be	WT	M	689	86444
i86445	5490be	WT	M	690	86445
i87229	5490bg	WT	M	601	87229
i87230	5490bg	WT	M	607	87230
i87231	5490bg	WT	M	608	87231
i87232	5490bg	WT	M	609	87232
i87217	5490bg	WT	M	697	87217
i87218	5490bg	WT	M	698	87218
i87227	5490bg	WT	M	699	87227
i87228	5490bg	WT	M	700	87228
i87929	5490bh	WT	M	613	87929
i87930	5490bh	WT	M	614	87930
i87931	5490bh	WT	M	615	87931
i87932	5490bh	WT	M	616	87932
i87921	5490bh	WT	M	617	87921
i87922	5490bh	WT	M	618	87922
i87923	5490bh	WT	M	619	87923
i87924	5490bh	WT	M	620	87924
i88131	5490bi	WT	M	629	88131
i88132	5490bi	WT	M	630	88132
i88133	5490bi	WT	M	631	88133
i88134	5490bi	WT	M	632	88134
i88143	5490bi	WT	M	633	88143
i88144	5490bi	WT	M	634	88144
i88145	5490bi	WT	M	635	88145
i88146	5490bi	WT	M	636	88146
