sampleMetadata	class	injectionOrder	sampleType	batch	KO	id
X20180906_Blanc.EI_pos_001	Blanc	1	blank	b1	NA	X20180906_Blanc.EI_pos_001
X20180906_Blanc.EI_pos_002	Blanc	2	blank	b1	NA	X20180906_Blanc.EI_pos_002
X20180906_QC.EI.dil.8_pos_003	QC	3	pool8	b1	NA	X20180906_QC.EI.dil.8_pos_003
X20180906_QC.EI.dil.8_pos_004	QC	4	pool8	b1	NA	X20180906_QC.EI.dil.8_pos_004
X20180906_QC.EI.dil.8_pos_005	QC	5	pool8	b1	NA	X20180906_QC.EI.dil.8_pos_005
X20180906_QC.EI.dil.4_pos_006	QC	6	pool4	b1	NA	X20180906_QC.EI.dil.4_pos_006
X20180906_QC.EI.dil.4_pos_007	QC	7	pool4	b1	NA	X20180906_QC.EI.dil.4_pos_007
X20180906_QC.EI.dil.4_pos_008	QC	8	pool4	b1	NA	X20180906_QC.EI.dil.4_pos_008
X20180906_QC.EI.dil.2_pos_009	QC	9	pool2	b1	NA	X20180906_QC.EI.dil.2_pos_009
X20180906_QC.EI.dil.2_pos_010	QC	10	pool2	b1	NA	X20180906_QC.EI.dil.2_pos_010
X20180906_QC.EI.dil.2_pos_011	QC	11	pool2	b1	NA	X20180906_QC.EI.dil.2_pos_011
X20180906_QC.EI.dil.1_pos_012	QC	12	pool1	b1	NA	X20180906_QC.EI.dil.1_pos_012
X20180906_QC.EI.dil.1_pos_013	QC	13	pool1	b1	NA	X20180906_QC.EI.dil.1_pos_013
X20180906_QC.EI.dil.1_pos_014	QC	14	pool1	b1	NA	X20180906_QC.EI.dil.1_pos_014
X20180906_617F_pos_015	Bio	15	sample	b1	CTL	X20180906_617F_pos_015
X20180906_628F_pos_016	Bio	16	sample	b1	CTL	X20180906_628F_pos_016
X20180906_513F_pos_017	Bio	17	sample	b1	Mx2	X20180906_513F_pos_017
X20180906_854F_pos_018	Bio	18	sample	b1	Lat	X20180906_854F_pos_018
X20180906_531F_pos_019	Bio	19	sample	b1	Mx2	X20180906_531F_pos_019
X20180906_QC.EI_pos_020	QC	20	pool	b1	NA	X20180906_QC.EI_pos_020
X20180906_827F_pos_021	Bio	21	sample	b1	Lat	X20180906_827F_pos_021
X20180906_631F_pos_022	Bio	22	sample	b1	CTL	X20180906_631F_pos_022
X20180906_819F_pos_023	Bio	23	sample	b1	Lat	X20180906_819F_pos_023
X20180906_633F_pos_024	Bio	24	sample	b1	CTL	X20180906_633F_pos_024
X20180906_848F_pos_025	Bio	25	sample	b1	Lat	X20180906_848F_pos_025
X20180906_QC.EI_pos_026	QC	26	pool	b1	NA	X20180906_QC.EI_pos_026
X20180906_518F_pos_027	Bio	27	sample	b1	Mx2	X20180906_518F_pos_027
X20180906_849F_pos_028	Bio	28	sample	b1	Lat	X20180906_849F_pos_028
X20180906_630F_pos_029	Bio	29	sample	b1	CTL	X20180906_630F_pos_029
X20180906_501F_pos_030	Bio	30	sample	b1	Mx2	X20180906_501F_pos_030
X20180906_616F_pos_031	Bio	31	sample	b1	CTL	X20180906_616F_pos_031
X20180906_QC.EI_pos_032	QC	32	pool	b1	NA	X20180906_QC.EI_pos_032
X20180906_824F_pos_033	Bio	33	sample	b1	Lat	X20180906_824F_pos_033
X20180906_529F_pos_034	Bio	34	sample	b1	Mx2	X20180906_529F_pos_034
