variableMetadata	MT	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	Blanc	QC	isotopes	adduct	pcgroup	name	formula	monoisotopic_mass	chebi_id	hmdb_id	kegg_id	pubchem_id	inchikey	inchi	kegg_pathway_family	kegg_pathways	kegg_subpathways	annot_level	annot_confidence	standard
M85.029T0.84	M85T1	85.02901732	85.02860902	85.02932315	50.69437043	49.74573514	65.659156	66	42	2	21			4															
M85.0653T1.61	M85T2	85.06532766	85.06486433	85.06553619	96.49940929	94.83335821	98.08095503	47	31	1	15		[M+2H]2+ 168.123	45															
M85.0765T0.82	M85T1.1	85.07654196	85.07622678	85.07685133	49.41069247	45.71431529	62.89832928	5	1	3	0			4															
M85.0766T2.72	M85T3	85.07656083	85.07615629	85.07669521	163.2138623	160.7792798	167.8129108	39	23	3	13			9															
M85.0766T3.82	M85T4	85.07656132	85.07612407	85.07681272	229.2889715	226.8741718	239.4820988	47	33	1	13			13															
M85.0847T1.67	M85T2.1	85.08468177	85.08426429	85.08498296	100.29314	99.27392644	112.4110278	67	42	3	21		[M+2H-C3H2O3]2+ 254.146	45															
M85.0892T0.61	M85T1.2	85.08920469	85.08880224	85.08945517	36.39640779	34.79973489	37.32617279	62	42	0	20			10															
M85.216T1.68	M85T2.2	85.21597746	85.21552275	85.21629781	100.5841503	99.47901405	101.9545223	14	4	3	7			1593															
M86.0189T1.25	M86T1	86.01894693	86.01844869	86.01922696	75.04528154	71.1003206	76.12293912	57	37	0	20		[M+Na]+ 63.0334	1															
M86.0606T0.8	M86T1.1	86.06062878	86.06024599	86.06088649	47.85433175	46.59105066	48.35647827	63	42	0	21			4															
M86.0606T1.36	M86T1.2	86.06064196	86.0602285	86.06096248	81.76083183	66.17499081	82.48349953	63	42	2	19			56															
M86.0607T2.84	M86T3	86.06066343	86.06043862	86.06077055	170.653905	162.106101	172.0813443	37	21	1	15			66															
M86.0968T7.53	M86T8	86.09677686	86.09464953	86.0971825	452.0098027	439.9574062	452.520535	59	36	3	16			5															
M86.0969T1.25	M86T1.3	86.09687585	86.09643251	86.09717523	74.85866484	74.33622777	75.49054459	63	42	0	21	[1][M]+	[M+Na]+ 63.1096	1															
M86.0969T1.68	M86T2	86.09692004	86.08796016	86.09719902	101.0597074	98.84524625	101.8943097	66	42	3	21			45															
M86.0971T3.25	M86T3.1	86.09709971	86.0967064	86.09721594	194.9782284	193.0413756	197.2655621	42	32	0	10			2359															
M86.0972T5.57	M86T6	86.09720964	86.09680129	86.09729668	334.3017989	333.1206376	335.3775778	38	23	0	15			79															
M86.1751T1.25	M86T1.4	86.17507456	86.17472843	86.17540723	75.00362357	70.96920422	75.96123198	52	33	0	19		[M+2K]2+ 94.425 [M+Na+K]2+ 110.398	1															
M86.5183T0.64	M87T1	86.5183104	86.5178756	86.51857842	38.62011707	38.18514268	39.65315185	66	42	3	21			10															
M86.9092T0.74	M87T1.1	86.9092301	86.9088434	86.90949683	44.53350099	43.79737585	44.87734975	63	42	0	21		[M+H]+ 85.906	4															
