variableMetadata	MT	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	Blanc	QC	isotopes	adduct	pcgroup	name	formula	monoisotopic_mass	chebi_id	hmdb_id	kegg_id	pubchem_id	inchikey	inchi	kegg_pathway_family	kegg_pathways	kegg_subpathways	annot_level	annot_confidence	standard
M75.0087T9.63	M75T10	75.00872779	75.00862781	75.00901162	577.9352919	576.5941108	579.4588741	56	41	0	15		[2M-3H]3- 114.034 [M-H+Cl]2- 116.049	17															
M75.0087T8.06	M75T8	75.00874365	75.00863695	75.00902807	483.3137896	463.7587339	493.1108472	57	32	2	16			191															
M75.0087T8.97	M75T9	75.00874374	75.0086217	75.00900445	538.331787	526.1182989	539.7065252	58	37	1	20			10															
M75.0088T7.06	M75T7	75.00875031	75.00865009	75.00902881	423.5328111	410.6361159	426.979155	57	36	1	20			3															
M75T5_Glycolic.acid	M75T5	75.00876078	75.008666	75.00903356	320.8668794	313.1364165	331.28448	65	42	1	21			9	Glycolic acid	C2H4O3	76.01604	CHEBI:17497	HMDB00115	C00160	CID757	AEMRFAOFKBGASW-UHFFFAOYSA-N	InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	Glyoxylate	2	a,b	
M75.0088T3.5	M75T3	75.00877247	75.00864044	75.00906671	209.9021087	203.6306165	227.763255	69	42	3	21	[1][M]-		8															
M75.0088T2.17	M75T2	75.0087787	75.00869212	75.00906828	130.0669227	128.34854	131.1122839	59	37	3	19	[2][M]-		18															
M75.02T19.97	M75T20	75.01997489	75.01987151	75.02021089	1198.268129	1196.720721	1200.243841	48	30	2	16		[M-H]- 76.0325	30															
M75.0281T8.2	M75T8.1	75.02805882	75.02796595	75.02833543	492.0543547	487.4802084	494.0404019	63	42	0	21			15															
M75.9904T1.88	M76T2	75.99035728	75.99026731	75.99461078	112.8168556	94.94169955	116.045364	63	40	2	21		[M+Cl]- 41.0249	39															
M76.004T19.89	M76T20	76.00402702	76.00391515	76.0042791	1193.421831	1189.667141	1195.198722	66	42	3	21			30															
M76.0121T3.49	M76T3	76.01211687	76.0119827	76.01241805	209.3977767	201.5492788	222.7541768	71	42	3	21	[1][M+1]-		8															
M76.0121T2.16	M76T2.1	76.01214168	76.01203617	76.01242264	129.7461237	128.34854	131.3049424	65	42	3	20	[2][M+1]-		18															
M76.0289T8.21	M76T8	76.02893213	76.02884355	76.02923182	492.3878184	489.2057818	494.8305583	44	35	0	9			15															
M76.959T6.4	M77T6	76.9590104	76.95898492	76.95930828	384.2383045	382.8080146	385.2309843	5	0	3	2			574															
M76.9701T8.29	M77T8	76.97006442	76.97005974	76.97036133	497.5738611	494.5736	501.6364054	7	0	3	4			1066															
M76.9701T15.43	M77T15	76.97008844	76.96997303	76.97037593	925.8854815	922.9570849	929.0817007	66	42	3	21			21															
M76.9701T7.43	M77T7	76.97011022	76.97007804	76.97038061	445.6780276	445.1699495	446.9233174	4	0	3	1			223															
M76.9825T15.27	M77T15.1	76.98252803	76.98240802	76.9827957	916.0447024	910.1252827	932.4578995	55	36	3	16			1557															
M76.9877T1.88	M77T2	76.9876835	76.98757504	76.99140501	112.7733617	96.37120803	114.2550291	45	26	2	17			2346															
M76.9881T18.88	M77T19	76.98805663	76.9879594	76.9883116	1132.714616	1123.178475	1157.215471	29	19	3	7			49															
M76.9881T19.84	M77T20	76.98806187	76.98795195	76.9883194	1190.283794	1188.17562	1192.609103	64	40	3	21		[M+Cl]- 42.017	30															
M76.9881T17.23	M77T17	76.98806726	76.98793704	76.98832851	1033.511449	1011.552666	1053.229209	78	38	3	21		[M-H-HCOOH]- 124.005	28															
M77.013T3.48	M77T3	77.01304631	77.01294467	77.01329054	208.8674138	200.9918894	213.1933469	60	36	3	21	[1][M+2]-		8															
M77.0131T2.16	M77T2.1	77.01305845	77.01295485	77.01334025	129.7461237	128.5676863	131.3103996	63	41	3	19	[2][M+2]-		18															
M78.9189T5.83	M79T6	78.91891071	78.91880348	78.91920668	349.9269625	347.3238598	353.4303214	66	42	3	21		[M-H-C2H4]- 107.951	4															
M78.959T1.43	M79T1	78.95903553	78.95893958	78.95932901	85.93867003	84.37623178	86.9516751	63	42	0	21			11															
M78.9591T9.9	M79T10	78.95906967	78.95893633	78.95935719	593.8555275	592.0996445	594.9582885	54	33	0	21			1884															
M78.9591T9.19	M79T9	78.9590739	78.95896149	78.95936702	551.1715677	549.9737609	552.6313716	63	42	0	21			6															
M78.9591T8.59	M79T9.1	78.95907601	78.95897699	78.95936663	515.4021328	514.5971239	520.5731041	44	26	0	18			1319															
M78.9591T20.1	M79T20	78.95908825	78.95898407	78.95934446	1206.218471	1201.157084	1213.146786	38	30	0	8		[M-2H+K]- 42.017	30															
M79.0208T19.97	M79T20.1	79.02083829	79.02070767	79.0210976	1198.261717	1196.238182	1199.814037	66	42	3	21			30															
M79.9574T7.56	M80T8	79.95743026	79.95612037	79.95772506	453.4876278	438.0605775	467.8137981	74	42	0	21		[M-H-CH2]- 94.9803	3															
M79.9575T10.01	M80T10	79.95745648	79.95726813	79.95773559	600.6063852	599.1994146	601.6482522	7	2	3	2			1677															
M80.0118T20.94	M80T21	80.01180654	80.01169885	80.01210372	1256.120457	1237.988174	1277.664438	65	33	2	20			1956															
M80.0118T0.93	M80T1	80.01180922	80.01170932	80.01210947	55.73983991	34.96475318	63.48724186	63	41	0	21			2487															
M80.0118T0.23	M80T0	80.01181136	80.0117274	80.01210142	14.06734356	7.053526685	31.29845462	51	34	0	17			2571															
M80.0118T22.53	M80T23	80.01182228	80.01170164	80.01211095	1351.522825	1327.470006	1372.294567	68	32	3	18			63															
M80.0118T24.72	M80T25	80.01183059	80.01170408	80.01210859	1482.934068	1465.910803	1497.181777	53	29	3	19			2198															
M80.9169T5.83	M81T6	80.91685397	80.91674302	80.91715696	349.9090426	347.3238598	352.8784255	66	42	3	21		[M-H]- 81.9236	4															
M80.9652T19.95	M81T20	80.96521085	80.96509809	80.96547262	1197.077846	1189.077278	1203.872158	33	16	3	14			30															
M80.9652T2.43	M81T2	80.96522086	80.96509719	80.96554581	146.0363602	138.5328453	151.4556121	56	39	0	16			1810															
M80.9749T6.61	M81T7	80.97488779	80.9747953	80.97517995	396.8455172	385.2145127	402.4778034	63	42	0	21			7															
M81.0346T7.9	M81T8	81.03460582	81.03447345	81.03488611	473.7459675	460.0003134	482.8142075	71	42	0	21			2															
M81.0458T2.14	M81T2.1	81.04583611	81.04574137	81.04614468	128.5676863	127.3834402	129.738067	61	40	0	21		[M-H-CO2]- 126.049	18															
M81.9911T16.67	M82T17	81.99108387	81.99094943	81.99137512	1000.385835	999.4061018	1001.919723	63	42	0	21		[M-H-C3H2O3]- 168.997 [M-H-C3H2O3]- 168.997	31															
M82.0299T8.02	M82T8	82.02989776	82.02975924	82.03830517	481.4098061	463.3303718	488.1631452	65	36	2	21			131															
M82.0299T2.64	M82T3	82.02990427	82.02980731	82.03021732	158.3189076	155.368239	160.6541687	58	42	0	16			1623															
M82.0299T20.09	M82T20	82.02992886	82.0297735	82.03012592	1205.470595	1200.536766	1207.428601	18	10	3	5			30															
M82.9542T3.1	M83T3	82.95419741	82.95411178	82.95452098	186.1982641	184.5403913	189.8070883	63	42	0	21		[M-H-C2H4]- 111.99	22															
M82.972T6.61	M83T7	82.97196775	82.97187137	82.97224578	396.4143975	385.2145127	401.9897894	60	40	0	20			7															
M82.984T9.88	M83T10	82.98395591	82.98381691	82.98425386	592.8503153	591.4920657	593.84767	57	38	0	19			1887															
M83.0139T7.92	M83T8	83.01389688	83.01377178	83.01424815	475.0520845	452.7632159	486.4825932	71	42	3	20			2															
M83.0139T8.95	M83T9	83.01389752	83.0137622	83.01416764	537.0592992	534.9855343	539.185627	53	37	0	16		[2M-3H]3- 126.034 [M-H-COCH2]- 126.034	10															
M83.0139T10.4	M83T10.2	83.013899	83.01376621	83.01425566	624.0131623	607.7173766	642.6777854	54	32	1	18			26															
M83.0139T9.63	M83T10.1	83.01390489	83.01376612	83.01425221	577.9611295	566.8239871	583.766826	59	34	1	17			17															
M83.0139T24.51	M83T25	83.01391204	83.01378774	83.01420005	1470.792271	1451.92989	1496.229578	48	32	1	13			2178															
M83.0139T20.11	M83T20	83.01392076	83.01380116	83.01419301	1206.457379	1203.994098	1208.631151	61	42	2	17		[2M-H]- 42.017	30															
M83.0139T15.84	M83T16	83.01392468	83.01379968	83.01422872	950.6195501	938.2450247	966.4742593	48	30	1	15		[M+Cl]- 48.0467 [M-H-CO]- 112.025	40															
M83.0139T15.41	M83T15	83.01392959	83.01380935	83.01424228	924.8428089	901.6286403	935.7263327	39	22	1	16			21															
M83.0251T16.21	M83T16.1	83.0251362	83.02500927	83.02544589	972.3431003	957.8334171	995.4047279	72	41	3	20			2005															
M83.0251T20.01	M83T20.1	83.02514883	83.02501921	83.02541059	1200.647483	1198.853317	1202.140263	66	42	3	21		[2M-H]- 42.017	30															
M83.0252T2.54	M83T3.1	83.02515631	83.02507037	83.02547155	152.3158999	151.1423921	153.2509426	66	42	3	21	[3][M]-	[M-H]- 84.0398 [M-H-C2H4]- 112.059	25															
M83.0364T3.21	M83T3.2	83.036387	83.03626913	83.03668386	192.7953261	190.5637098	196.5674991	48	26	3	19			2527															
M83.495T7.48	M83T7.1	83.49499221	83.49488254	83.49529765	448.6690616	415.8509681	453.6760296	67	42	0	21	[4][M]2-		3															
M83.9966T7.48	M84T7	83.99663048	83.99461748	83.99694329	448.6216553	409.7168651	453.4791993	74	42	0	21	[4][M+1]2-		3															
M84.0091T1.59	M84T2	84.00911025	84.00901612	84.00942179	95.43162127	93.44469961	98.54279812	66	42	3	21			45															
M84.0091T9.19	M84T9	84.00912011	84.00900196	84.0094803	551.1800735	527.2622639	553.0971637	68	42	2	21			6															
M84.0091T7.02	M84T7.1	84.00912787	84.0090442	84.00944648	421.298	410.6361159	432.8019095	21	7	3	11			1519															
M84.0091T8.36	M84T8	84.0091351	84.0090169	84.00943567	501.8696146	487.3519556	510.1842992	65	42	2	20			15															
M84.0092T14.94	M84T15	84.00918561	84.00908243	84.00942977	896.358938	886.7547898	907.71145	10	1	3	6		[M-H-C2H4]- 113.056	21															
M84.0203T16.29	M84T16	84.02030728	84.02023531	84.02062435	977.4989671	961.7148056	989.7630063	37	13	3	15			31															
M84.0203T19.98	M84T20	84.02033492	84.01719695	84.02061944	1198.761397	1196.431127	1210.683591	40	22	3	15			30															
M84.0285T2.54	M84T3	84.02845943	84.02830872	84.02878256	152.5985672	150.3308474	153.516902	42	24	0	18	[3][M+1]-		25															
M84.4929T7.46	M84T7.2	84.49292501	84.49281502	84.49754691	447.824976	413.9497711	455.0240599	73	42	0	21	[4][M+2]2-		3															
M84.9512T3.1	M85T3	84.95122873	84.95113719	84.95155823	186.2985004	184.5403913	189.8070883	63	42	0	21		[M+Cl]- 49.9783	22															
M84.9908T16.67	M85T17	84.99076165	84.99062492	84.9910582	1000.349946	984.2358966	1003.224644	66	42	2	21	[5][M]-		31															
M84.9908T19.09	M85T19	84.99078701	84.99070023	84.99102668	1145.516506	1142.790141	1160.563438	11	2	3	6			2414															
M84.9908T20.11	M85T20	84.99079803	84.99067193	84.99102219	1206.311368	1203.29451	1208.971186	20	8	3	9			30															
M85.0044T19.92	M85T20.1	85.00440457	85.00428068	85.00468852	1195.313676	1191.101828	1196.958875	66	42	3	21			30															
M85.0044T16.68	M85T17.1	85.00440922	85.00427636	85.00466083	1000.833439	984.23418	1015.368868	55	34	3	16			2006															
M85.0125T1.63	M85T2	85.01248154	85.01239092	85.01279616	98.04891924	94.34231723	102.3883295	48	34	1	13			2256															
M85.0295T8.9	M85T9	85.02953395	85.02940724	85.02989594	534.2058351	509.5585193	542.1895212	55	35	1	16			10															
M85.0295T7.91	M85T8	85.02954214	85.02942556	85.02988456	474.3690107	460.0410567	493.1108472	68	42	2	21		[M-H-CO]- 114.037	2															
M85.0296T10.51	M85T11	85.02955073	85.02941276	85.02987139	630.8708246	625.6977887	643.0297101	44	31	0	13			1847															
M85.0296T9.66	M85T10	85.02955089	85.02944468	85.02990705	579.5367279	570.8650516	590.0465975	40	23	1	16			1418															
M85.0296T20.1	M85T20.2	85.02957213	85.02943822	85.02984615	1206.262704	1183.510495	1209.190868	69	42	3	21		[M-2H]2- 172.08	30															
M85.0296T12.31	M85T12	85.02958988	85.02944785	85.02990775	738.7288019	722.1073388	763.4226487	50	32	1	12			14															
M85.0296T17.88	M85T18	85.02960206	85.02945304	85.0298151	1073.010798	1070.84078	1078.957434	5	2	3	0			59															
M85.5484T4.21	M86T4	85.54841038	85.54368997	85.55349844	252.3686215	240.8599593	261.3480839	36	21	0	15			91															
M85.6462T4.27	M86T4.1	85.64619262	85.64367747	85.65356502	255.965482	238.9125279	262.0523682	41	26	0	15			1															
M85.6786T4.23	M86T4.2	85.67858394	85.6739056	85.6835419	253.7688327	240.8599593	265.1287814	34	19	0	15		[M-H]- 86.6862	1															
M85.7698T4.22	M86T4.3	85.76982401	85.76402432	85.77355891	253.4286025	240.8599593	260.809339	37	21	0	15			68															
M85.8044T4.24	M86T4.4	85.80440328	85.7987538	85.80829278	254.1787885	240.8599593	264.637596	39	24	0	15			69															
M85.8235T4.21	M86T4.5	85.82351737	85.81886723	85.82846325	252.6171852	241.8348265	263.3579256	42	24	0	17			70															
M85.8582T4.21	M86T4.6	85.85815671	85.85371199	85.86347783	252.8121847	240.8599593	262.9158869	35	20	0	15			71															
M85.8787T4.24	M86T4.7	85.87868439	85.87370569	85.88343105	254.3511828	240.8599593	261.7918106	33	17	0	15			72															
M85.889T4.22	M86T4.8	85.88898359	85.88371066	85.89294619	253.3913582	239.0625676	261.7918106	39	32	0	6		[M-H]- 86.9035	1															
M85.9034T4.22	M86T4.9	85.9033747	85.89865214	85.90858924	253.1671474	238.0209463	261.3480839	39	24	0	15		[M-H]- 86.9035	1															
M85.9223T4.24	M86T4.10	85.92234393	85.91876416	85.92801986	254.2102635	242.3115381	263.3579256	45	32	0	13			73															
M85.9449T4.23	M86T4.11	85.94489922	85.93868758	85.94846066	253.7519541	238.4228937	264.2429163	44	28	0	15			74															
M85.9688T4.24	M86T4.12	85.96881159	85.96399575	85.97345995	254.6550795	244.2362219	265.1287814	39	23	0	15			1															
M85.9839T4.24	M86T4.13	85.98394691	85.97867351	85.9886108	254.3474849	241.0224669	261.4895463	40	25	0	15			75															
M85.986T16.69	M86T17	85.98603328	85.98589269	85.98634308	1001.175742	999.3323672	1002.655205	62	41	0	21	[5][M+1]-		31															
