dataMatrix	POOL_NEG10_BA7_01_17017	POOL_NEG9_BA7_01_17010	POOL_NEG8_BA7_01_17003	POOL_NEG7_BA7_01_16996	POOL_NEG6_BA7_01_16989	POOL_NEG5_BA6_01_16982	POOL_NEG4_BA6_01_16975	POOL_NEG3_BA6_01_16968	POOL_NEG2_BA6_01_16967	POOL_NEG1_BA6_01_16966	Ec57725N_521F_M_Lo_BA4_01_17016	Ec57724N_528M_M_Hi_BA3_01_17015	Ec57723N_622F_C_Lo_BA2_01_17014	Ec57722N_841F_L_Lo_BA1_01_17013	Ec57721N_627M_C_Hi_GE8_01_17012	Ec57720N_826M_L_Hi_GE7_01_17011	Ec57719N_508F_M_Lo_GE6_01_17009	Ec57718N_506M_M_Hi_GE5_01_17008	Ec57717N_620F_C_Lo_GE4_01_17007	Ec57716N_862F_L_Lo_GE3_01_17006	Ec57715N_859M_L_Hi_GE2_01_17005	Ec57714N_629M_C_Lo_GE1_01_17004	Ec57713N_509F_M_Lo_GD8_01_17002	Ec57712N_623F_C_Lo_GD7_01_17001	Ec57711N_502M_M_Hi_GD6_01_17000	Ec57710N_634M_C_Hi_GD5_01_16999	Ec57709N_836F_L_Hi_GD4_01_16998	Ec57708N_621F_C_Lo_GD3_01_16997	Ec57707N_825M_L_Hi_GD2_01_16995	Ec57706N_527M_M_Hi_GD1_01_16994	Ec57705N_517F_M_Lo_GC8_01_16993	Ec57704N_632F_C_Lo_GC7_01_16992	Ec57703N_625M_C_Hi_GC6_01_16991	Ec57702N_503M_M_Hi_GC5_01_16990	Ec57701N_818F_L_Lo_GC4_01_16988	Ec57700N_529F_M_Lo_GC3_01_16987	Ec57699N_824M_L_Hi_GC2_01_16986	Ec57698N_616F_C_Lo_GC1_01_16985	Ec57697N_501F_M_Lo_GB8_01_16984	Ec57696N_630M_C_Hi_GB7_01_16983	Ec57695N_849M_L_Hi_GB6_01_16981	Ec57694N_518F_M_Lo_GB5_01_16980	Ec57693N_848M_L_Hi_GB4_01_16979	Ec57692N_633F_C_Lo_GB3_01_16978	Ec57691N_819F_L_Lo_GB2_01_16977	Ec57690N_631M_C_Hi_GB1_01_16976	Ec57689N_827M_L_Lo_GA8_01_16974	Ec57688N_531F_M_Lo_GA7_01_16973	Ec57687N_854F_L_Lo_GA6_01_16972	Ec57686N_513M_M_Hi_GA5_01_16971	Ec57685N_628M_C_Hi_GA4_01_16970	Ec57684N_617F_C_Lo_GA3_01_16969	BLC_NEG3_GA1_01_16965	BLC_NEG2_GA1_01_16964	BLC_NEG1_GA1_01_16963
M44.9981T0.2	98829	93481	98339	105559	96563	101120	99584	98665	96948	98387	94706	96502	99139	96650	99657	96202	99144	92529	96830	100486	95464	105050	91891	100777	98721	94528	99671	94125	94572	97554	102826	102030	96509	97592	96301	93621	94182	95752	99616	99814	101075	98969	108618	99834	100629	98369	101596	100987	94510	99551	99877	97775	106196	96260	91829
M44.9981T0.8	16182	15495	18589	17161	17033	17764	19700	19600	17392	21279	14770	16393	18264	17914	17912	19422	18475	18458	19800	19035	15341	19523	18658	19273	18360	17531	17864	15088	15768	18859	14550	20198	16956	18826	18244	18328	17759	17476	14951	17390	19292	19182	19767	19433	23972	21452	21382	23380	19344	19570	18149	20846	3147	1906	2990
M44.9981T18.2	5830	5572	7238	9717	7163	8738	13809	15034	13956	13250	7642	6096	7293	7204	7120	6391	6052	5508	7203	6151	5854	5490	7682	7133	7785	8805	6158	8732	6467	5590	6529	8354	6562	7930	8017	7310	7739	6182	7382	6354	6979	10059	9372	10091	9087	11753	14563	10645	15627	12663	14338	14300	6245	7032	5006
M44.9981T1.2	27161	28229	30531	31472	35565	38048	42869	51195	59037	61226	26345	19804	23311	29296	27751	28188	29333	31600	29395	27731	29817	26772	28650	27640	35121	35412	33305	30820	30329	30908	25831	32876	36069	34506	32645	35028	38991	30436	34817	35965	42365	43678	41614	37692	48822	43622	50868	41807	49436	49362	51303	51411	1941	1629	1813
M44.9981T18.7	15503	15613	19363	19684	18716	25627	36094	38484	41270	41677	16701	17785	19524	17975	18082	17478	14925	16478	16386	16036	23457	18961	19583	18721	18463	19240	20164	20445	19816	19424	19522	17766	19247	19327	19405	18413	17011	18160	18981	20244	27557	29874	22537	24576	24680	31223	37864	42254	38446	41218	38006	37438	40580	34578	32995
M44.9981T18.9	19977	24391	24292	25574	24308	27085	31609	33497	37248	33152	21421	23464	22951	23895	21932	20949	22240	22292	21936	23396	23457	25133	25153	24058	26716	24308	23101	25834	23927	22672	26023	26945	24815	26194	24120	24267	23920	24513	27344	25745	27557	29874	30019	26466	29706	31013	34276	35940	37312	33789	31621	35329	29522	28203	27547
M44.9981T19.1	17045	18038	21469	22981	20093	24855	25607	29341	30538	31527	20897	18699	18575	18765	20852	19494	18783	19590	17899	19786	20717	22295	21467	20263	23386	20763	21290	23008	23745	22559	20527	22033	23315	23094	22241	24006	20113	21494	24666	22147	26191	27385	26616	25325	23784	25924	28725	31794	29317	29344	27427	29786	28367	27506	25529
M44.9981T24.7	3539	2704	4165	4462	4909	4706	5575	6992	8327	6685	3993	3899	4659	4185	3576	4122	4277	4223	3673	3266	4424	4404	5020	4399	4748	4247	4511	4196	4305	4736	4127	5582	4522	4555	5190	4458	5154	4401	4480	5013	5654	5208	5267	5205	4708	4929	5731	6348	6797	5735	6694	6958	7069	6155	6258
M44.9981T20.2	12595	12943	15766	15705	15919	17896	21001	22187	23365	24042	13573	13734	13004	13976	12761	12258	13473	12122	14240	15176	13716	14765	15608	15167	12964	15194	15628	15913	14257	14830	17733	18271	15092	15496	16260	17522	16155	16479	18211	18273	19213	19638	18553	19426	19288	18843	21122	24098	21262	22590	22781	22890	20973	22924	21510
M44.9981T17.9	3471	3954	4997	3760	4473	5408	8546	10208	10141	10573	3486	5523	3545	2929	5691	4983	3268	3774	4713	3216	2949	3590	4522	3907	6507	5721	3883	4354	4588	3025	3175	4489	3573	6307	4217	2540	5526	3045	3138	5174	4077	3842	6726	3799	6023	8938	12361	6048	9191	11800	10600	6970	3539	3553	2563
