sampleMetadata	CLASS	InjOrder	SourisGenre	Genre	Type	BW	batch	injectionOrder	sampleType
POOL_NEG10_BA7_01_17017	SPLE	17017					pos	17017	pool
POOL_NEG9_BA7_01_17010	SPLE	17010					pos	17010	pool
POOL_NEG8_BA7_01_17003	SPLE	17003					pos	17003	pool
POOL_NEG7_BA7_01_16996	SPLE	16996					pos	16996	pool
POOL_NEG6_BA7_01_16989	SPLE	16989					pos	16989	pool
POOL_NEG5_BA6_01_16982	SPLE	16982					pos	16982	pool
POOL_NEG4_BA6_01_16975	SPLE	16975					pos	16975	pool
POOL_NEG3_BA6_01_16968	SPLE	16968					pos	16968	pool
POOL_NEG2_BA6_01_16967	SPLE	16967					pos	16967	pool
POOL_NEG1_BA6_01_16966	SPLE	16966					pos	16966	pool
Ec57725N_521F_M_Lo_BA4_01_17016	SPLE	17016	521F	F	M	Lo	pos	17016	sample
Ec57724N_528M_M_Hi_BA3_01_17015	SPLE	17015	528M	M	M	Hi	pos	17015	sample
Ec57723N_622F_C_Lo_BA2_01_17014	SPLE	17014	622F	F	C	Lo	pos	17014	sample
Ec57722N_841F_L_Lo_BA1_01_17013	SPLE	17013	841F	F	L	Lo	pos	17013	sample
Ec57721N_627M_C_Hi_GE8_01_17012	SPLE	17012	627M	M	C	Hi	pos	17012	sample
Ec57720N_826M_L_Hi_GE7_01_17011	SPLE	17011	826M	M	L	Hi	pos	17011	sample
Ec57719N_508F_M_Lo_GE6_01_17009	SPLE	17009	508F	F	M	Lo	pos	17009	sample
Ec57718N_506M_M_Hi_GE5_01_17008	SPLE	17008	506M	M	M	Hi	pos	17008	sample
Ec57717N_620F_C_Lo_GE4_01_17007	SPLE	17007	620F	F	C	Lo	pos	17007	sample
Ec57716N_862F_L_Lo_GE3_01_17006	SPLE	17006	862F	F	L	Lo	pos	17006	sample
Ec57715N_859M_L_Hi_GE2_01_17005	SPLE	17005	859M	M	L	Hi	pos	17005	sample
Ec57714N_629M_C_Lo_GE1_01_17004	SPLE	17004	629M	M	C	Lo	pos	17004	sample
Ec57713N_509F_M_Lo_GD8_01_17002	SPLE	17002	509F	F	M	Lo	pos	17002	sample
Ec57712N_623F_C_Lo_GD7_01_17001	SPLE	17001	623F	F	C	Lo	pos	17001	sample
Ec57711N_502M_M_Hi_GD6_01_17000	SPLE	17000	502M	M	M	Hi	pos	17000	sample
Ec57710N_634M_C_Hi_GD5_01_16999	SPLE	16999	634M	M	C	Hi	pos	16999	sample
Ec57709N_836F_L_Hi_GD4_01_16998	SPLE	16998	836F	F	L	Hi	pos	16998	sample
Ec57708N_621F_C_Lo_GD3_01_16997	SPLE	16997	621F	F	C	Lo	pos	16997	sample
Ec57707N_825M_L_Hi_GD2_01_16995	SPLE	16995	825M	M	L	Hi	pos	16995	sample
Ec57706N_527M_M_Hi_GD1_01_16994	SPLE	16994	527M	M	M	Hi	pos	16994	sample
Ec57705N_517F_M_Lo_GC8_01_16993	SPLE	16993	517F	F	M	Lo	pos	16993	sample
Ec57704N_632F_C_Lo_GC7_01_16992	SPLE	16992	632F	F	C	Lo	pos	16992	sample
Ec57703N_625M_C_Hi_GC6_01_16991	SPLE	16991	625M	M	C	Hi	pos	16991	sample
Ec57702N_503M_M_Hi_GC5_01_16990	SPLE	16990	503M	M	M	Hi	pos	16990	sample
Ec57701N_818F_L_Lo_GC4_01_16988	SPLE	16988	818F	F	L	Lo	pos	16988	sample
Ec57700N_529F_M_Lo_GC3_01_16987	SPLE	16987	529F	F	M	Lo	pos	16987	sample
Ec57699N_824M_L_Hi_GC2_01_16986	SPLE	16986	824M	M	L	Hi	pos	16986	sample
Ec57698N_616F_C_Lo_GC1_01_16985	SPLE	16985	616F	F	C	Lo	pos	16985	sample
Ec57697N_501F_M_Lo_GB8_01_16984	SPLE	16984	501F	F	M	Lo	pos	16984	sample
Ec57696N_630M_C_Hi_GB7_01_16983	SPLE	16983	630M	M	C	Hi	pos	16983	sample
Ec57695N_849M_L_Hi_GB6_01_16981	SPLE	16981	849M	M	L	Hi	pos	16981	sample
Ec57694N_518F_M_Lo_GB5_01_16980	SPLE	16980	518F	F	M	Lo	pos	16980	sample
Ec57693N_848M_L_Hi_GB4_01_16979	SPLE	16979	848M	M	L	Hi	pos	16979	sample
Ec57692N_633F_C_Lo_GB3_01_16978	SPLE	16978	633F	F	C	Lo	pos	16978	sample
Ec57691N_819F_L_Lo_GB2_01_16977	SPLE	16977	819F	F	L	Lo	pos	16977	sample
Ec57690N_631M_C_Hi_GB1_01_16976	SPLE	16976	631M	M	C	Hi	pos	16976	sample
Ec57689N_827M_L_Lo_GA8_01_16974	SPLE	16974	827M	M	L	Lo	pos	16974	sample
Ec57688N_531F_M_Lo_GA7_01_16973	SPLE	16973	531F	F	M	Lo	pos	16973	sample
Ec57687N_854F_L_Lo_GA6_01_16972	SPLE	16972	854F	F	L	Lo	pos	16972	sample
Ec57686N_513M_M_Hi_GA5_01_16971	SPLE	16971	513M	M	M	Hi	pos	16971	sample
Ec57685N_628M_C_Hi_GA4_01_16970	SPLE	16970	628M	M	C	Hi	pos	16970	sample
Ec57684N_617F_C_Lo_GA3_01_16969	SPLE	16969	617F	F	C	Lo	pos	16969	sample
BLC_NEG3_GA1_01_16965	BLK	16965					pos	16965	blank
BLC_NEG2_GA1_01_16964	BLK	16964					pos	16964	blank
BLC_NEG1_GA1_01_16963	BLK	16963					pos	16963	blank
