variableMetadata	MT	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	SPLE	BLK	isotopes	adduct	pcgroup	fold	tstat	pvalue	BiH_Pool_Compounds_QToff_CF_Neg.txt_(MzDelta_Query-Bank(0.005Da)#MzBank#RtQuery#RtDelta_Query-Bank(0.2min.)#RtBank#G#N#compound#composition#exact mass#[(M+H)]+#[(M-H)]-#Masse#Neg Delta ppm#TR)	BiH_AcideAmine_Frag_QTof_CF_Neg.txt_(MzDelta_Query-Bank(0.005Da)#MzBank#RtQuery#RtDelta_Query-Bank(0.2min.)#RtBank#names#M#composition M-H#Masse [M-H]- Th##Masse exp#Tr#Delta Neg ppm)	name	chebi_id	hmdb_id	kegg_id	id_comment	annot_level	annot_confidence
M44.9981T18.2	M45T18	44.99809079	44.99788428	44.99841757	18.19166584	18.17831365	18.20673948	51	51	0			612	1.415245983	-3.536058605	0.021368222									
M44.9981T24.7	M45T25	44.99809361	44.99789816	44.99827717	24.74151576	24.7315744	24.75798014	41	38	3		[M-H]- 46.0054	47	1.331351545	4.989358235	0.013796162									
M44.9981T1.2	M45T1.1	44.99809797	44.99792981	44.99844982	1.195957877	1.184456378	1.205249213	51	51	0		[M-H-COCH2]- 88.0176	8	20.1060854	-26.38382497	0									
M44.9981T19.5	M45T19.3	44.99810038	44.99799475	44.99822721	19.49270963	19.25980919	19.62723581	13	10	0			154	1.389915124	9.506999598	0.00018346									
M44.9981T20.2	M45T20	44.9981021	44.99790041	44.99834853	20.22692779	20.09899021	20.41440093	44	39	0			1586	1.283980427	6.434017851	0.00099751									
M44.9981T18.9	M45T19.1	44.99810221	44.99788551	44.99836511	18.87328663	18.84740331	18.97575706	46	44	0			398	1.065831336	2.063161105	0.069949495									
M44.9981T0.8	M45T1	44.99811455	44.99790466	44.99837594	0.824323496	0.81885094	0.838231173	52	52	0			18	6.867055921	-32.89885873	1.67E-06									
M44.9981T19.1	M45T19.2	44.99811478	44.99788429	44.99838737	19.07607014	18.98763762	19.09554958	44	40	0			393	1.166493191	3.894663835	0.018476775									
M44.9981T18.7	M45T19	44.99811509	44.99792302	44.99840779	18.70464352	18.66887502	18.73640131	49	46	3			63	1.529798666	4.820618365	0.015174842									
M44.9981T0.2	M45T0	44.99811881	44.99789893	44.99839542	0.157631504	0.156139286	0.160069218	55	52	3	[1][M]-		15	1.002110591	-0.048460326	0.965663942									
M44.9981T17.9	M45T18.1	44.99813959	44.99789506	44.99835577	17.91541705	17.90689949	17.93287502	31	31	0			534	1.680659682	-4.563299036	0.00145809									
M44.9982T19.9	M45T20.1	44.99817037	44.99794781	44.99824576	19.89532901	19.85335564	19.92778879	8	8	0			692	1.332824781	10.23804949	9.29E-06									
M44.9982T18.5	M45T18.2	44.99818793	44.99792724	44.99835443	18.46981461	18.45334823	18.47927339	9	9	0			512	1.753245365	8.057940616	5.41E-06									
M46.0015T0.2	M46T0	46.00154104	46.00127649	46.00174927	0.157933323	0.15615625	0.172167917	20	20	0	[1][M+1]-		561	1.037709202	-0.465147497	0.680069253									
M59.0138T0.2	M59T0	59.01377317	59.01351468	59.01397656	0.157597421	0.156139286	0.15916578	15	14	1		[M+Cl]- 24.0444	15	1.098741989	-0.349797716	0.75890727									
M61.9883T20.4	M62T20.2	61.98826383	61.98804552	61.98840571	20.38016534	20.32968185	20.44371625	25	21	3			788	1.341893716	8.052365241	6.80E-06									
M61.9883T18.9	M62T19	61.98826647	61.988001	61.98854437	18.92188626	18.64363285	19.18145073	136	52	2			409	1.345788407	-5.810529928	0.014191296									
M61.9883T19.9	M62T20.3	61.98826945	61.98806099	61.98843384	19.87448259	19.76338837	19.93409326	27	23	0			334	1.833711765	-11.33633476	2.80E-05									
M61.9883T20.1	M62T20	61.98827206	61.9881004	61.98853597	20.12710667	19.98010341	20.29367026	83	51	1			1348	1.566667175	-10.15432552	0.001711424									
