sampleMetadata	class	sampleType	injectionOrder	batch	KO	id
X20180906_Blanc.EI_pos_001	Blanc	blank	1	b1	NA	X20180906_Blanc.EI_pos_001
X20180906_Blanc.EI_pos_002	Blanc	blank	2	b1	NA	X20180906_Blanc.EI_pos_002
X20180906_QC.EI.dil.8_pos_003	QC	pool8	3	b1	NA	X20180906_QC.EI.dil.8_pos_003
X20180906_QC.EI.dil.8_pos_004	QC	pool8	4	b1	NA	X20180906_QC.EI.dil.8_pos_004
X20180906_QC.EI.dil.8_pos_005	QC	pool8	5	b1	NA	X20180906_QC.EI.dil.8_pos_005
X20180906_QC.EI.dil.4_pos_006	QC	pool4	6	b1	NA	X20180906_QC.EI.dil.4_pos_006
X20180906_QC.EI.dil.4_pos_007	QC	pool4	7	b1	NA	X20180906_QC.EI.dil.4_pos_007
X20180906_QC.EI.dil.4_pos_008	QC	pool4	8	b1	NA	X20180906_QC.EI.dil.4_pos_008
X20180906_QC.EI.dil.2_pos_009	QC	pool2	9	b1	NA	X20180906_QC.EI.dil.2_pos_009
X20180906_QC.EI.dil.2_pos_010	QC	pool2	10	b1	NA	X20180906_QC.EI.dil.2_pos_010
X20180906_QC.EI.dil.2_pos_011	QC	pool2	11	b1	NA	X20180906_QC.EI.dil.2_pos_011
X20180906_QC.EI.dil.1_pos_012	QC	pool1	12	b1	NA	X20180906_QC.EI.dil.1_pos_012
X20180906_QC.EI.dil.1_pos_013	QC	pool1	13	b1	NA	X20180906_QC.EI.dil.1_pos_013
X20180906_QC.EI.dil.1_pos_014	QC	pool1	14	b1	NA	X20180906_QC.EI.dil.1_pos_014
X20180906_617P_pos_015	Bio	sample	15	b1	CTL	X20180906_617P_pos_015
X20180906_628P_pos_016	Bio	sample	16	b1	CTL	X20180906_628P_pos_016
X20180906_513P_pos_017	Bio	sample	17	b1	Mx2	X20180906_513P_pos_017
X20180906_854P_pos_018	Bio	sample	18	b1	Lat	X20180906_854P_pos_018
X20180906_531P_pos_019	Bio	sample	19	b1	Mx2	X20180906_531P_pos_019
X20180906_QC.EI_pos_020	QC	pool	20	b1	NA	X20180906_QC.EI_pos_020
X20180906_827P_pos_021	Bio	sample	21	b1	Lat	X20180906_827P_pos_021
X20180906_631P_pos_022	Bio	sample	22	b1	CTL	X20180906_631P_pos_022
X20180906_819P_pos_023	Bio	sample	23	b1	Lat	X20180906_819P_pos_023
X20180906_633P_pos_024	Bio	sample	24	b1	CTL	X20180906_633P_pos_024
X20180906_848P_pos_025	Bio	sample	25	b1	Lat	X20180906_848P_pos_025
X20180906_QC.EI_pos_026	QC	pool	26	b1	NA	X20180906_QC.EI_pos_026
X20180906_518P_pos_027	Bio	sample	27	b1	Mx2	X20180906_518P_pos_027
X20180906_849P_pos_028	Bio	sample	28	b1	Lat	X20180906_849P_pos_028
X20180906_630P_pos_029	Bio	sample	29	b1	CTL	X20180906_630P_pos_029
X20180906_501P_pos_030	Bio	sample	30	b1	Mx2	X20180906_501P_pos_030
X20180906_616P_pos_031	Bio	sample	31	b1	CTL	X20180906_616P_pos_031
X20180906_QC.EI_pos_032	QC	pool	32	b1	NA	X20180906_QC.EI_pos_032
X20180906_824P_pos_033	Bio	sample	33	b1	Lat	X20180906_824P_pos_033
X20180906_529P_pos_034	Bio	sample	34	b1	Mx2	X20180906_529P_pos_034
X20180906_818P_pos_035	Bio	sample	35	b1	Lat	X20180906_818P_pos_035
X20180906_503P_pos_036	Bio	sample	36	b1	Mx2	X20180906_503P_pos_036
X20180906_625P_pos_037	Bio	sample	37	b1	CTL	X20180906_625P_pos_037
X20180906_QC.EI_pos_038	QC	pool	38	b1	NA	X20180906_QC.EI_pos_038
X20180906_632P_pos_039	Bio	sample	39	b1	CTL	X20180906_632P_pos_039
X20180906_517P_pos_040	Bio	sample	40	b1	Mx2	X20180906_517P_pos_040
X20180906_527P_pos_041	Bio	sample	41	b1	Mx2	X20180906_527P_pos_041
X20180906_825P_pos_042	Bio	sample	42	b1	Lat	X20180906_825P_pos_042
X20180906_621P_pos_043	Bio	sample	43	b1	CTL	X20180906_621P_pos_043
X20180906_QC.EI_pos_044	QC	pool	44	b1	NA	X20180906_QC.EI_pos_044
X20180906_836P_pos_046	Bio	sample	46	b1	Lat	X20180906_836P_pos_046
X20180906_634P_pos_047	Bio	sample	47	b1	CTL	X20180906_634P_pos_047
X20180906_502P_pos_048	Bio	sample	48	b1	Mx2	X20180906_502P_pos_048
X20180906_623P_pos_049	Bio	sample	49	b1	CTL	X20180906_623P_pos_049
X20180906_QC.EI_pos_050	QC	pool	50	b1	NA	X20180906_QC.EI_pos_050
X20180906_509P_pos_051	Bio	sample	51	b1	Mx2	X20180906_509P_pos_051
X20180906_629P_pos_052	Bio	sample	52	b1	CTL	X20180906_629P_pos_052
X20180906_859P_pos_053	Bio	sample	53	b1	Lat	X20180906_859P_pos_053
X20180906_862P_pos_054	Bio	sample	54	b1	Lat	X20180906_862P_pos_054
X20180906_620P_pos_055	Bio	sample	55	b1	CTL	X20180906_620P_pos_055
X20180906_QC.EI_pos_056	QC	pool	56	b1	NA	X20180906_QC.EI_pos_056
X20180906_506P_pos_057	Bio	sample	57	b1	Mx2	X20180906_506P_pos_057
X20180906_508P_pos_058	Bio	sample	58	b1	Mx2	X20180906_508P_pos_058
X20180906_826P_pos_059	Bio	sample	59	b1	Lat	X20180906_826P_pos_059
X20180906_627P_pos_060	Bio	sample	60	b1	CTL	X20180906_627P_pos_060
X20180906_841P_pos_061	Bio	sample	61	b1	Lat	X20180906_841P_pos_061
X20180906_QC.EI_pos_062	QC	pool	62	b1	NA	X20180906_QC.EI_pos_062
X20180906_622P_pos_063	Bio	sample	63	b1	CTL	X20180906_622P_pos_063
X20180906_528P_pos_064	Bio	sample	64	b1	Mx2	X20180906_528P_pos_064
X20180906_521P_pos_065	Bio	sample	65	b1	Mx2	X20180906_521P_pos_065
X20180906_QC.EI_pos_066	QC	pool	66	b1	NA	X20180906_QC.EI_pos_066
X20180906_Blanc.EI_067	Blanc	blank	67	b1	NA	X20180906_Blanc.EI_067
