variableMetadata	MT	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	Blanc	QC	isotopes	adduct	pcgroup	name	formula	monoisotopic_mass	chebi_id	hmdb_id	kegg_id	pubchem_id	inchikey	inchi	kegg_pathway_family	kegg_pathways	kegg_subpathways	annot_level	annot_confidence	standard
M85.0289T0.88	M85T1	85.0289342042714	85.0273884479281	85.0291478803297	52.5771016549212	51.3837912051395	62.9058362846391	89	42	0	21			1775															
M85.0654T1.61	M85T2	85.0653671279754	85.065114108305	85.0655815435615	96.8037320930477	95.0169731289074	98.7667796098695	47	37	0	10		[M+H-C5H8O4]+ 216.109 [M+3H-C5H8O4]3+ 384.223	97															
M85.0765T2.71	M85T3	85.0764530874321	85.0760528171333	85.0767386931959	162.887155695238	159.83238031261	167.387495242452	56	37	2	17			11															
M85.0765T3.85	M85T4	85.0764811196599	85.0761792960586	85.0768328664743	230.76534212896	228.779152310524	233.596479581031	52	37	0	15			223															
M85.0766T0.06	M85T0	85.0765929804834	85.0760899760991	85.0768915919964	3.53924411139545	1.09066393072656	17.9056219264083	50	36	1	13			1807															
M85.0847T1.69	M85T2.1	85.0846796621598	85.0841386233308	85.0849194131259	101.643116097131	100.91463917236	104.418408430388	66	42	3	21		[M+Na]+ 62.0956	69															
M86.0189T1.24	M86T1	86.0188524137236	86.0184960663277	86.019070270494	74.5529067762568	71.4983689372426	76.6054153763716	54	38	0	16		[M+Na]+ 63.0374	1															
M86.0606T1.37	M86T1.1	86.0606471913248	86.0600908892137	86.0608503497188	82.1521246036377	79.4099016797076	82.8767193125613	64	42	1	21	[1][M]+		2789															
M86.0605T1.05	M86T1.2	86.0605049224141	86.0602034666384	86.0606703715661	63.1094084273066	46.9263167526809	65.2773734936447	45	32	1	12		[M+2H-COCH2]2+ 212.121	26															
M86.0969T7.53	M86T8	86.0968848409967	86.0963801561069	86.0971378059036	451.600087992788	450.376312500216	452.345110086524	66	42	3	21			35															
M86.0968T1.24	M86T1.3	86.0967662583212	86.0964710646145	86.0969968801474	74.5713634679753	61.333738937676	75.0613111693846	64	42	1	21	[2][M]+	[M+H]+ 85.0878	1															
M86.0971T5.59	M86T6	86.0970779806615	86.0967645168308	86.0973200000062	335.6584702961	332.873858054774	336.752795693282	56	42	0	14			88															
M86.0969T1.71	M86T2	86.0969211045983	86.0964568321602	86.097157687158	102.896189634417	100.71127709344	103.971518703585	49	32	2	15		[M+H-NH3]+ 102.111	69															
M86.175T1.24	M86T1.4	86.1749909568684	86.1746645300913	86.1752257799372	74.5676578307679	72.0456183278325	75.8684948735102	52	35	0	17		[M+Na]+ 63.1917	1															
M86.5183T0.64	M87T1	86.5182609779929	86.5177420265873	86.5185003139671	38.518929086775	37.9512760184832	39.9375074684032	66	42	3	21	[3][M]+	[M+Na]+ 63.5288	14															
M86.9933T0.66	M87T1.1	86.9932687596153	86.9930169697205	86.9935199056588	39.3299761979296	38.792029045969	39.7950765593614	51	40	0	11			376															
M87.0199T0.64	M87T1.2	87.0199425233414	87.0193918218648	87.0201015894548	38.5930871895099	38.2477805146889	39.6950233968004	43	27	1	15		[M+2Na]2+ 128.051	14															
M87T1.3_γ.Butyrolactone	M87T1.3	87.0444056982077	87.0440643748689	87.0446122646048	76.177029580119	75.5772615682405	76.7591005931	63	42	0	21	[4][M]+		1	γ-Butyrolactone	C4H6O2	86.03678	CHEBI:42639	HMDB00549	C01770	CID7302	YEJRWHAVMIAJKC-UHFFFAOYSA-N	InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2				2	a,b	
M87.0445T2.71	M87T3	87.0444841233592	87.0441521446283	87.0447365139107	162.459264757204	160.154194438324	165.796492176912	48	31	1	16			11															
M87.0445T3.31	M87T3.1	87.0444887286403	87.044251954313	87.0447904527751	198.487008701512	197.133943157795	200.587820000416	47	37	0	10		[M+Na]+ 64.0524	13															
M87.0445T1.91	M87T2	87.044490393448	87.0441987012213	87.0447419933086	114.319229225047	113.16361654285	116.629385951157	47	35	0	12			194															
M87.064T1.38	M87T1.4	87.0640176308671	87.0637653120557	87.064206090316	82.5111844120278	81.5662540079438	83.648540293366	53	38	0	15	[1][M+1]+		2800															
M87.1001T1.24	M87T1.5	87.100099806759	87.0998143285689	87.1003647518274	74.5206215882584	73.685605977058	75.0613111693846	63	42	0	21	[2][M+1]+		1															
M87.5348T0.64	M88T1	87.5347639749913	87.5344031028425	87.5349865516087	38.5232823190386	37.9176221875139	39.4076236040431	51	38	0	13	[3][M+1]+		377															
M87.6541T5.03	M88T5	87.6541019077357	87.6535653732521	87.6543665769946	301.854472981265	300.633702396674	302.981639459581	66	42	3	21		[M+H]+ 86.6443	9															
M88.0397T3.31	M88T3	88.0397336044861	88.0394775695452	88.0399776763369	198.897625430733	197.260187099974	200.536738665271	50	37	0	13		[M+K]+ 49.0786	13															
M88.0398T2.72	M88T3.1	88.0397578925993	88.0394166975602	88.0400730386055	163.036695152909	158.021576364227	166.30949316536	49	31	2	16		[M+2H-C2H4]2+ 202.098	11															
M88.0397T3.84	M88T4	88.0397491074162	88.0394760187832	88.0399930254167	230.395946681749	227.580476897736	232.64469526527	47	36	0	11			8															
M88.0398T1.9	M88T2	88.0397541766554	88.039402615421	88.0400484092224	113.965657397481	112.361910912615	118.166906967181	42	31	0	11		[M+H]+ 87.033	6															
M88.0398T1.03	M88T1.1	88.0398154586359	88.039317319709	88.0401631469665	61.5017325132326	35.0005351007813	62.2290739278297	32	22	3	7		[M+H-CH2]+ 101.05	26															
M88.0477T1.27	M88T1.2	88.0476628264073	88.0393855795032	88.0481078186113	76.2752136987347	74.986767792642	95.1531622465447	60	40	0	19	[4][M+1]+		1															
M88.0637T0.71	M88T1.3	88.0637093024861	88.0632169418986	88.0639255048538	42.3962105765659	41.8631587162653	44.1548240419507	63	42	0	21		[2M+H+Na]2+ 76.0713 [M+2H]2+ 174.113	49															
M88.0761T1.16	M88T1.4	88.0761211495006	88.0757622613272	88.076595278569	69.4169334021192	67.4513753683808	70.6136996885695	66	42	3	21	[5][M]+		18															
M88.5097T0.07	M89T0	88.5097119092228	88.5091743099676	88.5099988406687	4.02235260095304	2.44027940402324	6.55642325233191	61	38	2	21			34															
M88.5095T1.9	M89T2	88.509484160466	88.5091191167686	88.5099701342826	114.139151305023	101.496664725022	115.130791791797	61	42	3	15			6															
M88.5095T2.73	M89T3	88.5095310484804	88.5091659994479	88.5098316357919	163.507100015699	157.501194501267	165.796492176912	55	39	2	14			11															
M88.5096T3.83	M89T4	88.5095967870433	88.5092804179266	88.5098416577856	229.827867053182	227.321885472673	232.104312433276	53	39	0	14		[M+2Na+K]3+ 180.579	8															
M88.5095T1.24	M89T1	88.5094502318208	88.509120372582	88.5097327717075	74.267201214115	62.0669158568795	79.2964930091761	53	32	0	19		[M+Na]+ 65.5269	1															
M88.5097T0.63	M89T1.1	88.5096629586021	88.5091273065441	88.5146820150037	37.5430139572868	35.720918406986	39.2000618387331	63	41	3	19	[3][M+2]+		378															
M89.0089T0.06	M89T0.1	89.0089270134515	89.008376927674	89.0092217020294	3.89086633672229	0.564836233544677	6.53601841642617	64	41	2	21		[2M+3H]3+ 132.003	34															
M89.0089T0.62	M89T1.2	89.0089351905648	89.0083757335964	89.0113904374659	37.3188875330373	33.8620984337427	39.2000618387331	58	35	3	20		[M+H]+ 88.0022	14															
M89.0368T0.83	M89T1.3	89.0367932974474	89.0349831383401	89.037214003523	49.516145355843	30.5114544460595	65.0192384421907	35	14	3	16		[M+H-HCOOH]+ 134.035	29															
M89.0602T7.44	M89T7	89.0601950500015	89.0598867109903	89.0604498627741	446.368145446588	445.379991318166	447.158981325962	58	41	1	16			1857															
M89.0691T0.75	M89T1.4	89.0690921005916	89.0685237568007	89.0693453369764	45.1870560467062	43.7362866345848	46.0244052725864	51	36	0	15		[2M+3H]3+ 132.094	49															
M89.0794T1.15	M89T1.5	89.079442226877	89.0790587184112	89.0799085321817	69.2358789007072	67.4513753683808	87.6442689467335	68	42	3	21	[5][M+1]+		18															
M89.4247T0.07	M89T0.2	89.424667080332	89.4240683055794	89.4289358609372	4.00689094878675	1.47097673195425	5.18688701049775	40	24	1	15			34															
M89.5073T0.63	M90T1	89.5073274205167	89.5067734574892	89.5076008667667	37.5183019493186	36.5605958690343	39.2000618387331	66	42	3	21	[6][M]2+		14															
M89.5072T2.72	M90T3	89.507160152631	89.5066626754358	89.5074828293091	163.295249031819	157.310520250961	165.796492176912	66	42	3	21	[7][M]2+	[M+2H]2+ 176.996	11															
M89.5071T1.2	M90T1.1	89.5071431758116	89.5067646305748	89.5073920555424	72.1099465541901	61.6776116125595	77.7612759995863	76	42	2	21	[8][M]2+	[M+3Na-H]2+ 111.058	1															
M89.5073T5.03	M90T5	89.5073348422902	89.5067454340636	89.5075984357271	302.081958195538	288.889791460039	308.645717866757	64	42	2	20			9															
M89.5072T3.83	M90T4	89.5072201238299	89.5067647100378	89.507541388656	229.827409667468	218.582343897795	243.134451084051	64	42	1	20	[9][M]2+		8															
M89.5073T0.07	M90T0	89.5073250828671	89.5067947949361	89.5076494100867	4.0553148041185	2.44027940402324	5.01813598901026	59	36	2	21	[10][M]2+		34															
M89.5071T1.9	M90T2	89.5071318234899	89.5067771835287	89.5074217235694	114.070325809274	101.730997770415	114.710980507945	51	30	2	18	[11][M]2+	[M+2H]2+ 176.996 [M+2H]2+ 176.996	6															
M89.5073T5.35	M90T5.1	89.5072693713095	89.506749842001	89.5075826477011	320.8506888417	317.248480280801	340.720316151523	40	20	3	14			1019															
M90.009T0.63	M90T1.2	90.0089890305459	90.0076231055389	90.0092219630891	37.5473732722878	36.3432234169659	39.2000618387331	66	42	3	21	[6][M+1]2+		14															
M90.0089T0.07	M90T0.1	90.0089056750314	90.0060253390202	90.0093225812199	4.02235260095304	1.12741133087533	7.29257806644427	65	42	2	21	[10][M+1]2+		34															
M90.0089T2.72	M90T3.1	90.0088633988549	90.007209380418	90.0091478862287	163.332749940482	158.021576364227	166.30949316536	63	41	2	20	[7][M+1]2+		11															
M90.0088T1.9	M90T2.1	90.0088464433946	90.0075510901046	90.0092793719796	113.995672900005	101.652587414787	115.108758564761	61	41	3	17	[11][M+1]2+		6															
M90.0089T3.83	M90T4.1	90.0088769992751	90.0074519342658	90.0091732833629	230.084878099101	227.321885472673	232.580003870105	55	40	0	15	[9][M+1]2+		8															
M90.0088T1.21	M90T1.3	90.008792308448	90.0084278503876	90.0090987028151	72.7374539641219	68.7681996566409	79.5957857455916	52	32	0	19	[8][M+1]2+		1															
M90.0088T3.31	M90T3.2	90.0088457121011	90.0077060125482	90.0090050691629	198.657815600656	197.378745568783	200.296419266608	45	34	0	11		[M+H]+ 89.0051	13															
M90.0555T0.81	M90T1.4	90.0555296852677	90.055050410595	90.0557674571884	48.4139525471219	46.4999577055501	48.7476057947788	65	42	2	21			1183															
M90.0554T2.72	M90T3.3	90.0554196818822	90.0549685014562	90.055753773755	163.352640312721	150.85563247951	167.471274986062	65	42	3	20	[12][M]+		11															
M90.0554T1.25	M90T1.5	90.0553864157552	90.0549703992463	90.0558768219801	75.2825279734357	63.1266449977399	91.3098365983999	90	42	2	20	[4][M+2]+		1															
M90.0555T3.82	M90T4.2	90.0555037360938	90.0550018800114	90.0558012208508	229.262716436753	218.582343897795	231.737179918626	64	42	1	20			8															
M90.0555T0.06	M90T0.2	90.0554955544938	90.0549778679962	90.0558844838903	3.46942240141069	1.57359155415479	17.4384974071379	63	41	3	19			1808															
M90.0554T1.91	M90T2.2	90.0554206773493	90.0549937132926	90.0558997608396	114.382913692247	107.049566776315	123.820615946724	59	40	3	16	[13][M]+		6															
M90.0918T1.13	M90T1.6	90.0917650200501	90.091345219478	90.0922178527414	67.8078983828602	66.0713316638065	87.6879055985127	67	42	3	21	[5][M+2]+		18															
M90.5075T0.62	M91T1	90.5075172368478	90.5069589402831	90.5077540673399	36.987595450845	36.3728564468086	39.5873164897988	63	40	3	20	[6][M+2]2+		14															
M90.5075T0.07	M91T0	90.5074587030379	90.5069406429892	90.5078423450944	4.2514652727481	2.44813689764823	6.82925999879298	57	37	1	19	[10][M+2]2+		1809															
M90.5074T11.36	M91T11	90.5073932127035	90.5068659553683	90.5076142475888	681.312512176659	668.609739328594	693.975352474433	73	37	0	20			1568															
M90.5264T0.66	M91T1.1	90.5264380404599	90.5258910186226	90.5266727644819	39.4367674040877	38.9494828757809	40.9012083627487	66	42	3	21	[14][M]2+	[M+2H-C6H10O5]2+ 341.098	14															
M90.8925T0.74	M91T1.2	90.8925374153608	90.8918892542315	90.8927857558646	44.2034974261421	43.3033152342431	45.3145446917549	62	42	0	20			49															
M90.9772T0.74	M91T1.3	90.9772018955988	90.9736096860746	90.9774467486191	44.2596421961492	44.0116722421767	46.7564432071484	65	42	2	21		[M+2Na]2+ 135.973 [M+H-HCOOH]+ 135.973	49															
M90.9773T14.49	M91T14	90.9773236015759	90.9767552756105	90.9774996160052	869.173376485879	867.603398875105	870.409708186286	58	39	1	18			3535															
M90.9774T19.89	M91T20	90.9773646763548	90.9768184444399	90.9776634722837	1193.68886495708	1182.36092446631	1198.90771006661	67	42	3	21		[M+2Na]2+ 135.976 [M+H-HCOOH]+ 135.976	74															
M90.9772T13.73	M91T14.1	90.977181867753	90.9767061790178	90.977403755644	823.575750934416	821.782896642106	840.708443559911	46	26	1	18		[M+2Na]2+ 135.976 [M+H-HCOOH]+ 135.976	22															
M90.9771T12.97	M91T13	90.9771495705119	90.9766731335331	90.9773927064176	778.454806254011	764.614002831893	804.245584704421	53	22	2	17		[M+K]+ 52.0178	17															
M90.9772T11.35	M91T11.1	90.9771684049284	90.9767099502849	90.9773566449896	681.194376898514	670.535744807803	691.620498547995	35	13	0	17			1569															
M91.0092T0.07	M91T0.1	91.0091575101238	91.0057915805644	91.0094170749379	4.1731527944653	1.44244590576841	5.01522911032497	41	25	1	15	[10][M+3]2+		34															
M91.0148T0.65	M91T1.4	91.0147687808858	91.0088903541475	91.0149709667475	38.7154977062038	33.2365891586252	39.3755875494344	55	41	0	14	[6][M+3]2+		379															
M91.0281T0.65	M91T1.5	91.0281119062215	91.0275934223106	91.0283748216983	38.9093690572831	38.3648223004476	53.726112383247	58	41	2	14	[14][M+1]2+		380															
M91.0589T0.81	M91T1.6	91.0588572163258	91.0583294730567	91.0591133402867	48.4065889194412	46.4999577055501	48.7476057947788	66	42	3	21	[15][M]+	[M+H-CO2]+ 134.035	29															
M91.0587T1.91	M91T2	91.0587456783478	91.0583543311636	91.0589776403115	114.489256606162	112.446310782983	116.471044291231	55	39	0	16	[13][M+1]+		6															
M91.0588T2.72	M91T3	91.0587612396571	91.0583594886476	91.059028783375	163.036695152909	161.17867594092	166.836494180784	49	32	2	15	[12][M+1]+		11															
M91.0586T1.26	M91T1.7	91.0586326129784	91.0583113441517	91.0592021097902	75.367949140595	66.035259376095	77.822446026104	45	30	3	12		[M+2H-COCH2]2+ 222.117	1															Alanine 13C [ExS]
M91.5053T0.62	M92T1	91.5052821484395	91.5047106164368	91.5054965927238	37.0222566086749	35.7361685348221	39.5873164897988	61	39	3	19			375															
M91.5052T0.07	M92T0	91.5051882074026	91.5046697989518	91.5055833080405	4.15942032798575	-1.81680604980546	5.61799692901437	59	38	2	19			34															
M91.9805T0.74	M92T1.1	91.980472148754	91.9799113469179	91.9807138159598	44.2122609905694	43.9281396409247	44.4929516535994	63	42	0	21			49															
M92.0622T0.81	M92T1.2	92.0622027856022	92.061575412841	92.0624725496809	48.4698967292126	46.4999577055501	49.2424897059961	64	40	3	21	[15][M+1]+		29															
M92.0711T1.67	M92T2	92.0711311264886	92.0706419348728	92.0714762012164	100.244595930209	98.2881774075909	103.105151955162	27	11	3	13			3261															
M92.9814T0.74	M93T1	92.9813590720481	92.9807854335561	92.9815927603209	44.2148293843206	43.9019545877038	44.5777798187114	63	42	0	21		[M+H-CO2]+ 135.973	49															
M93.0551T2.72	M93T3	93.0550961807413	93.0545662856711	93.0554252280351	163.007732253738	159.072584836811	165.796492176912	66	42	3	21	[16][M]+	[M+Na]+ 70.0649	11															
M93.055T1.26	M93T1.1	93.0550158045502	93.0546533189298	93.0555824345196	75.8348974232193	73.5461945435217	93.4337856687477	68	42	2	21	[17][M]+	[M+Na]+ 70.0602	1															
M93.055T1.9	M93T2	93.0550244001075	93.054678898606	93.0555953793816	114.198727556962	107.049566776315	123.820615946724	66	42	3	21	[18][M]+		6															
M93.0551T3.83	M93T4	93.0551448276095	93.0546898606908	93.0554790073659	229.688342674343	227.790900176149	231.12603266079	64	42	1	21	[19][M]+		8															
M93.0552T5.03	M93T5	93.0552306356083	93.0546681547966	93.0555370071793	301.946692511713	300.975136297943	303.03440841522	63	40	3	20		[M+H]+ 92.0514	9															
M93.0552T0.98	M93T1.2	93.0551896572814	93.0546546608598	93.0554344783567	58.6203218991538	47.2135657041099	62.5123067469679	70	38	2	18			2764															
M93.0553T5.36	M93T5.1	93.0552500535684	93.0546926513835	93.0555157740237	321.897163893699	320.013941078077	323.054226929884	53	38	2	13			28															
M93.055T7.56	M93T8	93.0550095227064	93.0546333814822	93.0552764838893	453.620987791463	450.894280655884	456.165918334712	53	34	0	19			4															
M93.0552T0.08	M93T0	93.0552443917144	93.0546826891154	93.0555875889693	4.55963570302083	3.65124811281952	17.5181937632243	62	39	3	20			1805															
M93.0552T0.62	M93T1.3	93.055227237762	93.0546727854885	93.0554275578436	36.942275593001	36.141928488902	38.0205181443466	45	28	0	17			14															
