sampleMetadata	class	injectionOrder	batch	sampleType	KO	id
X20180910_Blanc.EI_neg_001	Blanc	1	b1	blank	NA	X20180910_Blanc.EI_neg_001
X20180910_Blanc.EI_neg_002	Blanc	2	b1	blank	NA	X20180910_Blanc.EI_neg_002
X20180910_QC.EI.dil.8_neg_013	QC	13	b1	pool8	NA	X20180910_QC.EI.dil.8_neg_013
X20180910_QC.EI.dil.8_neg_014	QC	14	b1	pool8	NA	X20180910_QC.EI.dil.8_neg_014
X20180910_QC.EI.dil.8_neg_015	QC	15	b1	pool8	NA	X20180910_QC.EI.dil.8_neg_015
X20180910_QC.EI.dil.4_neg_016	QC	16	b1	pool4	NA	X20180910_QC.EI.dil.4_neg_016
X20180910_QC.EI.dil.4_neg_017	QC	17	b1	pool4	NA	X20180910_QC.EI.dil.4_neg_017
X20180910_QC.EI.dil.4_neg_018	QC	18	b1	pool4	NA	X20180910_QC.EI.dil.4_neg_018
X20180910_QC.EI.dil.2_neg_019	QC	19	b1	pool2	NA	X20180910_QC.EI.dil.2_neg_019
X20180910_QC.EI.dil.2_neg_020	QC	20	b1	pool2	NA	X20180910_QC.EI.dil.2_neg_020
X20180910_QC.EI.dil.2_neg_021	QC	21	b1	pool2	NA	X20180910_QC.EI.dil.2_neg_021
X20180910_QC.EI.dil.1_neg_022	QC	22	b1	pool1	NA	X20180910_QC.EI.dil.1_neg_022
X20180910_QC.EI_neg_022	QC	22	b1	pool	NA	X20180910_QC.EI_neg_022
X20180910_QC.EI.dil.1_neg_023	QC	23	b1	pool1	NA	X20180910_QC.EI.dil.1_neg_023
X20180910_QC.EI_neg_023	QC	23	b1	pool	NA	X20180910_QC.EI_neg_023
X20180910_QC.EI.dil.1_neg_024	QC	24	b1	pool1	NA	X20180910_QC.EI.dil.1_neg_024
X20180910_QC.EI_neg_024	QC	24	b1	pool	NA	X20180910_QC.EI_neg_024
X20180910_617P_neg_025	Bio	25	b1	sample	CTL	X20180910_617P_neg_025
X20180910_628P_neg_026	Bio	26	b1	sample	CTL	X20180910_628P_neg_026
X20180910_513P_neg_027	Bio	27	b1	sample	Mx2	X20180910_513P_neg_027
X20180910_854P_neg_028	Bio	28	b1	sample	Lat	X20180910_854P_neg_028
X20180910_531P_neg_029	Bio	29	b1	sample	Mx2	X20180910_531P_neg_029
X20180910_QC.EI_neg_030	QC	30	b1	pool	NA	X20180910_QC.EI_neg_030
X20180910_827P_neg_031	Bio	31	b1	sample	Lat	X20180910_827P_neg_031
X20180910_631P_neg_032	Bio	32	b1	sample	CTL	X20180910_631P_neg_032
X20180910_819P_neg_033	Bio	33	b1	sample	Lat	X20180910_819P_neg_033
X20180910_633P_neg_034	Bio	34	b1	sample	CTL	X20180910_633P_neg_034
X20180910_848P_neg_035	Bio	35	b1	sample	Lat	X20180910_848P_neg_035
X20180910_QC.EI_neg_036	QC	36	b1	pool	NA	X20180910_QC.EI_neg_036
X20180910_518P_neg_037	Bio	37	b1	sample	Mx2	X20180910_518P_neg_037
X20180910_849P_neg_038	Bio	38	b1	sample	Lat	X20180910_849P_neg_038
X20180910_630P_neg_039	Bio	39	b1	sample	CTL	X20180910_630P_neg_039
