variableMetadata	MT	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	Blanc	QC	isotopes	adduct	pcgroup	name	formula	monoisotopic_mass	chebi_id	hmdb_id	kegg_id	pubchem_id	inchikey	inchi	kegg_pathway_family	kegg_pathways	kegg_subpathways	annot_level	annot_confidence	standard
M75.0087T6.29	M75T6.1	75.00870173	75.00860981	75.00880231	377.4705412	375.0881446	382.6871682	4	0	3	1			6															
M75.0088T25.13	M75T25	75.00876662	75.00859357	75.0088527	1507.895359	1503.147239	1514.858749	8	1	3	4			1369															
M75.0088T20.1	M75T20	75.00877974	75.00862622	75.00887224	1205.983875	1201.431101	1212.394588	6	1	3	2			36															
M75.0088T6.96	M75T7	75.00879094	75.00860645	75.0088012	417.662105	416.0179155	420.3972229	5	0	3	2			1160															
M75.0088T8.09	M75T8	75.00879111	75.00854433	75.00896056	485.39486	459.8803369	497.617489	73	42	2	24			3															
M75.0088T2.16	M75T2	75.00882833	75.00863546	75.00898095	129.4352834	110.8946597	130.8351839	61	35	3	23	[2][M]-		1219															
M75T5_Glycolic.acid	M75T5	75.00883124	75.00872867	75.009001	323.6924466	321.5331096	326.8014066	66	42	0	24			25	Glycolic acid	C2H4O3	76.01604	CHEBI:17497	HMDB00115	C00160	CID757	AEMRFAOFKBGASW-UHFFFAOYSA-N	InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	Glyoxylate	2	a,b	
M75.0088T3.52	M75T4	75.00883145	75.00863881	75.00899717	211.1742312	208.0123138	226.8305696	71	42	2	24	[1][M]-	[M-H-C6H10O5]- 238.074	19															
M75.0088T5.89	M75T6	75.00883911	75.00861789	75.00900967	353.3433662	344.5383074	359.1420089	51	36	1	14			6															
M75.0089T12.17	M75T12	75.00885911	75.00861578	75.00895978	730.155299	724.7822548	736.8017243	6	2	3	1			946															
M75.02T19.97	M75T20.1	75.02003969	75.01985441	75.02017685	1198.371405	1196.916118	1199.664054	47	30	2	15			36															
M75.0281T8.22	M75T8.1	75.0281209	75.02802244	75.02827751	493.0831529	490.3672478	494.0728771	64	42	0	22			3															
M76.0041T19.9	M76T20	76.00407789	76.00389171	76.00425299	1193.826667	1190.590471	1195.478773	69	42	3	24		[M+2Cl]2- 82.0663	36															
M76.0122T2.16	M76T2	76.01217808	76.01198271	76.01233881	129.5395993	128.8792889	130.8351839	54	29	2	23	[2][M+1]-		42															
M76.0122T3.51	M76T4	76.01218443	76.01198241	76.01234602	210.687097	206.0914146	226.7562715	69	42	2	24	[1][M+1]-		19															
