dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M102.1158T0.61	18.9578019539482	20.0370472130244	18.7207372376096	18.8359135458331	18.0027966461971	18.5961965922998	19.2356360818717	19.0988464690759	18.5521416943468	17.9193236638231	20.0524736924317	18.3348721520893	18.6390117828334	19.7421911784273	19.4767944315823	19.3224166900853	18.8342719879388	19.1978961781689	18.7607525971013	18.2161886412952	19.3281458767005	19.9118083100052	19.1099058713101	18.469453676916	18.6204558041255	19.3189441404612	19.0808890668528	18.3658617027888	19.2631660394769	18.4132808197562	19.201942739571	19.1412679481006	19.052419244774	19.3734462209292	19.4938873132635	19.3977681633805	18.8628588049895	19.1375026411972	19.7679319932946	19.5379345599295	19.4608661553694	19.3962073034306
M87.1002T1.25	21.6762121032679	21.7538222662064	21.5693122351402	21.342605136599	21.0438803156561	21.1800985072134	21.6348346691299	21.4758463206302	21.7212379869423	21.4709092386435	21.1782940267306	21.3332987881058	21.5667729482415	21.7415652673773	21.7190718307331	21.7594422531668	21.8030421880873	21.3733382605596	21.9092258422338	21.4193657525231	21.7379893828295	22.0092483860751	21.8392026437645	21.7938106270271	21.7739840316182	21.9229648617051	21.9510184679392	21.5628651046005	21.6707936228224	20.7193185255502	21.3384349923494	21.00351436691	21.3579280771249	20.9097482326041	21.2726455587863	21.1491317291869	21.7527246851103	21.2587610714882	21.3787266374034	21.4773706730678	21.2973818853279	21.2324879183638
M132T1.19_L.Isoleucine.Isoleucine..	29.5949700337189	29.6583279583234	29.5867080018133	29.3739378820496	29.1105784704734	29.1034541289373	29.6257927246196	29.4068540499289	29.6539568863169	29.4393184553584	29.171361799624	29.3114569138968	29.500954586578	29.7416564155867	29.61994499387	29.8004965159886	29.7821935833457	29.3084819131944	29.8777056941701	29.3000355901533	29.7112135712357	29.9507088160203	29.8731387350855	29.7219797436637	29.6971687965444	29.8305638654032	29.8768162559291	29.4888599285519	29.6171251274026	28.7155338336486	29.3227976114138	28.9992824695982	29.3297534145611	28.9650900942077	29.2397228783	29.1284084147008	29.6951234629961	29.1976482502811	29.3414892990294	29.5080211031636	29.2421708115467	29.2042011188608
M105.0039T0.66	16.7720870946276	17.2273656591624	16.8553625477688	16.7931067678392	17.2076809196191	17.0087906609242	16.7403405657462	15.9430375409572	17.0112710152859	16.5588367257731	16.7823616607364	16.4390845619013	16.4666379464393	16.4759887313318	16.7737668679281	16.8532493155356	16.7097786303094	16.3896536178852	16.6210490451466	16.439449525758	16.6198308916132	16.7764207627504	17.0599098031313	17.1833153555929	16.4786710108823	17.0067221822749	16.9635526500687	16.646154660437	17.0755792087522	16.3629344278535	16.6437882392105	16.4011079688326	16.939054887587	16.8796228437353	17.0678832581042	16.598698199603	16.6231153548665	16.5555749239247	16.6128984869104	16.8038054917724	16.6894793728488	16.8847405763427
M90.9773T0.72	19.5703180673411	19.3138289037723	19.5994575455484	19.5448825001153	19.5268328239865	19.5283212431748	19.1306191242989	19.4305608052706	19.6134626605515	20.1881857864149	19.6618978413263	18.7441982895068	19.3258614618329	19.6553929649658	19.5132022543115	19.5639997271889	19.793178666625	19.1553937528051	19.2516451680944	19.6956179734887	19.563786717597	20.1089327756533	20.165131847933	19.3003059721762	19.6370133298346	19.5885327275838	19.8786945420633	19.6842091682687	19.6348753123619	20.1923237107991	19.9144656214487	19.9723964681635	19.6115636968366	19.6411893545443	19.7592319760553	19.7216861376843	19.8942717789575	19.8545786946065	19.1306146936899	19.6684990755661	19.3951819163494	19.3710230932347
M93.6025T0.61	17.8277432809658	18.9785433281092	17.6100703991362	17.7351281727056	16.9863956996919	17.5114124014837	18.0492446932846	18.0585082722804	17.523812666241	16.913056100791	18.9650805760654	17.1823952312274	17.584608397181	18.5152830119537	18.4399909723614	18.1815312062677	17.6735437332321	18.0908727440543	17.5805412886769	17.1293836870997	18.1964511705294	18.7703272975001	17.9458833657116	17.4697219181971	17.5415393251395	18.1999999967788	17.9607340134966	17.2204660720324	18.1425457802403	17.3294505337415	18.0260325483332	18.1443054201514	18.0410664001641	18.0710034067838	18.3680083922821	18.3809460392945	17.6652232168079	18.1266295098106	18.7343141309132	18.3987105316958	18.3978524469036	18.3732629720754
M94.0457T0.65	25.6110939217334	25.8678698321156	25.6678635571542	25.744156861454	25.6934495447558	25.5898578566641	25.804504551337	25.1818776975313	25.666123757375	25.2843521587845	25.5595929150391	25.3051578777603	25.4016021486668	25.5312525840137	25.5603720243304	25.7619122114855	25.4925262212358	25.4568898431466	25.4162990192502	25.2331579794234	25.5808025894627	25.3914030829815	25.7657577711472	25.8217289155334	25.4219435315815	25.675364721329	25.7176735455854	25.4425577733135	25.8026323139151	25.3923240662076	25.5322614410162	25.3197894878564	25.8062157298231	25.7773071368301	25.8894553589067	25.4588833088114	25.3904220025767	25.5757989000853	25.4738092970493	25.8188156414137	25.5786023918281	25.5688780238352
M95.546T0.65	19.0998491560295	19.3796029630138	19.1621415716394	19.3608174412147	19.1857872824006	19.0475835860612	19.2744931566513	18.6134405957296	19.2024352220051	18.7724807598901	19.1034356906507	18.8417765587175	18.8801458240009	19.0601422404077	19.0522652627875	19.2389810992241	18.9261848727266	18.8937082350598	18.8748342513869	18.7087524313997	19.0889306332931	18.7748002631442	19.3390039489255	19.3775070814071	18.8876450240031	19.2285554725578	19.2231198027799	18.8406015020536	19.3890027025833	18.8851748644205	19.0123847288765	18.7994520475801	19.33847486191	19.4299949187703	19.399592556897	18.9574732455164	18.8891577353068	18.9577754450048	18.9104383064757	19.3742116440666	19.1064996542554	18.9882209220353
M110.0094T0.66	22.8318033443445	23.1575935312251	22.7058875031877	22.8122362305213	22.6818117680973	22.7245960659461	22.8565910017728	22.2008294882704	22.7847856066102	22.3544280303442	22.6467138365837	22.3861504526886	22.584213890315	22.4997159838828	22.6565851306195	22.7506683146384	22.684084175139	22.5228403982146	22.3296215841385	22.446494751938	22.6480510957038	22.3787555822416	22.8114987401476	22.8923617534049	22.6482180920106	22.8128901223493	23.0115039610338	22.5752719146601	22.9846102254069	22.527481526216	22.6370811441774	22.4852003632801	23.0623828058821	22.9043444366812	23.0473797998953	22.6348830482201	22.4748140303823	22.9061966885344	22.596019925598	22.9716760531013	22.677255856383	22.7219878384654
M111.0101T0.66	19.5531337782835	19.8564601272795	19.3187050446371	19.4444018372797	19.375239072645	19.3379586610154	19.5188366772271	18.7705941232702	19.4654461554166	19.0173234346845	19.3206817136688	19.0502924573104	19.2485189436961	19.118090056544	19.2777551391549	19.3784862206105	19.4020007257067	19.1659501239366	18.9774421935254	19.123657022417	19.2915386341307	19.0652979418049	19.4992626639448	19.5534001577824	19.2725930239667	19.5169009692557	19.6972232317584	19.1873238210965	19.6775458874868	19.1559805690202	19.2783746149312	19.1206194032416	19.7663096262412	19.5578969526957	19.7643559287943	19.3198855463542	19.0655477194262	19.6258752464928	19.2354057448686	19.6473154113563	19.3466051571801	19.2492412251168
M112.0069T0.66	19.6926034831585	20.0525558762622	19.5141830431257	19.6845859862285	19.520950930682	19.5123959368392	19.8128176753944	18.9599595721961	19.6013374548059	19.1667479198282	19.4625009144385	19.2164990270232	19.4287223720305	19.3378008295648	19.4696482370767	19.6173169833018	19.541504923395	19.3549636718	19.1225570619806	19.3072225413415	19.4851942912284	19.2272237821951	19.6825906006916	19.7658539806051	19.4679680548155	19.6748565195814	19.8774885812769	19.3545284666113	19.8183340016426	19.3365601248752	19.4892209987685	19.2532735709928	19.9585462373918	19.7735533455021	19.9189502613416	19.4746671187264	19.2191115229727	19.7779076793947	19.4148565097575	19.8298387674794	19.5636889179446	19.4370642086423
