dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M78.9189T5.83	20.2505577147414	20.3094246159047	20.0791384496104	20.6608028019581	20.450479262062	20.3194636579483	20.4199643965374	20.3208144427702	20.4425891902613	20.8850420045393	20.5685895561759	20.3540246785604	20.2426630365664	20.248135039003	20.4545655970262	20.3718727976562	20.36941676619	20.2491243420702	20.2719683547868	20.5324617013508	20.5431441679691	20.6855221602904	20.6348723652661	20.4899726648146	20.4837421824273	20.2856730150619	20.4125245682462	20.4362275639326	20.4310783574115	20.3385129785667	20.4509756875695	20.3707946627803	20.7139002169309	20.6400437037726	20.4134058325568	20.6555031182915	20.6119473470794	20.7987584201138	20.3015363710883	20.592418465184	20.2116356990326	20.5135981479255
M80.9169T5.83	20.2890763090541	20.3723810307721	20.1356228559518	20.7158822129982	20.5083630372877	20.3591195908648	20.4405357808823	20.39664453587	20.525135250473	20.8905077518834	20.6323420458573	20.4076735713713	20.3065595010694	20.3070274963447	20.5221895181393	20.4142929509498	20.4012932788923	20.3031310271756	20.351895377278	20.5873679181372	20.6166191088723	20.714154413173	20.6323282172648	20.5178840485749	20.4928078193094	20.3351945336867	20.4539359161476	20.4979924251386	20.4381025609099	20.3636410245302	20.491415619867	20.4174446805901	20.7569345692647	20.6878692126619	20.4406529870987	20.7221377708166	20.6438869037397	20.8221383632066	20.384087379382	20.6387357833334	20.2525241858035	20.5482724680634
M96.9697T9.19	27.0315056053946	27.0848281745061	27.0209696074936	27.3688619634357	27.3578786926994	27.2676726986014	27.2279170328711	27.628308800242	27.2065354020091	27.4129315010455	27.3658053815102	27.4101380226567	27.244468302013	27.318214722461	27.330881720392	27.1077272959257	27.4473470978957	27.2785423387306	27.2295799302821	27.3242101194502	27.261825106887	27.2079846327109	27.2020083332275	27.7188493714009	27.3002565746795	27.2576003308305	27.1413320022523	27.3326280645854	27.3566103459804	26.7493939723047	27.1941091825986	27.0866251606185	27.3177069610327	26.9399374599544	26.9333400980601	27.287239527336	27.4006043529896	27.5501924132218	27.0188310242161	27.2156435807829	27.238199752593	27.2223998729074
M176.936T9.19	22.2530291110249	22.1651443201017	22.3068091333751	22.5657300910921	22.5869715784912	22.3847829705033	22.3705204907877	22.9425704237272	22.4551384786918	22.6283368711314	22.6941796327298	22.6669427184096	22.587558769102	22.5564193346323	22.6090573166924	22.2296099257544	22.5514526403718	22.4345922252317	22.5142572283647	22.2899377449174	22.4924332168281	22.4840595830875	22.3027510045193	22.6821198562023	22.5587712106029	22.5238712043816	22.4103847322029	22.522141112777	22.5761869296035	22.02220452521	22.3503079090629	22.3329467006318	22.5548883667297	22.0128833790037	22.0498934101772	22.401135393103	22.7097140555287	22.6046588547484	22.2441830698409	22.346139242982	22.2807747536101	22.2672571513263
M194.9466T9.19	25.3399567631076	25.311220606535	25.3747390834525	25.6635800413122	25.6851980506654	25.5350584873349	25.5103174856669	25.9734247976735	25.5735947763122	25.6374292754614	25.7717912489079	25.7147497139542	25.6415460695206	25.6512267282112	25.6938733808046	25.3801656515148	25.6057727963142	25.5268081852958	25.5753142446293	25.4352560504737	25.6105335300594	25.5636880207286	25.457273471428	25.8011394725158	25.6577237339268	25.6084779919187	25.5178406744374	25.6411926770697	25.6521853805105	25.1036396342266	25.5063419026542	25.4371328688271	25.668733696606	25.1852349110548	25.2261458458369	25.4863761990948	25.7746823048972	25.7114494472715	25.3367759403312	25.4956401033533	25.4478661434942	25.4334637219276
M196.9509T9.19	19.0053158069667	18.9636132642334	19.0868324341272	19.3959800440249	19.4029730963903	19.2296289319336	19.1827738413765	19.7363912446678	19.1883146142804	19.3661333649495	19.4709104988197	19.4224337681622	19.3262692570872	19.4163637377104	19.4441812894318	19.1161785581574	19.2953812371994	19.1921052322825	19.2652790254597	19.1400026238092	19.2634756164513	19.2875693575034	19.1652071863512	19.5045563805439	19.3688221699291	19.2923787517419	19.289330223723	19.2913641300507	19.3529364356497	18.8266474481642	19.2080190574803	19.0858189046647	19.3401842922857	18.86167654837	18.9128270426407	19.2363586261155	19.4975114218485	19.3950648261395	19.0094572533306	19.1928228133372	19.0916251605004	19.1039977844959
M292.9239T9.19	24.543989737299	24.5634284864242	24.5493953336428	24.9058596617338	24.953903350981	24.8244246351874	24.7314419439177	25.2296801957045	24.7685517984575	24.8200937149883	25.0119491727542	24.9291914303415	24.8933022118937	24.921976547968	24.9400273912838	24.6315110963644	24.8858548667553	24.7479282775092	24.8202002003275	24.7083758173033	24.8450972291145	24.8103254395771	24.6971783256912	25.0098297918826	24.8755182178939	24.8330110235629	24.7742962503683	24.8773650909635	24.9283734034115	24.213944364308	24.7237610358434	24.6098308486216	24.879534443698	24.3558812836814	24.4444369471751	24.7108452053183	25.0059538943488	24.9532284082551	24.5232796817912	24.76257030023	24.7012858848499	24.6366190500239
M294.928T9.19	18.7851682140667	18.7005455412176	18.7782426892845	19.173552362222	19.1791093868075	19.0717361939495	18.9010538486695	19.517548023935	18.9706775133287	19.0756710533891	19.2309236704059	19.1589671330234	19.0891571145538	19.156652882942	19.2412633528575	18.7981466403533	19.1118061079409	18.9242738255224	19.0114209718367	18.9080428531035	19.1339779726749	19.0466162946376	18.9431566792063	19.2180393146252	19.0937584628754	19.1063571582823	18.9921868705748	19.0157277136004	19.1277516073695	18.438722379828	18.9695707178478	18.850786270177	19.1154441393616	18.5068228403141	18.6878903065597	18.8563629685968	19.1821025709126	19.1022971180321	18.7861768394492	18.9774011347941	18.9405602045716	18.8561561114181
M390.9009T9.19	22.3837180015888	22.5237265714495	22.3979404056773	22.9008071208507	22.9270013492449	22.9133335625306	22.7874789560789	23.2269554155692	22.7581670861237	22.5984407993737	22.8865204678602	22.7637965129871	22.798884281096	23.0371695494665	22.8737208306297	22.6395195681476	22.9114331345077	22.7115277168908	22.70293062705	22.7195394364239	22.7929391960596	22.7765637537317	22.7088895942851	23.0006537299036	22.8897061464448	22.9207973335161	22.6555409862078	22.9034389285316	23.031255958326	22.0988953432493	22.7884244206668	22.5280832419562	22.8181269104308	22.2339560607458	22.422659208272	22.6496870678472	22.9967937789878	22.9437646325742	22.4411757442196	22.801968603677	22.7034581611877	22.6731505352865
M392.9052T9.19	17.0297477028026	17.0821469618219	16.9985221187038	17.5220673078818	17.4618934592582	17.4484567366232	17.4193216176681	17.8185609582844	17.3502261499793	17.207421431977	17.5052641760313	17.3332322360789	17.4008952756956	17.5864557295107	17.4831025020988	17.3087291976553	17.6127907637831	17.2451655019158	17.2769195226689	17.3298374984405	17.2806837883059	17.4042351718989	17.2524409177383	17.6831789948754	17.4455306025262	17.4992611993994	17.2352981246596	17.486336181329	17.6360120871001	16.5918407935991	17.3163283832141	17.0834814049442	17.4202497408571	16.6966551619811	17.0438560823272	17.2233484459738	17.6382845882519	17.6546598010288	16.9914011588082	17.3281971868847	17.4193504247943	17.2495208942869
