variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M78.9189T5.83	hilic															M79T6	78.9189107091595	349.92696245606		[M-H-C2H4]- 107.951	4	1	@M80.9169T5.83|-34S|-41K|-37Cl
M80.9169T5.83	hilic															M81T6	80.9168539655038	349.909042607193		[M-H]- 81.9236	4	1	@M78.9189T5.83|+34S|+41K|+37Cl
M96.9697T9.19	hilic															M97T9	96.9696740564192	551.138954201514		[M-2H]2- 195.955	6	2	@M78.9591T9.19|+(H2O)
M176.936T9.19	hilic															M177T9	176.936032140632	551.144238051272		[M-H-H20]- 195.955	6	2	@M194.9466T9.19|-(H2O)|@M292.9239T9.19|-(H3PO4)-(H2O)
M194.9466T9.19	hilic															M195T9	194.946610990371	551.352758118147		[M-H]- 195.955	6	2	@M78.9591T9.19|+(H3PO4)+(H2O)|@M176.936T9.19|+(H2O)|@M196.9509T9.19|-18O|-13C2|@M292.9239T9.19|-(H3PO4)
M196.9509T9.19	hilic															M197T9	196.950869695884	551.352758118147		[M+Cl]- 161.987	6	2	@M194.9466T9.19|+18O|+13C2|@M294.928T9.19|-(H3PO4)
M292.9239T9.19	hilic															M293T9	292.923890475268	551.111044054978		[3M-2H]2- 195.955	6	2	@M176.936T9.19|+(H3PO4)+(H2O)|@M194.9466T9.19|+(H3PO4)|@M294.928T9.19|-18O|-13C2|@M390.9009T9.19|-(H3PO4)
M294.928T9.19	hilic															M295T9	294.927976965647	551.113680446436			6	2	@M196.9509T9.19|+(H3PO4)|@M292.9239T9.19|+18O|+13C2
M390.9009T9.19	hilic															M391T9	390.900930859561	551.344519237828		[2M-H]- 195.955	6	2	@M292.9239T9.19|+(H3PO4)|@M392.9052T9.19|-18O|-13C2|@M488.8779T9.19|-(H3PO4)
M392.9052T9.19	hilic															M393T9	392.905154610542	551.352758118147			6	2	@M390.9009T9.19|+18O|+13C2
M488.8779T9.19	hilic															M489T9	488.877941169011	551.431453991881		[M-H-C6H10O5]- 651.938	6	2	@M390.9009T9.19|+(H3PO4)|@M586.8545T9.19|-(H3PO4)
M586.8545T9.19	hilic															M587T9	586.854532374553	551.462759079834		[3M-H]- 195.955	6	2	@M488.8779T9.19|+(H3PO4)|@M684.8316T9.19|-(H3PO4)
M684.8316T9.19	hilic															M685T9	684.831589396188	551.511322732834			6	2	@M586.8545T9.19|+(H3PO4)
M81.9911T16.67	hilic															M82T17	81.9910838742923	1000.38583534534		[M-H-C3H2O3]- 168.997 [M-H-C3H2O3]- 168.997	31	3	@M100.0017T16.67|-(H2O)|@M143.0075T16.67|-(NH3)-(CO2)|@M143.9915T16.67|-(H2O)-(CO2)
M100.0017T16.67	hilic															M100T17	100.001736467965	1000.42415311168		[M-H-COCH2]- 143.015 [M-H-CO2]- 144.999	31	3	@M81.9911T16.67|+(H2O)|@M143.0075T16.67|-(NHCO)|@M143.9915T16.67|-(CO2)
M139.9944T16.67	hilic															M140T17.1	139.994377742671	1000.37437785674		[M-H-CO]- 168.997 [M-H-CO]- 168.997	31	3	@M122.9677T16.67|+(NH3)|+NH3|@M143.0075T16.67|-13C3|@M143.9915T16.67|-44Ca|@M183T16.67|-(NHCO)|@M183.984T16.67|-(CO2)
M143.0075T16.67	hilic															M143T17	143.007530502031	1000.40728372684			31	3	@M81.9911T16.67|+(NH3)+(CO2)|@M100.0017T16.67|+(NHCO)|@M139.9944T16.67|+13C3|@M230.9363T16.68|-4Na
M143.9915T16.67	hilic															M144T17.1	143.991527712631	1000.48829125675		[M-H]- 144.999	31	3	@M81.9911T16.67|+(H2O)+(CO2)|@M100.0017T16.67|+(CO2)|@M139.9944T16.67|+44Ca|@M165.9734T16.67|-Na
M165.9734T16.67	hilic															M166T17	165.973439037269	1000.32917547339		[M-2H+Na]- 144.999	31	3	@M122.9677T16.67|+(NHCO)|@M143.9915T16.67|+Na|@M183T16.67|-(NH3)|-NH3|@M183.984T16.67|-(H2O)|@M226.006T16.67|-(NH3)-(CONH)|@M226.9901T16.67|-(NH3)-(CO2)|@M227.9741T16.67|-(H2O)-(CO2)|@M229.9354T16.67|-(SO2)
M166.9575T16.68	hilic															M167T17.1	166.957480354046	1000.60601073459	[160][M]-	[M+Cl]- 131.989 [M+Cl]- 131.989	31	3	@M122.9677T16.67|+(CO2)|@M167.9608T16.68|-13C|@M168.9617T16.68|-18O|-13C2|@M188.9395T16.68|-Na|@M227.9741T16.67|-(NH3)-(CO2)
