variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	hmdb_id	id_comment	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M96.9695T1.2	c18acquity			4					M97T1.1	96.9695093	71.83242882			8	1	@M78.959T1.2|+(H2O)
M96.9695T1	c18acquity			4					M97T1.3	96.96953468	58.7005953		[M-H-C2H4]- 126.004	105	2	@M78.959T0.9|+(H2O)|@M154.9282T0.9|-(NaCl)
M156.9252T0.9	c18acquity			4					M157T1.2	156.9252096	55.24516644			105	2	@M154.9282T0.9|+34S|+41K|+37Cl
M334.9916T0.9	c18acquity			4					M335T1.2	334.9915688	54.433902			105	2	@M154.9282T0.9|+(C6H10O5)+(H2O)
M80.9651T8.6	c18acquity			4					M81T9	80.96512294	518.60586648		[M-H-CO2]- 125.961	60	3	@M79.9573T8.6|+13C|@M132.0455T8.7|-3(NH3)|@M213.0054T8.7|-(C5H8O4)|@M213.9985T8.7|-(C3H6O3)-(CHNO)
M124.9549T8.7	c18acquity			4					M125T9	124.9549383	519.16300788		[M-H]- 125.961	60	3	@M210.9945T8.6|-(C4H6O2)|@M213.9985T8.7|-(C3H7O2N)
M210.9945T8.6	c18acquity			4					M211T9	210.9945218	518.63062128			60	3	@M124.9549T8.7|+(C4H6O2)|@M212.0023T8.7|-13C|@M213.0054T8.7|-13C2|-(H2)|@M213.9985T8.7|-13C-37Cl|-13C-18O|-13C-34S
M212.0023T8.7	c18acquity			4					M212T9	212.0022932	519.57539562	[89][M]-		1078	3	@M79.9573T8.6|+(C5H8O4)|@M132.0455T8.7|+(SO3)|@M210.9945T8.6|+13C|@M213.0054T8.7|-13C|@M213.9985T8.7|-34S|-41K|-37Cl
M425.0117T8.6	c18acquity			4					M425T9	425.0117247	518.95249734		[M-H]- 426.019	60	3	@M213.0054T8.7|+(C5H9O7P)|@M446.9938T8.7|-Na|@M462.9675T8.6|-K
M446.9938T8.7	c18acquity			4					M447T9	446.9937929	519.16461972		[M-2H+Na]- 426.019	60	3	@M425.0117T8.6|+Na
