variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	hmdb_id	id_comment	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M61.5087T0.72_1	c18acquity			4					M62T1	61.50865577	43.18533612	[5][M+1]2+		14	1	@M61.0072T0.72_5|+13Cdb|@M79.5191T0.72_1|-(H2O)
M63.0036T0.72_3	c18acquity			4					M63T1.2	63.00361674	43.17377712	[5][M+4]2+		14	1	@M61.0072T0.72_5|+34S|+41K|+37Cl
M79.0177T0.72_2	c18acquity			4					M79T1.2	79.01772679	43.17909114	[31][M]2+		14	1	@M61.0072T0.72_5|+(H2O)|@M79.5191T0.72_1|-13Cdb|@M81.0142T0.72_3|-34S|-41K|-37Cl|@M97.0286T0.72_3|-(H2O)
M81.5205T0.72_1	c18acquity			4					M82T1	81.520467	43.15919016		[M+H-C2H4]+ 108.548	14	1	@M79.5191T0.72_1|+18O|+41K|+37Cl|@M81.0142T0.72_3|+13Cdb|@M83.517T0.72_1|-34S|-41K|-37Cl|@M99.5315T0.72_1|-(H2O)
M83.517T0.72_1	c18acquity			4					M84T1	83.5169548	43.15919016	[37][M+3]2+		14	1	@M79.5191T0.72_1|+44Ca|@M81.5205T0.72_1|+34S|+41K|+37Cl|@M101.5281T0.72_1|-(H2O)
M99.5315T0.72_1	c18acquity			4					M100T1.2	99.53151909	43.17909114	[94][M]2+		14	1	@M81.5205T0.72_1|+(H2O)|@M101.5281T0.72_1|-34S|-41K|-37Cl
M101.5281T0.72_1	c18acquity			4					M102T1	101.5280946	43.18806918	[94][M+4]2+		14	1	@M83.517T0.72_1|+(H2O)|@M99.5315T0.72_1|+34S|+41K|+37Cl
M69.0334T0.91	c18acquity			4					M69T1.8	69.03335699	54.67853694	[15][M]+		13	2	@M97.0284T0.91|-(CO)
M81.0334T0.91	c18acquity			4					M81T1.7	81.03336164	54.4196652	[35][M]+	[M+H-C4H8]+ 136.092	13	2	@M85.0283T0.91|-44Ca|@M109.0286T0.91|-(CO)|@M127.039T0.91|-(HCOOH)|-(H2O-CO)
M109.0286T0.91	c18acquity			4					M109T1.5	109.0285532	54.45230928			13	2	@M81.0334T0.91|+(CO)|@M127.039T0.91|-(H2O)|@M145.0495T0.91|-2(H2O)|@M163.0601T0.91_1|-3(H2O)|@M325.1131T0.91|-(C6H16O8)
M127.039T0.91	c18acquity			4					M127T1.5	127.0389969	54.35273754	[169][M]+	[M+H-H20]+ 144.042	13	2	@M81.0334T0.91|+(HCOOH)|+(H2O-CO)|@M85.0283T0.91|+(C2H2O)|@M97.0284T0.91|+(CH2O)|@M109.0286T0.91|+(H2O)|@M145.0495T0.91|-(H2O)|@M163.0601T0.91_1|-2(H2O)|@M325.1131T0.91|-(C6H14O7)
M145.0495T0.91	c18acquity			4					M145T1.4	145.0495219	54.307053	[202][M]+	[M+H]+ 144.042	13	2	@M85.0283T0.91|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M97.0284T0.91|+(CH2O)+(H2O)|@M109.0286T0.91|+2(H2O)|@M127.039T0.91|+(H2O)|@M163.0601T0.91_1|-(H2O)|@M325.1131T0.91|-(C6H10O5)-(H2O)
M163.0601T0.91_1	c18acquity			4					M163T1.3	163.0600586	54.32235132	[244][M]+	[M+H-H20]+ 180.064	13	2	@M85.0283T0.91|+(C2H6O3)|@M109.0286T0.91|+3(H2O)|@M127.039T0.91|+2(H2O)|@M145.0495T0.91|+(H2O)|@M325.1131T0.91|-(C6H10O5)
M203T1.7_Hexoses	c18acquity	Hexoses		3	a,d				M203T1.7	203.0526102	53.46936792	[344][M]+	[M+K]+ 164.087	7	2	@M85.0283T0.91|+(C4H6O4)|@M97.0284T0.91|+(C3H6O4)|@M204.0561T0.89_1|-13C|@M383.116T0.9_1|-(C6H10O5)-(H2O)
M289.092T0.91	c18acquity			4					M289T1.6	289.0919928	54.35273754	[651][M]+	[2M+H]+ 144.042	13	2	@M325.1131T0.91|-2(H2O)
M325.1131T0.91	c18acquity			4					M325T1.3	325.113104	54.34125006	[808][M]+		13	2	@M109.0286T0.91|+(C6H16O8)|@M127.039T0.91|+(C6H14O7)|@M145.0495T0.91|+(C6H10O5)+(H2O)|@M163.0601T0.91_1|+(C6H10O5)|@M289.092T0.91|+2(H2O)|@M326.1166T0.9|-13C
M326.1166T0.9	c18acquity			4					M326T1.2	326.116582	54.2971659	[808][M+1]+		13	2	@M325.1131T0.91|+13C
M384.1198T0.91	c18acquity			4					M384T1.2	384.1197558	54.40161192	[1030][M+1]+		13	2	@M204.0561T0.89_1|+(C6H10O5)+(H2O)|@M383.116T0.9_1|+13C
M70.0124T0.72_3	c18acquity			4					M70T1.3	70.01242779	43.17909114	[17][M]2+	[M+H+K]2+ 100.049	14	3	@M70.5138T0.72_1|-13Cdb|@M72.0089T0.72_4|-34S|-41K|-37Cl|@M88.0232T0.72_4|-(H2O)
M70.5138T0.72_1	c18acquity			4					M71T1	70.51379063	43.18533612	[17][M+1]2+		14	3	@M70.0124T0.72_3|+13Cdb|@M88.5243T0.72_1|-(H2O)
M72.0089T0.72_4	c18acquity			4					M72T1.4	72.00889328	43.17649962	[17][M+4]2+		14	3	@M70.0124T0.72_3|+34S|+41K|+37Cl|@M143.9968T0.72_1|-(CO2)-(CO)
M84.9596T0.72_2	c18acquity			4					M85T1.2	84.95955861	43.1751384	[47][M]+	[M+K]+ 45.9958 [M+K]+ 45.9958	14	3	@M85.963T0.72_3|-13C|@M88.9525T0.72_2|-44Ca|@M102.9706T0.72_3|-(H2O)|@M125.9862T0.72_1|-(CH3CN)|-(C2H3N)|@M126.9895T0.72_1|-(C2H4N.)
