dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M86.0606T1.37	17.1932575925849	17.2069160304046	16.7277504071555	16.7000822857103	17.2771631722518	17.4850129728652	16.681722196164	17.1968621728853	17.0247538111997	17.0052446916621	17.3158171020827	16.8229478796294	17.5918340894514	16.9702653518939	17.1757197810948	17.3896645848774	17.4196731404117	16.399562655571	17.1543679383522	16.5137508034702	17.6487121669702	17.7547264845138	16.568924717913	16.6207225374402	17.1039232985721	16.9798967635783	17.0494657799433	17.2267496351691	16.8604385135855	16.6927464337988	17.3170585109956	16.7674855454799	17.1749651459334	17.6596456288788	17.4346928832263	17.3785314024117	19.1763991411799	17.2916162392153	17.3446503538184	17.6099456231845	16.945467314719	17.3132889139368
M87.1001T1.24	20.4242665941612	21.0616774608544	20.855055795328	20.4564713622588	20.6092219098258	20.7159920758523	20.1597385587452	20.439870473542	20.8534721583532	20.7264632610823	20.0093994439624	19.7304447677616	20.5130599585193	20.5850837897098	20.7629722899728	21.0138367745707	20.8904695485915	20.3952658142614	20.9277507442871	20.6424685524586	20.3563222001088	20.4978130751587	20.2699089552794	20.1638521883147	20.4547726286475	20.4996758766617	20.7217423855774	20.7941528766013	20.7688180885586	20.2651547149893	20.9503203905558	20.7081312929155	20.675867190171	20.6207744471312	20.6499842283232	20.5576564855826	20.7799552757462	20.3949507080801	20.5193605572394	20.8563690816792	20.1730835913376	19.9060222779378
M132T1.15_L.Isoleucine.Isoleucine..	28.4512728534334	28.9925592053703	28.8684553992996	28.480863584806	28.630653136917	28.6729515779882	28.1967533788309	28.4832410706141	28.7996253719872	28.6994339954	28.0952689174491	27.762888455222	28.5186342486938	28.5845547577556	28.7533322806521	28.9874826633017	28.856469864951	28.3704671729355	28.9108784706225	28.5918553956896	28.4324369924357	28.5296075412978	28.2860853793422	28.1815150549377	28.4932619300737	28.4767003480087	28.7807259628445	28.7632175171908	28.7123674979527	28.3283690475554	28.882296382975	28.6700302966302	28.7700864075216	28.6296689131245	28.6353819880526	28.4910405480663	28.71317644106	28.3533312556996	28.4910513076698	28.7881123339973	28.1557856982091	27.9617952253936
M86.0971T5.59	13.9376528558579	14.4192081179119	14.2404835504779	13.2900163537089	13.6302342411587	14.0458936062377	12.6878561687717	13.2345486565643	13.9018431956796	13.590827525514	13.4000792976747	12.7823802367918	14.1837794284035	13.5975673248855	13.6689488034766	13.9598356574522	14.1206446426884	12.3391060987374	13.775985861564	13.3930727981511	14.0920131655803	14.2917630716156	13.4317494102494	12.6932674139751	13.0977669317312	13.1273184532614	14.1733158986633	13.585479188935	14.202003422155	13.1671394983635	14.2576429286001	13.8470701551717	13.6020408562942	13.9620843245154	14.2892705848317	13.2285418975519	14.6411207095838	13.2092579396807	13.0031617363129	14.2202958329507	12.9575649345703	12.796349659795
M156.1028T5.6	15.700487320572	16.9861746065899	16.68767283752	15.8605003476991	16.0178082442875	16.6737774150948	15.254818779382	15.6464636179815	16.5114442761649	16.049714696045	15.1389230498064	13.8797469267901	16.3819404063162	15.8035474266841	15.829185574547	16.8586657971133	16.7214069676039	14.7461986339954	16.1734639180793	15.4649596285429	16.6301106048178	16.8931814678532	15.8553659895032	14.7372650925677	15.2603969909155	15.6874656994917	16.6592883472216	16.2488771261069	16.4645888182246	15.4693150876769	17.0173842949062	16.3863784039022	16.1142232528291	16.5474725593008	16.9706062720019	14.8416161319815	17.2719292872573	15.4922193824458	15.3485813064999	17.1398355276246	15.3656730166966	14.4676211814031
M87T1.3_.Butyrolactone	20.3695953335817	20.4242669418905	19.3421004492151	19.7367554773541	20.1401473248145	20.7230092437459	19.8016832485244	19.4924668748518	20.7718779493797	19.3581372033575	19.8503966925978	20.9287176024383	20.3565060302904	19.8258200250564	20.5737502693091	20.4877818541266	20.0864156527454	20.3446900486241	20.0600473606392	20.5416800335651	20.4560771169287	20.3859397911376	20.0578813911	19.1186060420166	19.7120477912484	20.0727680844017	20.2154483740476	20.5456949655202	20.2863078887851	20.8268400089557	20.873292313171	20.1528370123586	19.972543618935	19.9816855593367	20.7031501567182	20.7021074531841	20.8324476839035	20.04672098645	19.7354993856383	20.64205724024	19.4144716295044	21.0141830749275
M94.0457T0.65	23.5624697275422	24.0596695555464	24.0632085550481	23.9287352813623	23.5847253867755	23.5169183011131	23.4718885343126	23.157888262645	23.9076067425522	23.2827155037492	24.0750105956498	23.0107032155982	23.4960828950623	23.0889247937653	23.5921013904855	23.8619171983803	23.6289127719783	23.9577270530795	23.4613818884143	23.7704378347143	24.0651506772138	23.8643265628406	23.9399404411656	22.7850449445129	23.7688332231883	24.0432301720306	23.3829284177112	23.7234986451237	24.0500019322438	23.6928355627713	23.7478059056541	24.1340600532405	23.7298086827672	23.941510347963	23.8803828426922	24.0755025949203	23.4422308670991	23.6129878125864	23.815934645762	23.6449585593767	23.9276913153132	23.8130579667004
M95.546T0.65	16.8737193131251	17.4097852518958	17.5133567441141	17.1655781340398	16.8201776097728	16.8116704617526	16.8063347579446	16.5115987306501	17.2954109715092	16.5560696960478	17.4361034934535	16.0774760587243	16.7788809236716	16.3526696714558	17.0226747788674	17.2110523716698	16.862110008873	17.3033884061936	16.8137544989126	17.0895805799096	17.4774196310361	17.244043209851	17.2103037934004	16.0485998997251	17.0266861606418	17.4118036649811	16.7739803075813	17.1507943058483	17.408409797204	17.0627622109474	17.1437464367225	17.5785875773769	17.0638022498224	17.3139206043507	17.1836186160126	17.3767101842302	16.6062498911204	16.8661050872577	17.2433023304173	17.0498253716152	17.2323959140709	17.0485683441
M110.0093T0.66	19.0246452808291	19.630038970935	19.7657988317181	19.6284532959692	19.0678875275972	19.1168085641838	18.9348137775219	18.6034443211076	19.5523369546631	18.6408610377203	19.6575680461745	18.2817613846077	19.0770592278441	18.3853079318161	19.3429529922027	19.39992378399	19.2188320650922	18.8619615866094	18.8985611973937	19.3242493908336	19.8043891197688	19.4042943389505	19.6903721003065	18.1683140387874	19.2554001106917	19.6525721415139	18.835286334008	19.2162732854593	19.6411686902026	19.4332443682669	19.2694259015962	19.9740769611013	19.3273661992986	19.6034726266956	19.5735103083251	19.5859994088154	19.1105282583746	19.0638777651145	19.4724629715382	19.1481213020806	19.5718648520868	19.4699868518138
M111.0101T0.66	15.5106576202172	16.0472837463561	16.3348995828833	16.0485950665586	15.5343423244847	15.5447350006042	15.4165032241732	15.1051720263217	16.0720042835066	15.1269098906462	16.1747049035807	14.7571109565441	15.5232616026494	14.9724153197474	15.8251193475002	15.7462808002043	15.6755761916698	15.3423333961091	15.3812382761748	15.7336117821165	16.3874072108776	15.8826765043283	16.1117669295946	14.5669283267561	15.6853162442799	16.0144605094674	15.418415446142	15.7423579344668	16.0249973928245	15.9471474099723	15.8350005747379	16.4626058230786	15.7649896373295	16.0850847587831	15.9905652052026	16.0859991758648	15.6083073957436	15.6707216976822	15.9788732007661	15.5154446234617	15.9836272039756	15.9209300785877
