variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M86.0606T1.37	c18hypersil															M86T1.1	86.06064719	82.1521246	[1][M]+		2789	1	@M87.064T1.38|-13C
M87.1001T1.24	c18hypersil															M87T1.5	87.10009981	74.52062159	[2][M+1]+		1	2	@M86.0968T1.24|+13C|@M133.1055T1.25|-(HCOOH)|-(H2O-CO)
M132T1.15_L.Isoleucine.Isoleucine..	c18hypersil	L-Isoleucine;Isoleucine|β-Leucine;DL-β-Leucine;3-Amino-4-methylpentanoic acid|L-Leucine;Leucine|L-Norleucine;Norleucine|6-Aminocaproic acid;6-Aminohexanoic acid	CHEBI:17191|CHEBI:15604|CHEBI:15603|CHEBI:18347|CHEBI:16586	2	a,b	C00407|C02486|C00123|C01933|C02378	Amino acid metabolism|Miscellaneous	Valine, Leucine and Isoleucine biosynthesis|Valine, Leucine and Isoleucine degradation|Miscellaneous	Isoleucine|Leucine|Others|Miscellaneous	HMDB00172|HMDB03640|HMDB00687|HMDB01645|HMDB01901	CID6306|CID193411|CID6106|CID21236|CID564	C6H13NO2	131.0946	AGPKZVBTJJNPAG-WHFBIAKZSA-N|GLUJNGJDHCTUJY-UHFFFAOYSA-N|ROHFNLRQFUQHCH-YFKPBYRVSA-N|LRQKBLKVPFOOQJ-YFKPBYRVSA-N|SLXKOJJOQWFEFD-UHFFFAOYSA-N	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1|InChI=1S/C6H13NO2/c1-4(2)5(7)3-6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)|InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c1-2-3-4-5(7)6(8)9/h5H,2-4,7H2,1H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)	M132T1.15	132.1022813	74.92564045	[68][M]+	[M+H+HCOOH]+ 85.0878	1	2	@M86.0968T1.24|+(HCOOH)|+(H2O-CO)|@M133.1055T1.25|-13C|@M134.1063T1.25|-18O|-13C2
M86.0971T5.59	c18hypersil															M86T6	86.09707798	335.6584703			88	3	@M128.1078T5.59|-(C2H2O)
M156.1028T5.6	c18hypersil															M156T6.1	156.1027945	335.7473976	[103][M]+		88	3	@M128.1078T5.59|+(CO)|@M157.1062T5.59|-13C
M87T1.3_.Butyrolactone	c18hypersil	γ-Butyrolactone	CHEBI:42639	2	a,b	C01770				HMDB00549	CID7302	C4H6O2	86.03678	YEJRWHAVMIAJKC-UHFFFAOYSA-N	InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2	M87T1.3	87.0444057	76.17702958	[4][M]+		1	4	@M105T1.5_.S..3.Hydroxybutyric.acid|-(H2O)
M94.0457T0.65	c18hypersil															M94T1.1	94.04565314	39.06929679	[20][M]2+		14	5	@M94.5463T0.65|-13Cdb|@M95.0444T0.65|-13C|-15N
M95.546T0.65	c18hypersil															M96T1.1	95.54599933	39.06080477	[20][M+3]2+		14	5	@M95.0444T0.65|+13Cdb
M110.0093T0.66	c18hypersil															M110T1.1	110.0093053	39.43963172	[33][M]+		14	5	@M111.0101T0.66|-13C|-15N|@M112.0068T0.66|-34S|-41K|-37Cl|@M128.0199T0.66|-(H2O)|@M151.0359T0.66|-(CH3CN)|-(C2H3N)|@M177.9968T0.71|-(HCOONa)
M111.0101T0.66	c18hypersil															M111T1.2	111.0100509	39.43087849	[33][M+1]+		14	5	@M110.0093T0.66|+13C|+15N|@M112.0068T0.66|-15N|@M129.0206T0.66|-(H2O)|@M152.0367T0.66|-(CH3CN)|-(C2H3N)|@M153.0334T0.66|-(CH2N2)
