dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M78.919T6.03	23.5704139201777	23.467873962367	23.5143663055298	23.4889833283922	23.6526887623188	23.4640922683424	23.4739577243346	23.4371334189656	23.2439329629485	23.602984974923	22.9776147407103	23.2507966042454	23.6476347946497	23.5537865092859	23.6038492160611	23.3717281885087	23.5041475873363	23.6087623886372	23.3780099560443	23.3650425859986	23.5085335419617	23.2922954377292	23.3948356720332	23.5302316960141	23.4602801656585	23.3635183291187	23.3522159584225	23.1926711288273	23.2267857206031	23.7203393392425	23.3062837713579	23.4500139032758	23.5082477362157	23.462514615797	23.4425772816839	23.59568468649	23.6015490596597	23.5560679810601	23.775139912467	23.6920027205707	23.5343368447931	23.6058138952601
M80.9169T6.02	23.5884135555407	23.4836132430119	23.5424789147809	23.5127404929213	23.6778251071115	23.4858421256273	23.4833214846653	23.4493529248671	23.2659878788786	23.6235093914085	23.0087571989994	23.2697722962578	23.6539416576992	23.5766701822605	23.6097642773036	23.409639553593	23.5085204926319	23.6284343559996	23.3894197583806	23.3868612922777	23.5282855218098	23.3001147256694	23.4148510882839	23.5388437028485	23.4810012946659	23.3781525829006	23.366332694588	23.215840792284	23.2591898561718	23.731302253771	23.334182451931	23.4653377914258	23.5326228184533	23.4723253264671	23.4553866202223	23.6187031807383	23.6168334015624	23.5635669264718	23.797253074821	23.6930486719856	23.5619364359741	23.6162264362659
M140.9195T6.04	23.3417478517824	23.1982444764246	23.3700273217576	23.4003914622505	23.2866442130759	23.2913595749326	23.3808466188592	23.2623092651929	23.137700363166	23.3693457607609	22.9847061038198	23.1677646979699	23.4534551674295	23.3686027388996	23.454641498767	23.2046286595012	23.2973740104192	23.4110650202637	23.2230506280215	23.1598107242227	23.4389812662171	23.1629986593232	23.3228576459266	23.4349402697026	23.3634617295863	23.3355675446837	23.1780178577257	23.2007926831001	23.1222154721993	23.535995824018	23.1864137061965	23.3141661964172	23.3779184307147	23.271169761352	23.2885700422919	23.380892310961	23.3394852076001	23.4079959082751	23.5350493489464	23.5494305517721	23.2992933600617	23.375537629467
M141.9227T6.04	16.4955018502725	16.3619201985859	16.4506865097818	16.5017319192787	16.5016509637303	16.4431253916984	16.539037824104	16.4254661765149	16.2745267203981	16.5178763786131	16.1490324410475	16.4373185676058	16.5659215366095	16.4935181729838	16.5763920974943	16.3268611794761	16.5280942787103	16.5907945229206	16.3438943258892	16.33196843045	16.5951647742604	16.3738470326719	16.4198647491189	16.5379394981286	16.5691640120633	16.3973876058792	16.3422444997105	16.3047191515664	16.3026456017818	16.6484891024387	16.2683528761138	16.4681508322615	16.5244865559685	16.4384899981727	16.4084438848083	16.5376282201004	16.4317773375484	16.5885753894994	16.6798578438953	16.7046850233911	16.4775919464497	16.5073443950732
M143.9207T6.04	16.5714650655336	16.3553101692383	16.5307668873315	16.5304123497667	16.4982300707442	16.3940726165212	16.5731830011584	16.4956925261441	16.3333322585064	16.473617149319	16.2051350967827	16.4203116767841	16.6476741345087	16.5573088781191	16.6062396920821	16.3940436719789	16.5104517937013	16.6876838547161	16.3716770139743	16.3891841190144	16.653097596314	16.3826938857241	16.5286367821263	16.5986258334281	16.5352652210907	16.4952586928078	16.3578447204488	16.4303375124298	16.2959862401232	16.6901086977593	16.316267962588	16.4978437351146	16.519798950588	16.4455494481715	16.4443300282503	16.5055915921289	16.500983090659	16.5928768029829	16.6827842455799	16.7533248116075	16.4494430804586	16.430801708277
M144.9217T6.04	15.6649674846137	15.4649592901279	15.6991788505654	15.6786690790439	15.7384649239319	15.5897942397889	15.6619752339916	15.6466522605362	15.4408964912674	15.6552824126224	15.3987121036814	15.6444459614096	15.786342068429	15.6456514794156	15.7006590605609	15.5286635791256	15.6577199271269	15.7579881445014	15.5726856464389	15.5601529895425	15.773585917593	15.5676564836257	15.6505350777175	15.8042436616882	15.6832294610935	15.6879519208231	15.4972126956991	15.5176753200165	15.4858983250172	15.8517643118051	15.4879185325873	15.6781559363709	15.6581736550097	15.6230080036327	15.584938781618	15.6407764618503	15.6485127837827	15.7323019179088	15.8192035110455	15.8231481638081	15.6438589877158	15.6264839291111
M79.9575T2.66	17.1977952362054	16.2534343110155	16.8306805936023	17.0381793774789	17.2610426767374	17.0523064856326	16.3978660617501	17.5822011624242	17.1999836990011	17.9602490946993	16.1740257899896	15.2701899505485	17.0710763460292	17.2785889364924	16.6144147883492	17.1701242161798	17.2332549862258	16.9783307382748	17.5227779696	16.9694653096225	15.3540866653942	16.0496757093687	16.3335934320184	15.7265538108894	16.232355309361	16.3183228725176	17.7102828919244	17.2613052764592	16.6713835787561	18.1407172934033	17.6973908607386	17.0253605984087	16.5480844581631	16.6943164306751	16.8548984103532	16.9439905291619	17.0485590915035	17.3443103359419	17.0514651595731	17.7415883624814	16.6151689297945	16.7783444101039
M210.9949T2.69	20.3423532487404	19.3219815679101	19.9413502819404	20.3489973366806	20.2595086938144	20.2523352069333	19.4723303618352	20.7647657101452	20.2661638788276	21.0433473795706	19.3678695203878	18.2113162357452	20.1440852159143	20.426688184086	19.7617312104241	20.3991487907394	20.3473056519677	20.1492882262721	20.80140830052	20.2167398506028	18.0246104920505	19.1443202103625	19.4784305349857	18.7648791382009	19.3395019237453	19.5125400667805	20.8726658720327	20.4645317424684	19.8350768430362	21.020585078198	20.9121238098403	20.0476993941934	19.6801016513862	19.6176909107626	20.0228283050363	20.0781475907563	20.2176191671518	20.4811022132524	20.2113318261957	20.8583328420347	19.5208496691844	19.9183944587124
M80.9653T10.58	16.0230942128207	15.9264220229591	16.0183437875202	7.78400033892742	12.7476621028779	12.6285634177297	15.7357508347512	14.2748916489915	16.118608382734	16.6478580318932	14.7433656429539	15.0420138233	16.1860160157438	13.6258481312187	15.1841185781208	9.07515286571087	8.71872043413948	14.6953817124332	14.9465285452245	10.4004879265257	15.6992657426082	14.6777496015912	0	15.7700709111516	14.6486264334551	0	16.3842479657931	8.62957348878421	15.5594671413637	16.0439428487985	15.156673210244	15.7577281092822	16.4572218679435	12.9648578239259	14.9770605327773	14.0114792126878	15.8805661416661	13.1861281180669	15.1481535464994	14.2473433576162	17.1679217719283	17.8814663799491
M158.9872T10.59	18.9879001600834	19.0294001836432	18.4569289927256	0	16.566197663376	0	18.9767250575933	0	19.0924483816216	18.8372021593262	6.86914178857361	0	18.4727677074672	0	17.6009309392958	0	14.0670247048814	15.9607691927558	8.65885644005961	15.0230142122185	18.1972691121173	17.64553689809	0	18.6152401897261	0	13.9768855437224	19.0719092644311	0	18.1826478218177	18.3468525237612	17.0641529070201	18.2285390951018	18.5449597315613	15.851874756515	17.5323782195886	0	18.4201042418896	7.98019790677842	0	13.5139712286955	20.5632980602056	21.2962839122826
