variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M78.919T6.03	hilic															M79T6	78.9189939471061	361.709771772755		[M-H]- 79.9252	6	1	@M80.9169T6.02|-34S|-41K|-37Cl
M80.9169T6.02	hilic															M81T6	80.9169234635685	361.358921834662		[M-H]- 81.9231	6	1	@M78.919T6.03|+34S|+41K|+37Cl|@M142.9174T6.05|-(H2O)-(CO2)
M140.9195T6.04	hilic															M141T6.1	140.919507466115	362.535162945908		[M-H]- 141.93	6	1	@M141.9227T6.04|-13C|@M142.9174T6.05|-34S|-41K|-37Cl|@M143.9207T6.04|-13C-37Cl|-13C-34S
M141.9227T6.04	hilic															M142T6	141.922712492544	362.420073223598			6	1	@M140.9195T6.04|+13C|@M142.9174T6.05|-15N|@M143.9207T6.04|-34S|-41K|-37Cl|@M144.9217T6.04|-13C-37Cl|-13C-34S
M143.9207T6.04	hilic															M144T6	143.920699372506	362.547246634926		[M+2Cl]2- 217.911	6	1	@M140.9195T6.04|+13C+37Cl|+13C+34S|@M141.9227T6.04|+34S|+41K|+37Cl|@M142.9174T6.05|+13C|@M144.9217T6.04|-13C|-15N
M144.9217T6.04	hilic															M145T6	144.921681754469	362.106473896282		[M+2Cl]2- 219.909	6	1	@M141.9227T6.04|+13C+37Cl|+13C+34S|@M142.9174T6.05|+18O|+13C2|@M143.9207T6.04|+13C|+15N
M79.9575T2.66	hilic															M80T3	79.9574807487214	159.608692219194			1493	2	@M212.9907T2.75|-(C3H6O3)-(CHNO)
M210.9949T2.69	hilic															M211T3.1	210.994926318264	161.397324322741			1493	2	@M212.9907T2.75|-34S|-41K|-37Cl
M80.9653T10.58	hilic															M81T11	80.9652901742976	634.938111142905			1278	3	@M159.9906T10.59|-(NH3)-(CO2)-(H2O)
M158.9872T10.59	hilic															M159T11	158.98723030323	635.275490736612	[131][M]-		1286	3	@M95.0252T10.59|+(SO2)|@M159.9906T10.59|-13C
