variableMetadata	accession	description	uniprot_id
Q8C196_Carbamoyl-phosphate synt.	sp|Q8C196|CPSM_MOUSE	Carbamoyl-phosphate synthase [ammonia], mitochondrial  OS=Mus musculus (Mouse) GN=Cps1 PE=1 SV=2	Q8C196
P19096_Fatty acid synthase	sp|P19096|FAS_MOUSE	Fatty acid synthase  OS=Mus musculus (Mouse) GN=Fasn PE=1 SV=2	P19096
Q8R0Y6_Cytosolic 10-formyltetra.	sp|Q8R0Y6|AL1L1_MOUSE	Cytosolic 10-formyltetrahydrofolate dehydrogenase  OS=Mus musculus (Mouse) GN=Aldh1l1 PE=1 SV=1	Q8R0Y6
P63038_60 kDa heat shock protei.	sp|P63038|CH60_MOUSE	60 kDa heat shock protein, mitochondrial  OS=Mus musculus (Mouse) GN=Hspd1 PE=1 SV=1	P63038
P56480_ATP synthase subunit bet.	sp|P56480|ATPB_MOUSE	ATP synthase subunit beta, mitochondrial  OS=Mus musculus (Mouse) GN=Atp5f1b PE=1 SV=2	P56480
P07724_Serum albumin	sp|P07724|ALBU_MOUSE	Serum albumin  OS=Mus musculus (Mouse) GN=Alb PE=1 SV=3	P07724
Q05920_Pyruvate carboxylase, mi.	sp|Q05920|PYC_MOUSE	Pyruvate carboxylase, mitochondrial  OS=Mus musculus (Mouse) GN=Pc PE=1 SV=1	Q05920
Q9R0H0_Peroxisomal acyl-coenzym.	sp|Q9R0H0|ACOX1_MOUSE	Peroxisomal acyl-coenzyme A oxidase 1  OS=Mus musculus (Mouse) GN=Acox1 PE=1 SV=5	Q9R0H0
Q9DBT9_Dimethylglycine dehydrog.	sp|Q9DBT9|M2GD_MOUSE	Dimethylglycine dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Dmgdh PE=1 SV=1	Q9DBT9
Q91V92_ATP-citrate synthase	sp|Q91V92|ACLY_MOUSE	ATP-citrate synthase  OS=Mus musculus (Mouse) GN=Acly PE=1 SV=1	Q91V92
P58252_Elongation factor 2	sp|P58252|EF2_MOUSE	Elongation factor 2  OS=Mus musculus (Mouse) GN=Eef2 PE=1 SV=2	P58252
Q8BWT1_3-ketoacyl-CoA thiolase,.	sp|Q8BWT1|THIM_MOUSE	3-ketoacyl-CoA thiolase, mitochondrial  OS=Mus musculus (Mouse) GN=Acaa2 PE=1 SV=3	Q8BWT1
P11679_Keratin, type II cytoske.	sp|P11679|K2C8_MOUSE	Keratin, type II cytoskeletal 8  OS=Mus musculus (Mouse) GN=Krt8 PE=1 SV=4	P11679
P50247_Adenosylhomocysteinase	sp|P50247|SAHH_MOUSE	Adenosylhomocysteinase  OS=Mus musculus (Mouse) GN=Ahcy PE=1 SV=3	P50247
Q8VC30_Triokinase/FMN cyclase	sp|Q8VC30|TKFC_MOUSE	Triokinase/FMN cyclase  OS=Mus musculus (Mouse) GN=Tkfc PE=1 SV=1	Q8VC30
Q9ET01_Glycogen phosphorylase, .	sp|Q9ET01|PYGL_MOUSE	Glycogen phosphorylase, liver form  OS=Mus musculus (Mouse) GN=Pygl PE=1 SV=4	Q9ET01
P17563_Methanethiol oxidase	sp|P17563|SBP1_MOUSE	Methanethiol oxidase  OS=Mus musculus (Mouse) GN=Selenbp1 PE=1 SV=2	P17563
Q63836_Selenium-binding protein.	sp|Q63836|SBP2_MOUSE	Selenium-binding protein 2  OS=Mus musculus (Mouse) GN=Selenbp2 PE=1 SV=2	Q63836
P34914_Bifunctional epoxide hyd.	sp|P34914|HYES_MOUSE	Bifunctional epoxide hydrolase 2  OS=Mus musculus (Mouse) GN=Ephx2 PE=1 SV=2	P34914
Q68FD5_Clathrin heavy chain 1	sp|Q68FD5|CLH1_MOUSE	Clathrin heavy chain 1  OS=Mus musculus (Mouse) GN=Cltc PE=1 SV=3	Q68FD5
P32020_Non-specific lipid-trans.	sp|P32020|NLTP_MOUSE	Non-specific lipid-transfer protein  OS=Mus musculus (Mouse) GN=Scp2 PE=1 SV=3	P32020
P57780_Alpha-actinin-4	sp|P57780|ACTN4_MOUSE	Alpha-actinin-4  OS=Mus musculus (Mouse) GN=Actn4 PE=1 SV=1	P57780
Q9DBM2_Peroxisomal bifunctional.	sp|Q9DBM2|ECHP_MOUSE	Peroxisomal bifunctional enzyme  OS=Mus musculus (Mouse) GN=Ehhadh PE=1 SV=4	Q9DBM2
