sampleMetadata	gene	mouse_nb	sex
X501f	MX2	501	F
X502m	MX2	502	M
X503m	MX2	503	M
X506m	MX2	506	M
X508f	MX2	508	F
X509f	MX2	509	F
X517f	MX2	517	F
X518f	MX2	518	F
X527m	MX2	527	M
X528m	MX2	528	M
X529f	MX2	529	F
X531f	MX2	531	F
W616f	WT	616	F
W617f	WT	617	F
W620f	WT	620	F
W622f	WT	622	F
W623f	WT	623	F
W625m	WT	625	M
W627m	WT	627	M
W628m	WT	628	M
W630m	WT	630	M
W631m	WT	631	M
W632f	WT	632	F
W633f	WT	633	F
W634m	WT	634	M
L818f	LAT	818	F
L819f	LAT	819	F
L824m	LAT	824	M
L825m	LAT	825	M
L826m	LAT	826	M
L827m	LAT	827	M
L836f	LAT	836	F
L841f	LAT	841	F
L854f	LAT	854	F
L859m	LAT	859	M
L862f	LAT	862	F
