variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M102.1158T0.61	c18hypersil					0.230560745816817	0.328562683205441	0	-0.241724110644093	0.427854427908764	0	-0.109535550733519	0.84757334265188	0	-0.374485565657189	0.304030383599266	0	0.860930108787161	0.633500408688474	E	E	E	E	E	E											M102T1.6	102.11578161749	36.5744924054794		[M+2H]2+ 202.214	10	1	@M85.0892T0.61|+(NH3)|+NH3|@M102.6175T0.61|-13Cdb
M87.1002T1.25	c18hypersil					-0.507523625710242	0.000437067392938716	1	-0.00427579730590111	0.859279359163655	0	-0.271927325838835	0.157499690207074	0	-0.0726056240124429	0.737798082839831	0	1.92132226013553	2.53766983280824	E	E	E	E	E	E											M87T1.6	87.1002028305066	74.9026461946048	[1][M+1]+		1	2	@M86.0969T1.25|+13C|@M133.1057T1.25|-(HCOOH)|-(H2O-CO)
M132T1.19_L.Isoleucine.Isoleucine..	c18hypersil	L-Isoleucine;Isoleucine|β-Leucine;DL-β-Leucine;3-Amino-4-methylpentanoic acid|L-Leucine;Leucine|L-Norleucine;Norleucine|6-Aminocaproic acid;6-Aminohexanoic acid	CHEBI:17191|CHEBI:15604|CHEBI:15603|CHEBI:18347|CHEBI:16586	2	a,b	-0.474846098800921	0.000846686030789533	1	-0.00631684665707155	0.860636999159031	0	-0.248572091546162	0.187480634409344	0	-0.0874525742705217	0.659493206890775	0	1.85638675433676	2.41354851544729	E	E	E	E	E	E	C00407|C02486|C00123|C01933|C02378	Amino acid metabolism|Microbial Metabolism|Miscellaneous	Valine, Leucine and Isoleucine biosynthesis|Valine, Leucine and Isoleucine degradation|Microbial Metabolism|Miscellaneous	Isoleucine|Leucine|Others|Microbial Metabolism|Miscellaneous	HMDB00172|HMDB03640|HMDB00687|HMDB01645|HMDB01901	CID6306|CID193411|CID6106|CID21236|CID564	C6H13NO2	131.0946	AGPKZVBTJJNPAG-WHFBIAKZSA-N|GLUJNGJDHCTUJY-UHFFFAOYSA-N|ROHFNLRQFUQHCH-YFKPBYRVSA-N|LRQKBLKVPFOOQJ-YFKPBYRVSA-N|SLXKOJJOQWFEFD-UHFFFAOYSA-N	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1|InChI=1S/C6H13NO2/c1-4(2)5(7)3-6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)|InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c1-2-3-4-5(7)6(8)9/h5H,2-4,7H2,1H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)	M132T1.19	132.10245955461	75.0124298070721	[70][M]+	[M+Na+HCOOH]+ 63.1096	1	2	@M86.0969T1.25|+(HCOOH)|+(H2O-CO)|@M133.1057T1.25|-13C|@M134.1065T1.25|-18O|-13C2
M105.0039T0.66	c18hypersil					-0.0760091559381699	0.538666204237417	0	-0.145166739533234	0.388845586677554	0	-0.0387150640196445	0.911874506091608	0	-0.171520823633582	0.415768228647243	0	0.346682209988266	0.0371869797228223	E	E	E	E	E	E											M105T1	105.003910473251	39.5569165917096		[M+H]+ 103.999	10	3	@M86.9933T0.66|+(H2O)
M90.9773T0.72	c18hypersil					0.0664442774770038	0.717429814761126	0	-0.00465177229918012	0.999554815565964	0	-0.147504661088366	0.569268621904516	0	0.0479711329730428	0.837777474063389	0	0.264893477060627	0.904495384881688	E	E	E	E	E	E											M91T1.2	90.9773006404169	43.3254216007768			4	4	@M132.0039T0.72|-(CH3CN)|-(C2H3N)
M93.6025T0.61	c18hypersil					0.25531364007557	0.273115662794601	0	-0.264211357238043	0.377579612433542	0	-0.08566772634763	0.884859019455152	0	-0.360665451645964	0.307893388185635	0	0.912827816747338	0.535805103738034	E	E	E	E	E	E											M94T1	93.6025484796911	36.3250620977474	[15][M]2+	[M+2H-NH3]2+ 202.214	10	5	@M94.1042T0.58|-13Cdb
M94.0457T0.65	c18hypersil					0.0138726242549438	0.970550234516529	0	-0.116974151909272	0.454719448701238	0	-0.00449034592736197	0.997496885922541	0	-0.144266724020245	0.324711602993356	0	0.263955496969239	0.291686963142649	E	E	E	E	E	E											M94T1.2	94.0457398292374	39.2438728811778	[16][M]2+		10	6	@M94.5465T0.65|-13Cdb|@M95.0444T0.65|-13C|-15N|@M130.0175T0.66|-(HCl)
M95.546T0.65	c18hypersil					0.0244213352883165	0.935656087718128	0	-0.154471594237052	0.376423580323402	0	0.014035640762291	0.928473758200312	0	-0.193554531332303	0.205972243873373	0	0.305306515712405	0.442383445507901	E	E	E	E	E	E											M96T1.1	95.5460224787652	39.2043439090728	[16][M+3]2+		10	6	@M94.5465T0.65|+13C|+15N|@M95.0444T0.65|+13Cdb
M110.0094T0.66	c18hypersil					0.0651570605239478	0.694379555017666	0	-0.136440829770301	0.430521868402409	0	-0.0178001466113109	0.964860889237071	0	-0.146897227742134	0.384074532066773	0	0.513894309731731	0.245255183460767	E	E	E	E	E	E											M110T1.3	110.009378417198	39.5139673802308	[31][M]+	[M+Na]+ 87.0249	10	6	@M111.0101T0.66|-13C|-15N|@M112.0069T0.66|-34S|-41K|-37Cl|@M128.02T0.66|-(H2O)|@M151.036T0.66|-(CH3CN)|-(C2H3N)|@M154.0368T0.66|-(C2H4O)
M111.0101T0.66	c18hypersil					0.0557860838404025	0.77576099520934	0	-0.169101698089985	0.334242963173123	0	-0.0251145587820254	0.943008917954644	0	-0.158292399136947	0.375235433148212	0	0.401602143927173	0.14609852062987	E	E	E	E	E	E											M111T1.1	111.010148238834	39.5169432119798	[31][M+1]+		10	6	@M110.0094T0.66|+13C|+15N|@M112.0069T0.66|-15N|@M129.0207T0.66|-(H2O)|@M152.0369T0.66|-(CH3CN)|-(C2H3N)|@M153.0335T0.66|-(CH2N2)
