variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M96.9695T1	c18acquity			4		0.0142835952837892	0.945915415289216	0	0.839199942700327	0.00126671774070767	1	0.239183055825917	0.777324397408156	0	0.761047683564573	0.00284651190307115	1	0.970794047914586	E	E	E	E	E	E	M97T1.3	96.9695346795798	58.7005952843633		[M-H-C2H4]- 126.004	105	1	@M78.959T0.9|+(H2O)|@M154.9282T0.9|-(NaCl)
M156.9252T0.9	c18acquity			4		0.112877719174648	0.847372739405374	0	0.913637852888707	0.00372399391854287	1	0.324484018979069	0.713605707178803	0	0.940750434427924	0.00164977562625706	1	1.0074781928447	E	E	E	E	E	E	M157T1.2	156.925209648498	55.245166432733			105	1	@M154.9282T0.9|+34S|+41K|+37Cl
M334.9916T0.9	c18acquity			4		-0.0654763223904045	0.996337640531102	0	1.01820294541093	0.0053167383789297	1	0.15135871884504	0.919458232741019	0	1.04250010120898	0.00101866839072665	1	0.52226231717006	E	E	E	E	E	E	M335T1.2	334.991568755293	54.4339020099826			105	1	@M154.9282T0.9|+(C6H10O5)+(H2O)
M96.9695T1.2	c18acquity			4		0.0857296725563135	0.850251371000087	0	0.537717434219164	0.0132438959235907	1	0.13457963639847	0.864998730012924	0	0.605197100706965	0.00187340819859447	1	0.631595196331652	E	E	E	E	E	E	M97T1.1	96.9695092988283	71.832428802054			8	2	@M78.959T1.2|+(H2O)
M80.9651T8.6	c18acquity			4		0.282966904198888	0.521249904823263	0	0.989943098939072	0.000174415098796007	1	-0.0833961905521097	0.87699099764484	0	1.22499492880529	2.0369719588761e-05	1	0.195739785608918	E	E	E	E	E	E	M81T9	80.9651229406471	518.605866484295		[M-H-CO2]- 125.961	60	3	@M79.9573T8.6|+13C|@M132.0455T8.7|-3(NH3)|@M213.0054T8.7|-(C5H8O4)|@M213.9985T8.7|-(C3H6O3)-(CHNO)
M124.9549T8.7	c18acquity			4		0.281628869503908	0.530812106824197	0	1.20007225453514	3.68181389400034e-05	1	-0.102163081560732	0.869254598395605	0	1.49359078614801	5.26491106193909e-06	1	0.407691886460587	E	E	E	E	E	E	M125T9	124.954938252878	519.163007876155		[M-H]- 125.961	60	3	@M210.9945T8.6|-(C4H6O2)|@M213.9985T8.7|-(C3H7O2N)
M210.9945T8.6	c18acquity			4		0.301852141150329	0.538286697147051	0	0.934452436652995	0.000992935731167128	1	-0.0136305481686776	0.946666374792763	0	1.25887601488243	3.24120479683636e-05	1	0.108352295555978	E	E	E	E	E	E	M211T9	210.994521805546	518.630621289623			60	3	@M124.9549T8.7|+(C4H6O2)|@M212.0023T8.7|-13C|@M213.0054T8.7|-13C2|-(H2)|@M213.9985T8.7|-13C-37Cl|-13C-18O|-13C-34S
M212.0023T8.7	c18acquity			4		0.459002395172885	0.530812106824197	0	1.50646003720042	0.000381853747912075	1	-0.00555680972360761	0.95927153626296	0	1.80079801778177	5.2133583784596e-05	1	0.0186075350851174	E	E	B	E	E	E	M212T9	212.002293157443	519.575395642256	[89][M]-		1078	3	@M79.9573T8.6|+(C5H8O4)|@M132.0455T8.7|+(SO3)|@M210.9945T8.6|+13C|@M213.0054T8.7|-13C|@M213.9985T8.7|-34S|-41K|-37Cl
M425.0117T8.6	c18acquity			4		0.466523521471407	0.565100249496826	0	1.91414191581125	0.000111546292306398	1	0.147357527403029	0.962270520655753	0	2.04555280636986	2.11770500661093e-05	1	0.253458809449605	E	E	B	E	E	E	M425T9	425.011724743013	518.952497359201		[M-H]- 426.019	60	3	@M213.0054T8.7|+(C5H9O7P)|@M446.9938T8.7|-Na|@M462.9675T8.6|-K
M446.9938T8.7	c18acquity			4		0.409765418706693	0.606533023327339	0	1.66777644697217	0.000327156713660214	1	-0.141279181235943	0.884355975360283	0	2.05431745261541	4.76601312569013e-05	1	0.161374537334284	E	E	E	E	E	E	M447T9	446.993792928942	519.164619711586		[M-2H+Na]- 426.019	60	3	@M425.0117T8.6|+Na
M462.9675T8.6	c18acquity			4		0.413740791539478	0.513583322078456	0	1.40562931362529	0.000198684458619593	1	0.0723224790208317	0.987686216513029	0	1.52503641028292	4.04636604981168e-05	1	0.191227820275737	E	E	B	E	E	E	M463T9	462.967450991703	518.223241627061			1079	3	@M425.0117T8.6|+K
M89.0243T1.2	c18acquity			4		0.178017254770683	0.489225004097384	0	-0.154751642814215	0.227272482723593	0	-0.0218945341511407	0.974895460276029	0	-0.0179767877154262	0.949164329073537	0	0.0730900532357413	E	E	E	E	E	E	M89T1	89.0243491336104	71.3080511060262	[2][M]-		8	4	@M90.0277T1.2|-13C
M137T1.5_5.Aminopyridine.3.carbox.	c18acquity	5-Aminopyridine-3-carboxylic acid	CHEBI:68578	2	a,b	0.0839890441361923	0.935664990862925	0	0.215582009501693	0.477365834359583	0	0.501448843100407	0.43491992325022	0	0.0306495004239231	0.974545330230667	0	2.42581321290967	E	E	E	E	E	E	M137T1.5	137.035578328491	71.2137695957664			8	5	@M93.0458T1.2|+(CO2)
M96.96T2.4	c18acquity			4		0.177476391191687	0.679486200427055	0	0.315696100820643	0.0925461217539727	0	0.0639528627189403	0.943546200182782	0	0.0964433287139883	0.761934019339129	0	0.332992282849869	E	E	E	E	E	E	M97T2	96.9599809218482	143.297456270798			142	6	@M98.9558T2.4|-34S|-41K|-37Cl
M115.9206T7.5_1	c18acquity			4		-0.0742103108923455	0.966701248273451	0	0.49467304678415	0.0181554728063608	1	-0.00255298847014274	0.976528203360806	0	0.557850024563274	0.0116143642166483	1	0.50786807185129	E	E	E	E	E	E	M116T8.1	115.920569003448	452.438414701097		[M+Cl]- 80.9477	32	7	@M116.9285T7.5_1|-13C|@M117.9285T7.5|-18O|-13C2
M116.9285T7.5_1	c18acquity			4		0.00377244374283059	0.954784976283884	0	0.623128370384213	0.00327848737721392	1	-0.00237205894372927	0.966428044050675	0	0.710487887275942	0.00147028018911932	1	0.486209886834647	E	E	E	E	E	E	M117T8.1	116.928454443286	452.449075866946			32	7	@M99.9257T7.5|+(OH.)|@M115.9206T7.5_1|+13C|@M117.9285T7.5|-13C|-15N
