variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M61.5087T0.72_1	c18acquity			4		0.163925138618936	0.579451122294773	0	-0.138019172829701	0.310213383721133	0	0.0653741275955912	0.874465440538794	0	-0.140850353667988	0.321973278253794	0	1.52595049865058	0.512163535740936	M62T1	61.5086557690867	43.1853361108618	[5][M+1]2+		14	1	@M61.0072T0.72_5|+13Cdb|@M79.5191T0.72_1|-(H2O)
M63.0036T0.72_3	c18acquity			4		0.0280125626192298	0.962778543121887	0	-0.13921248683455	0.260747635377215	0	0.000144630145582525	0.989152145852817	0	-0.174006126061013	0.143270547237181	0	0.388318874915126	0.178518134733826	M63T1.2	63.0036167373717	43.1737771115211	[5][M+4]2+		14	1	@M61.0072T0.72_5|+34S|+41K|+37Cl
M79.0177T0.72_2	c18acquity			4		0.142114323535406	0.646741483014616	0	-0.151157789455866	0.285449471221365	0	0.0464026783663911	0.911488054074349	0	-0.203578849265217	0.14101686064257	0	1.32494618662967	0.383232169478994	M79T1.2	79.0177267908052	43.1790911213774	[31][M]2+		14	1	@M61.0072T0.72_5|+(H2O)|@M79.5191T0.72_1|-13Cdb|@M81.0142T0.72_3|-34S|-41K|-37Cl|@M97.0286T0.72_3|-(H2O)
M81.5205T0.72_1	c18acquity			4		0.125226761559063	0.688685430933431	0	-0.114219989147134	0.458919196040656	0	0.0128752255476279	0.974507970899979	0	-0.188027874789771	0.187175812236284	0	1.21456603370233	0.170647332329936	M82T1	81.5204669953997	43.1591901605617		[M+H-C2H4]+ 108.548	14	1	@M79.5191T0.72_1|+18O|+41K|+37Cl|@M81.0142T0.72_3|+13Cdb|@M83.517T0.72_1|-34S|-41K|-37Cl|@M99.5315T0.72_1|-(H2O)
M83.517T0.72_1	c18acquity			4		0.113369955262185	0.704861437821957	0	-0.136255329377871	0.312317517399816	0	0.00637692735186413	0.983040284413984	0	-0.194159790447564	0.141863430727837	0	1.15858144138777	0.0840785821243113	M84T1	83.5169548015343	43.1591901605617	[37][M+3]2+		14	1	@M79.5191T0.72_1|+44Ca|@M81.5205T0.72_1|+34S|+41K|+37Cl|@M101.5281T0.72_1|-(H2O)
M99.5315T0.72_1	c18acquity			4		0.165855991650186	0.6248475387599	0	-0.145566861708737	0.358810384431075	0	0.0382268646222563	0.932804662758947	0	-0.204596122961412	0.178092107678757	0	1.43352062072214	0.272339389833851	M100T1.2	99.5315190855467	43.1790911213774	[94][M]2+		14	1	@M81.5205T0.72_1|+(H2O)|@M101.5281T0.72_1|-34S|-41K|-37Cl
M101.5281T0.72_1	c18acquity			4		0.198475433352293	0.533023495273679	0	-0.17505859633172	0.219616878840591	0	0.0625247558597835	0.875770130217387	0	-0.228860947453175	0.100613410598531	0	1.72416965749277	0.496313346577555	M102T1	101.528094608433	43.1880692026337	[94][M+4]2+		14	1	@M83.517T0.72_1|+(H2O)|@M99.5315T0.72_1|+34S|+41K|+37Cl
M69.0334T0.91	c18acquity			4		-0.0468341545573878	0.879614992172334	0	0.0460013999052649	0.759314886156242	0	-0.00136180940742037	0.989482874079274	0	0.123441357788508	0.270425316723963	0	0.470234001319997	0.154124615575697	M69T1.8	69.0333569893458	54.6785369167723	[15][M]+		13	2	@M97.0284T0.91|-(CO)
M81.0334T0.91	c18acquity			4		-0.100246920862938	0.781926384672331	0	0.0651477118999857	0.754445993763038	0	-0.0648147955946641	0.849681102322242	0	0.210152570891644	0.0672691216070053	0	0.73905436367956	0.628242613480641	M81T1.7	81.0333616392235	54.419665210223	[35][M]+	[M+H-C4H8]+ 136.092	13	2	@M85.0283T0.91|-44Ca|@M109.0286T0.91|-(CO)|@M127.039T0.91|-(HCOOH)|-(H2O-CO)
M109.0286T0.91	c18acquity			4		-0.150104847399845	0.66350315999377	0	0.0906049000420772	0.656785055463236	0	-0.0914689209901098	0.795715122890139	0	0.202434061175504	0.106077175724895	0	1.14692030941496	0.881654032335465	M109T1.5	109.0285531549	54.4523092954478			13	2	@M81.0334T0.91|+(CO)|@M127.039T0.91|-(H2O)|@M145.0495T0.91|-2(H2O)|@M163.0601T0.91_1|-3(H2O)|@M325.1131T0.91|-(C6H16O8)
