variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M86.0606T1.37	c18hypersil					0.335053911226048	0.554018497289555	0	0.118646910762376	0.679703013071062	0	0.027934586443326	0.969550792179918	0	0.130155000490774	0.583299515727074	0	1.30201734605885	0.316048610210079											M86T1.1	86.0606471913248	82.1521246036377	[1][M]+		2789	1	@M87.064T1.38|-13C
M87.1001T1.24	c18hypersil					-0.067760165893592	0.858160934172119	0	0.193630156015992	0.245567100010777	0	-0.100639256340408	0.784485582429273	0	0.282047852191084	0.0800811963219133	0	0.711314189117799	0.559004141815916											M87T1.5	87.100099806759	74.5206215882584	[2][M+1]+		1	2	@M86.0968T1.24|+13C|@M133.1055T1.25|-(HCOOH)|-(H2O-CO)
M132T1.15_L.isoleucine	c18hypersil	L-Isoleucine;Isoleucine|β-Leucine;DL-β-Leucine;3-Amino-4-methylpentanoic acid|L-Leucine;Leucine|L-Norleucine;Norleucine|6-Aminocaproic acid;6-Aminohexanoic acid	CHEBI:17191|CHEBI:15604|CHEBI:15603|CHEBI:18347|CHEBI:16586	2	a,b	-0.0799557192651932	0.807676220211282	0	0.168707763949794	0.295749321928967	0	-0.0914872272477787	0.787955440121676	0	0.25467371857777	0.0926671436766228	0	0.847159664551196	0.562804293672988	C00407|C02486|C00123|C01933|C02378	Amino acid metabolism|Miscellaneous	Valine, Leucine and Isoleucine biosynthesis|Valine, Leucine and Isoleucine degradation|Miscellaneous	Isoleucine|Leucine|Others|Miscellaneous	HMDB00172|HMDB03640|HMDB00687|HMDB01645|HMDB01901	CID6306|CID193411|CID6106|CID21236|CID564	C6H13NO2	131.0946	AGPKZVBTJJNPAG-WHFBIAKZSA-N|GLUJNGJDHCTUJY-UHFFFAOYSA-N|ROHFNLRQFUQHCH-YFKPBYRVSA-N|LRQKBLKVPFOOQJ-YFKPBYRVSA-N|SLXKOJJOQWFEFD-UHFFFAOYSA-N	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1|InChI=1S/C6H13NO2/c1-4(2)5(7)3-6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)|InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c1-2-3-4-5(7)6(8)9/h5H,2-4,7H2,1H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)	M132T1.15	132.102281296596	74.9256404524714	[68][M]+	[M+H+HCOOH]+ 85.0878	1	2	@M86.0968T1.24|+(HCOOH)|+(H2O-CO)|@M133.1055T1.25|-13C|@M134.1063T1.25|-18O|-13C2
M86.0971T5.59	c18hypersil					0.0325312576763803	0.958963273194805	0	0.108653362765386	0.796477300754127	0	0.0419226996215407	0.969409884384429	0	0.176485940895123	0.628862837439555	0	0.154546811149069	0.420170233105079											M86T6	86.0970779806615	335.6584702961			88	3	@M128.1078T5.59|-(C2H2O)
M156.1028T5.6	c18hypersil					0.0179352155122778	0.979407612846681	0	0.0825870461405014	0.895541026230028	0	-0.115859952102999	0.912907442497503	0	0.2978586672298	0.522332806998506	0	0.0105977640078153	0.166319080872464											M156T6.1	156.102794475771	335.747397611563	[103][M]+		88	3	@M128.1078T5.59|+(CO)|@M157.1062T5.59|-13C
M87T1.3_gamma.butyrolactone	c18hypersil	γ-Butyrolactone	CHEBI:42639	2	a,b	0.180414180566835	0.570155118757717	0	0.546421419909098	0.00425448334247298	1	-0.11623670164327	0.848142560837521	0	0.229966897949414	0.406476913821375	0	0.579185721479773	0.480718354477867	C01770				HMDB00549	CID7302	C4H6O2	86.03678	YEJRWHAVMIAJKC-UHFFFAOYSA-N	InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2	M87T1.3	87.0444056982077	76.177029580119	[4][M]+		1	4	@M105T1.5_.S..3.Hydroxybutyric.acid|-(H2O)
M94.0457T0.65	c18hypersil					0.078158340220277	0.82419464567502	0	-0.125971928303358	0.520916754712252	0	-0.140180256690321	0.786390388975999	0	-0.217888559859944	0.321147917165734	0	0.809744699228838	1.07835341318713											M94T1.1	94.0456531361813	39.0692967926265	[20][M]2+		14	5	@M94.5463T0.65|-13Cdb|@M95.0444T0.65|-13C|-15N
M95.546T0.65	c18hypersil					0.0658159172712161	0.870971951646577	0	-0.128128631243516	0.550391147383588	0	-0.183961631141237	0.75441885554538	0	-0.205848486932748	0.419783724043886	0	0.639563633369556	1.1894495580697											M96T1.1	95.5459993293189	39.0608047698638	[20][M+3]2+		14	5	@M95.0444T0.65|+13Cdb
M110.0093T0.66	c18hypersil					0.183435391470734	0.641394422735538	0	-0.220556821270272	0.31933016988814	0	-0.150009234189188	0.820236347457512	0	-0.311903982217789	0.247916237655518	0	1.38182175990473	0.845394902023431											M110T1.1	110.009305321694	39.4396317210947	[33][M]+		14	5	@M111.0101T0.66|-13C|-15N|@M112.0068T0.66|-34S|-41K|-37Cl|@M128.0199T0.66|-(H2O)|@M151.0359T0.66|-(CH3CN)|-(C2H3N)|@M177.9968T0.71|-(HCOONa)
M111.0101T0.66	c18hypersil					0.208918615273017	0.603952462047379	0	-0.202304158052593	0.379119469152829	0	-0.119094642225718	0.870149434211088	0	-0.288148093379309	0.291742496853582	0	1.4710772119596	0.726546828205235											M111T1.2	111.01005094106	39.4308784859111	[33][M+1]+		14	5	@M110.0093T0.66|+13C|+15N|@M112.0068T0.66|-15N|@M129.0206T0.66|-(H2O)|@M152.0367T0.66|-(CH3CN)|-(C2H3N)|@M153.0334T0.66|-(CH2N2)
