variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M78.919T6.03	hilic					0.147542450079285	0.0829315456761185	0	0.0280515461042299	0.763288654589981	0	0.0431104673143672	0.811160765524281	0	0.0910435502050895	0.443721999733723	0	1.4688944740353	0.479661177052192	E	E	E	E	E	E											M79T6	78.9189939471061	361.709771772755		[M-H]- 79.9252	6	1	@M80.9169T6.02|-34S|-41K|-37Cl
M80.9169T6.02	hilic					0.146064641113643	0.0818670883372449	0	0.026874417569438	0.770377989534909	0	0.0453327093956091	0.802662316135108	0	0.0896859138000572	0.446822405609997	0	1.49183739402707	0.532408611325017	E	E	E	E	E	E											M81T6	80.9169234635685	361.358921834662		[M-H]- 81.9231	6	1	@M78.919T6.03|+34S|+41K|+37Cl|@M142.9174T6.05|-(H2O)-(CO2)
M140.9195T6.04	hilic					0.0866334689227024	0.299895223503499	0	-0.0127178089766566	0.970237128894985	0	-0.000706986368516738	0.993611444713209	0	0.00672618231321565	0.954291031934243	0	1.01617989241166	0.034165268893053	E	E	E	E	E	E											M141T6.1	140.919507466115	362.535162945908		[M-H]- 141.93	6	1	@M141.9227T6.04|-13C|@M142.9174T6.05|-34S|-41K|-37Cl|@M143.9207T6.04|-13C-37Cl|-13C-34S
M141.9227T6.04	hilic					0.0780786574384074	0.364449056705057	0	-0.0241688774113484	0.903255209045159	0	0.00374273871033992	0.982382020356195	0	0.00789121178520347	0.947024433733425	0	0.83007000206458	0.0333265562071393	E	E	E	E	E	E											M142T6	141.922712492544	362.420073223598			6	1	@M140.9195T6.04|+13C|@M142.9174T6.05|-15N|@M143.9207T6.04|-34S|-41K|-37Cl|@M144.9217T6.04|-13C-37Cl|-13C-34S
M143.9207T6.04	hilic					0.0428934159663292	0.64967078436703	0	-0.0126893072208638	0.959277076100335	0	-0.0120033076616224	0.932838797380979	0	0.0128374091377665	0.911157858476431	0	0.441683767292609	0.363157457585107	E	E	E	E	E	E											M144T6	143.920699372506	362.547246634926		[M+2Cl]2- 217.911	6	1	@M140.9195T6.04|+13C+37Cl|+13C+34S|@M141.9227T6.04|+34S|+41K|+37Cl|@M142.9174T6.05|+13C|@M144.9217T6.04|-13C|-15N
M144.9217T6.04	hilic					0.0486026559421955	0.577515739594246	0	-0.0372414353286921	0.772047070217223	0	-0.00715303215777041	0.963761456037207	0	-0.00829879061793903	0.944511300811009	0	0.613003306545672	0.235492424645608	E	E	E	E	E	E											M145T6	144.921681754469	362.106473896282		[M+2Cl]2- 219.909	6	1	@M141.9227T6.04|+13C+37Cl|+13C+34S|@M142.9174T6.05|+18O|+13C2|@M143.9207T6.04|+13C|+15N
M79.9575T2.66	hilic					0.43777366588354	0.0313536903185731	1	0.785069358771569	0.000527043107575906	1	0.221291952695172	0.670814118734161	0	1.0500771067709	1.42118695029283e-05	1	1.11297148997666	0.521642337291972	E	E	E	E	E	E											M80T3	79.9574807487214	159.608692219194			1493	2	@M212.9907T2.75|-(C3H6O3)-(CHNO)
M210.9949T2.69	hilic					0.391506557093496	0.0744391108545884	0	0.881218529412077	0.00056137439735628	1	0.204170897144419	0.713488008237307	0	1.11752692740044	4.82223219854287e-05	1	0.949611264695299	0.446019066419516	E	E	E	E	E	E											M211T3.1	210.994926318264	161.397324322741			1493	2	@M212.9907T2.75|-34S|-41K|-37Cl
M80.9653T10.58	hilic					3.67254387856515	0.0852756262415989	0	0.660102218977888	0.778090617759854	0	2.90992903368318	0.489767796271331	0	1.08676237737953	0.733982711263211	0	1.13381214960851	1.5644817720891	E	E	B	E	E	E											M81T11	80.9652901742976	634.938111142905			1278	3	@M159.9906T10.59|-(NH3)-(CO2)-(H2O)
M158.9872T10.59	hilic					2.61096457739868	0.534711443968923	0	-0.449639840569171	0.976601690265872	0	-0.707954757370757	0.92575137676805	0	-0.138409320618694	0.984190885974863	0	0.513028839453401	0.234077173812534	E	E	B	E	E	B											M159T11	158.98723030323	635.275490736612	[131][M]-		1286	3	@M95.0252T10.59|+(SO2)|@M159.9906T10.59|-13C
