variableMetadata	category	measurement	category_full	transformation	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2
Anapath_..A2.heart	Anapath	% A2 heart	Anapath	inverse	-0.01774359	0.981339142	0	0.015714286	0.908546857	0	-0.033238095	0.954809836	0	0.021201923	0.765052448	0	0.975186048	0.893402706
Anapath_A2.heart..g.	Anapath	A2 heart (g)	Anapath	inverse	-0.002871795	0.98727751	0	-0.022857143	0.837629105	0	-0.006333333	0.96655832	0	-0.024038462	0.710321719	0	0.56825857	0.054325167
Anapath_A2.heart..mg...mg.	Anapath	A2 heart (mg) (mg)	Anapath	inverse	-2.969230769	0.981339142	0	-22.07142857	0.022706389	1	-6.842857143	0.954809836	0	-23.33173077	0.022258418	1	0.560939619	0.074510917
Anapath_body.weight..g.	Anapath	body weight (g)	Anapath	normal	0.253892308	0.98727751	0	-4.220928571	2.44E-06	1	0.120414286	0.954809836	0	-4.672331731	2.46E-07	1	0.176039231	0.650633228
Auditory.and.PPI_..PP70	Auditory and PPI	% PP70	Auditory startle reflex reactivity and PPI - P1	non parametric	-4.402307692	0.981339142	0	8.279285714	0.513074313	0	2.345714286	0.96655832	0	6.539134615	0.577450712	0	0.274525569	0.495457109
Auditory.and.PPI_..PP75	Auditory and PPI	% PP75	Auditory startle reflex reactivity and PPI - P1	non parametric	-4.262051282	0.981339142	0	5.824285714	0.586607079	0	4.82047619	0.954809836	0	1.413653846	0.912505004	0	0.186453088	0.907702379
Auditory.and.PPI_..PP85	Auditory and PPI	% PP85	Auditory startle reflex reactivity and PPI - P1	non parametric	2.145641026	0.981339142	0	-3.775714286	0.70615475	0	13.22119048	0.166556593	0	0.655432692	0.992391885	0	0.187943012	2.225409258
Auditory.and.PPI_..PP90	Auditory and PPI	% PP90	Auditory startle reflex reactivity and PPI - P1	non parametric	4.946153846	0.959070679	0	-4.472857143	0.513074313	0	12.17642857	0.014550453	1	-1.225865385	0.723849051	0	0.977322128	2.845283136
Auditory.and.PPI_BN..65.	Auditory and PPI	BN (65)	Auditory startle reflex reactivity and PPI - P1	log	1.676923077	0.959070679	0	0.828571429	0.72457896	0	3.492857143	0.696839525	0	1.355288462	0.707994538	0	1.039878598	1.449310939
Auditory.and.PPI_Body.weight..g.	Auditory and PPI	Body weight (g)	Auditory startle reflex reactivity and PPI - P1	normal	0.631282051	0.981339142	0	-4.75	3.56E-07	1	0.603809524	0.703332666	0	-4.840384615	2.46E-07	1	0.382700263	0.876310205
Auditory.and.PPI_Glb	Auditory and PPI	Glb	Auditory startle reflex reactivity and PPI - P1	normal	-0.392717949	0.98727751	0	1.464285714	0.837629105	0	8.139095238	0.696839525	0	1.845288462	0.826783225	0	0.089546274	1.601923162
Auditory.and.PPI_P70	Auditory and PPI	P70	Auditory startle reflex reactivity and PPI - P1	log	-1.975384615	0.959070679	0	1.771428571	0.70615475	0	0.682857143	0.96655832	0	0.943269231	0.822823917	0	0.866460639	0.367268973
Auditory.and.PPI_P75	Auditory and PPI	P75	Auditory startle reflex reactivity and PPI - P1	log	0.756410256	0.981339142	0	3.735714286	0.726159489	0	3.004761905	0.954809836	0	5.217788462	0.579813271	0	0.190359818	0.707230071
Auditory.and.PPI_P85	Auditory and PPI	P85	Auditory startle reflex reactivity and PPI - P1	log	-9.238974359	0.981339142	0	-11.34285714	0.707899152	0	-9.518095238	0.954809836	0	-2.848076923	0.922001067	0	0.049440104	0.216606515
Auditory.and.PPI_P90	Auditory and PPI	P90	Auditory startle reflex reactivity and PPI - P1	log	-0.47025641	0.981339142	0	-59.87857143	0.153393608	0	-19.07190476	0.954809836	0	-18.73557692	0.665225294	0	0.036231223	0.343838497
Auditory.and.PPI_PP70	Auditory and PPI	PP70	Auditory startle reflex reactivity and PPI - P1	non parametric	77.06410256	0.981339142	0	-336.2642857	0.045092716	1	31.01190476	0.96655832	0	-432.9235577	0.00660398	1	0.293394849	0.360662652
Auditory.and.PPI_PP75	Auditory and PPI	PP75	Auditory startle reflex reactivity and PPI - P1	non parametric	57.49487179	0.981339142	0	-227.0357143	0.069331434	0	-21.30238095	0.96655832	0	-248.9014423	0.026745591	1	0.208423876	0.037859435
Auditory.and.PPI_PP85	Auditory and PPI	PP85	Auditory startle reflex reactivity and PPI - P1	non parametric	22.21435897	0.981339142	0	-105.5714286	0.428786778	0	-80.02190476	0.703332666	0	-157.1427885	0.033392791	1	0.245183825	0.821062295
Auditory.and.PPI_PP90	Auditory and PPI	PP90	Auditory startle reflex reactivity and PPI - P1	non parametric	3.635384615	0.996806401	0	-67.46428571	0.428786778	0	-72.93714286	0.696839525	0	-104.6096154	0.009939505	1	0.043664897	1.388421547
Auditory.and.PPI_ST110	Auditory and PPI	ST110	Auditory startle reflex reactivity and PPI - P1	log	82.16205128	0.981339142	0	-371.8714286	0.033808568	1	82.95380952	0.934434446	0	-573.3076923	0.00026165	1	0.390886439	0.763090828
Body_body.weight.w7..g.	Body	body weight w7 (g)	Body Weight	normal	0.645641026	0.981339142	0	-4.307142857	4.14E-07	1	0.86047619	0.696839525	0	-4.558173077	1.59E-07	1	0.30690813	1.13040196
Clinical.chemistry_ALAT..U.l.	Clinical chemistry	ALAT (U/l)	Clinical chemistry parameters	non parametric	-3.307692308	0.981339142	0	-12.5	0.379843027	0	3.549450549	0.954809836	0	-23.04040404	0.036402704	1	0.337186561	0.034707246
Clinical.chemistry_ALP..U.l.	Clinical chemistry	ALP (U/l)	Clinical chemistry parameters	normal	-14.53846154	0.54004094	0	39.15384615	9.55E-07	1	-3.054945055	0.954809836	0	42.18333333	3.48E-06	1	1.378191236	0.81823343
Clinical.chemistry_ASAT..U.l.	Clinical chemistry	ASAT (U/l)	Clinical chemistry parameters	non parametric	-4.740384615	0.98727751	0	14.87272727	0.70615475	0	-5.043956044	0.96655832	0	15.48484848	0.606943176	0	0.429292984	0.016991714
Clinical.chemistry_Albumin..g.l.	Clinical chemistry	Albumin (g/l)	Clinical chemistry parameters	non parametric	0.769230769	0.959070679	0	0.923076923	0.465153745	0	1.637362637	0.696839525	0	1.966666667	0.064724877	0	0.842411965	0.936142846
Clinical.chemistry_Blood.Urea.Nitrogen.mg.dl..mg.dl.	Clinical chemistry	Blood Urea Nitrogen mg/dl (mg/dl)	Clinical chemistry parameters	log	-0.851958042	0.981339142	0	-0.604825175	0.766834327	0	0.083701299	0.988577917	0	0.282884615	0.912505004	0	1.024682351	0.331973333
Clinical.chemistry_Glucose..mmol.l.	Clinical chemistry	Glucose (mmol/l)	Clinical chemistry parameters	normal	-1.665034965	0.959070679	0	1.916783217	0.242328552	0	-0.851298701	0.696839525	0	3.886538462	0.00124058	1	1.604130614	0.394600436
Clinical.chemistry_HDL.Chol...mmol.l.	Clinical chemistry	HDL Chol. (mmol/l)	Clinical chemistry parameters	non parametric	-0.151748252	0.959070679	0	-0.291328671	0.079313334	0	-0.114935065	0.70903781	0	-0.215705128	0.026234544	1	1.343805119	1.226366268
Clinical.chemistry_Non.HDL.Chol...mmol.l.	Clinical chemistry	Non HDL Chol. (mmol/l)	Clinical chemistry parameters	normal	0.037832168	0.981339142	0	0.131678322	0.430931234	0	0.055194805	0.954809836	0	0.078525641	0.418907617	0	0.419340559	0.276220885
Clinical.chemistry_P..mmol.l.	Clinical chemistry	P (mmol/l)	Clinical chemistry parameters	normal	-0.057412587	0.981339142	0	0.698531469	0.002815672	1	0.102532468	0.96655832	0	0.679038462	0.00016128	1	0.731551825	0.219599704
Clinical.chemistry_T..Chol...mmol.l.	Clinical chemistry	T. Chol. (mmol/l)	Clinical chemistry parameters	normal	-0.069294872	0.981339142	0	-0.191923077	0.433466926	0	-0.015119048	0.988577917	0	-0.168333333	0.211623868	0	0.480348292	0.204862837
Clinical.chemistry_T..bilirubin..µmol.l.	Clinical chemistry	T. bilirubin (µmol/l)	Clinical chemistry parameters	non parametric	1.721153846	0.278246253	0	0.698717949	0.464823794	0	1.982142857	0.166556593	0	-0.370238095	0.606943176	0	2.370904836	1.7812663
Clinical.chemistry_TG..mmol.l.	Clinical chemistry	TG (mmol/l)	Clinical chemistry parameters	normal	-0.056083916	0.981339142	0	-0.098321678	0.739718538	0	-0.156688312	0.934434446	0	-0.238525641	0.260404503	0	0.750862305	0.564731824
Clinical.chemistry_Urea..mmol.l.	Clinical chemistry	Urea (mmol/l)	Clinical chemistry parameters	log	-0.304195804	0.981339142	0	-0.216083916	0.768267802	0	0.02987013	0.988577917	0	0.100641026	0.912505004	0	1.025333928	0.332085673
Dysmorphology_Body.weight..g.	Dysmorphology	Body weight (g)	Dysmorphology IMPC	normal	0.434358974	0.981339142	0	-4.578571429	1.17E-07	1	0.640952381	0.696839525	0	-4.576442308	2.46E-07	1	0.280401915	0.987696888
Dysmorphology_Loc..activity	Dysmorphology	Loc. activity	Dysmorphology IMPC	normal	-7.420512821	0.278246253	0	-1.071428571	0.732023173	0	-3.766666667	0.696839525	0	-2.394230769	0.529129216	0	1.984977334	1.22313026
ECG_HR..bpm.	ECG	HR (bpm)	ECG in anaesthetized conditions	normal	-13.88717949	0.981339142	0	46.57142857	0.045092716	1	3.90952381	0.973087716	0	50.34134615	0.028339658	1	0.600562263	0.032392471
ECG_Number.of.signals	ECG	Number of signals	ECG in anaesthetized conditions	non parametric	-6.738461538	0.981339142	0	-28.14285714	0.428786778	0	31.37142857	0.696839525	0	-16.52403846	0.60127668	0	0.803457173	1.225289769
ECG_PR..ms.	ECG	PR (ms)	ECG in anaesthetized conditions	non parametric	-1.043589744	0.981339142	0	3.264285714	0.091489709	0	-0.980952381	0.949907781	0	2.246153846	0.195607244	0	0.651451331	0.736613031
ECG_Pdur..ms.	ECG	Pdur (ms)	ECG in anaesthetized conditions	normal	-1.231794872	0.959070679	0	1.342857143	0.433466926	0	0.463809524	0.954809836	0	-0.400961538	0.785435668	0	0.947649405	0.142593551
ECG_QRS..ms.	ECG	QRS (ms)	ECG in anaesthetized conditions	inverse	-0.570769231	0.981339142	0	-0.335714286	0.770187785	0	-0.125714286	0.96655832	0	0.283173077	0.826783225	0	0.603372831	0.114733672
ECG_QT..ms.	ECG	QT (ms)	ECG in anaesthetized conditions	non parametric	2.287846154	0.959070679	0	-3.122142857	0.428786778	0	2.355428571	0.759754266	0	-1.554519231	0.591897906	0	0.97888622	1.32229913
ECG_QT.corrige..ms.Corr.	ECG	QT corrigé (ms Corr)	ECG in anaesthetized conditions	non parametric	4.602153846	0.959070679	0	-1.915714286	0.837629105	0	7.657428571	0.696839525	0	3.143846154	0.723849051	0	0.914315443	1.531816511
ECG_RR..ms.	ECG	RR (ms)	ECG in anaesthetized conditions	normal	2.693333333	0.981339142	0	-14.92571429	0.045092716	1	-2.860238095	0.96655832	0	-16.66855769	0.027812402	1	0.40809438	0.181115523
ECG_Ramp..mv.	ECG	Ramp (mv)	ECG in anaesthetized conditions	non parametric	-0.093589744	0.959070679	0	0.075	0.70615475	0	-0.180952381	0.696839525	0	-0.104423077	0.42795267	0	1.173486673	1.369595256
ECG_ST..ms.	ECG	ST (ms)	ECG in anaesthetized conditions	log	1.774666667	0.981339142	0	-2.928571429	0.439747187	0	1.685380952	0.934434446	0	-1.312451923	0.665225294	0	0.843233771	1.136142441
ECG_STE..mv.	ECG	STE (mv)	ECG in anaesthetized conditions	non parametric	0.023333333	0.981339142	0	0.022142857	0.837629105	0	0.023333333	0.954809836	0	-0.002355769	0.960669532	0	1.52412453	1.395660434
Echocardiography_Body.mass..g.	Echocardiography	Body mass (g)	Echocardiography using the Vevo light	normal	0.563076923	0.981339142	0	-4.785714286	1.20E-06	1	0.561428571	0.767841844	0	-4.447115385	1.92E-06	1	0.331448807	0.974825053
Echocardiography_EF....	Echocardiography	EF (%)	Echocardiography using the Vevo light	normal	3.209589744	0.681400557	0	1.682142857	0.470919358	0	3.084095238	0.696839525	0	2.469278846	0.418907617	0	1.578399044	1.227896634
Echocardiography_FS....	Echocardiography	FS (%)	Echocardiography using the Vevo light	normal	2.056871795	0.681400557	0	1.100714286	0.461415919	0	2.105333333	0.696839525	0	1.503461538	0.466817771	0	1.612092508	1.278485039
