variableMetadata	accession	description	uniprot_id	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2
P01027_Complement C3	sp|P01027|CO3_MOUSE	Complement C3  OS=Mus musculus (Mouse) GN=C3 PE=1 SV=3	P01027	0.0600089330000344	0.700979391157378	0	0.555861576588661	5.11673734878544e-06	1	0.168716760387547	0.193257758818981	0	0.630011794487285	2.89780712413696e-08	1	0.0160004047921596	0.302156936017931
Q61838_Pregnancy zone protein	sp|Q61838|PZP_MOUSE	Pregnancy zone protein  OS=Mus musculus (Mouse) GN=Pzp PE=1 SV=3	Q61838	0.00195153865896458	0.983128413820258	0	-0.11111592166958	0.179461698516178	0	0.00927303184317907	0.90158023439249	0	-0.115125527752902	0.231623763999065	0	0.458603008251262	0.296161754427622
P28665_Murinoglobulin-1	sp|P28665|MUG1_MOUSE	Murinoglobulin-1  OS=Mus musculus (Mouse) GN=Mug1 PE=1 SV=3	P28665	-0.0809852859796472	0.692907324632071	0	-0.83721549416542	6.66805466608873e-07	1	0.00144626023807248	0.825328396666704	0	-0.677745593754199	1.32938108337246e-06	1	0.190355478417875	0.221354184274586
P07724_Serum albumin	sp|P07724|ALBU_MOUSE	Serum albumin  OS=Mus musculus (Mouse) GN=Alb PE=1 SV=3	P07724	-0.0208528808229005	0.897150141501026	0	0.050801493975392	0.650803196373028	0	0.0668401591922034	0.605907051581128	0	0.165063524956913	0.0791693407653524	0	0.204592498306453	0.247520126851602
P11276_Fibronectin	sp|P11276|FINC_MOUSE	Fibronectin  OS=Mus musculus (Mouse) GN=Fn1 PE=1 SV=4	P11276	-0.114926219444193	0.840416734043392	0	-0.324947540707615	0.390242608212295	0	0.214293739617585	0.758733783695381	0	-0.299963648063315	0.643419255470819	0	0.653626531642876	0.531376735387342
Q921I1_Serotransferrin	sp|Q921I1|TRFE_MOUSE	Serotransferrin  OS=Mus musculus (Mouse) GN=Tf PE=1 SV=1	Q921I1	-0.0870498035099061	0.764173583935424	0	0.128442100180621	0.556407136991794	0	0.0983547179202091	0.646933566595446	0	0.245699319787292	0.109463575685862	0	1.00419702257272	0.254711865541372
Q61147_Ceruloplasmin	sp|Q61147|CERU_MOUSE	Ceruloplasmin  OS=Mus musculus (Mouse) GN=Cp PE=1 SV=2	Q61147	0.0284911430047927	0.791435828623328	0	0.146662383272641	0.0465465259514415	1	0.166989750249556	0.0395123198250075	1	0.243777781248401	0.000155091624479934	1	0.133346309482319	1.11069716392612
E9Q414_Apolipoprotein B-100	sp|E9Q414|APOB_MOUSE	Apolipoprotein B-100  OS=Mus musculus (Mouse) GN=Apob PE=1 SV=1	E9Q414	-0.0320691964689104	0.764173583935424	0	0.291531209024981	0.000688653384850653	1	-0.123862830806342	0.193257758818981	0	0.211521386110363	0.00865556856047704	1	0.543564823443033	1.21357067791429
P06684_Complement C5	sp|P06684|CO5_MOUSE	Complement C5  OS=Mus musculus (Mouse) GN=C5 PE=1 SV=2	P06684	-0.104538808712967	0.448296759623705	0	-0.79298710220549	1.14012190919585e-10	1	-0.123192499231898	0.388696413630078	0	-0.79500283224078	1.29707618707432e-10	1	0.182221859130561	0.0196450457182648
P21614_Vitamin D-binding protein	sp|P21614|VTDB_MOUSE	Vitamin D-binding protein  OS=Mus musculus (Mouse) GN=Gc PE=1 SV=2	P21614	-0.0148531602670232	0.940505884366681	0	-0.0854451886455685	0.504838535877742	0	0.016894632864723	0.902868866549364	0	-0.0101945943738002	0.944822985891227	0	0.349843095647203	0.0352262866112689
P01029_Complement C4-B	sp|P01029|CO4B_MOUSE	Complement C4-B  OS=Mus musculus (Mouse) GN=C4b PE=1 SV=3	P01029	-0.303587010579211	0.296257259501951	0	-0.252690299214091	0.140880305031271	0	-0.124806335651964	0.467154315197859	0	-0.067458287221406	0.706106371598579	0	1.81092247362818	0.91815714533433
P20918_Plasminogen	sp|P20918|PLMN_MOUSE	Plasminogen  OS=Mus musculus (Mouse) GN=Plg PE=1 SV=3	P20918	-0.0657464547795783	0.455739093141537	0	-0.0600296612653004	0.3034933971563	0	-0.0251604381112251	0.727906276782303	0	0.00872817216584565	0.884889972028101	0	1.47644623771075	0.837313753013875
P06909_Complement factor H	sp|P06909|CFAH_MOUSE	Complement factor H  OS=Mus musculus (Mouse) GN=Cfh PE=1 SV=2	P06909	-0.333898122935043	0.0361013633136675	1	-0.0544637047170795	0.644297708557419	0	-0.221516647516758	0.0538636795133691	0	0.0742726042002744	0.395945990253916	0	2.72300137570429	2.08463823273777
Q8K0E8_Fibrinogen beta chain	sp|Q8K0E8|FIBB_MOUSE	Fibrinogen beta chain  OS=Mus musculus (Mouse) GN=Fgb PE=1 SV=1	Q8K0E8	-0.518395502809838	0.312720656637452	0	-0.366142211376932	0.229712466685381	0	-0.452140116913412	0.206392950882167	0	-0.190240488329582	0.620815089338945	0	1.49788733148227	1.19730796093552
A6X935_Inter alpha-trypsin inhi.	sp|A6X935|ITIH4_MOUSE	Inter alpha-trypsin inhibitor, heavy chain 4  OS=Mus musculus (Mouse) GN=Itih4 PE=1 SV=2	A6X935	-0.00566654215090168	0.968562736842884	0	0.363565350351404	0.00218164247950564	1	0.113458706125606	0.463165219055343	0	0.447031888132148	7.62354122617407e-05	1	0.438212825782731	0.286502597365949
P06728_Apolipoprotein A-IV	sp|P06728|APOA4_MOUSE	Apolipoprotein A-IV  OS=Mus musculus (Mouse) GN=Apoa4 PE=1 SV=3	P06728	0.274680624987443	0.0752087387777108	0	-0.0900156656638877	0.359839380358936	0	0.167904854428926	0.28053136229094	0	-0.149080005804912	0.257308490082331	0	2.2769453245542	1.14383693836492
P19221_Prothrombin	sp|P19221|THRB_MOUSE	Prothrombin  OS=Mus musculus (Mouse) GN=F2 PE=1 SV=1	P19221	-0.0816443446602548	0.455739093141537	0	-0.0689231660235592	0.32912981586626	0	-0.0656358836102235	0.392462764441667	0	-0.034305070560432	0.650766729312769	0	1.55397422523363	1.32504169609903
E9PV24_Fibrinogen alpha chain	sp|E9PV24|FIBA_MOUSE	Fibrinogen alpha chain  OS=Mus musculus (Mouse) GN=Fga PE=1 SV=1	E9PV24	-0.404914493696356	0.448296759623705	0	-0.304635341759347	0.319416712821407	0	-0.372446866891767	0.298679962301317	0	-0.178386935640894	0.634985838009829	0	1.25092980174852	1.01567549096736
P28666_Murinoglobulin-2	sp|P28666|MUG2_MOUSE	Murinoglobulin-2  OS=Mus musculus (Mouse) GN=Mug2 PE=1 SV=2	P28666	-0.00370549281069543	0.998213707988887	0	-1.0053518521869	0.0578913382991866	0	0.0587082219527133	0.884659522763886	0	-0.661163354750659	0.159619215865166	0	0.182869267033578	0.150673356198877
P13020_Gelsolin	sp|P13020|GELS_MOUSE	Gelsolin  OS=Mus musculus (Mouse) GN=Gsn PE=1 SV=3	P13020	0.0845801379342248	0.495547204440785	0	0.288513904596623	0.000914299626134674	1	0.00146656209761176	0.916797889434689	0	0.254166441918514	0.00114169792679652	1	0.842782012825022	0.500598219171982
Q9DBD0_Inhibitor of carbonic an.	sp|Q9DBD0|ICA_MOUSE	Inhibitor of carbonic anhydrase  OS=Mus musculus (Mouse) GN=Ica PE=1 SV=1	Q9DBD0	-0.0114660659110086	0.922122935456697	0	-0.210613794697785	0.00171232921948328	1	-0.0261524472138852	0.824771636319559	0	-0.165672541677978	0.0164781560941479	1	0.030050820631173	0.345122786020793
Q61702_Inter-alpha-trypsin inhi.	sp|Q61702|ITIH1_MOUSE	Inter-alpha-trypsin inhibitor heavy chain H1  OS=Mus musculus (Mouse) GN=Itih1 PE=1 SV=2	Q61702	0.0622304310088424	0.613794112799131	0	-0.045680634837197	0.614928160621851	0	0.120152765668553	0.20197789968977	0	-0.0677664164347576	0.392387008502503	0	1.04377734117954	1.53153897685811
P26039_Talin-1	sp|P26039|TLN1_MOUSE	Talin-1  OS=Mus musculus (Mouse) GN=Tln1 PE=1 SV=2	P26039	0.73483535870437	0.502891551403146	0	0.756064829481282	0.3034933971563	0	1.00862486722074	0.240332485326435	0	0.449495663932968	0.622178539101023	0	0.942672366839685	1.42595557631935
P35441_Thrombospondin-1	sp|P35441|TSP1_MOUSE	Thrombospondin-1  OS=Mus musculus (Mouse) GN=Thbs1 PE=1 SV=1	P35441	0.255876555429484	0.591751997975708	0	0.103444159245935	0.783027395288824	0	0.59432000083169	0.111955427523819	0	0.0714078510852296	0.904875880869583	0	0.686147529199331	1.78821228681327
P04186_Complement factor B	sp|P04186|CFAB_MOUSE	Complement factor B  OS=Mus musculus (Mouse) GN=Cfb PE=1 SV=2	P04186	-0.120361664698677	0.214530468312808	0	-0.108535447332883	0.0721753207859129	0	-0.131104510748003	0.170368154856365	0	-0.0106636194482768	0.959498179699294	0	1.92656463401227	1.9962724612617
O08677_Kininogen-1	sp|O08677|KNG1_MOUSE	Kininogen-1  OS=Mus musculus (Mouse) GN=Kng1 PE=1 SV=1	O08677	-0.00369419711535102	0.983030500138059	0	0.0104541197582932	0.934266886442077	0	0.0322540526486357	0.773503047547313	0	0.140880728703081	0.0449546438579628	1	0.197817014249136	0.0794788167965313
Q00897_Alpha-1-antitrypsin 1-4	sp|Q00897|A1AT4_MOUSE	Alpha-1-antitrypsin 1-4  OS=Mus musculus (Mouse) GN=Serpina1d PE=1 SV=1	Q00897	-0.101220424209199	0.590600269443009	0	-0.0254354513775432	0.868648424520651	0	-9.29493099164347e-05	0.986485313931927	0	0.0481423972702189	0.727882703058659	0	0.416818515752558	0.0758855007541926
P22599_Alpha-1-antitrypsin 1-2	sp|P22599|A1AT2_MOUSE	Alpha-1-antitrypsin 1-2  OS=Mus musculus (Mouse) GN=Serpina1b PE=1 SV=2	P22599	0.0454335793715117	0.775314656127362	0	-0.183543078476749	0.100004399903189	0	0.0316167187851839	0.778557677383327	0	-0.134066129753549	0.225438088618259	0	0.54360498853466	0.451299365774895
Q00623_Apolipoprotein A-I	sp|Q00623|APOA1_MOUSE	Apolipoprotein A-I  OS=Mus musculus (Mouse) GN=Apoa1 PE=1 SV=2	Q00623	0.197213277238816	0.250366882085215	0	-0.268423108012897	0.0124264461693463	1	0.136832730921824	0.209550662382926	0	-0.246640748657001	0.00902333963892223	1	1.46783352678193	1.2603081100923
P32261_Antithrombin-III	sp|P32261|ANT3_MOUSE	Antithrombin-III  OS=Mus musculus (Mouse) GN=Serpinc1 PE=1 SV=1	P32261	-0.391066479589686	0.316159411750792	0	-0.404517888996097	0.0840163624726028	0	-0.367939830957575	0.185851253621471	0	-0.126966250845289	0.668817018826659	0	1.49084421409724	1.55103731533432
Q61129_Complement factor I	sp|Q61129|CFAI_MOUSE	Complement factor I  OS=Mus musculus (Mouse) GN=Cfi PE=1 SV=3	Q61129	0.0447527803125283	0.702796967118972	0	0.200200831336332	0.0164603294828688	1	-4.84843752737163e-05	0.937730702152576	0	0.181626508736009	0.0383517915465537	1	0.38581753182945	0.316400153717932
Q8BH35_Complement component C8 .	sp|Q8BH35|CO8B_MOUSE	Complement component C8 beta chain  OS=Mus musculus (Mouse) GN=C8b PE=1 SV=1	Q8BH35	0.0448521093511616	0.729774772265584	0	-1.17786433851362	8.39364289121621e-11	1	-0.0799797681761696	0.884659522763886	0	-1.26765422541862	4.23234188503433e-11	1	0.404459073444015	0.26183813555653
Q91X72_Hemopexin	sp|Q91X72|HEMO_MOUSE	Hemopexin  OS=Mus musculus (Mouse) GN=Hpx PE=1 SV=2	Q91X72	-0.156319243124749	0.378676624478261	0	0.0234528917533012	0.842564188508118	0	-0.0979830560785899	0.496726773681238	0	0.0620641365586536	0.643419255470819	0	1.59263189157033	0.672477154782813
O88783_Coagulation factor V	sp|O88783|FA5_MOUSE	Coagulation factor V  OS=Mus musculus (Mouse) GN=F5 PE=1 SV=1	O88783	0.0216760913914946	0.846701309915053	0	0.0129726615127694	0.883217104033849	0	-0.0650744695677439	0.438489845082463	0	0.0617743595712952	0.402142018410038	0	0.251539072282905	0.958580608274634
P26262_Plasma kallikrein	sp|P26262|KLKB1_MOUSE	Plasma kallikrein  OS=Mus musculus (Mouse) GN=Klkb1 PE=1 SV=2	P26262	-0.0222584517049071	0.864798252505281	0	-0.173289728398732	0.0450492627878683	1	-0.0625418742338404	0.588698997428487	0	-0.14537692677008	0.0842912623881865	0	0.010330080097951	0.558789164458128
Q6GQT1_Alpha-2-macroglobulin-P	sp|Q6GQT1|A2MG_MOUSE	Alpha-2-macroglobulin-P  OS=Mus musculus (Mouse) GN=A2m PE=2 SV=2	Q6GQT1	0.334936153150675	0.590600269443009	0	5.14640344461273	3.02098654967613e-12	1	0.294026544600747	0.861554028520716	0	5.02906455821797	2.07551869311702e-14	1	0.0212189628746257	0.310513411345657
P07758_Alpha-1-antitrypsin 1-1	sp|P07758|A1AT1_MOUSE	Alpha-1-antitrypsin 1-1  OS=Mus musculus (Mouse) GN=Serpina1a PE=1 SV=4	P07758	-0.787215001866084	0.378676624478261	0	-0.994819362225034	0.0644348150764096	0	0.21211225768409	0.713987110579403	0	-1.50558513776488	0.00889868696911447	1	0.781273279805485	0.878555536803425
P23953_Carboxylesterase 1C	sp|P23953|EST1C_MOUSE	Carboxylesterase 1C  OS=Mus musculus (Mouse) GN=Ces1c PE=1 SV=4	P23953	0.104660513178342	0.455739093141537	0	0.487632522825116	4.06633858617217e-06	1	0.101840195494933	0.409741314545371	0	0.492878211040605	3.16040849300103e-07	1	0.531385541732167	0.0625083718013494
Q61703_Inter-alpha-trypsin inhi.	sp|Q61703|ITIH2_MOUSE	Inter-alpha-trypsin inhibitor heavy chain H2  OS=Mus musculus (Mouse) GN=Itih2 PE=1 SV=1	Q61703	0.149422166751705	0.367929620506375	0	0.191139083128988	0.0555101246615568	0	0.119832698865661	0.335794516938634	0	0.122052130983089	0.260457350767729	0	1.46256405316479	1.01978894474379
Q00898_Alpha-1-antitrypsin 1-5	sp|Q00898|A1AT5_MOUSE	Alpha-1-antitrypsin 1-5  OS=Mus musculus (Mouse) GN=Serpina1e PE=1 SV=1	Q00898	0.0220315317221242	0.95735972228436	0	-2.33041351666259	5.83474744363284e-06	1	-0.732670169594169	0.181573718080876	0	-3.39200101977125	1.29707618707432e-10	1	0.467718905132748	0.146129156814978
O89020_Afamin	sp|O89020|AFAM_MOUSE	Afamin  OS=Mus musculus (Mouse) GN=Afm PE=1 SV=2	O89020	-0.04060696830566	0.75442638738724	0	0.423107471120648	7.89314667866095e-05	1	-0.00340175843362189	0.812693211283938	0	0.524520216069192	4.26463254830844e-07	1	0.401242267866778	0.503247027775954
Q8VCM7_Fibrinogen gamma chain	sp|Q8VCM7|FIBG_MOUSE	Fibrinogen gamma chain  OS=Mus musculus (Mouse) GN=Fgg PE=1 SV=1	Q8VCM7	-0.483088987947841	0.348858397829223	0	-0.342476085656241	0.268526804863437	0	-0.412062274310962	0.235627726534717	0	-0.1425253375414	0.706106371598579	0	1.43980953812531	1.17912082681276
P60710_Actin, cytoplasmic 1	sp|P60710|ACTB_MOUSE	Actin, cytoplasmic 1  OS=Mus musculus (Mouse) GN=Actb PE=1 SV=1	P60710	0.358848853098557	0.378676624478261	0	0.584398433663583	0.0193387278170639	1	0.332866444015199	0.287537027563107	0	0.384311033368576	0.132080589549113	0	1.05671922525985	1.21743240446812
Q8K182_Complement component C8 .	sp|Q8K182|CO8A_MOUSE	Complement component C8 alpha chain  OS=Mus musculus (Mouse) GN=C8a PE=1 SV=1	Q8K182	-0.0162084679438372	0.968562736842884	0	-1.14742906610682	1.14012190919585e-10	1	-0.144471619748835	0.588698997428487	0	-1.24268214084679	1.29707618707432e-10	1	0.20909741001921	0.0699410998218838
P07759_Serine protease inhibito.	sp|P07759|SPA3K_MOUSE	Serine protease inhibitor A3K  OS=Mus musculus (Mouse) GN=Serpina3k PE=1 SV=2	P07759	-0.145639102947705	0.455739093141537	0	-0.528586151381827	9.77502966231509e-05	1	-0.241117102233577	0.177840918503847	0	-0.526719894623138	0.000138368208506965	1	0.749851388984247	0.830480762873983
Q06890_Clusterin	sp|Q06890|CLUS_MOUSE	Clusterin  OS=Mus musculus (Mouse) GN=Clu PE=1 SV=1	Q06890	0.0251178460613417	0.776478557043345	0	-0.594617839211654	7.60208843135442e-09	1	-0.042825449457311	0.861106189058622	0	-0.524181512960432	5.52286122397646e-07	1	0.3331911676338	0.0779118381023118
