sampleMetadata	gene	mouse_id	sex	id
X501f	MX2	501	F	X501f
X502m	MX2	502	M	X502m
X503m	MX2	503	M	X503m
X506m	MX2	506	M	X506m
X508f	MX2	508	F	X508f
X509f	MX2	509	F	X509f
X513m	MX2	513	M	X513m
X517f	MX2	517	F	X517f
X518f	MX2	518	F	X518f
X521f	MX2	521	F	X521f
X527m	MX2	527	M	X527m
X528m	MX2	528	M	X528m
X529f	MX2	529	F	X529f
X531f	MX2	531	F	X531f
W616f	WT	616	F	W616f
W617f	WT	617	F	W617f
W620f	WT	620	F	W620f
W621f	WT	621	F	W621f
W622f	WT	622	F	W622f
W623f	WT	623	F	W623f
W625m	WT	625	M	W625m
W627m	WT	627	M	W627m
W628m	WT	628	M	W628m
W629m	WT	629	M	W629m
W630m	WT	630	M	W630m
W631m	WT	631	M	W631m
W632f	WT	632	F	W632f
W633f	WT	633	F	W633f
W634m	WT	634	M	W634m
L818f	LAT	818	F	L818f
L819f	LAT	819	F	L819f
L824m	LAT	824	M	L824m
L825m	LAT	825	M	L825m
L826m	LAT	826	M	L826m
L827m	LAT	827	M	L827m
L836f	LAT	836	F	L836f
L841f	LAT	841	F	L841f
L848m	LAT	848	M	L848m
L849m	LAT	849	M	L849m
L854f	LAT	854	F	L854f
L859m	LAT	859	M	L859m
L862f	LAT	862	F	L862f
