dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X517f	X518f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W622f	W623f	W625m	W627m	W628m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L854f	L859m	L862f
P01027_Complement C3	32.5993712469592	32.1029600460467	31.7471049588226	32.0207641495921	32.6365428685645	32.478004626837	32.4492244791199	32.6191385914288	32.0760995639006	32.1208401340639	32.6575006549182	32.3707523160679	32.3131581704991	32.4223086299966	32.3683601840185	32.5907515014612	32.5498672576418	31.8525464631292	31.834437775761	31.6682607829473	31.4761915663763	31.8768172394655	32.5116966834017	32.6106250032142	31.9331564630643	32.3817944210187	32.0498335966173	32.192930282976	31.8386761299515	31.9938484128084	32.0897478738961	32.3604871851481	32.5559376188378	32.5296793271276	31.9331507886904	32.4332399282934
Q61838_Pregnancy zone protein	32.4614693302798	32.6629784092036	32.4050180767962	32.5811585079787	32.5876488894744	32.6100562037517	32.5977508088307	32.5272379965616	32.9737996484845	32.9937504786377	32.5724141201683	32.6009420163478	32.5555537394898	32.4634399326777	32.6846029958006	32.6861531806019	32.6257433959245	32.3477503030703	32.5761168558527	32.7676072059889	32.7450750965573	32.8569847174686	32.6085907574168	32.4783109441657	32.6889313214151	32.4375499186563	32.3109699500139	32.6609331735371	32.5916805289452	32.741872949778	32.6878895048731	32.79001851336	32.5946003620951	32.5192472703133	32.848098812231	32.6796417038094
P28665_Murinoglobulin-1	30.4167239639574	31.3772715718176	30.8329121243263	31.1691246397471	30.3826915668966	30.3787965042303	30.4813589656935	30.412791679546	30.681781977318	30.7666778161695	30.3800170880128	30.7263457140579	30.4447037768994	30.1486638520085	30.5196718823349	30.3850752179927	30.1610763572043	30.7242183281994	31.2781222984947	31.2933397355403	31.0701845065845	31.1077413194148	30.1875002338085	30.1300507790333	31.2045517421438	30.4971616022982	30.0961994372898	31.10748816089	31.1080983155541	31.1645867325578	31.106379710271	29.9219797306807	30.7820121744581	30.0608921460396	30.7387742677776	29.8489665245801
P07724_Serum albumin	35.094426641424	34.8662843358878	34.8921790628619	34.6365146580785	35.0835849896031	35.1917848652908	35.0068074974434	35.292588863056	35.1816585039184	35.1754932064432	35.1167700533452	35.265938475086	35.2707485786948	35.1159340897451	34.9483649143429	35.1395677455456	34.9824153578511	34.639418769196	34.9832870329	34.9971817210856	34.9377852541733	34.9493779961567	34.9378085071958	35.0214907207029	35.0787309913864	35.0010390888545	34.5036209892554	34.8482826178818	35.0074355657878	35.0573385132189	34.8979659960254	34.9291856145703	34.9082719408156	35.0554404957089	35.1971568383901	35.3666674557269
P11276_Fibronectin	28.2407903133421	27.8885372149358	27.683422905025	30.0760426248286	27.7512125374103	27.7370184950597	27.5854226529036	30.8697274022229	27.392909707709	27.4028928776104	26.7613027698268	27.9439225209328	27.9583458817017	27.4583048487231	29.2804393220445	27.130023276187	26.8553400571589	28.9765433221558	29.3781215138629	27.8752032969939	26.7635653547306	28.4604996419786	27.322096765611	27.2536210191644	27.9463792749499	28.2382468437777	27.5188174918559	28.3809854691178	27.7544831461391	27.5444404863327	27.5779458862992	27.7751140126146	27.8879136389561	28.3233431618583	27.5634293986542	27.0359627680379
Q921I1_Serotransferrin	32.2141323251264	32.3807495769378	32.4735375557801	32.0841008544447	32.4979176027596	32.1451224022024	32.9075274787494	32.1433224850446	32.1530744913971	32.536062673566	32.4148092172456	32.6677659041988	32.6160914455299	32.4339880317997	32.5017343085664	32.4197406018103	32.5213076117675	31.616716082722	32.4459384340643	32.2836240752944	32.1652568036239	31.8583808883201	31.9943629329677	32.7074727776902	32.1597407876211	32.0264255063711	32.5319609609737	32.3168866715192	32.3212810198571	32.3394927103379	32.1847536946281	31.6971366245852	32.6286734753017	32.7090493054728	32.2551290154491	31.1830402999376
Q61147_Ceruloplasmin	29.8847073224933	29.8123444928069	29.7583118772011	29.6888442653751	29.9431047297193	29.8998045054179	29.971386203856	29.8450436764491	29.6113510823128	29.6738184435288	29.8783564999294	30.0187574422339	29.8706721271326	29.8128132386742	29.8283348609618	29.7383304218358	29.7384221708131	29.4279482102011	29.5891083140316	29.5685273344384	29.3519566481352	29.5590854112912	29.7383388753564	29.7680493073448	29.6555294129735	29.7696919855125	29.5095146807351	29.6547752057095	29.684089822029	29.6715588827813	29.7282565409021	29.8257473318295	29.7483020952323	29.6583014966848	29.6957344399583	29.6842208351465
E9Q414_Apolipoprotein B-100	27.7292389134218	27.8284967967719	27.9592029377826	27.7157509985357	28.1408311746626	27.9826125032658	28.0347130034483	27.7733357323553	27.8714468459465	27.8647336453236	27.9606897649832	28.0088667793445	28.1689100232893	28.2456894970943	27.9648467214134	28.1597053772046	28.1762282490967	27.9156816514676	27.803074761169	27.9086075655361	27.7863158982251	27.7663202301757	28.1074870434462	28.4331106421661	27.9499848273603	28.1786624198019	27.9347079720462	27.7163613764336	27.9311718638193	27.9674928626328	28.0062527901488	28.0824143195581	28.0148760714174	28.2703917204327	27.6765974971185	28.1948935888241
P06684_Complement C5	27.4422516671711	28.3932821684998	28.124512141548	28.0759285767773	27.4138946519802	27.3680120159107	27.6632132256961	27.3006642459617	28.2889038015245	28.4835385491854	27.6424196260273	27.5203582680629	27.5517631703624	27.4735515520389	27.572031824108	27.6110406741657	27.5757616179147	28.59364073318	28.3810126748056	28.3945961449307	28.4006353101703	28.1929194501701	27.5541821249061	27.6469547115684	28.1801396849009	27.4589494863491	27.4132622344511	28.260810590945	28.1577364225834	28.1203809103699	28.2495530101432	27.627557484387	27.3581230417801	27.412091310958	28.5287549095479	27.5252018876765
P21614_Vitamin D-binding protein	30.0897835892316	30.3454232501882	30.2940890952907	30.0522159532019	30.2389299129104	30.0620453140054	29.9637926006896	30.1904866296715	29.9097406726322	29.9938945276553	30.1281668011187	30.1316087839336	30.129645098174	30.1099525715973	30.0980888034813	30.1892368522176	30.0097309078963	30.1972574949043	30.1882485068703	30.2865216649034	29.390543043522	30.3028307777624	30.0629524335566	30.0433280585356	30.2888921174107	30.1748201039036	30.1714413206036	30.216588534341	30.1369490389507	30.2290753483314	30.2516011609525	29.7577880592138	29.991593810742	30.2026102127163	30.0433732861913	29.7584291025896
