dataMatrix	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M420.5418T4.65	14.6389651754022	15.5301534775325	15.203534194994	15.9683687375377	14.5987280539532	14.9643971396439	15.7233244853323	14.9931236848164	16.4056381886532	15.6976637936161	16.6784713691341	15.8236581230692	15.628943978591	15.8600105901439	14.9335398088079	10.6570964941893	10.61373395247	9.33785133232402	9.82088273740758	9.96707296086845	10.9581884377454	11.2316884783282	10.5154684047312	11.8789066603061	11.816941560377	12.6740823336297	12.6514789895267	13.2891042392299
M347.9327T4.36	16.9209898545026	17.3199757637651	17.4327928360513	17.8724232907911	17.0612824112239	17.1238178516083	17.490281571023	17.3477495973061	18.2182404815226	17.851354246945	18.8919806748352	17.9903627867716	17.1744488136354	17.636054890455	17.0992910763767	13.3642896534554	12.6787218626712	12.8902230527404	13.0334357222804	12.7188416160717	13.0839315859804	14.2732393160351	14.6655144691389	14.2658198499729	14.2551552316675	15.1358097651519	15.2655047534156	15.3339162497977
M347.6821T4.36	17.474886922239	17.7642677797319	17.9456638679018	18.3415409305071	17.604219142283	17.6289366200407	18.0567093794211	17.8325748325957	18.7304239974716	18.2953402215079	19.4348410914386	18.4489664042442	17.6539560326051	18.0762159105559	17.6931027072312	13.969211435472	13.408509504847	13.5913471608804	13.8216706584103	13.1826521443119	13.7256537091368	14.7250865583056	15.1938730261537	14.9950826628744	14.7422851139382	15.6854243484962	15.6947375659917	15.9223890500128
M463.9087T4.36	13.6671488736194	13.8500548565004	14.1986174975168	14.8171794702403	14.0731072263429	13.9669791392974	14.2165439864546	14.3204397609206	14.9521206642616	14.5552955811718	15.6416551935898	14.579185461899	13.9193186037168	14.3483631621318	13.832068994373	10.4924385510995	9.88721250664455	9.92611175277087	10.1438020691989	10.9321960415711	9.5803323665468	11.7079968594142	11.6435920499395	10.7412879372475	10.7694222509656	11.4940396335943	12.1942258408398	12.4611442899773
M284.8295T4.12	15.8702151771456	15.9203697634558	16.3314422073053	17.2224279336401	16.135993050505	15.7701013002338	16.5277955262522	16.6328067036256	16.8421870590971	16.4554705560681	17.7886976567321	16.8648806359257	15.6687255550516	16.3708955026401	15.7636435772595	11.8997217271144	12.0846149849196	11.0663333183917	10.8414415818891	10.0641890670511	12.4636335919668	12.6849178607918	13.2472871480892	12.5625702914463	12.8622379550451	13.3671825977697	13.4006485803439	14.2156702094621
M245.8976T1.61	15.2694149715949	14.913211134406	15.3044498082899	16.0863503143171	15.7295988637394	15.0326791941929	15.5706068931027	16.0515128474965	15.9149292797522	15.3211373111337	16.7055275964975	15.9846759921686	14.625763033812	15.0400299459174	15.1079836998089	11.8326395663596	10.5558964624665	11.3408509910355	11.4062568784165	10.752649485227	12.2402126208475	12.1636771994197	13.0560167776447	12.9761267241851	12.2846892430686	13.350665515231	13.0965934572049	13.3534398021942
M613.3621T5.59	14.0573354064848	15.3151382209428	15.1179863082391	13.0103028592345	13.6622772858238	14.1679196986218	14.3277778641437	15.1128156728572	13.626306095451	13.6006047201314	13.9029958827493	14.7166954957047	14.2655358292364	14.3836396281867	12.540886056942	10.9931129562469	11.6587798535529	10.3859192288413	10.7800648176249	11.1817238971825	10.7458908036228	11.6820726435875	11.8785076369749	11.7555199859235	11.203549861098	11.9540418980571	11.1671554244652	11.994789528757
M426.7409T4.13	12.6802608793774	12.8916118927274	13.364758928849	13.9298202287932	13.129057588196	12.9578214945996	13.4481834078341	13.7128627405113	13.5102370876034	13.3042161024279	14.4846012374029	13.6336376549588	12.7647715518694	13.374627921331	13.0802710191065	11.7734992223015	11.9493046203124	11.7932005700301	11.5328247238612	11.6651202055337	11.7293307678587	11.8696839942039	11.7650016987224	12.1299106217098	11.6301432422691	11.8749588180876	11.9223062976334	11.2536982036569
M692.2178T6.29	16.9722852611163	17.0829444217608	17.0812881849371	17.1324594586461	16.9483544661463	16.7570853430372	17.3911819854411	17.3641896818149	17.3455379868099	17.2083963197742	17.537843002256	17.6165100249944	17.228490779711	17.2217251737252	17.1854859487861	15.4481906055375	15.5733414978968	15.741762117697	16.3317076644556	15.4293882075561	15.8090949850974	16.3723517393145	15.6482371763004	16.3454415520897	16.0373751396783	16.2652187917396	16.0659642969922	16.0567415658237
M463.5747T4.35	15.0373236145671	15.2794783516525	15.6763083534591	16.1854965385399	15.3789878036178	15.2421046964512	15.5786793993077	15.4741641541925	16.3309830121311	15.8863553268399	17.2210871579295	16.1218418757434	15.1488071483696	15.7951336387118	15.2821843363382	12.0042409628647	10.3429767245772	11.1957348012971	10.5947050161848	10.9631332239414	11.6557344941825	12.6256020444164	12.9462576852712	12.5145996442748	12.5875466271298	13.1904347098528	13.3148686057158	13.7388963529918
