variableMetadata	set	gene	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M420.5418T4.65	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M421T5	420.541808734563	278.839346232196		[M+K]+ 381.574	71	NA		-4.32432472666131	3.08242528499739e-09	1	0.334823794170875	0.975905611329193	0	2.292705382725		0.24269575971554
M347.9327T4.36	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M348T4.1	347.932703172215	261.370504721967	[625][M]2+		1932	382	@M348.434T4.35|-13Cdb	-3.64173104093785	3.08242528499739e-09	1	0.256507484383842	0.996742262179003	0	2.32538369258157		0.301998461867252
M347.6821T4.36	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M348T4	347.68205570403	261.492334611856	[624][M]+		1931	381	@M348.1835T4.36|-13Cdb	-3.55329513761337	3.08242528499739e-09	1	0.224913819978415	0.963040821540345	0	2.32884594849823		0.336020816068347
M463.9087T4.36	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M464T4.2	463.908703157213	261.355904879436			2082	NA		-3.40814352763755	3.08242528499739e-09	1	0.295893201301729	0.936648697100063	0	2.32387419557501		0.317465769589717
M284.8295T4.12	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M285T4.1	284.829491856531	247.11553183971			1817	NA		-4.04485510230757	4.91235584266817e-09	1	0.475216351216414	0.80169062081616	0	2.29497990924686		0.330454402722749
M245.8976T1.61	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M246T2	245.897627001753	96.4030407895708		[M+H-CO2]+ 288.893	45	NA		-3.32516205472551	8.24105271496974e-09	1	0.111434254974293	0.849212834361123	0	2.29691076349869		0.18713482511574
M613.3621T5.59	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M613T6.3	613.362129540475	335.304065640974			79	NA		-2.78353791427037	8.24105271496974e-09	1	0.649538139086337	0.275561937292532	0	2.22591900993938	plsda	0.26699991012239
M426.7409T4.13	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M427T4	426.740872448984	247.893323177896	[842][M+1]+		2048	NA		-1.59042498343555	9.841898539663e-09	1	-0.142712045408086	0.301146430749073	0	2.25012514453878	forest	0.241749560704594
M692.2178T6.29	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M692T6.4	692.217840737315	377.418037449374			64	NA		-1.27224043283976	9.841898539663e-09	1	-0.115797460553598	0.296059096339395	0	2.25075048465642		0.295970462176557
M463.5747T4.35	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M464T4	463.574693428601	261.276940510807			2081	NA		-3.58043690723878	1.19176549754792e-08	1	0.276459353581043	0.9807276549673	0	2.29155878182874		0.0950675724432163
M755.0545T6.29	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M755T6.4	755.054528623334	377.531407497955		[M+H+NH3]+ 737.006	64	764	@M692.0507T6.29|+Na+CH3CN	-1.19327246998629	1.88652599550013e-08	1	-0.0946264879305225	0.35742566051513	0	2.21665246097567		0.232072476500848
M366.1866T4.47	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M366T4.2	366.186590698054	268.091415638314		[M+Na]+ 343.202	77	NA		-2.91212196102101	1.95529486999174e-08	1	-0.12239582534697	0.518381833492647	0	2.2193506605795		0
M830.6581T6.29	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M831T6.1	830.658111153553	377.53099690592	[1459][M+1]2+		64	822	@M830.1574T6.29|+13Cdb	-1.13388835493629	1.95529486999174e-08	1	-0.11245813024988	0.296059096339395	0	2.18796961541239		0.199709637209923
M613.6959T5.57	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M614T6	613.695904295394	333.932390925269		[3M+2K]2+ 383.146	79	NA		-3.25440696325933	2.07618218074986e-08	1	0.978531635146654	0.131605515835675	0	2.19296596603077		0.283785507474257
M550.1199T1.23	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M550T1	550.119916066275	73.8649246135006		[M+H]+ 549.109	1	NA		-2.96849619253285	2.54965206330785e-08	1	0.455588145285365	0.666946250865551	0	2.19452920482533	plsda	0.0903537234919109
M830.1574T6.29	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M830T6.1	830.157430299373	377.584871586521	[1459][M]2+		64	822	@M830.6581T6.29|-13Cdb	-1.17110453662138	2.54965206330785e-08	1	-0.126750498544592	0.280930120496495	0	2.15540140156929		0.107026282467971
M830.458T6.29	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M830T6.4	830.458022230993	377.533874689224	[1463][M]2+		64	NA		-1.10502073367969	3.0760327737844e-08	1	-0.0750732030390289	0.427566900530008	0	2.21564199617699		0.19845308669384
M306.9156T4.07	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M307T4	306.915629778068	243.966138930942	[509][M]2+		1854	304	@M307.417T4.07|-13Cdb	-3.13534825869441	4.19409798478327e-08	1	0.126878298731734	0.891494966036625	0	2.24533381676689		0
M692.3848T6.29	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M692T6.6	692.384769644919	377.460650183135		[M+Na+NaCOOH]+ 601.402	64	762	@M691.8834T6.29|+13Cdb	-1.22049319186855	4.19409798478327e-08	1	-0.0903426724407996	0.415585057401052	0	2.20486914565456		0.169211730905273
M490.5198T4.31	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M491T4	490.519771725139	258.37935875258			49	NA		-1.91441662557784	5.12016657443581e-08	1	-0.0350860580907142	0.65427681368456	0	2.22577121210763		0
M307.1664T4.07	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M307T4.1	307.166431852882	243.937736291251			1855	NA		-3.05691950889495	6.50057665305891e-08	1	0.131136120117443	0.90239878677424	0	2.23634423828803		0
M754.9633T6.29	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M755T6.3	754.963301517076	377.536341880493		[M+H+HCOOH]+ 707.94	64	NA		-1.16418318661525	6.50057665305891e-08	1	-0.109975737573105	0.353124107263332	0	2.16073710572439		0
