variableMetadata	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M201.5621T10.37	12.27776309	9.289174646	11.20281929	10.54620188	10.97086947	10.98413858	13.50561806	12.58815197	11.45551833	11.75749585	11.1500303	10.40072257	11.44399145	10.46071288	12.89209081	14.45527841	14.75791551	15.46258982	15.3654575	15.25418345	14.89949996	13.79340823	13.85134596	15.18727899	14.13779728	14.19884173	14.47048348	13.46196794
M248.0792T2.31	18.2338916	18.84846218	18.03087347	19.89761505	17.86619286	18.2715419	19.31421148	18.02469763	19.71539162	19.89747561	18.86858355	19.40523726	19.94233266	18.91495704	21.32979141	21.31284696	21.92913847	22.09367772	21.97749935	22.07679048	21.94875469	22.14522411	20.85145321	21.56420439	22.09136985	21.62736066	22.03732374	21.97313924
M337.1259T5.02	15.8138701	15.48049297	16.0896373	14.88124065	16.38914546	16.07646699	15.9848432	16.12987181	16.83672473	16.44070909	16.50608579	16.279898	16.61792656	16.31702072	16.4711692	14.00127623	14.27012009	13.00119459	13.44728215	14.05453734	14.33073625	14.48889141	14.26786786	13.77166175	13.21252025	15.42000033	13.76560312	14.01171559
M326.9893T9.2	17.17163324	17.71874959	17.23720156	17.20236109	16.85871076	16.55569126	17.84326843	16.90281906	17.46079343	18.38458858	17.39442083	17.8753228	17.5033506	16.78197565	18.89319753	18.6774461	19.00451127	19.70778291	20.43192194	19.43187095	19.59912412	18.8977152	18.38046064	20.40999476	19.63056487	19.12657618	19.34773598	18.53336928
M698.0528T10.35	15.49358936	15.67255158	15.4226939	14.86518568	14.88327094	15.10303367	15.18532689	15.22548989	13.990424	14.06738562	14.6715079	14.65887309	14.07889549	14.88284983	15.34000341	16.02027183	16.63037094	16.75072007	17.11191913	17.05397572	16.97551215	16.52178981	16.49881649	17.25925593	16.73631472	16.12638284	16.51842971	16.35145397
M319.5201T10.09	14.4175361	15.06813293	14.89366178	15.22406802	13.891009	15.26772049	15.74420841	14.46970413	16.07507881	16.87894537	16.93082048	15.92656054	15.0265913	15.96427046	16.56187592	16.98522156	17.76368959	18.49877599	18.41137816	17.56642944	17.95032294	17.64085638	17.11661505	18.25046775	17.87506477	17.00365406	17.91242041	16.72664126
M228.0282T9.02	16.63579888	16.93951953	16.73671373	16.15501722	16.02023601	14.88794645	17.3323819	16.27619276	15.78933954	16.26870098	15.45057238	16.61710439	15.15510124	15.59944973	17.367756	17.91301151	18.21511916	18.23751528	18.45568522	18.25074808	18.19714901	18.04587002	17.7712038	18.08346115	18.49868913	17.88627768	18.61913277	17.99459486
M533.1743T10.93	12.56992608	12.05254564	12.13922613	10.29758694	11.63876216	10.01414185	13.05781002	12.43989502	10.69752972	10.0474007	11.13705838	10.51935024	10.66576671	11.00013806	11.8833814	13.91924044	14.55661442	15.42552769	14.51459695	14.8425566	14.4977926	13.67363371	13.4666628	13.8866635	13.87371421	13.47935335	13.99931213	13.26821126
M273.0385T8.93	14.76186648	15.47362585	16.22985732	14.48450069	15.01455275	14.44501355	15.83813904	14.48167458	14.18051682	14.95413223	15.0174857	13.78412769	15.92558457	15.96758315	16.68062874	18.42291559	18.41467946	18.43748835	17.70239051	17.73913057	18.37873979	17.76293608	16.46595104	17.8385755	17.02862483	18.03569961	17.62111035	16.58183859
M535.1549T5.11	21.19288815	22.67596069	21.13946954	21.4908313	21.50395866	21.44582366	22.06167377	21.79661319	22.98200392	22.71676484	22.27801295	23.17331877	22.59808772	21.53831115	23.2609758	23.38208385	23.87278383	23.58223239	23.83977296	24.09331971	23.88934558	23.16512873	23.58633942	24.03890158	23.93394003	23.81607125	23.96091959	23.24131564
