variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M201.5621T10.37	metabolomics_liver_hilic_neg	LAT	hilic			NA												M202T10	201.562122563989	622.375815029953			1866	NA		3.16621453688262	8.98089301319711e-08	1	-1.20232066668553	0.0259408717713048	1	2.07635590437524		-0.41959163377994
M248.0792T2.31	metabolomics_liver_hilic_neg	LAT	hilic			NA												M248T2.2	248.079248025111	138.658401044601	[337][M]-	[M-H]- 249.092	18	167	@M249.0826T2.31|-13C|@M284.0559T2.35|-(HCl)	2.7135149934748	8.98089301319711e-08	1	-0.749998527467508	0.176892264560702	0	2.10596110568239		-0.376876214121872
M337.1259T5.02	metabolomics_liver_hilic_neg	LAT	hilic			NA												M337T5	337.125893462174	301.278295412593			928	NA		-2.15100117628256	8.98089301319711e-08	1	0.278059643404843	0.738273485749777	0	2.31198041103195	plsda	0.311476774142254
M326.9893T9.2	metabolomics_liver_hilic_neg	LAT	hilic			NA												M327T9	326.989256931791	552.216343777615		[M+Cl]- 292.02	6	252	@M424.9664T9.2|-(H3PO4)	1.86919495411243	8.98089301319711e-08	1	-0.975975271480063	0.00163687261612045	1	1.99317135202468		-0.377423215227766
M698.0528T10.35	metabolomics_liver_hilic_neg	LAT	hilic			NA												M698T10	698.052845249631	620.793146840401	[830][M]-	[M+Cl]- 663.083 [M-H]- 699.06	26	449	@M699.0568T10.35|-13C	1.7553545822306	1.78531355762593e-07	1	-0.213855848869642	0.788415488881186	0	2.20585167421924	plsda, forest	-0.280394631261376
M319.5201T10.09	metabolomics_liver_hilic_neg	LAT	hilic			NA												M320T10	319.52008700423	605.461630928221			23	NA		2.18000344420833	2.00715985982305e-07	1	-1.14731322432201	0.00267356205105112	1	1.96642305394115		-0.272605301025342
M228.0282T9.02	metabolomics_liver_hilic_neg	LAT	hilic			NA												M228T9.1	228.028163936189	541.106610883565		[M-H+HCOOH]- 183.023	10	152	@M326.0055T9.09|-(H3PO4)	1.95134905347976	2.98424792348145e-07	1	-0.534897769357485	0.214038978062143	0	2.17273265275391		-0.198500165764587
M533.1743T10.93	metabolomics_liver_hilic_neg	LAT	hilic			NA												M533T11	533.174334911105	655.979697064586			2028	NA		2.76395613953086	5.99196274967277e-07	1	-0.577198541416285	0.420961455626602	0	2.17036403736698		-0.164618270877775
M273.0385T8.93	metabolomics_liver_hilic_neg	LAT	hilic			NA												M273T9	273.038528007956	535.697117677769		[2M-2H+Na]- 126.034	10	NA		2.57610484608676	5.99196274967277e-07	1	-0.121154282700498	0.916257163591045	0	2.1729363424329		-0.194298660452868
M535.1549T5.11	metabolomics_liver_hilic_neg	LAT	hilic			NA												M535T5	535.154921331548	306.545013762054	[733][M]-		9	386	@M536.1585T5.11|-13C|@M537.1605T5.1|-18O|-13C2	1.59959638476688	9.49689491019177e-07	1	-0.782767246619766	0.0138748808939356	1	1.85162463501991		-0.253760116763285
M282T6_Guanosine	metabolomics_liver_hilic_neg	LAT	hilic	Guanosine	CHEBI:16750	2	a,b	C00387	Nucleotide metabolism	Purine metabolism	Guanine	HMDB00133	CID6802	C10H13N5O5	283.09167	NYHBQMYGNKIUIF-UUOKFMHZSA-N	InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1	M282T6	282.084749242544	373.048834272949	[405][M]-		364	NA		1.11070936434855	1.05536244982215e-06	1	-0.841552825347549	7.78433813220323e-05	1	1.78156617042894		-0.203941077707185
M920.3136T5.04	metabolomics_liver_hilic_neg	LAT	hilic			NA												M920T5	920.313630992333	302.410100975575	[914][M]-		12	500	@M921.3167T5.04|-13C|@M922.319T5.03|-18O|-13C2	1.45439035661844	1.3061165254451e-06	1	-0.75748459673958	0.0093984162836429	1	1.82520482400336		-0.200624385767275
M765.1981T9.64	metabolomics_liver_hilic_neg	LAT	hilic			NA												M765T10.1	765.198135659838	578.202056254424			17	NA		2.33970146861661	1.74776463519104e-06	1	-1.52960319399423	0.000919510137577415	1	1.88834668763733		-0.0539915578009118
M462.1471T8.32	metabolomics_liver_hilic_neg	LAT	hilic			NA												M462T8.1	462.147076628039	499.136074437258			1286	NA		-1.05983871239799	2.33255048057338e-06	1	-0.223351662506122	0.152564522327159	0	2.12562346056509	plsda	0.143254271291117
M618.0859T8.99	metabolomics_liver_hilic_neg	LAT	hilic			NA												M618T9	618.085885054475	539.491948756086	[792][M]-	[M+Cl]- 583.115 [M-H]- 619.093	10	423	@M619.089T8.99|-13C	2.469418264366	2.78388097318127e-06	1	-0.991403740751721	0.0797387380314505	0	1.9314627789484		-0.0688824011346786
