variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M130.0661T10.3	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M130T10	130.066098800329	616.98031454028			1705	25	@M174.056T10.3|-(CO2)	1.37335868967401	0.030412366908279	1	0.164615341804222	0.559234153294763	0	3.15948421918131	plsda, forest, svm	-0.607593850517854
M540.2731T12.9	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			4		M540T13	540.273105778257	771.069922955118			1926	NA		1.29314541670295	0.030412366908279	1	-0.530730794829077	0.231030094236424	0	3.09530441412639	plsda, svm	-0.304235760567453
M516.2731T12.9	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			4		M516T13	516.273056261649	771.432890065932			688	NA		1.13258675097704	0.0693938388511579	0	-0.214772615254789	0.761130463098561	0	3.06202207723046	plsda	-0.130090710767264
M87.0087T1.2	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M87T1	87.008692622592	71.1210836266932		[M-H]- 88.0176 [M-H-COCH2]- 130.026	8	NA		0.400835206693817	0.0825623653181673	0	-0.206831954318428	0.160654320697164	0	2.99283925858871	plsda, forest	-0.44345225158435
M174.032T0.7	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M174T1	174.032001107971	43.1148443981098			90	NA		0.383023632463816	0.0977222152574525	0	0.0231865988215567	0.754550479185645	0	2.84230923414566	plsda	-0.150661753947151
M155.0097T1.2_2	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M155T1.5	155.009711443104	71.1394657055316			440	NA		0.522702689218624	0.11668170134905	0	-0.301654374008137	0.138261636792772	0	2.75761676654648		0
M133.0142T1.2	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M133T1.4	133.014222797696	70.7607900457254		[M-H+HCOOH]- 88.0176	8	17	@M115.0036T1.2|+(H2O)|@M135.0186T1.2|-18O|-13C2	0.49820287587778	0.11668170134905	0	0.207186046448566	0.183663609446977	0	2.9825075369094	plsda	-0.142282631178327
M181.0504T7.6	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			4		M181T8	181.050446423313	453.735402512974			297	NA		0.605028019513066	0.125857117098067	0	0.701341483357961	0.00231244010147503	1	2.57109290226764		0
M307.0338T1.2	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M307T1.1	307.033825354605	71.6107451207034			8	NA		-0.407070334632706	0.125857117098067	0	-0.245111724032096	0.0831333261920148	0	2.47142011292463		0.184676279884065
M154.9984T1.2_1	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M155T1.4	154.998438185755	70.964257084692		[M-H+NaCOOH]- 88.0176	8	NA		0.384212373435556	0.125857117098067	0	-0.0577636070709282	0.877543657468249	0	2.72464444938124	plsda	-0.023392947098532
M114.0308T1	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M114T1.1	114.030831779361	58.1491961562496		[M-H-CH4]- 131.071 [M-H-H20]- 133.061	105	NA		0.340295775002858	0.125857117098067	0	-0.111468557987687	0.539189761891467	0	2.4316789264286	plsda	0
M204.0666T9.6	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M204T10	204.066589361017	576.450287249012			1616	NA		0.544791072240441	0.164151332449836	0	0.186771116943737	0.319254275755032	0	2.77987276325305	plsda	-0.0571446834345108
M129.0557T7.9	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M129T8.1	129.055675911792	475.605525559411			201	NA		0.574027732023364	0.198317415807086	0	-0.111809635321459	0.81620834172913	0	2.58042154207392		0
M191.0197T1.2	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M191T1.4	191.019734855632	71.2595850720204	[74][M]-		8	38	@M192.0232T1.2|-13C	0.374123519718363	0.198317415807086	0	0.0612299511389836	0.631779940341891	0	2.87741400920784		-0.237113072021266
M588.3215T14.1	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			4		M588T14	588.321487294033	843.463307809656	[381][M+2]-		1142	NA		0.343016913642899	0.198317415807086	0	-0.223028626476754	0.145359056697641	0	2.11280664285441		0
M157.0367T1	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M157T1.5	157.036674398529	58.3268445715955			105	33	@M193.0134T1_2|-(HCl)	0.339632162009536	0.198317415807086	0	-0.130492553108128	0.468882803084591	0	2.40133794509995	plsda	0
M569.7428T16.8_5	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			4		M570T17.5	569.74276761006	1009.95187386962			680	NA		-0.295887004582561	0.198317415807086	0	0.143023558097964	0.317768194840899	0	2.42122711695824	plsda	0
M111.0087T1.2_2	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M111T1.3	111.008701881015	71.5369075251912	[11][M]-	[M-H]- 112.018 [M-H-H20]- 130.026	8	14	@M112.0121T1.2_1|-13C|@M129.0193T1.2_1|-(H2O)	0.28047733308464	0.198317415807086	0	0.162648997134895	0.122732720379695	0	2.82145691382795		-0.160291697547917
M173.0091T1.2	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M173T1.2	173.009101517059	71.1271807571874			8	NA		0.268824481077996	0.198317415807086	0	0.122827443333515	0.228884602079908	0	2.78090375868872		0
M146.983T1.2	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M147T1.5	146.982990662658	73.3297591656468			1576	NA		-0.199828012657157	0.198317415807086	0	-0.0829631458204769	0.276661297592444	0	2.37922851438083	plsda	0.182781146733336
M604.3258T12.9	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M604T13	604.325795064432	774.003459458622			1677	NA		1.39910816452069	0.201238603499422	0	0.508680150879519	0.344236166201052	0	2.54270579276252		0
M352.0279T0.9	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M352T1	352.02787043982	53.1257079147169			846	NA		-0.497562985252866	0.212440695287661	0	-0.104394094530694	0.579567590973458	0	2.4096419740616		0
M161.9621T1.2	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M162T1.2	161.962055007155	71.7739466259228			8	NA		0.22135152041893	0.212440695287661	0	0.251802981666177	0.00834723214494404	1	2.02279373252851		0
M464.3147T15.7	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M464T16.1	464.314658097927	939.507168019158			2296	NA		-0.3799802772752	0.25362926349475	0	-0.132411518540412	0.386571854413943	0	1.97701505903734		0
M482.3154T16.6	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M482T17	482.315397862739	996.56454889698	[283][M+2]-		1419	NA		-0.347502362383539	0.263968250768841	0	-0.0561908851327981	0.65899224146024	0	2.29480124115342		0
M767.5632T15.2	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M768T15	767.563226766667	912.935326540782	[513][M+1]-		9	NA		-0.308976189859354	0.275922656429994	0	0.104677566569869	0.603485272898274	0	2.11779002535056		0
M292.003T0.9	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			4		M292T1	292.003045379409	54.2587818391715			1527	NA		0.303063588905196	0.275922656429994	0	0.149966349163922	0.239534378280177	0	2.3477739220276		0
M637.3529T16.5	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			4		M637T17.1	637.352855453517	990.502651589442	[434][M+1]-		97	89	@M569.3654T16.5|+(HCOONa)	-0.338403577817491	0.283272800893739	0	0.379917469774998	0.0110748383734185	1	1.98100099364407		0
M332.268T18.8	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M332T19	332.268037381231	1125.23811740573	[208][M+1]-		926	NA		0.271001636736496	0.283272800893739	0	0.328008804729937	0.00929333244049819	1	2.05449163529824		0
M481.3129T16.6	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M481T17	481.312878650545	996.364773248766	[283][M+1]-		1418	NA		-0.222144531994935	0.283272800893739	0	-0.0770175936792707	0.414638753832662	0	2.25614933946357		0.0363406089797926
M588.0529T0.9	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M588T1	588.052945621342	53.1511586324551			33	98	@M590.0498T0.9|-34S|-41K|-37Cl	-0.628291183563235	0.290785279575646	0	-0.168321898328038	0.534845974419214	0	2.05522316799323		0
M686.2461T14.2	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			4		M686T14	686.246071084892	854.531178177072			1177	78	@M606.3025T14.2|+2(NaCl)|@M683.2373T14.2|+13C3|+13C+18O	0.473011665771951	0.290785279575646	0	-1.3470039184978	1.63148308332249e-08	1	0.778980613960419		0
M143.0462T1	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			4		M143T1.3	143.046244398142	60.3443328230724			1836	NA		0.881612734048328	0.296474651413738	0	-0.366199697110607	0.503898425674307	0	2.07454847235006	svm	0
M543.0595T15.2_6	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M543T15.8	543.059518854275	913.650735082338	[338][M+4]-		460	NA		-0.124385879613694	0.296474651413738	0	-0.0986901099067623	0.0824808916749543	0	2.49836788540536		0.273562378497901
M225.0495T1	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			4		M225T1.1	225.049494988648	57.4525349850601			105	NA		0.353288048586748	0.318433230705514	0	-0.513731755006644	0.00157533448953756	1	1.7922754566163		-0.181325925034827
M170.8332T1.2	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			NA		M171T1.1	170.833186463924	74.0592984860034			1585	NA		-0.324398063030438	0.318433230705514	0	-0.0577622948489704	0.663004648727615	0	1.61012149874368		0
M214.089T0.8	metabolomics_plasma_c18acquity_neg	LAT	c18acquity			4		M214T1.2	214.089001540072	46.4931818074258	[91][M+1]-		139	NA		-0.320879328074847	0.318433230705514	0	0.381284928288743	0.010360225514483	1	1.42576952681741		0.034896739019226
