dataMatrix	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M584.3347T12.9	12.4052469503355	13.0622625251539	12.1316778338506	11.930853761451	11.9829888467775	11.2641805713446	11.0471221226305	11.4954687938877	12.213753637537	13.1971472900985	13.2631217566461	11.9049888558389	12.0953427125338	12.9599171071229	12.5741336316261	13.1217944544585	14.1161641756707	12.6007545879962	13.514042683656	12.8310113774911	13.0538975501188	13.3832460014384	13.4871803290971	13.2822237854218	14.2495495382746	13.7528089248571	13.0575748637291	14.9727869731681
M147.0289T1.19_1	14.2302321664891	13.9971208827175	14.5380586917365	13.9717856505697	13.8269277181711	14.2000799238415	14.5964894081616	14.1847803157098	14.7281155797718	13.7589982924515	14.1655812145809	14.3654764859901	14.3616073644559	14.1297069629281	14.4316897335043	14.7138331019931	15.0385569888661	14.7113250756091	14.4657403237478	14.6697538281843	14.5908039994228	14.6949317345051	15.1345099784231	14.3862245246861	14.6275841977814	14.9658160285897	14.8741543315514	15.3381138005478
M370.1353T1.19_2	11.1165552518415	11.1766603278213	10.7372076923612	10.6354850278643	11.0381020149665	11.3442444403956	11.5013388951141	10.6690047182002	10.7259643059216	11.0839085681802	11.3533091172528	11.1145949978455	11.3736407551236	10.9755430087197	11.1991538592132	11.7125793128063	11.8382128737254	11.6479498320676	11.1837375542837	11.7429504253197	11.2387021819615	11.3908003768484	12.0611473205673	11.471715826532	11.5209950460732	11.5488320182176	11.7199743869367	11.657830652171
M290.1752T8.52	9.19130420466436	9.23077521518342	16.7915917540597	17.4914847960694	17.2774612028981	10.6063572808461	15.3568394173909	17.5850757110851	10.0414485438104	10.0095698902652	9.18112782145539	9.26015807354208	9.48382680364786	8.75940186359554	18.1555940220328	18.1138377152035	20.4785357738643	17.4835838400432	19.1180506116274	18.3877613192828	17.9017316789685	17.9525216089716	19.2547280802667	19.1210208220602	18.2186283127445	16.3543063925055	17.2737042735499	15.0439611161943
M338.0874T8.09	12.9052565362271	14.0851280645161	8.03507750815159	8.27594970009153	8.63054388311922	8.57081060475293	14.1076909526956	9.79960582396272	11.0085443470709	9.69087700676888	13.1413680303949	13.1948519233017	8.9174458742356	9.34732659472718	14.6285607905224	14.5964419693433	13.7664407890818	14.5789631962317	14.2332845569447	15.474826451738	13.889387126889	13.8579268683451	13.1205820149333	14.2770462582452	13.6303463045514	14.0636758488599	13.5608466432332	14.8303195705423
M176T10_indol.3.acetic.acid	11.0207913732162	11.6116699688981	11.3413093970272	10.9905923636324	10.6732456407051	10.2635675910032	11.6409448421042	11.7210422655757	10.607733231837	10.3029873854827	10.3386954002357	11.5438851182782	10.9292037902015	9.7847578393609	11.5219204887021	11.6126686760517	11.577590776057	11.1002324422595	11.6678661731808	12.5129361127025	12.1516377700263	12.2454782359731	12.5132151872681	11.2542511055221	12.4693813236587	12.8357606713283	12.8474263461936	12.1709009463688
M333.9622T1.15	11.9890591480307	11.8225091690421	11.9995294718909	11.5888989213468	11.8528085410641	11.9053411839845	11.8554935431256	11.6082956201591	11.9066274006401	11.5556890071013	11.9232246154747	12.0292828431166	11.8429294022587	11.8030181930576	11.9583936027174	12.1857061009025	12.135381560144	12.1952537794822	12.2592554661721	12.5358104454526	12.222850591121	12.2081452131935	12.1324832083446	11.9117629080547	12.4372356805196	11.8400846559112	12.2611074017044	12.5638285482536
M437.973T1.19	13.599133984208	13.5648153409963	14.6323644016696	13.4527099355078	13.5397184483227	13.6433921885145	14.0469286319363	13.3810956920225	13.6131874582788	12.9026555862486	13.6864224992668	13.862513613957	13.8850324622908	14.0101224808357	14.3154056510402	14.8390609116262	14.7270024500575	14.5137353079684	13.7873688815234	14.2772348362756	14.5238389820957	14.4092567055793	15.0391271682558	13.3607630497265	14.4482354809954	14.9349910659286	14.5641257452531	14.5429115709425
M340.103T8.44	8.9376727780936	12.7436916661558	8.17706480853821	8.98265893524132	8.06752136968565	8.16915828675221	12.3465949236955	8.87311288448903	11.1718969503296	8.85408887576386	8.64465363906867	9.90585799975902	8.07956396261383	8.72518344664173	11.4967854887002	11.1913910293275	10.9495144586084	12.3221852836811	12.9856106148552	13.4057778289022	12.4356121929355	10.6484159412393	10.8071157598531	11.0365227980664	11.1522803095946	11.8286168727192	12.400003696659	10.9817543534722
M438.9781T1.19	11.6920545035065	11.4994589853454	12.4743412924278	11.5349203536685	11.8244349070234	11.1836133018689	12.4567953749717	11.9524416746322	12.1946165481282	10.6569003803526	11.4908002585249	12.2699930470937	12.2715865642291	11.8783365113101	12.2221327994879	12.6563294450072	12.9130604607151	12.9485933769297	11.7498112185709	12.592852920655	12.4743547852287	12.7428574106235	13.2103681273141	11.776198264894	12.8268909580365	13.205862481192	13.0860800577814	12.7307489700608
