variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M584.3347T12.9	metabolomics_plasma_c18acquity_pos	LAT	c18acquity			4		M584T13.1	584.334735578908	773.843390927874	[1763][M]+		61	231	@M585.3378T12.9|-13C	1.25886587447084	0.0272769506515417	1	0.170118620879093	0.464171011227962	0	3.26412297873775	plsda	-0.147183856291564
M147.0289T1.19_1	metabolomics_plasma_c18acquity_pos	LAT	c18acquity			4		M147T1.4	147.028920283703	71.1567805619322			1	NA		0.553044941664538	0.0272769506515417	1	0.0417545487629578	0.627077837521925	0	3.4795258652069		-0.40836743024383
M370.1353T1.19_2	metabolomics_plasma_c18acquity_pos	LAT	c18acquity			4		M370T1.2	370.135258221516	71.233330616145			1	NA		0.525385376215278	0.0272769506515417	1	0.0309672398948351	0.675481918229346	0	3.22554278605315	forest	-0.0778202322199038
M290.1752T8.52	metabolomics_plasma_c18acquity_pos	LAT	c18acquity			4		M290T9.1	290.175204051517	511.270070956165	[664][M]+	[M+Na]+ 267.18	59	94	@M291.1786T8.52|-13C|@M292.181T8.52_2|-18O|-13C2	5.49256080703658	0.0287456806941141	1	-0.790300037849141	0.834697820411722	0	3.18884118806925	svm	0
M338.0874T8.09	metabolomics_plasma_c18acquity_pos	LAT	c18acquity			NA		M338T8	338.087359323351	485.462224717788	[860][M]+		189	NA		3.18868628029274	0.0287456806941141	1	-1.5866623989731	0.103966097323352	0	3.02723832615782		0
M176T10_indol.3.acetic.acid	metabolomics_plasma_c18acquity_pos	LAT	c18acquity	indol-3-acetic-acid	CHEBI:16411	1	a,b,c	M176T10	176.070701419844	616.936760065398			8862	NA		1.12097271511526	0.0287456806941141	1	-0.150727682047679	0.851132919452901	0	3.28130940516637		-0.156818832047802
M333.9622T1.15	metabolomics_plasma_c18acquity_pos	LAT	c18acquity			4		M334T1	333.962222000531	68.8546947764664			40	NA		0.379483460357473	0.0287456806941141	1	-0.0564685419583277	0.817816274754299	0	3.38484452900611	plsda, forest	-0.270294208499285
M437.973T1.19	metabolomics_plasma_c18acquity_pos	LAT	c18acquity			4		M438T1	437.973005249574	71.545923726657	[1211][M]+		1	NA		0.716683607523985	0.0309068332073339	1	0.252580549867643	0.137442368041908	0	3.22267239203198		-0.440368698272841
M340.103T8.44	metabolomics_plasma_c18acquity_pos	LAT	c18acquity			NA		M340T8	340.103025604161	506.618228757845	[867][M]+		103	NA		2.15841250716328	0.0341450193940598	1	-1.33868998696842	0.0397748993856441	1	2.97699783022538		0
M438.9781T1.19	metabolomics_plasma_c18acquity_pos	LAT	c18acquity			4		M439T1.2	438.978097450166	71.6310285530064	[1211][M+1]+		1	NA		0.845531192931855	0.0353686392355672	1	0.0799651177860703	0.624706794921818	0	3.24318573359166	forest	-0.270577479642873
