dataMatrix	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M340.1039T5.35	0	12.3049520723877	0	0	0	0	15.9925911618322	8.67521724544248	0	0	10.8365235969359	11.6901572416229	0	0	15.427472282449	14.5058217210098	13.6957692683496	16.2745831097985	16.9819250389678	17.1633960871621	15.0696718130075	13.7110061067053	13.8631863455018	13.9221331263738	15.1446090184925	13.9235453896414	16.1309765435839	14.4682613387662
M701.4347T16.46	13.0791658326949	12.9343809129726	14.3596032274586	13.5410120932052	14.3904559400486	14.25430989841	14.2790856015313	15.2559543079693	14.3811656400036	14.0160500197483	13.5019584554253	14.6801010895717	14.5680382930065	14.204468532314	15.1441381704063	12.2660094689806	12.6495155269553	12.6680787904431	12.1423154161292	11.9503707454267	11.1060466913187	12.3172867119073	14.3823058662855	12.7388959900654	11.6970771743803	12.9017065839799	13.0036027155771	14.2315037318846
M250.0387T1.05	14.7350706796288	14.7894219822504	15.0596876985517	14.5859183528606	14.4601475744714	14.924607150822	14.7959467258822	14.3897506088327	14.8409751696787	14.3901877946523	14.6621364666276	15.015730454952	14.5587812784391	14.9492609545026	14.735535451115	15.1903748237897	15.4068181360262	15.3255685637207	14.6555125394548	15.1609695959643	15.1619760955844	15.1379928964373	15.8126317686342	14.6918403981963	15.2353474857351	15.4577694480626	15.6683879804787	15.8154083255061
M124T1.1_Nicotinic.acid.Niacin.Pi.	15.2144672279026	15.39143046008	15.593026677417	14.8055610660001	15.1203121737422	14.9401345191107	14.8059396216246	14.9131067618876	13.5311746975526	14.3694685314923	14.2302987988258	14.3643154280138	15.1512018547848	14.6257203563964	14.9663169920399	15.364848520633	16.4100117454082	14.7384014800062	14.8424216512482	15.0484786489681	15.1577484489151	15.8227972396792	15.865318163373	15.0209931650918	15.0009734994286	15.849993003285	14.9722446494833	15.8832418684325
M480.2157T9.75	11.8543725146741	13.1659935952102	13.0100619478626	12.5721199024842	13.57271296644	12.6819697957955	10.9356757817428	12.9449698469196	11.2350021113044	13.2647832289647	12.4019394593264	12.7387583403898	14.0305583205748	12.8782349674236	13.7352870399134	12.6136090154625	14.1492324562474	13.634697457695	14.0069216711612	14.4313939379814	13.6992797002752	13.9289081328098	13.7670802216418	14.3387872194523	14.1258892135259	14.7572929563383	13.8102374196951	14.3229727666082
M338.0886T1.68	10.8570886757221	12.159419514	0	0	0	0	14.2375207710939	12.6919912377373	0	0	12.598933391746	12.7401519207206	0	0	14.2414660942858	13.196840620967	13.3276607415436	14.5974267452582	14.6277440415385	15.1891476156218	13.6195946571609	11.9059315342695	10.1119445748945	14.4113867997654	13.2371979245553	13.0047366143711	13.8446485950396	11.6640241164503
M217.1558T1.54	12.5666834671175	13.3293580842773	12.7810186795306	13.618127216359	14.0311701764504	13.6106042277515	12.6260405487562	12.9278516122916	13.3745530000486	12.5034329157068	13.7154044468841	14.388874074429	13.8707845701222	12.3190936145629	13.4814875071392	11.0058872912648	11.6370730268021	13.3983343626542	12.1374974999158	13.0468392930624	11.8678169620431	12.7621119467545	11.6119874485799	12.2168923355477	13.1302349112841	12.2170648204222	12.772531901895	12.3125479213411
M318.1829T5.74	13.7660682996774	14.2415878684218	13.1270551079591	14.290420105585	14.0621616600264	14.8072498551338	14.8308006627074	14.2005904721481	14.6492115641077	13.9590101557555	15.1170577621404	15.3860923924391	13.5177333530059	13.2343796693262	14.3694007195999	12.4201245926199	12.355039553934	14.4058806061763	13.8591345653071	13.5293638969506	13.3504400404853	13.9458619120597	13.2042553167929	14.0013154052191	13.8714103722976	12.960045386015	13.787310813257	13.7254775050387
M338.089T5.02	16.5093010232106	17.2396711988999	11.4744909694287	10.7016322948901	0	0	17.4348232203101	10.427788734493	11.0898978319782	9.51248181022527	16.8570863693155	16.5341548596516	0	10.5955572591724	18.1829289307994	17.8467414382093	17.7207484281489	17.985198056739	18.0715179349642	18.5922126759551	17.4363145116551	17.3262734100821	15.6649236549303	17.7738096097501	17.2374815559107	17.6212828680283	16.8840589747485	18.1939203070007
M645.3722T16.46	10.2365917707269	10.4342663115004	12.0571975796528	11.0341685983186	11.6981335986229	12.1254903481608	11.7773437542239	12.8644688555697	12.0785066139343	11.2144837553392	11.1087737431253	12.2745475967834	12.2447380084244	11.7835252580855	12.7124955674161	9.77078015187649	9.58163925622105	9.29354673325647	9.30737316766125	7.28959187173351	0	7.93306517732514	11.8864463225709	10.2055142983287	8.79054164387539	9.82058148371333	8.77110654804874	11.6315310974485
