dataMatrix	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M239.0025T2.44	0	0	0	0	0	0	13.8300900260222	13.5346528925285	0	0	0	0	0	0	12.7444555014359	14.7869226838412	14.3094201646211	12.7469020758529	12.1005819528082	10.2313517358902	13.2729375795097	13.8732322123159	14.5517041236121	11.8884263206147	12.2479711333669	14.8173047101347	12.2857287771028	14.2742726123403
M338.089T3.14	7.3710550793348	10.2747216068059	0	0	0	0	15.4846633384924	6.99927021881942	0	0	10.928607020104	0	0	0	14.7711481140657	14.0910226017208	12.7343548658401	15.6558732784707	16.6165666390363	16.7573130983541	14.7192141225704	12.8614011394397	13.1143403779062	12.798771038798	14.6924109811399	13.5454151738575	15.8459659253526	13.3885428860412
M216.0517T8.52	13.7938365076852	14.3461960717019	13.7581026930982	13.0528726085818	12.699208332476	12.8606104009545	13.8520790570954	13.8637964181792	12.8044870657071	13.0816514315417	13.6312152871361	13.2427732235055	13.6875010846716	13.3267418997417	13.4955873767575	14.710959132119	14.985010320138	14.2589517425113	13.9191995015291	14.0882542767769	14.4408518367352	14.8282448959324	14.2649652526188	14.2132071145065	14.3692223003933	14.3600086119338	14.3802320917795	14.0543779147312
M248.0239T10.65	15.144170581999	15.2662647343569	15.4087322609759	15.1504842901444	15.0276724214686	15.0701716649794	15.0326869730996	14.716346431366	15.1906432022523	15.3435984244794	15.3325256631396	15.3069869079787	15.2665399243293	14.7758046283747	15.3562499016086	15.783035218903	15.4116950191031	15.7895586209697	15.5443099096959	15.779902817638	15.7949342795585	15.7511701175076	16.3244427358588	15.4265338978202	16.0530405802118	15.8976189742973	16.2615031008348	16.5617556761743
M145T3.3_Monomethyl.glutaric.acid.	17.7388407378038	17.5373725084618	16.9069198501818	17.4508499484521	17.4232852294061	17.1892804213539	17.8616897654431	17.5058263777416	16.9808643707604	17.4892500511695	17.5102051922917	17.8775223214372	17.5248492049538	16.9515116323246	17.2424126879414	18.6174573082481	18.3213107651979	18.4684289724121	18.1480169177095	17.9159527919993	18.3167168628104	18.0340661407476	17.8168429215456	18.0831140169392	18.3009531008996	17.722736279228	17.8946868367581	17.9815513994694
M146.0223T10.17	16.6820740703085	16.9559264419003	16.9844352798611	16.6541898517718	16.7222953861502	16.6701592979201	16.8036997664545	16.7677413858218	16.9076805473698	15.950881277335	16.7244217679137	16.72448854367	16.8667431178595	16.5268214966709	17.0425132149558	17.4869389545039	17.2191391815519	17.3514631607002	17.035667386256	17.2710122877222	17.175874197895	17.3810750580676	17.529437546796	16.8290948022175	17.4104037912107	17.6530441724394	17.4497649786039	17.3772541788234
M87.0089T2.99	24.0724003694726	24.1045560546856	23.8441324166935	24.29391121312	24.0306591790659	24.0363998972492	24.1846508557215	23.880869020886	24.3380089568605	24.5672294935407	24.3218013677322	24.8641774052267	24.087923801656	23.8044507115939	24.528048163594	24.7677773424442	24.6565813039113	24.7631915531866	24.8889233585976	24.8267693727239	24.7902764036293	24.7373011914357	24.3559209061499	24.7132648611694	24.9485354310665	24.6508994591074	24.8775339745883	24.7668458943839
M128.0117T10.18	15.733852929601	15.9749922253206	15.934941330269	15.4072939242042	15.6231145628645	15.5280759329855	15.5069538551763	15.4744103454819	15.8264691355719	15.1748040396986	15.609788351537	15.6834808162858	15.757042652647	15.5828492502093	15.8767328750382	16.3048724970843	16.2648528260189	16.1486900043994	15.7730951416123	15.9609418384246	16.0792719947532	15.9855559839522	16.5056165087036	15.8314077898983	16.2392398734401	16.6459528613279	16.3386560540177	16.3443639033975
M95.5081T10.17	17.6867994155253	17.9106034539722	17.9973356651997	17.7362103527936	17.8378601738993	17.8131936114779	17.7908299301933	17.7714226773606	17.8573747061414	17.1257613808236	17.7545071466461	17.8407173664086	17.8326046556922	17.624082625166	18.0287060808008	18.3975414278627	18.1325186682708	18.4922304465255	17.9936317611019	18.2085805530152	18.2177013175008	18.2647338952065	18.399830434976	17.8688965001017	18.3649905958531	18.54446480683	18.5797537977647	18.4263765642146
M414.1528T5.66	12.6286277906918	13.4765896459918	13.2679913679244	13.6822251386619	13.9997922827519	12.8863758699146	14.7942268539334	13.1562152123901	14.7042197902796	13.9829083540925	14.1100287596542	13.9940797130802	12.9790788636741	12.9230156378225	15.5836002797166	15.3082725010115	15.5883329360385	16.8184439814381	15.3091737962137	14.6872762401105	15.7189591397056	17.1173445252133	16.7578004275507	16.8679034197381	15.5839037052136	13.9885375418923	16.932077545546	14.0413806071596
