variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M239.0025T2.44	metabolomics_plasma_hilic_neg	LAT	hilic			NA									NA			M239T2.1	239.002472737962	146.66636538284			1206	NA		10.5096500603607	0.00052075601280555	1	-2.73358867773334	0.437561663660269	0	2.12391384706838	plsda, svm	0
M338.089T3.14	metabolomics_plasma_hilic_neg	LAT	hilic			NA									NA			M338T3.2	338.089028108226	188.495647124473			1230	NA		9.98222990778884	0.00052075601280555	1	-4.13492500316124	0.137134810359776	0	2.05128368388496	plsda, svm	0
M216.0517T8.52	metabolomics_plasma_hilic_neg	LAT	hilic			NA									NA			M216T9	216.051734459599	510.910534008398			1073	NA		0.941772830311491	0.00052075601280555	1	0.0776519287307007	0.61489596939196	0	2.12065157577845	forest	0
M248.0239T10.65	metabolomics_plasma_hilic_neg	LAT	hilic			NA									NA			M248T11	248.023938567629	639.006575175072		[M-H]- 249.031	44	157	@M204.034T10.65|+(CO2)	0.716087692776481	0.00052075601280555	1	-0.00637589015577156	0.865768840049127	0	2.38051595054185	forest	-0.246961520748552
M145T3.3_Monomethyl.glutaric.acid.	metabolomics_plasma_hilic_neg	LAT	hilic	Monomethyl glutaric acid;5-Methoxy-5-oxopentanoic acid	CHEBI:1007322	2	a,b					HMDB00858	CID73917	C6H10O4	146.05791	IBMRTYCHDPMBFN-UHFFFAOYSA-N	InChI=1S/C6H10O4/c1-10-6(9)4-2-3-5(7)8/h2-4H2,1H3,(H,7,8)	M145T3.3	145.050823834934	163.471401539785			1493	NA		0.712044465708079	0.00052075601280555	1	-0.169911851352754	0.562651735329145	0	2.23525748144134	plsda	0
M146.0223T10.17	metabolomics_plasma_hilic_neg	LAT	hilic			NA									NA			M146T10	146.022290733609	610.171147494403		[3M-H+Cl]2- 86.0345 [M-H]- 147.03	10	6	@M84.0218T10.17|+(H2O)+(CO2)|@M128.0117T10.18|+(H2O)|@M130.9987T10.17|+(CH3.)|@M192.0234T10.18|-(HCOOH)|-(H2O-CO)	0.58851085463742	0.00052075601280555	1	0.0903447804641786	0.399792239792635	0	2.22123773675141		-0.429664359519212
M87.0089T2.99	metabolomics_plasma_hilic_neg	LAT	hilic			NA									NA			M87T3	87.0088671570841	179.61452883344	[6][M]-		22	8	@M88.0122T2.99|-13C|@M89.0132T3|-18O|-13C2	0.552243435864778	0.00052075601280555	1	-0.305965748396719	0.0240076303252159	1	2.25590013132161		-0.157695818576785
M128.0117T10.18	metabolomics_plasma_hilic_neg	LAT	hilic			NA									NA			M128T10	128.011726772449	610.933528171626		[M-H-H20]- 147.03	10	6	@M84.0218T10.17|+(CO2)|@M111.0089T10.19|+(OH.)|@M146.0223T10.17|-(H2O)	0.540027334389075	0.00052075601280555	1	0.147816805232157	0.168013137685277	0	2.23974562267117		-0.232450474086481
M95.5081T10.17	metabolomics_plasma_hilic_neg	LAT	hilic			NA									NA			M96T10	95.5080538894784	610.339850023314	[27][M+1]2-		10	6	@M95.0064T10.17|+13Cdb|@M96.0085T10.17|-13Cdb	0.525459699441257	0.00052075601280555	1	0.0506465350606788	0.5787363082781	0	2.23431691598922	plsda	-0.375877177846236
M414.1528T5.66	metabolomics_plasma_hilic_neg	LAT	hilic			NA									NA			M414T6	414.15275974623	339.732499601578	[556][M]-		899	360	@M415.1563T5.67|-13C	2.00304827289712	0.00068334437104994	1	-0.971260832486664	0.0811119682433467	0	2.00959276682232		0
