dataMatrix	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
Q8R1I1_Cytochrome b-c1 complex .	25.2289039546814	25.2991254119362	24.9981984752859	25.3602744448805	25.2486781038915	25.1741341881255	24.963904404494	25.0347145144928	25.0828386957287	25.0067948305824	24.8515923634144	24.9845821294632	25.3310168254144	25.0739829875113	25.0231622916654	24.6065862819669	24.6478294838409	25.1247697440996	24.9337910414961	24.8954783029344	25.1591828955714	24.4641245448456	24.7063662745262	25.0671469425471	25.0968894850459	24.6624997517931	25.0930678807327	24.6028114352711
P62852_40S ribosomal protein S25	26.3067462146643	26.370742872484	26.2428430849639	26.4459582557444	26.1812303742775	26.2642770757468	26.2523522975695	26.1391452112651	26.0678748152938	26.1217973423911	26.1067729795385	26.2599795423313	26.2423082843874	26.3052902706329	26.1490646859934	25.7150724745783	25.9231509109546	26.0286942287451	26.1290502810779	25.9534547525585	26.1818375739559	25.7614962476714	25.8829178223203	26.0163716858354	26.126245063887	25.894063825638	26.1393986529977	25.7284962284272
O08997_Copper transport protein.	24.4886788889416	24.2141839187302	24.3810773853026	24.636441086961	24.2646169817731	24.3752952193948	24.0559828994712	24.13170940973	24.174773329963	24.2158665190116	24.1859066715186	24.2715654702693	24.2748921016563	24.3298299999241	24.1728732092849	23.6883163756417	23.9151500507466	23.8827929404875	24.1471369019253	23.950858874503	24.0793993303967	23.9012362053246	23.9237613478123	24.2074837221044	24.0402397135492	23.7330514331446	24.1648691882747	23.7899922546584
P03911_NADH-ubiquinone oxidored.	21.1548422081461	21.106733050506	21.168005927983	21.0678495469482	21.1397830249205	20.9642242460195	21.6787632386875	21.5639213661583	21.8876602661583	21.4275625997759	21.5351939648758	21.3834466950782	21.2355018333505	20.9799242188536	21.5245781800343	21.7617569502397	21.5289393159982	21.5927492320422	21.7368576194176	21.9938067009188	21.6408638375471	21.4138773539228	21.6844705191968	21.4762259361218	21.5813125432256	21.7502539141848	21.546852786142	21.5683675206931
P61804_Dolichyl-diphosphooligos.	24.6866257651907	24.7187896501586	24.7463776703465	24.8371409976309	24.75794092267	24.7705060201537	24.5464627133192	24.5090228973359	24.4290882009662	24.4468748056345	24.2925242717347	24.5134360570806	24.7256723638834	24.9919412146498	24.3215886299929	24.3013151891955	24.2546373848933	24.358702571052	24.428556845547	24.3880030913161	24.2021019967602	24.3570668145135	24.4814158790974	24.4476578669296	24.4485737160976	24.3159732022962	24.4242302459208	24.2926080994775
Q9CQC7_NADH dehydrogenase [ubiq.	24.1770032312012	24.1606065328019	24.1146459578172	24.3501506502957	24.2119181409128	24.2737147967793	23.8990985433071	24.0334236737138	23.93579784631	24.0978021250856	24.0397633012465	24.0347440634902	24.2220088981899	24.2348257616189	24.2130181648968	23.7584458773431	23.8043229764479	23.9252595043124	24.2903206784264	24.1006695566197	24.1769233632247	23.8189830017364	23.9011954114108	24.0796945708765	24.1227837691382	23.9040522471415	24.0754874734881	23.9456138638261
Q9CQR2_40S ribosomal protein S21	24.8962962759121	24.8461333798264	24.8836224233205	24.8235854175195	24.881411337817	24.7995708600099	24.7082393093749	24.8074098571842	24.7645178087012	24.8158424580273	24.9053908614415	24.679836786018	24.8062404372231	24.7801564590361	24.6991733702151	24.49821655582	24.568536148034	24.6345264767033	24.749013678811	24.5804325967056	24.6579911101703	24.5836430198882	24.4762674754408	24.7644302355184	24.7050757927576	24.5755232052495	24.6363158414817	24.413083743905
Q9CQZ6_NADH dehydrogenase [ubiq.	23.2594800798582	23.264005981233	23.237505538871	23.2765802315247	23.132924057585	23.2948313366839	23.2069831802146	23.5321090406635	23.1998499416753	23.3621919928708	23.3402516305041	23.1931135256176	23.3489392279742	23.3330376656487	23.5604352310989	22.8597570397143	22.8264292976329	23.1028053458068	23.2529962507947	23.0463818277999	22.9817118557613	22.8274241177856	22.9647851295589	23.3386437687367	23.2534301544371	23.0948510421582	23.3142345771736	22.8217192991929
P62830_60S ribosomal protein L23	26.2874717224541	26.3869652346109	26.3697307206538	26.3807752020319	26.2986045049648	26.325719934055	26.4646223992491	26.3088617106214	26.2135993797825	26.3070901626354	26.1444334202897	26.2573629510804	26.3027036215837	26.3054771799667	26.2506203832024	26.0874039208143	26.0143438705594	26.1462142365769	26.183878402213	26.2152265146489	26.1980083718738	26.1399732995222	26.1362818047017	26.1112273847652	26.0944108548519	26.0601251094858	26.1722503192707	26.0562707307792
O70133_ATP-dependent RNA helica.	20.6141080505823	20.3698869739471	20.6160399412794	20.5019831668279	20.3867658343559	20.464379726038	21.0284455284686	20.7964336774281	21.3747979226269	21.3190966852097	20.7996605783649	20.9747812936358	20.8318106417884	20.7553648938896	21.0792526642356	21.595649037363	21.3268688728473	21.4979937168507	20.5685193325746	21.5037433810658	19.6295180454298	21.3501677851309	21.3910830749682	19.8556186535651	21.3277547798	21.4579148727244	21.4314474865721	20.83066267943
Q06185_ATP synthase subunit e, .	26.4757122827425	26.625149974955	26.3771913302728	26.476998050488	26.4569925325513	26.4429222410087	26.1262278883561	26.3464680141161	26.2951921526908	26.4664433266317	26.2791508926994	26.40810864652	26.5231162278181	26.310526526667	26.2885145147437	26.1326286883304	26.1150015673008	26.1994855900092	26.3543664252524	26.1833468831567	26.3959529738354	26.170191893828	26.1462499796775	26.4279889898926	26.3843936731269	26.1922457004507	26.3023336616422	26.1440270949798
Q99JH8_ER lumen protein-retaini.	17.1597478819166	17.1916312349083	16.3866949380304	17.0623964191088	16.9838147289789	16.8047763779558	18.357989250132	18.7266572245268	17.8915299041938	17.6139597070581	17.4252878723137	18.1731596972177	17.1158756795289	17.3782374409806	17.6133060300086	18.1190503329503	17.9125550826702	17.9957686963693	17.9566176677446	18.2423876782439	17.8158443846568	17.8523390044153	17.6295165691145	17.6677648519135	17.8167056937551	17.9565829013457	17.6524174496512	18.4427898871588
Q9CQM2_ER lumen protein-retaini.	18.0815544850805	18.1008905649487	18.2327271713021	18.0139376346531	18.119107081868	18.0262243989766	19.2187595085218	18.8469583997236	19.0210923196376	18.7112849706655	18.7468021410458	18.9016274036636	17.8900301668848	18.258202416039	18.2771615148459	18.8552974654737	18.780029884807	18.3649426864703	18.6589512698895	18.5601940293447	18.6833428885341	18.6637508180474	18.3139652616413	18.7354892884676	18.677742191406	18.9430742268428	19.2168444055247	19.1307994345406
Q8BZS9_Putative pre-mRNA-splici.	16.9468069213104	16.4823165464115	17.0710906631616	16.5862934267555	16.8694092535994	16.746163682485	17.5649321469691	17.1839837439058	17.4239035196989	17.3094164001751	17.167829725648	17.3829879271635	16.9570780024922	16.8691734216365	17.4815285856491	17.3056458646827	17.3588549801179	17.3640251044037	17.2165193377413	17.3259146273542	17.2410779238287	17.3634120319333	17.3460249782997	17.4193708363528	17.2448001130664	17.3324020899536	16.9862801521976	17.5180532909983
Q9CZY3_Ubiquitin-conjugating en.	20.2834156604377	20.1399792243235	20.4176715013451	20.4969696812978	20.1552819520915	20.5560494523074	19.3441352430859	19.4379665071015	19.7761755808334	19.8752689319458	19.757859967062	19.9484973476513	20.3895793520004	20.5330294057671	19.6862442797279	19.8477656210351	19.921417857784	20.1959781456722	20.3840875713188	19.8100859751208	20.0566967414262	19.8519711591172	19.921757331311	20.0178422072177	19.6430363750788	19.9810039118155	20.1045590842287	19.9504580052687
P62889_60S ribosomal protein L30	26.0476887525062	25.9640069424795	25.9993592223449	26.1167043868897	25.9205239575344	25.9613828345503	26.2033010992371	26.021181290549	25.8547352484305	25.8787579876502	25.8781947320371	25.8381614581414	26.0858165341423	26.0570804858548	25.942980030605	25.7138522560423	25.8555491758394	25.8563859175274	25.8424294757443	25.7713981875096	25.8544877751982	25.7013579719605	25.7613942869652	25.9061596447202	25.7892201944025	25.7257176033982	25.7198019836539	25.7181891850147
Q6ZWN5_40S ribosomal protein S9	27.8427418382081	27.9239925064633	27.8307196389696	27.8035847593608	27.849228598106	27.8538462585943	27.910663680574	27.8409615121142	27.7522153486955	27.8405552239464	27.8175211279151	27.7383418650043	27.780164170267	27.8388880624986	27.7104694101352	27.6264703745358	27.5926834306538	27.6984445045502	27.7688971729279	27.7222670111834	27.7310798120571	27.63363982949	27.627535776933	27.7481355102341	27.7845416958107	27.6335126776645	27.7481334623579	27.6726495629456
Q6P8J2_Diamine acetyltransferas.	20.7055805024552	20.7593537653941	20.6593243839348	20.837041257112	20.859454975339	20.9062354488861	20.187931942328	20.1938373983003	20.3096838187065	20.4135393547357	20.3607762419311	20.2148169821279	20.8018740055007	20.9342053884338	20.0055704131256	20.0104388033679	20.3935780726953	20.0500778068223	20.2167519199264	20.2142710899373	19.9383491465232	20.2352073054913	20.49675371893	20.385023724784	20.1993970714581	20.4997249886661	20.0927993938555	20.2882475201472
O55142_60S ribosomal protein L3.	24.7702245080969	25.0295078113451	24.8683967195446	24.9497918978509	24.947121533977	25.010029823372	24.994385464394	25.0433973180218	24.874683767565	24.8685272809321	24.8082827403068	24.9258157293916	25.0085577068072	25.1205780322107	24.8358170961158	24.6924200114106	24.6515520071904	24.8076024575619	24.8432926474165	24.8387706572523	24.7772048394098	24.6525373489156	24.61488055312	24.9257621353996	24.8366494678742	24.6609982187473	24.793489701303	24.548232559464
Q99K67_Alpha-aminoadipic semial.	26.4582545270862	26.6463322649397	26.7399276697718	26.6651669542463	26.7831213409012	26.5820592660659	26.8306186837441	26.7150792844465	27.0398149982523	27.2033907228961	26.8580718939905	26.7513996087768	26.6534870308469	26.4100420085938	27.1739636110024	26.8745405358529	26.9772992291058	27.3876096771446	26.8490643900272	27.4449893260822	27.6567128958732	27.2414509397749	27.2943379072004	27.5038666114863	27.2595034982696	27.0531952449764	27.571790711508	27.2584796294651
P97494_Glutamate--cysteine liga.	25.8289795907627	25.7946061440832	25.9172618925475	25.9607653164579	25.9551628175525	25.7242287387004	25.9176290281976	26.0674637395179	26.1916927107086	26.2321257696098	26.1432290509062	26.100542200519	26.0223811905708	25.8321036762624	26.0549636142685	26.1592802303937	26.095445637413	26.2586877963993	25.9267501356623	26.2318369955398	25.8574885425516	26.3463251665673	26.2099120122806	26.0117974531971	26.0379359861524	26.2637537445538	26.201175836059	26.2204761961991
