dataMatrix	W616f	W617f	W620f	W622f	W623f	W625m	W627m	W628m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L854f	L859m	L862f
Q9QZ39_Alpha-N-acetylgalactosam.	15.9227076125006	17.9502515688281	16.5639324640984	16.5089085065803	16.8590163149756	15.6992385347976	15.759109754824	16.0190481389509	16.5383065061894	16.1336184973937	17.3849633646257	17.2099272078775	16.4635841588418	18.4771339552145	18.6804496956492	18.6508102685333	19.9834285640376	19.7654381738607	19.1127838844775	20.0848610836944	18.7597794985977	19.2091360705322	19.1031390740514	18.9331540275897
P01746_Ig heavy chain V region .	18.2783083816369	18.4820122261011	18.6261760168484	20.1983216780783	18.8665712894799	16.9639490458074	16.1094203499366	19.3248140440865	18.9541008952515	18.4211366594301	21.0400941969848	18.8490043272088	18.7018355579238	21.8566755189053	21.9473047424313	18.6412251355134	18.4367556173068	20.4981998745317	21.2691216841179	20.266298587093	20.3171717808848	21.2679150915703	22.2836079683722	21.7438087293975
Q9Z1R3_Apolipoprotein M	25.7353850680715	25.7750273818045	25.6193920713833	25.670846824539	25.5238526522231	25.7906749250371	25.9959712759688	25.3506276512507	25.6122601927251	25.7448096170076	25.6826123181296	25.7860505203059	25.6593137121783	25.3621357960517	25.5068805369172	25.0730039761986	25.5160257978619	25.5886008455862	25.3475886600801	24.8089406148293	25.2236327673895	25.4966410887981	25.3007843219196	24.9991792373472
P09803_Cadherin-1	16.6211351114027	20.6559285267652	17.5497590277617	20.324974467148	16.8872596530188	16.6451661368088	16.5917321204958	18.4514522706078	17.4734445577195	19.4733752883532	19.752519894534	19.9711891850604	17.4871793170984	19.9199812349539	20.8505001004963	20.2747172461057	20.7585702037032	21.1618804264202	20.807526996653	20.9783700671621	17.8011118484177	20.6731566874055	20.2429996063662	20.6909371647091
P28063_Proteasome subunit beta .	18.0230133699758	17.8550340923327	17.9627479380888	18.9648114901371	18.1644287711092	18.5079792151402	18.1338356722576	18.0685484121141	18.1068915351151	18.2085029746752	18.3444003808814	18.3656498928784	18.0526261870501	18.6338937625983	18.8702614279859	18.2511999593673	18.3709092354421	18.5333079809831	18.3697077097954	18.9879999408285	18.7278781874878	18.768093645436	18.4993071032287	18.9521498789829
Q01279_Epidermal growth factor .	26.4494921328151	26.3940436850533	26.3581101607073	26.2315607609789	26.1806555435398	27.2016347285602	27.1924680109378	27.1627103204054	26.8436576284193	27.0091337455684	26.5703185185947	26.5547150741032	27.244953313737	26.0581032329039	26.0775702276869	26.4284782563017	26.8575007870989	26.8965333551608	27.1027603418976	25.1837678744908	26.1626897325149	25.9905112803224	26.8002627416733	25.8240871490996
P06909_Complement factor H	28.7697375803671	28.8240771433779	28.7542018546327	28.6856025985538	28.6424090488475	29.1485147518211	28.6805449585704	28.7738651014096	28.5200608703431	28.7916700604795	28.7233240981709	28.8713686312981	28.6154591288389	28.4331489833985	28.5034176673217	28.3296321235284	28.5082651986991	28.4600186167038	28.6310560164806	27.8842771131113	28.4924169057928	28.6267185598588	28.4750379742275	28.2761464188856
P01631_Ig kappa chain V-II regi.	26.2273650489718	26.1374844804544	25.7499840683546	25.93762741101	26.4077528287789	27.0586449669431	24.4459729008873	25.6183563743176	25.6330051781671	26.1423437736744	26.8382324516394	26.8834647874249	25.2136133213168	26.8817401086282	27.3689250955189	26.363556769441	26.413696615545	26.3110087673336	26.4141757808807	27.4133468224748	26.1832794828484	27.8096427366989	27.0734409359544	27.1434283697535
P06728_Apolipoprotein A-IV	30.1517670967486	30.1876627247885	30.3680372019569	30.5037354968715	30.163869988911	30.2652955520088	30.5203384834246	30.2219462293488	29.9539773986993	30.2905898262226	30.3108196616838	30.0740431121264	30.708888016023	30.4502653415233	30.5682813438162	30.7641159406964	30.6141819784295	30.7408152725024	30.6639258041891	30.5966756839396	30.4302295890899	30.5159871917347	30.3256307350621	30.4998917382596
P31532_Serum amyloid A-4 protein	25.192867993231	25.2248651804717	24.9131221519808	24.7750463767081	24.9540273802468	26.4661743178472	25.7078458810028	26.0101731100304	25.6073834845137	25.9928677348007	24.9610096166587	25.0309822818993	25.6671131667073	24.9123046194659	24.7481043822011	25.9195227721479	25.669385751392	25.5557537064586	25.5228378320846	23.973125923874	24.7108319673558	24.799183186181	25.1779374341912	24.1452065384315
P97399_Dentin sialophosphoprote.	16.4577434953244	16.5858372098469	17.5892859795605	17.5121686192431	16.5257064560479	16.7194425680324	17.3091184624954	17.851569291046	17.6998765644975	18.5313568239121	18.5046947524518	17.0207403955397	16.9057503596962	18.6095518902417	19.1750475529479	17.1031704822052	18.5877429484159	16.9235850367959	19.0400020289019	19.1743193702796	19.0178818678244	17.3508130886598	17.6898662878302	19.8229626818348
Q8VED5_Keratin, type II cytoske.	18.3153305159234	19.3497153302425	18.8892179104957	18.4713978562806	19.0978918049819	20.9175316953607	19.7852385455502	19.4080448676224	19.9340310369588	18.8998376034923	17.8814922025944	20.5105513424964	19.438367115711	18.0516140471224	17.9019217277795	19.5198383767631	18.0640100127414	18.7065556771996	17.6643739479084	19.5912120852747	17.0422186392546	18.1622022852398	17.4267300202483	18.6760847911693
Q8K1I3_Secreted phosphoprotein .	22.1070580407214	22.365775902261	22.2977727050784	22.4478797915355	22.397677374469	21.925754621218	22.0997394700628	21.7417130259812	22.1999680778851	22.1393842878051	22.0478845809989	22.4387364047026	21.9023936087025	21.6443090521998	21.7961672781482	21.7146354233494	21.9112809774331	21.7403832752247	21.7733091682427	20.3327944785185	22.1538890602147	21.9645731947195	21.1359049508736	22.0366533912257
P98064_Mannan-binding lectin se.	24.1422356276296	23.9635805199849	23.9049391307019	24.1847611088093	23.881950475169	24.1393457196784	24.1036830416954	24.0014004627033	23.7307620007851	24.0190882686116	24.1462628780572	24.0601930724267	24.045075551705	23.7829051533494	23.8976695196457	23.9797478971614	23.8018322720568	23.9228516735506	23.9745597946645	23.5575416460924	23.8277741437142	23.8867082799029	23.7749022503955	23.4661695870264
