dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
M243.089T6.43	18.2308545115362	17.8813625440044	18.5342947506701	18.2530995993751	18.2198305396306	18.9221170852426	18.4687621808321	19.0002847821504	18.5689750100693	17.9447227854224	18.3541318853139	18.3140090052695	17.9581223135323	18.672425456181	18.0732057775045	17.6207116631406	17.2716922050589	17.8671121061967	17.5361365309104	17.0038769106455	17.2490542196592	17.035764237847	17.3965381794208	17.4914029053195	17.4682061973292	17.0679837166819	17.8362126645445	17.8358221276121	17.8372634002668
M613.6959T5.57	12.6161801371127	12.9988040712226	12.406737038944	11.201269198701	11.3762677036637	13.0603582571069	11.4450588137944	11.6166697317719	12.890602541527	12.3906438832842	11.6763659290363	12.9061506058776	12.6991397002218	13.111977957112	13.7608632049455	14.5509704181217	14.4413927661147	13.4808953862519	13.3986705894755	13.787632004988	13.8239688603818	14.5778741979497	13.8754952373309	13.378861383584	13.8301981666617	14.0244302115412	13.653371725941	13.8338816719139	12.2280276953816
M613.3621T5.59	12.850066201347	12.8338230914754	12.6744382422211	12.3792331193308	12.1020018694191	12.9632935297572	11.9303297131131	12.7824016909107	13.9931990266801	12.1546727996978	11.1824735216621	12.7880791496496	13.3213433378633	13.3901735967005	14.0573354064848	15.3151382209428	15.1179863082391	13.0103028592345	13.6622772858238	14.1679196986218	14.3277778641437	15.1128156728572	13.626306095451	13.6006047201314	13.9029958827493	14.7166954957047	14.2655358292364	14.3836396281867	12.540886056942
M348.4618T4.38	12.6002562399191	12.6345183111789	11.6363782384175	11.5757717484552	11.6922955180579	11.8300939561291	11.3205586811618	10.8127051549613	12.9377204264512	12.8102935621113	11.4649639906816	11.9985783001375	11.8380238570646	11.9964014316692	12.7402849014141	13.5039788939196	13.5452683421216	12.3662279729373	12.0904282763684	12.7411105170305	12.7385478354421	13.6269415823187	13.1405661622665	13.473876972361	13.6096271523878	13.6057547677295	13.5382608414851	13.7625164560329	12.8535948443133
M374.551T4.3	13.5269909048013	14.013110955161	12.6244990634851	13.2044111120776	12.649656217363	12.8354140243105	12.9708073802131	12.3756888202215	13.8642684055247	13.5711868531269	12.4822936920809	13.1853996312813	12.2814076606722	12.6872883913491	13.6222683008199	14.2638449258251	14.3182381566039	12.7994628269767	13.0282982605828	13.7111495026709	13.8777491137274	14.437356688695	15.005806283902	14.8997678033897	14.5347252807811	14.6352061609464	14.753289682809	14.5058184671459	14.1644371449294
M257.9185T3.67	12.8128013459474	13.6855769182959	12.5045009168216	12.4835103487073	12.3026381777583	12.1433981036898	12.8908887464887	11.5343772215768	13.4720516465295	12.0985224068135	12.4065357072425	12.8623614238615	11.7588530162452	12.4395066589545	12.6377078164969	13.5170708546175	13.1438671442653	13.1967638947017	13.1734112186454	12.7532389575978	13.0600739018059	13.7331614283161	14.4394802265047	14.169506890963	13.964568931171	14.2865876676197	14.1557693163588	13.0453964019934	13.8303254852032
M343.5556T3.67	12.6979954437404	13.5421853448254	12.577613395155	12.4636111348509	12.314599165682	12.2385574564397	12.7881855448632	11.9640676882092	13.2266092451388	12.7288811202848	12.3827952150296	12.6848075951394	11.958398320804	12.514226881289	13.0119836656982	13.4616825738578	13.1113515570434	12.8250908794509	13.0660717410613	12.9883605011734	12.9927441070259	13.5765765277218	14.2804285139241	14.1584666139758	13.8015830733193	14.1254276908364	14.1212061650218	12.8024757604122	13.9429820780031
M343.8899T3.66	11.3182113682385	12.06542253985	11.8213841277368	11.2815620099517	11.6255688446321	10.8203773223106	11.3500804996368	10.7754145646817	12.0973191934333	11.4970197674542	11.2970856152438	12.0283710400901	11.1341099648468	11.7195893200605	11.9077277511099	12.2777472638817	11.9005667001753	12.0783112247254	11.5453904507411	11.8343171452654	11.9721047229346	12.8124386142944	13.0990290915958	13.1176163314189	12.7171251924159	13.0511394585311	12.9728188430595	11.7240681183263	12.5351717414668
M477.2804T6.3	13.5432840344951	13.9869804921882	12.5965346436221	12.6891396599483	12.8606103482626	12.5979491150648	13.4245415278243	12.5523815392616	14.0749572301605	13.6344060218259	11.8658182271622	12.8442572453451	12.8650848276312	12.8200052913123	14.0858016671534	14.7102040317953	14.4930687893184	14.0990377058859	13.6019587217557	13.6278302530567	13.6056326306881	15.1976540669439	14.3250975491758	13.9612455467512	13.5638828110125	14.3235285659926	15.266674387099	14.0354568822773	13.3283243755707
M477.6815T6.3	13.2333213544253	13.635668324865	11.3326640571343	12.4266802775687	12.9583588553965	12.2218916234885	11.9174261426336	12.2130307736952	13.8252042092724	13.3324549190036	10.3759046419549	12.2981940777057	12.3515572061101	12.5449808175289	13.6560216815385	14.5070758755769	13.8192698535274	13.6892275906069	13.7309029505711	12.9344059245894	13.1884696140817	14.9380867343936	14.1686524754192	13.5620349778805	13.1023538825471	14.7547865403345	15.0873074177836	13.7907214947301	13.1614962613132
M477.4809T6.3	13.9769555202731	14.3708035290989	13.139903027361	13.1759632827766	13.2853616929098	13.2640996047564	13.2763319894454	12.7438450435198	14.6057660381448	13.71858095052	12.1551669448292	13.1420620794526	13.1351293624379	13.1069872317132	14.4496013970696	14.9778827690627	14.9562681223942	14.2705538236527	14.4848042876673	13.9380915643207	13.2628960987935	15.3903465509214	14.5202747900127	14.1137712546047	14.1272170283544	15.0725921738163	15.5543281155429	14.5608582754034	13.6374456035249
M258.1704T1.79	12.7943110195475	13.3171808035744	12.7797829531391	12.6088019823392	11.9358021851963	10.8256227381093	12.3294605795622	11.8400259407039	13.6814076121674	11.3137675830567	12.6065346862754	12.9585757190662	12.5654993886626	12.5187834022508	12.8246744023603	13.5594913808716	13.2453262728909	12.749809513679	13.0879052072501	12.871626553879	13.1496674230723	13.3935943959206	14.390817004861	14.6213644727207	13.8701481156962	13.8325249422998	14.2625229745388	13.5634528430485	13.7853856761099
M131.6951T1.26	16.9611425610076	16.9234992375532	17.9244498969314	17.5070335622777	16.2891135365881	17.3316491202437	17.418615721188	17.2828238353138	17.5018867356501	18.0130328054337	16.71393470291	17.0580180196525	16.905475872148	18.2906929687527	18.0792453201917	18.0839855445087	18.4066292308587	17.6232628402213	18.3387548573954	17.795172788805	18.1259616091726	18.4490265189696	18.3949165335078	18.4655058875213	18.1963842091738	18.1904076356242	18.3243423915018	17.9351521297117	17.3141286842615
M126.4478T1.26	16.0902517841745	15.7067577516534	16.1070262274662	15.9367505686304	15.4928552147927	15.268797026279	16.1897781036543	16.1651789000968	15.8742158043162	15.9235699381531	15.7609987742878	15.5941420872646	15.9073147211455	16.6771306778515	16.5271770092327	16.6211509909028	16.6344911203401	16.1315309905152	16.2655195775715	16.3202395966469	16.6606851869798	16.6401804953218	16.709047022867	16.6034622681184	16.4461645470725	16.0686142772597	16.4808713316247	16.4260084261934	16.3109825049647
M282.686T4.36	13.6904360657448	14.9735500586863	14.2333302364049	14.3031427381901	13.3380417846916	12.7999861884758	14.6389992679479	12.9871824818184	14.5446491731545	13.4380685007584	13.5546998171523	13.8262535329361	12.5379296170371	13.318346983977	13.8393967532366	14.4203166128174	14.1202880837297	13.6098187520544	13.6162395785499	13.916649985546	14.3760629889216	14.9323587352589	15.8745903450199	15.8398945875566	15.339648742987	15.8246338162156	15.1937035377645	14.2898348422743	15.7617996354336
M400.2429T5.49	12.5001394956316	11.0602283767032	11.6221554277927	12.1078624999728	12.3474769843688	12.4596168345622	12.5751174248634	12.5567924796929	13.117189322647	12.3404803083576	12.2602989746274	12.7642145263705	12.2159712001062	12.5381682635388	12.9623861241152	13.3485656471156	13.5179825570734	13.0617317185084	13.0818121145383	11.9688792646119	13.3396560214492	12.4363471054709	13.6348904578663	13.6477282461513	13.6080912530984	13.803764263078	12.8957430498028	13.1347439751675	13.6248710505746
M258.1829T4.27	14.2550281877366	15.2392286987009	15.3621497498172	14.4601663344479	13.2404688542798	14.3790266670192	15.5149291762203	14.413515456979	14.5656673298413	13.8100702881888	14.7890629296857	14.6104246801419	14.2592066835792	14.590162448493	14.9757681666186	15.5843465027727	14.5851525139269	14.0729781297284	14.6175649193161	14.447150164056	16.4070043651652	15.9024429610643	15.4519551376976	15.7879459706403	16.0410192004332	16.2722422895221	15.0202308888003	14.9089810051531	15.6853514419207
M410.2398T5.49	12.3047873644131	12.1377404425415	11.5006859335606	12.1024568556684	12.3214920407059	12.7478309595249	11.9705241074191	12.5137099910637	12.8176830350117	12.7649426543906	12.1123296204902	13.0681349797174	11.938273018363	12.2585606053331	12.7216043935584	13.4967057873215	12.9534422925787	13.4625024534894	13.0393769377627	12.2191427539718	12.995116903253	13.0425077917474	12.9936217691633	12.796440455604	13.3680075273244	13.2448293858672	13.1090518275094	13.0851820543557	12.4877507864731
M602.3616T5.81	13.8612396668537	11.3787616871726	12.0656045274416	12.5611237423814	12.3562320570197	13.4354266615481	12.6170838308591	13.4379883366665	13.9755902497057	14.3228334160645	10.7568603802897	13.0081985974948	13.4928038275544	12.7342343425463	12.9840309942348	15.0455332157011	15.250234080395	13.6885682385351	13.476077525711	14.8573281474793	13.860138560812	13.6297638925103	15.2243467095179	13.4371714004833	14.8646753076881	14.6397144719178	14.2499924722211	14.5249876081524	13.2376692351639
M134.8524T1.26	14.8813216332401	14.1014466723057	15.0824571793989	14.5316401203633	14.8808972389373	15.9327688246274	16.7856193446399	16.6458315842441	15.3171891353855	15.4981557304558	14.5320012800186	15.647940607726	16.8349926647178	17.21188189893	16.6501005357243	16.7158838043445	17.2448570397253	16.3093661440533	17.2051383340018	16.6233194048269	15.8800432096998	17.2177314743699	16.7536476672604	17.1031417503911	15.8535066924651	17.1905617729763	17.1521245217268	16.6951044364546	16.4410316896472
M502.6216T6.02	13.628668207967	13.1216453732271	13.3055416206443	12.5536226513464	12.7913823527625	13.4462898180516	13.3722211620284	13.1645232081071	13.1925796234828	12.3757646694757	12.881952611836	12.5666415144094	12.9246906664263	13.059159811168	12.9776621717451	12.5636814689547	12.470644354677	12.2807480190332	12.0513924054319	10.7350761832605	12.9114042290334	11.1063624145253	11.6525686675199	11.7861184211544	11.4943132322649	10.8417119142039	12.8623741312668	13.271649073886	11.357644517073
M375.1398T0.72	13.2431668954177	12.6280348036444	12.2639411170876	11.6959068835896	12.7246774237118	13.1514639156773	12.6027912096418	14.1332421697097	13.7191302223819	13.9810475137755	12.3922633974215	13.2449807523381	12.8370595443766	13.743753242687	13.6928680072029	14.0068028242255	14.8956254859243	13.5618099662228	13.9293858907584	13.8849083449782	13.8001333189547	14.4264029997894	13.5119349168685	13.4876996554224	13.5980568324796	13.4211874731285	13.9540374735937	14.2874481920888	12.7819417383616
M464.7797T4.41	13.1323128013025	11.0588838606839	10.0223947967743	10.8510146614506	11.4867866210843	12.6062652902107	12.4228400219591	12.8178493163209	13.1970784888798	13.1481745185847	11.059871515938	12.4882856925874	12.7001909357535	13.0962865635802	13.0227324075255	14.0378452043265	13.9793229784092	12.9866485822982	12.8153282700631	13.3096692154966	13.3568170419316	12.6380366107103	13.6910242235043	12.1707143708734	13.6573677316425	13.7695994159451	13.0169795752376	13.8389820758323	12.9235968733184
M343.5407T5.18	15.5974990958855	15.7918520727451	14.3705726950495	15.3337886300783	15.3632993650852	15.3388360737	15.5346738340741	15.1488482414387	16.1902649281025	15.5942866034332	14.2885315064315	14.8080778860408	15.1862737125991	15.5312565179639	15.6899862526147	16.4711398977796	16.3431346471656	15.7843064091195	15.5109041225599	15.404867395532	15.8393887688382	16.3536034119565	17.0581033749251	15.9116332153275	16.4846245879069	17.4365461298796	16.9299323724663	15.7395844291589	16.2105601641611
M115.0396T1.06	17.0915722846379	17.5038770050355	17.0607633166955	17.0835243343778	17.3678878537089	16.9115720299317	17.3657908087068	17.102405794925	16.8600602834466	16.7180694806237	16.6859685502358	16.9544671421817	17.0268452551491	16.8225972179815	17.6944855553675	16.8840404118364	17.7748686546061	18.3947297151461	17.2479177984066	17.5329151340466	17.8040802908967	17.4490447603889	16.9793943373049	18.0296749122776	17.5781787040833	17.3515842000065	17.6246142962203	17.9725344403221	17.957508494068
M258.171T3.56	12.6691535086951	13.7827909851645	13.0727895923783	11.6137731237614	13.1219462787446	13.4745011472986	11.7975734474593	11.5573472199084	11.6514343516304	12.2659133407511	12.3932638154178	12.5181965422884	11.6514867789736	12.1743874693185	12.1757646955704	13.5855714407941	13.4252238512408	13.6434280620732	12.8170972055691	13.4065718454368	12.8259131736935	12.8791002333387	14.0413138072501	14.0889612047747	13.8197153097303	13.7855196591462	14.320769285785	13.0995770553885	14.2143846144889
M343.8749T5.18	14.6364858146957	14.9515321542671	13.6116644581898	14.4210210968641	14.3653250917069	14.6463068372901	14.684305193801	14.2704001098181	15.2298330332884	14.6248639275952	13.6938006309375	13.7622876611914	14.1390285101347	14.3906175651839	14.8194810420627	15.4707737584791	15.3858346973823	14.7212577590472	14.5175945699998	14.6061230491327	14.8155562977423	15.3675207768397	16.1486783461876	14.8977330540077	15.3722221438332	16.4458837910447	15.9829771437222	14.8018213238514	15.3002817510185
M351.6679T1.45	12.6445291766696	11.7149715595766	10.6745967060913	12.6161663559441	13.1504372046099	13.183977946316	13.1257775203609	14.6323886218882	14.2119891331005	14.4452948481688	13.280672377429	12.9934007792612	13.5844290922869	13.7833496204677	13.8129021484828	13.9085506975315	14.5142260457298	14.5356864527404	14.1742748523335	14.2746222983879	13.3939674609097	14.4531507417605	15.6057321519563	14.7238169418631	15.9524383511422	15.0726165376728	14.2883264309481	13.9567492528878	14.5154617659372
M291.0759T4.19	14.537173906454	14.1350976458093	13.7891152528426	14.3672974718667	14.3075312043337	14.8762973920552	14.1108398728199	14.116743658396	14.7571664741616	14.4959215033211	15.17545331297	14.6899289636399	14.067337244506	15.2087373601978	13.9041527147168	13.1050030592167	13.2206536659652	14.1384616445931	12.6950935816292	13.3729649875023	12.715182966499	13.3125732987074	13.2224919962819	14.6352322033373	14.5565926012116	13.4329169830285	13.9098863825081	13.7623453697301	14.3792645373388
M346.5106T3.26	14.0663577072267	13.9035197591766	13.5372320436866	13.6921860581744	13.4428399334777	14.0028958211197	14.2715280367625	14.3003144025594	14.3317782638554	14.0735423863344	13.3818418982385	13.6771801111901	13.8635521624908	14.5217182352035	14.0130334864154	14.6391783751769	14.7275859049458	14.0666803422329	13.9904931081751	14.1558699480926	14.4831857318601	14.4686476427624	15.123306465278	15.020096470837	14.8420106752324	14.7652569957476	14.4598245680305	14.5559885420995	14.3690586099877
M401.5407T3.89	12.2214577205286	12.2707518195068	12.2369462081101	9.82748028725203	11.7139200825779	12.9721298606939	12.187640914457	12.6809578133581	12.6281018308672	12.0383364728213	12.2194326204148	12.0884082803872	12.5784391557612	12.9344533894695	12.8893207848034	13.5856646989946	13.3813437828153	13.0228735542957	13.3354229305355	12.9637861676465	13.3734470015956	13.7425814361054	12.81109317806	12.99355905341	13.5248087381332	13.1743454355395	12.8939135915524	12.9051351506	11.8472622593908
M420.1094T1.38	15.5882042273904	15.4577026432793	15.2842833025056	15.1414148881512	15.5340542928535	15.5605348620821	15.4589185359777	15.38311212742	15.5947326920884	15.2353570263829	15.3663390552115	15.0206842065015	15.6485226901412	16.0145643651238	14.8643639060894	14.4292293517944	14.7691281476135	14.3552562099062	13.9043075708572	14.4838176226909	14.6136707917816	14.4576613071709	15.4325732259006	16.0940300880282	15.3301821426531	14.6531860450851	14.6019614655861	15.1315308008713	14.8487336801428
M320.2107T2.24	12.5044601625546	13.3907335885229	11.8483745825845	12.2914190374423	12.113518951788	11.2523080350185	11.9491940086187	10.8120506040273	12.9715859324184	12.3322261455111	11.6530725986504	12.5100178936056	11.8487119741703	12.0357860169764	12.1997062442075	13.0972594073502	12.8731511371182	12.0030858940576	11.9299782449557	12.5099395430119	12.7047886413522	13.1573801681588	14.4101414328428	14.2602618919502	13.5498677029562	13.5648514199948	13.8960068457525	12.7214075611832	13.8704764038366
M418.6971T3.92	12.1027375948703	13.1960453587802	12.8859355966879	12.3970975542605	11.58373636817	10.7682331681371	13.0341731780986	12.1484172230802	12.3624777388632	12.6762752697601	11.9438518077428	13.5473001727361	13.0402208680705	13.164184180498	13.1240963970486	13.8327542942618	12.6358483685377	13.7100401091333	13.6648054134375	13.3509557035639	12.4001599989265	14.3259608833081	13.944727239597	13.6604447706465	13.5259188466956	13.8023675515975	13.3864735131529	12.7601904031808	13.1828586206807
M357.2795T9.12	17.2409169048144	19.4288433187462	17.7421143200538	17.5133405828851	17.0933304594358	17.8947848770807	20.3305265972834	18.0587113179785	17.8642150636463	19.4273411770191	17.4077892875517	17.8246324944609	17.4194493055	18.1792589938942	19.2998793086153	19.8861587294883	19.4369232298962	18.8174766608078	19.4194980127316	19.7194929199127	17.4639096904389	18.9193252981302	20.2740744887404	20.0296454985609	19.6091901704378	20.1645751890421	19.2253033692693	18.5526537551511	19.1409385811372
M358.9613T4.11	12.2255507381139	12.3391650743216	12.5394553072853	11.5975020914872	11.5432127165822	10.8337944983233	11.3314413509681	12.0354378275175	12.2502104842928	11.9101132447231	10.5382809038763	12.0148582812246	11.8311524036803	11.9241106968908	12.0638652422736	12.9700802455742	12.427559409499	12.2214241793338	12.6966189487956	12.291963957576	12.7245194814722	12.7401996658216	12.2947783154152	11.8102897730416	12.8469939170357	12.6416490914772	12.7270469026621	12.1033094694423	12.5845357848881
