variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M243.089T6.43	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M243T6	243.089029260631	385.685822168698	[308][M]+	[M+H]+ 242.082	80	173	@M244.0923T6.43|-13C|@M265.071T6.43|-Na	0.87414822356439	0.00178507281311597	1	0.238833494952317	0.375660351351614	0	2.7524496210347	plsda, forest	0.513349799860565
M613.6959T5.57	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M614T6	613.695904295394	333.932390925269		[3M+2K]2+ 383.146	79	NA		-1.46241945594058	0.00253739394034122	1	0.215057054171501	0.527958379475755	0	2.86391261527424	plsda	-0.414476597970522
M613.3621T5.59	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M613T6.3	613.362129540475	335.304065640974			79	NA		-1.4530100238051	0.00812112838200951	1	0.394814407461492	0.329795126540583	0	2.67911712753842		-0.263495257346433
M348.4618T4.38	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M348T4.6	348.461834713385	262.533856121367			1936	NA		-1.21661621908502	0.00812112838200951	1	-0.0403778599513025	0.988839669091351	0	2.50789102719803		-0.28556917783584
M374.551T4.3	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M375T4	374.550961920955	257.719554967775			49	NA		-1.15103577962976	0.0114410101177158	1	-0.424248061347479	0.319809264758854	0	2.37036824133507		-0.197463768447728
M257.9185T3.67	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M258T4	257.9184725123	220.479281638043			3078	NA		-1.01221039201742	0.0114410101177158	1	-0.647420159228483	0.0390372854185606	1	2.37481106903606		-0.227684927563448
M343.5556T3.67	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M344T4.1	343.55563806813	219.980124839527			3078	NA		-0.907104938131354	0.0114410101177158	1	-0.517635832719849	0.0628741176179233	0	2.40431400220134		-0.26389323766476
M343.8899T3.66	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M344T4.3	343.889891855726	219.893201216761			3078	NA		-0.881739402031837	0.0114410101177158	1	-0.540409825982774	0.0485019281958755	1	2.29709073448328		-0.260332520552224
M477.2804T6.3	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M477T6.2	477.280410118477	377.843577779205			64	NA		-1.12293485105289	0.0158919289021789	1	0.162937709264538	0.63055145629522	0	2.51169479055092		-0.187176787276163
M477.6815T6.3	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M478T6.1	477.681527024584	377.933759022633		[M+K]+ 438.713	64	NA		-1.39648250779415	0.019843915188112	1	0.379066514407045	0.404466962074365	0	2.41418797167882		-0.167795004622389
M477.4809T6.3	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M477T6.4	477.480870064916	377.780548810611			64	NA		-1.12372715006381	0.019843915188112	1	0.265490816077811	0.463541571920082	0	2.50235252199529		-0.156466978978034
M258.1704T1.79	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M258T2.1	258.170408346655	107.435479454709		[M+H]+ 257.157 [M+H-HCOOH]+ 303.16	63	NA		-1.11325241716198	0.0215739336956626	1	-0.629716552103012	0.104464362205699	0	2.31202845860253		-0.178119766472516
M131.6951T1.26	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M132T1.11	131.695119864185	75.3269274354397		[2M+Na+3K-H]3+ 128.105	1	NA		-0.820474942405685	0.0221080743161616	1	-0.0471125120268354	0.97315550475643	0	2.67597262632567		-0.139524269006725
M126.4478T1.26	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M126T1.45	126.447806651812	75.5188164883314		[2M+2Na+2K-H]3+ 128.226	1	NA		-0.549639243533651	0.0221080743161616	1	-0.0349591183691054	0.96485479396329	0	2.53684062297263	plsda	-0.196100080543364
M282.686T4.36	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M283T4.1	282.685982672221	261.822412417226			1813	NA		-1.00287652980236	0.0273038423465001	1	-1.15419171058739	0.000507161018956871	1	1.78527844770532		-0.0290519666074191
M400.2429T5.49	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M400T5.1	400.242888621746	329.642833379428		[M+H]+ 399.233	79	NA		-0.885500086153231	0.0273038423465001	1	-0.0535758588000128	0.97030631909982	0	2.16948448750388		-0.0434271418426827
M258.1829T4.27	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M258T4.3	258.182909509535	255.903497792729	[353][M]2+		49	205	@M258.6846T4.26|-13Cdb	-0.782405994849785	0.0273038423465001	1	-1.01900783789885	9.96774374274752e-05	1	1.89229991504447		-0.00159279964307855
M410.2398T5.49	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M410T5.3	410.239834403375	329.295535755075		[M+Na+NaCOOH]+ 319.254	79	NA		-0.675365188365106	0.0273038423465001	1	0.133093275290015	0.561247282477817	0	2.32512993312585		-0.0679589599758717
M602.3616T5.81	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M602T6	602.361564297584	348.643853183833		[M+H]+ 601.355 [2M+Na+3K-H]3+ 834.099	58	NA		-1.34058821996834	0.0293985028735934	1	0.680348622237178	0.133634019924339	0	2.18293144726278		0
M134.8524T1.26	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M135T1.15	134.852397743644	75.5710471057257		[3M+2H]2+ 89.2268	1	NA		-1.17255076172613	0.0378482957629261	1	0.430066426576664	0.317344283640673	0	2.44105679643612		0
M502.6216T6.02	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M503T6	502.621578386325	360.901329134696		[M+K]+ 463.659	64	NA		1.00325396432176	0.0378482957629261	1	0.510210321566289	0.212696535032682	0	2.1964895765358		0
M375.1398T0.72	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M375T1.4	375.139830091781	43.3228548669495		[2M+K]+ 168.09	4	427	@M459.1016T0.72|-(HCOOK)	-0.79019770146706	0.0378482957629261	1	0.668361302335933	0.0139002575246338	1	2.3077614953751		0
