dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
M242.0134T1.57	15.7023480322997	15.0815986926402	14.842645963456	14.5551073469297	15.5100532751429	13.5239723111075	14.6914038483649	16.5050564902464	17.0925517288662	17.6313731843128	16.5418654141293	14.6469630895864	15.1047617191061	14.6186063177345	0	7.9600702991288	0	0	0	0	15.6143598814188	8.69679439244115	0	0	9.63652148953619	0	0	0	13.520995509638
M615.1551T8.93	15.3514351607848	15.8609967347375	15.2326630050043	15.4665455542441	15.4972449742548	14.4141890589296	14.7584777671368	15.6433666611681	15.2408964006503	15.6928993272921	14.940369578501	14.8597507280025	14.1014020561146	14.2721566328807	11.5640618202522	13.4794139871784	14.5770587831222	11.0536333770158	10.7684920227846	11.6119865808197	12.490995489895	12.2345863419525	11.9937069080583	10.0688427545353	12.4705300017816	10.0629959253914	14.3205213451481	14.6183183905992	14.7953619185503
M273.0385T8.93	16.896896437735	17.4859487737946	16.9732668609933	17.126692375059	16.981721121929	16.3652428632322	16.3744092009977	17.2698517171651	16.9100336722005	17.3759710294753	16.4941905717844	16.0255721674696	15.6489689686251	16.0677042946015	14.7618664758982	15.4736258513209	16.2298573199602	14.4845006933081	15.014552749603	14.445013552203	15.8381390434795	14.481674577654	14.1805168216505	14.9541322275622	15.0174856974526	13.7841276867402	15.9255845729707	15.967583150197	16.6806287399267
M698.0528T10.35	16.0968767486927	15.6902151889592	15.5756278762615	15.7486784716838	15.4867338534247	15.9129917542147	15.7610457643427	16.2109479099159	15.1675514321512	15.4842574216743	16.5454767447982	15.5980894396625	15.9688501330388	16.1308452246361	15.4935893590222	15.6725515833142	15.4226939021626	14.8651856811845	14.8832709397123	15.103033674972	15.1853268890799	15.2254898918734	13.9904239952895	14.0673856202359	14.6715078958437	14.6588730870282	14.0788954852333	14.8828498297464	15.3400034063106
M348.5228T10.34	16.1768173160599	16.0267175120625	15.931854310059	16.2726926536789	16.0722362543635	16.4472605164389	16.2524087621538	16.4574111807372	15.6751217961829	16.2194372231082	17.0994813718734	16.2582568518248	16.5165466125962	16.5205631298352	16.215663810097	15.9122152538687	15.6265948468172	15.8674481576122	15.9123586572329	15.9137206292908	15.4758939395903	15.9112159473347	15.1655323935343	15.3314432313629	15.5332007406468	15.2782781134898	14.9255664931879	15.1378276902596	15.7300420522135
M319.5201T10.09	15.7516941576745	16.6180585185725	17.1851454743477	16.0295499426636	15.9543524151424	15.9603198856289	17.0606283882038	16.7550062086229	16.2540008961051	16.3714251147272	17.2215465297922	16.8509315363705	16.3506080886795	15.8148953429989	14.4175360996986	15.0681329339847	14.8936617803814	15.2240680173443	13.8910089958089	15.267720491684	15.7442084079919	14.4697041325871	16.0750788095839	16.8789453727024	16.9308204822941	15.9265605449294	15.0265913049941	15.9642704642896	16.5618759192955
M762.6608T10.37	14.0102396079664	13.4730207634354	13.718143252991	14.1638485517177	14.2027651172103	14.3305612009861	14.1930001165127	14.7272504155343	13.7898718643287	14.1571819066252	15.4944718645664	13.8766809670627	14.6057619178838	14.4760430351533	13.9199200936658	13.7565187952864	13.124302283727	14.0376327444085	13.7422399526006	13.877780669565	13.1413694026255	13.7757861833641	12.644398000347	12.3880277825283	13.4737437948731	12.8496422073547	12.638186769637	12.8574567958481	13.9513074845954
M268.05T10.1	17.0895115162861	16.1050049048016	16.6508470032722	16.9119232564685	16.8239941029244	17.0819337938964	16.8744098796211	17.317920428506	16.5823606220871	16.9787339170083	16.4920507958731	17.0824661348967	16.6915281673446	16.5055889062726	16.2793211134982	16.4030724564742	16.5699515574112	16.5446169044599	16.6406234132325	16.5270962140746	15.3436406507356	15.8001842884621	16.5681623254334	15.6991546250006	16.026376900556	15.4142065700731	16.7856785101363	15.7601226853068	16.3075525085852
M253.0503T9.01	17.2644700903428	17.5358570402196	17.2683674642864	17.2496218108956	17.3339091781763	17.2977787491411	17.2265232055869	17.5233077223626	16.9949676890745	17.5585552421355	17.7267263983723	18.1147844637588	17.5330528728123	17.5566587222394	17.2870061878534	16.7696183447616	16.9942738742767	17.0316365952941	16.9282210987484	17.2315371482329	17.1120444057703	17.1715149874146	16.848598491079	17.1667152488526	16.9988052579068	17.4228474485363	16.305640343291	16.5874162700435	16.789823988695
M358.1071T8.99	15.1491743250938	14.8624659208008	15.5543778037223	15.4575671681246	15.5017647374056	15.3215176996752	15.3585835558086	15.0954835621184	15.5163676322938	14.584139831415	15.7513484367981	15.698469189654	15.2059154029928	14.606397115445	14.6922749462458	14.5249358802985	14.8220066077535	14.6095781486648	14.660501259871	14.3235234756146	15.3333636313615	13.7227808538696	14.0729306232992	13.5306026336678	15.1067469459347	15.0026875789476	14.712986367205	13.8461710539495	15.0512561064814
M357.1045T9	18.3993192358185	18.3753186345313	18.735898411813	18.8174608772354	18.9454566962971	18.5454535921	18.8118691678528	18.5794400611794	18.917115048554	18.135803458957	18.8701054981565	18.9753789173818	18.2856600392695	18.0478103456621	18.2068445768765	17.8809466182341	18.04522800043	17.9799671536727	18.0629641887698	18.2255468469177	18.4971283126052	17.5506934347364	18.0676979932198	18.3407372386242	18.4081451955034	18.3777536421512	18.2365514763041	18.117271747917	18.5861313256988
M271.0233T8.46	14.7767023816587	15.1700439687843	14.6115009280109	15.6925095294546	15.2129302531908	14.7531749555539	15.1203192939864	14.050920815056	14.7814621740226	14.3678283337058	14.9935332897819	13.9014778621249	14.427361299854	13.6136525078206	13.5721293822717	13.5458091373666	13.6783481515935	8.86794000357554	10.3774838572398	13.5641649745753	10.8915748769812	8.59144530104535	13.546166177999	13.0424172570223	10.2313484011203	13.0899156901503	14.3586113696536	13.7735018958795	14.8477836017252
M261.0288T8.93	15.3719477840938	12.6009015674331	14.3077252137451	14.1804981738476	15.2220371380918	15.0012559996324	13.5524637726077	14.7895896807658	15.4017805057688	14.896478577239	13.8322679946884	13.2067689679256	14.4340560918753	13.5963015886347	14.4914861142011	13.7679185515699	14.1838718313495	14.5806107173797	14.6156083733807	14.2413776804495	12.7939192452171	10.3478782184958	11.8061121556625	10.7645175066082	12.0951497389683	11.5925219757712	14.6666445425971	15.1692141236959	11.8250661035845
M124.9915T4.81	22.8084396332152	22.3175311729216	22.8481538306951	22.9110949393963	23.4167255726896	22.8346485401134	22.7991969706137	22.0763521685417	22.4715997332151	22.1409100882398	22.9559966895631	22.9088980335769	21.9148105963755	22.1839167745829	21.6021819608713	21.5272641441274	20.9706633838254	22.6468139527361	21.5727963310237	22.3258692710985	21.3000237927608	20.928873905326	22.4428915171044	22.674140889527	22.2611592061421	22.297967160585	20.9464569693717	22.0237320143204	22.0525964635957
