variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M242.0134T1.57	metabolomics_liver_hilic_neg	MX2	hilic			NA												M242T2	242.013449702662	94.3745552445189			45	NA		11.7367725199931	2.44538642210911e-05	1	-2.24912392498542	0.291194878969392	0	3.37265765472264	plsda, forest, svm	0.573371334758997
M615.1551T8.93	metabolomics_liver_hilic_neg	MX2	hilic			NA												M615T9	615.155078461593	535.917471634079		[M-H-CH3]- 631.189	10	NA		2.6878039311254	0.00273211151906791	1	0.408263616357154	0.758756443001305	0	3.09659166667436	plsda	0.334713862076257
M273.0385T8.93	metabolomics_liver_hilic_neg	MX2	hilic			NA												M273T9	273.038528007956	535.697117677769		[2M-2H+Na]- 126.034	10	NA		1.56474763136647	0.00273211151906791	1	0.187394770204296	0.827258671195765	0	3.17946194548736		0.363556621121484
M698.0528T10.35	metabolomics_liver_hilic_neg	MX2	hilic			NA												M698T10	698.052845249631	620.793146840401	[830][M]-	[M+Cl]- 663.083 [M-H]- 699.06	26	449	@M699.0568T10.35|-13C	0.90998896227487	0.00924375541034444	1	0.193578441290102	0.657960762218816	0	3.18014774973065		0.31720738430477
M348.5228T10.34	metabolomics_liver_hilic_neg	MX2	hilic			NA												M349T10	348.522773528414	620.401411381551	[538][M]2-	[M-H+Cl]2- 663.083 [M-2H]2- 699.06	26	269	@M349.0247T10.34|-13Cdb	0.684685976062264	0.0154102723627875	1	0.10810566491708	0.784917632135413	0	2.80399124014281		0.306703723947859
M319.5201T10.09	metabolomics_liver_hilic_neg	MX2	hilic			NA												M320T10	319.52008700423	605.461630928221			23	NA		0.951951737556984	0.0441485172042997	1	-0.866827242203886	0.00531661694469229	1	2.15616572997825		0.0885458837834396
M762.6608T10.37	metabolomics_liver_hilic_neg	MX2	hilic			NA												M763T10	762.660820033832	622.458757477175			1848	NA		0.88469632039828	0.0441485172042997	1	0.26443858299981	0.552002963068087	0	2.59895114465741		0.206651724966389
M268.05T10.1	metabolomics_liver_hilic_neg	MX2	hilic			NA												M268T10.1	268.049995984242	605.921472534349		[M+Cl]- 233.076	23	NA		0.621178339574882	0.0441485172042997	1	0.409379944785975	0.0673170291481726	0	2.17673995460824		0.187028368119703
M253.0503T9.01	metabolomics_liver_hilic_neg	MX2	hilic			NA												M253T9	253.050320971412	540.312473969068		[M-H-C2H4]- 282.095	10	NA		0.465375781287975	0.0441485172042997	1	-0.142024190902728	0.427143541535883	0	2.48429550772211		0.138403575522534
M358.1071T8.99	metabolomics_liver_hilic_neg	MX2	hilic			NA												M358T9.1	358.107122229927	539.63641620044	[552][M+1]-		754	NA		0.727527333980557	0.0638922346737372	0	-0.138486983543141	0.641503203230836	0	2.72421855901414		0.176018988965315
M357.1045T9	metabolomics_liver_hilic_neg	MX2	hilic			NA												M357T9.1	357.104467632096	539.753749634335	[552][M]-	[M-H]- 358.113	10	NA		0.430765910708921	0.0688260882064401	0	-0.205197933950402	0.208607755189219	0	2.56035299419859		0.17420389362064
M271.0233T8.46	metabolomics_liver_hilic_neg	MX2	hilic			NA												M271T8.1	271.02328831043	507.54670758871		[M+Cl]- 236.056	15	NA		2.27809668000139	0.080472123497023	0	0.243777406530032	0.905732605096944	0	2.47459026285095		0
M261.0288T8.93	metabolomics_liver_hilic_neg	MX2	hilic			NA												M261T9.2	261.028821441228	535.570332924112			10	NA		1.18440256923906	0.080472123497023	0	2.12067154209877	4.52598074991496e-06	1	1.80314641987249		0
M124.9915T4.81	metabolomics_liver_hilic_neg	MX2	hilic			NA												M125T5	124.991511208169	288.400109095554		[M-H-CH4]- 142.034	12	40	@M126.9872T4.81|-34S|-41K|-37Cl	0.775219465153722	0.080472123497023	0	-0.269976146165401	0.404455676463296	0	2.37097256945051		0.0644824506344679
M304.0712T7.67	metabolomics_liver_hilic_neg	MX2	hilic			NA												M304T8	304.071175323127	460.175305244187	[457][M]-	[M+Cl]- 269.107	3	NA		0.263099452717626	0.0908570472227452	0	-0.148542296757761	0.150893671287022	0	2.53878944445321		0.224329925907354
M248.0792T2.31	metabolomics_liver_hilic_neg	MX2	hilic			NA												M248T2.2	248.079248025111	138.658401044601	[337][M]-	[M-H]- 249.092	18	167	@M249.0826T2.31|-13C|@M284.0559T2.35|-(HCl)	1.11825914260595	0.100283659814759	0	-1.16287318139365	0.00724639445809699	1	2.01305997225188		0
M254.982T10.08	metabolomics_liver_hilic_neg	MX2	hilic			NA												M255T10.3	254.981988528743	605.052006874275	[350][M]-		1687	NA		0.567255934473927	0.100283659814759	0	0.668039104931619	0.00194330722921681	1	2.16839095491021		0.00124553513636376
M290.0998T7.11	metabolomics_liver_hilic_neg	MX2	hilic			NA												M290T7.2	290.099806265406	426.788210241504		[M-H-CO2]- 335.09	3	NA		-0.495895430342987	0.100283659814759	0	0.0427795179879453	0.826563874633284	0	2.3407390358367		-0.03820484880461
M506T9_ATP.Adenosine.5...tripho.	metabolomics_liver_hilic_neg	MX2	hilic	ATP;Adenosine 5'- triphosphate;Adenosine triphosphate	CHEBI:15422	2	a,b	C00002	Nucleotide metabolism	Purine metabolism	Adenine|Adenine Sufate	HMDB00538	CID5957	C10H16N5O13P3	506.99574	ZKHQWZAMYRWXGA-KQYNXXCUSA-N	InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1	M506T9	505.988848040375	558.813193652397		[M+Cl]- 471.017	19	368	@M603.966T9.3|-(H3PO4)	0.417279208965912	0.103424508617999	0	0.0871871775619475	0.76179459991971	0	2.76620227822617		0.0938174488403256
M239.9976T1.63	metabolomics_liver_hilic_neg	MX2	hilic			NA												M240T2	239.997578435728	97.7981906803739			37	NA		7.36850043043613	0.113433171815799	0	-3.95711882654441	0.217697302819126	0	2.34024081603955		0
M301.0729T3.33	metabolomics_liver_hilic_neg	MX2	hilic			NA												M301T3	301.072879709288	199.588000916914			8	NA		0.6965820184684	0.113433171815799	0	0.507145194838431	0.0985257193864591	0	2.14292180740737		0
M141.0221T9.55	metabolomics_liver_hilic_neg	MX2	hilic			NA												M141T10	141.022052661556	573.155460859182		[M-3H]3- 426.089	17	NA		-0.608586334715341	0.113433171815799	0	-0.0923200766464767	0.843342845854771	0	2.3528672718089		-0.00928934788145061
M266.1251T4.96	metabolomics_liver_hilic_neg	MX2	hilic			NA												M266T5.1	266.125128753875	297.863767760357		[M-H]- 267.134	12	NA		-0.553658137285307	0.113433171815799	0	0.023885268390142	0.897072093732077	0	2.54188896556639		0
M239.0235T10.62	metabolomics_liver_hilic_neg	MX2	hilic			NA												M239T11	239.02345060197	637.128362717137			2075	NA		0.465103440035016	0.113433171815799	0	-0.0787548195701628	0.723220208262233	0	2.05893544330729		0.0308111020742729
M278.0884T4.79	metabolomics_liver_hilic_neg	MX2	hilic			NA												M278T5	278.088373929261	287.229664803216	[393][M]-	[M+Cl]- 243.116	12	201	@M279.0916T4.79|-13C	-0.662450521363414	0.113560023042629	0	0.139640576573324	0.667883234645696	0	2.37324135935382		0
M557.6557T9.88	metabolomics_liver_hilic_neg	MX2	hilic			NA												M558T10	557.655741313489	592.796981844764	[752][M+1]2-		1888	395	@M557.1538T9.88|+13Cdb|@M809.7397T9.83|-(C9H16O8)	-0.485139878379771	0.113560023042629	0	-0.342487573743714	0.118043640935987	0	2.45276126887629		0
M442T9.1_Dihydrofolic.acid	metabolomics_liver_hilic_neg	MX2	hilic	Dihydrofolic acid	CHEBI:15633	2	a,b	C00415	Metabolism of cofactors and vitamins	Folate biosynthesis|One carbon pool by folate	Folate	HMDB01056	CID98792	C19H21N7O6	443.15533	OZRNSSUDZOLUSN-LBPRGKRZSA-N	InChI=1S/C19H21N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,12,21H,5-8H2,(H,24,29)(H,27,28)(H,31,32)(H4,20,22,25,26,30)/t12-/m0/s1	M442T9.1	442.148709117385	559.268843690619		[M+Cl]- 407.179 [M-H]- 443.156	19	NA		-0.369487174582975	0.119234948035855	0	-0.0462403253527697	0.891755196925899	0	2.15253393810526		0
M303.0684T3.12	metabolomics_liver_hilic_neg	MX2	hilic			NA												M303T3	303.068421048148	186.986130296386	[453][M+1]-		22	NA		0.905199943116976	0.123244436964217	0	-0.214982866198461	0.629144635047847	0	2.01782323624441		0
M145.0255T2.56	metabolomics_liver_hilic_neg	MX2	hilic			NA												M145T3.2	145.025527553321	153.861580111984		[M+Cl+HCOOH]- 64.0467	25	NA		0.769039673876151	0.134591145744215	0	0.623393585807239	0.0692109310565176	0	2.22336955876668		0
M309.1321T7.17	metabolomics_liver_hilic_neg	MX2	hilic			NA												M309T7.1	309.132105749054	429.929866668518			3	NA		-0.651177649505339	0.134591145744215	0	0.0334431324816968	0.891549286703455	0	2.35337097022225		0
