variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M143.0462T1	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M143T1.3	143.046244398142	60.3443328230724			1836	NA		1.30738143802862	0.0154226242491035	1	-0.647148462228227	0.0319595509086202	1	3.12615711982761	plsda, svm	-0.691638578995628
M158.0425T1_2	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M158T1.2	158.042547243019	59.3297902935001			2173	NA		0.487830945352712	0.0548662737129251	0	-0.296050176885261	0.0256054760021818	1	2.7521848452697	plsda, forest	-0.324304375695596
M129.0193T0.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M129T1.2	129.01931142056	56.7884939716417			105	NA		0.487546172498501	0.0643774822715843	0	0.211157204925902	0.206540711888353	0	2.6447329202425	plsda	-0.228912575033579
M140T1_O.Phosphorylethanolamine	metabolomics_plasma_c18acquity_neg	MX2	c18acquity	O-Phosphorylethanolamine	CHEBI:17553	2	a,b	M140T1	140.010235213613	58.2380203639225		[M+2Cl]2- 210.075	105	NA		0.440722258955999	0.0643774822715843	0	-0.145046045876269	0.255692578694227	0	3.0625162054724	plsda	-0.378415547232377
M413.8003T0.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M414T1	413.800272448163	52.2820133502601		[M+Cl]- 378.837	33	NA		0.439934340100525	0.0643774822715843	0	-0.260249177522587	0.0481424010357847	1	2.7652069070303	plsda	-0.0179108516022502
M157.0367T1	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M157T1.5	157.036674398529	58.3268445715955			105	33	@M193.0134T1_2|-(HCl)	0.41166857113982	0.0643774822715843	0	-0.0347437800835557	0.734264243611187	0	3.07925498312677	plsda	-0.168783364000173
M114.0308T1	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M114T1.1	114.030831779361	58.1491961562496		[M-H-CH4]- 131.071 [M-H-H20]- 133.061	105	NA		0.387324086004263	0.0692203933486233	0	0.0429412741416826	0.852411495862323	0	3.12410328541977	plsda	-0.126003861076263
M415.7976T0.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M416T1	415.797610561279	52.4067133312997		[M-2H+K]- 378.837	33	NA		0.380809712435601	0.07024944183341	0	-0.342638674145949	0.0058100832890128	1	2.37733084183058	plsda	0
M211.0976T9.3	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M211T9.1	211.097592821571	556.115265344684			2061	NA		0.516336538444184	0.113908175255658	0	-0.0230225298828302	0.844487730313991	0	2.91603058243512	plsda	-0.121149069193372
M279.1966T14.4	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M279T14.1	279.196559837911	862.296693184584			1903	NA		0.994885686834023	0.145192844945278	0	-0.318636074737741	0.343647832836277	0	2.62117327908976	svm	-0.255963951426548
M191.0197T1	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M191T1.5	191.019676176253	59.163212963712			226	NA		0.398236715422698	0.145192844945278	0	0.405917379681345	0.00557620116830768	1	2.25820401092002		0
M115.0765T8.3	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M115T8.3	115.076457833813	499.100876202751		[M-H]- 116.085 [M-H-CO2]- 160.074	309	NA		0.341270383374951	0.145192844945278	0	-0.00683734428766769	0.904722999960797	0	2.54874613778822	plsda	0
M129.0557T7.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M129T8.1	129.055675911792	475.605525559411			201	NA		0.626385635927527	0.190647674289906	0	-0.154685997529079	0.487392489596854	0	2.62575548979361	plsda	-0.053258863866957
M203.0018T9.2	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M203T9	203.001831864291	549.602024360291			1745	NA		-0.904149892645005	0.204471104691695	0	0.334147015641285	0.311334648635358	0	2.50008725435564	svm	0
M262.9761T0.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M263T1.1	262.976147862787	52.4319026994746	[124][M+2]-		33	NA		-0.208590799532356	0.20982471911989	0	0.25960014595473	0.00205365740946604	1	1.79322760300671		0.023468025619921
M275.2015T16.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M275T17	275.201488343401	1011.35647243299			1826	NA		-0.531853074996066	0.213915142576889	0	-0.0428381437970824	0.939302453842069	0	2.73594752859863	plsda	0.00126767094879001
M243.0622T1.2	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M243T1.1	243.062244613435	71.2888265298924			8	NA		0.285304790958055	0.213915142576889	0	-0.155003821741593	0.147943770420274	0	2.27793000976461	plsda	0
M459.1456T15.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M459T16	459.145616716294	951.538386832176			41	NA		0.782236504863334	0.217645208327219	0	-0.163234095293898	0.573079152349911	0	2.45913512914188		-0.23316847066985
M705.2524T14.5	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M705T14	705.252379085807	869.381280234888	[479][M+1]-		36	NA		-0.266450102942949	0.217645208327219	0	-0.143965733705372	0.201661844246338	0	2.30922959509497	plsda	0.000302464257342363
M894.9186T0.8_1	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M895T1.1	894.918647440627	47.2783712723773		[M-H-CH2]- 909.935	18	NA		0.343359819447299	0.243567628937759	0	-0.204725647053118	0.126227793722882	0	2.47282528241999		0
M540.2731T12.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M540T13	540.273105778257	771.069922955118			1926	NA		0.891389412079878	0.252982148656231	0	-1.22323999474087	0.00161430068477211	1	2.14285557755998		-0.146705383218943
M146.9612T8.4_2	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M147T8.3	146.961242326652	502.263811229334		[M-H-CO]- 175.966	136	NA		0.464380029734061	0.252982148656231	0	-0.465363969275797	0.0162263804248018	1	2.35477362997877		0
M104.043T1.2_2	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M104T1.4	104.043049493674	72.8074445816334			1583	NA		-0.426205678987179	0.252982148656231	0	0.089061739906219	0.585171805290463	0	2.05130236616926	plsda	0
M163.04T9.2	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M163T9	163.040023610338	553.643713658803		[M-H]- 164.047	194	NA		0.863103889245695	0.253661832927855	0	0.371071473635723	0.383431888292401	0	2.21289244477581	svm	0
M264.9343T0.8	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M265T1	264.934338651899	48.4523493189256		[2M-2H+K]- 113.997	18	NA		0.794062554511319	0.253661832927855	0	-0.980145135558605	0.00544085467373567	1	1.9126405400099	svm	0
M544.2682T15.7	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M544T16	544.268183845464	940.480439842878	[345][M]-		2294	NA		0.606637523994278	0.253661832927855	0	-0.268141915956981	0.298965786736876	0	2.09756379247748		-0.0202151239213018
M231.9676T8.4	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M232T8.1	231.967647652034	502.468217141327		[M-H]- 232.975	136	NA		0.588302782586981	0.253661832927855	0	-0.492838095627018	0.0500032474350446	0	2.18642917411534		0
M206.0823T9.3	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M206T9	206.082298224686	558.701843500781		[M-H]- 207.09	294	NA		0.469444983651751	0.253661832927855	0	0.678392161647503	0.000747944714636411	1	2.11720465576711		0
M167.1077T9.3	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M167T9	167.107695953424	556.066617804175			2058	NA		0.37861434325737	0.253661832927855	0	-0.221413407717019	0.167071782035831	0	2.53846227170155		0
M195.0104T1	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M195T1	195.010407984937	58.1911840274128			105	NA		0.34659241695096	0.253661832927855	0	0.0327195191211977	0.928010190864533	0	2.57431950337465	plsda	0
M130.0622T1	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M130T1.3	130.06215420357	58.1451779251806		[M-H]- 131.071	105	24	@M166.0389T1|-(HCl)	0.304322439446196	0.253661832927855	0	-0.263545482072045	0.0397788995402498	1	1.90456237421022		0
M658.3339T15.2	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M658T15.1	658.333944865803	911.215520883432			1219	NA		-0.302486327192293	0.253661832927855	0	-0.211249507971784	0.108454677107427	0	2.40757316444382		0
M183.9629T0.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M184T1	183.9628663174	52.3443755290355		[M-H]- 184.969	33	23	@M181.966T0.9|+34S|+41K|+37Cl	0.246123176253583	0.253661832927855	0	-0.254393558875256	0.017852100201947	1	2.02252109155953		0
M124T1.2_L.taurine	metabolomics_plasma_c18acquity_neg	MX2	c18acquity	L-taurine	CHEBI:15729	2	a,b	M124T1.2	124.007336473433	52.6476572738028	[24][M]-	[M-H]- 125.017	33	23	@M181.966T0.9|-(NaCl)	0.242235027365332	0.253661832927855	0	-0.237142296519526	0.0200054423301851	1	2.23349153293489		0
M602.302T14.7	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M602T15.1	602.301953483117	879.681056479086		[M+Cl]- 567.333	23	NA		0.229224213266328	0.253661832927855	0	0.0730566736363105	0.542601127511213	0	2.14010348399316		0
M507.3288T16.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M507T17	507.328756051785	1012.51702896947	[302][M+1]-		138	NA		-0.37458941084307	0.346700090222796	0	-0.761609547033057	2.61336647672364e-05	1	1.67698202090075		0
M516.2731T12.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M516T13	516.273056261649	771.432890065932			688	NA		0.802499798929226	0.374673199366478	0	-0.795077461588107	0.0334591437043422	1	2.38171030905281		0
M168.0357T1	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M168T1.2	168.035651355298	58.1491961562496		[M+Cl]- 133.061 [M-H]- 169.037	105	NA		0.465327035718119	0.374673199366478	0	-0.423097054890992	0.0524095599151638	0	1.86005639692632		0
M225.0495T1	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M225T1.1	225.049494988648	57.4525349850601			105	NA		0.324240508666122	0.374673199366478	0	-0.436057386798726	0.00611887978766326	1	1.54614172052882		0
M335.0449T0.8	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M335T1.3	335.044856021847	46.9579901272046		[M-H-CH2]- 350.068	18	NA		0.301652092733701	0.374673199366478	0	-0.0100578691936413	0.913503984034697	0	2.42530122467474		0
M297.8834T0.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M298T1	297.883397742649	52.5255528458243		[M+Cl]- 262.914	33	NA		0.249055736912258	0.374673199366478	0	-0.163757300276647	0.151928421712716	0	2.14766254486302		0
M339.9144T1	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M340T1	339.914351368853	57.7662772171594			1531	NA		0.283272286933023	0.379246657271895	0	-0.0232606070078027	0.83697177232169	0	2.40356359749606		-0.10791536527497
M181.0717T0.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M181T1.5	181.071747200086	54.4327067289273		[M-H-CO]- 210.075	105	NA		0.826398384535493	0.382188727555892	0	-0.640825917596072	0.0994317127094278	0	1.6925742938837	svm	0
M121.0294T8.4	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M121T8	121.029429203698	501.385172690174			1806	NA		0.342364763849041	0.382188727555892	0	-0.248620233282889	0.120879258795115	0	1.90207422868914		0
M88T1.1_Alanine.ou.sarcosine	metabolomics_plasma_c18acquity_neg	MX2	c18acquity	Alanine ou sarcosine		3	a,b	M88T1.1	88.0403227987168	57.737720700601			105	NA		0.268199167604088	0.395333445308433	0	-0.16010475443252	0.205623848439499	0	1.81523362024372		-0.00352775329544729
M642.3958T18.2	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M642T18	642.395843216457	1090.51075320066	[444][M]-		643	NA		-0.30418461997801	0.410333535894652	0	-0.0197141512418408	0.969902804065381	0	2.0445236366504		0
M279.233T18.2	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M279T18	279.232977316424	1090.36183559342	[135][M]-		622	50	@M280.2364T18.2|-13C|@M281.2393T18.2|-18O|-13C2	-0.365509143258613	0.412740550960066	0	0.177660084059966	0.315722327415345	0	2.29873042652071		0
