dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
M340.103T8.44	13.1682278886612	13.4216351732482	13.8523078329058	12.6887229036392	13.2560756089585	11.7246312065968	14.2089787066333	12.6048440072872	13.9634691722886	13.3513068735834	13.6853268913013	13.2024858639621	12.8559939291635	13.2739325471051	8.9376727780936	12.7436916661558	8.17706480853821	8.98265893524132	8.06752136968565	8.16915828675221	12.3465949236955	8.87311288448903	11.1718969503296	8.85408887576386	8.64465363906867	9.90585799975902	8.07956396261383	8.72518344664173	11.4967854887002
M257.0745T1.01	15.0889987896975	14.2839151060049	15.5766957061526	15.6335046047654	14.8807425848514	13.9033901294594	15.1118512880574	14.524377670454	13.316445753052	13.0885287891892	15.4914658341709	15.0593067815421	12.5290026169125	14.9605897583051	12.4146827877472	12.9811586516013	12.5296755399449	12.1322204035277	12.7143380279138	11.934855839009	13.788719691095	12.1672558936215	14.1837571328657	12.7725638837723	12.7082651740011	13.2999091468902	11.8453528899805	12.8706712307802	14.1441345986746
M599.7404T7.92_2	11.8433876753184	11.5252726326981	11.6568159137195	11.5567644607941	11.7076009686796	11.6056245727563	11.7530038144422	11.7073647714585	11.758732801264	11.6770819027297	11.3011434130653	11.5053284420104	12.0549743742891	11.583680478268	11.217005992193	11.2473036349025	10.5589029542898	10.5342249730878	10.9826284559793	11.1101967818421	10.9609676567451	10.7809810937659	11.04761927543	11.7179733257673	11.1166296084384	10.3964123003902	10.9118018890215	10.7603601475532	10.9655888043119
M709.6515T7.78_1	14.2388247922032	13.3243135745819	14.3690997358186	14.2574730356953	13.4774117519553	13.9632486531551	14.6022996956783	14.5405151647572	13.8500207057237	13.7725522674001	14.2896248747888	13.5997485062657	13.5222984948907	13.6429979295105	12.2274403572852	12.654454475172	12.2288679515691	10.3193987929947	12.4412936217325	12.5551268124198	11.1574341040881	11.4656688739603	12.1329798421577	13.7990311321721	12.9519724472403	11.6370154353508	13.2807440893635	13.1788443759852	13.0561167450027
M783.8546T8.69_1	12.2813034282938	13.2568523092859	13.7504125470724	13.5657382420062	11.9526424601291	11.6840700264952	12.9933119031425	12.0954982387737	11.8125431638001	11.7952313190046	11.9425868615371	11.9616125345092	10.8611968589332	10.868756528356	13.3480992575069	13.0788300458803	13.9036080975892	12.1666126288077	12.6465375859698	12.951658000051	13.515227636617	14.4676627225373	14.5487187784839	14.1711225295831	14.1139996782478	13.3067225701065	13.089227836931	12.918247429341	14.2404066091038
M709.938T7.78_3	15.7068844645149	15.2425634770644	16.1677272795503	16.33680714912	15.3582769506206	15.9711247329283	16.4472155094445	16.093677519585	15.694393121402	15.4381821493499	16.0804782581082	15.3349150353183	14.9180637954983	15.2024763832259	14.3550603540037	14.2137474744709	14.1527462994704	12.2358263699245	13.9385913541029	14.6666861196549	12.5621945933393	12.5411652752269	13.3782574010916	15.4406163681527	14.5806984580131	13.6619974370839	14.8975853332908	15.2913079109174	14.8588134939098
M710.3676T7.78_6	14.5890086624352	14.1544616579956	14.9761331449644	15.195407389764	14.0316057739761	14.5891193553934	15.3236141913209	15.0776593149415	14.4959560322103	14.4914835240063	14.8004420157834	13.9582562070484	13.8651424248422	14.1426832650245	13.1367828092718	13.2714229232564	13.0292676766705	11.1069360789069	13.0442353363283	13.6203950857052	11.5948601572324	11.5385821256228	12.3547894110246	14.2488725411963	13.4010240840389	11.6697010640289	13.5460553169234	14.124665385101	13.8191641985226
M827.926T7.78_2	15.0541698517247	14.4732340248276	15.5955943580657	15.6947344710871	14.5418123133089	15.2223664815089	15.9330717345019	15.849401613535	14.9122568560163	15.0781791436035	15.3461998176851	14.7141178052965	14.4278363206533	14.8544711818043	13.4765151818513	13.6156094833211	13.9099930801305	11.7166224978945	13.6181381081262	13.9882703240622	12.2295138609335	12.2146529641617	13.1554914615251	14.8876872580506	14.120985165683	12.6896412465776	14.2678198195056	14.6042125079691	14.3810862347482
M827.759T7.79_1	13.6522358120853	12.9178232941546	14.2143521987251	14.3743836977896	13.2816066187661	13.8329550766313	14.5154184834125	14.2865457445487	13.9134751300538	13.5869421218678	13.9669245262876	13.2025954554256	13.5286744729395	13.4221150743763	12.5945049325383	12.4532492806564	12.8783929488475	11.0069471447188	12.1316575826546	12.4679793191685	11.3194735059397	10.4339234735801	11.2475628761946	13.4423455631938	12.7241043962174	11.0039603382875	13.0393184659583	13.0835807826092	12.8917770712022
M710.2245T7.78_5	15.2270195879246	14.5966057875481	15.6343415823559	15.8463862980064	14.6113797137191	15.3194609095455	15.9664619158541	15.7907310757872	15.2947321115931	15.1485639908189	15.3710104082826	14.7122268147171	14.8223335654275	14.62885089835	14.0726647583859	13.7533567691906	13.6169952897502	12.3044577254218	13.9521313703001	14.2751037139852	11.9940072409176	12.2074302550393	13.1564475245037	14.8405686170537	14.0695668005506	12.7049332010491	14.3540755462576	14.834761948619	14.3506342670386
