variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M340.103T8.44	metabolomics_plasma_c18acquity_pos	MX2	c18acquity			NA		M340T8	340.103025604161	506.618228757845	[867][M]+		103	NA		3.68767616601247	4.43163017051039e-06	1	-0.714356806731567	0.12149048092527	0	3.65406418534215	plsda, forest, svm	-0.113567169607607
M257.0745T1.01	metabolomics_plasma_c18acquity_pos	MX2	c18acquity			4		M257T1.4	257.074517961511	60.5400345585756		[M+Na]+ 234.085	164	NA		1.69955418432984	0.000267612831885197	1	-0.938683213722523	0.00250458381472675	1	3.28355553801897		-0.16215323120082
M599.7404T7.92_2	metabolomics_plasma_c18acquity_pos	MX2	c18acquity			4		M600T8.1	599.7404	475.35474			77	NA		0.705863270525457	0.000267612831885197	1	0.0761506201537117	0.76285338199714	0	3.47511846366333	forest	-0.243991233806908
M709.6515T7.78_1	metabolomics_plasma_c18acquity_pos	MX2	c18acquity			4		M710T8	709.6515	467.09316	[2158][M]+		337	290	@M710.6535T7.78_2|-13C|-15N	1.62165233783548	0.00105411110690538	1	-0.00799002391960713	0.872584249133009	0	3.54119391188433	forest	-0.381514128466225
M783.8546T8.69_1	metabolomics_plasma_c18acquity_pos	MX2	c18acquity			4		M784T9.2	783.8546	521.4327			329	315	@M784.3564T8.69_2|-13Cdb	-1.29622473035478	0.00105411110690538	1	-1.18484221624764	4.97679638122997e-05	1	2.23360806069592	plsda	0
M709.938T7.78_3	metabolomics_plasma_c18acquity_pos	MX2	c18acquity			4		M710T8.2	709.938	467.08722			337	NA		1.66208413328009	0.0014790538748504	1	0.0654567238544104	0.997643422766345	0	3.41666975333967		-0.277070155867959
M710.3676T7.78_6	metabolomics_plasma_c18acquity_pos	MX2	c18acquity			4		M710T8.5	710.3676	467.09496			337	245	@M621.3215T7.79_3|+(C3H7O2N)	1.64890493181892	0.0014790538748504	1	0.142050555424124	0.871503314205158	0	3.40384653116595		-0.273937683031676
M827.926T7.78_2	metabolomics_plasma_c18acquity_pos	MX2	c18acquity			4		M828T8.1	827.926	467.07576			337	328	@M828.4278T7.78_5|-13Cdb|@M828.9287T7.79_3|-13C	1.59616352800343	0.0014790538748504	1	0.0567961802639552	0.992981600413712	0	3.40291813291674		-0.262001048747901
M827.759T7.79_1	metabolomics_plasma_c18acquity_pos	MX2	c18acquity			4		M828T8	827.759	467.14596			337	327	@M828.2607T7.78_4|-13Cdb|@M828.762T7.78_2|-13C	1.58275156219629	0.0014790538748504	1	0.283692444821638	0.577537088879539	0	3.35238879618842		-0.267287128010937
M710.2245T7.78_5	metabolomics_plasma_c18acquity_pos	MX2	c18acquity			4		M710T8.4	710.2245	467.09496		[M+K]+ 671.267	337	NA		1.57967466431462	0.0014790538748504	1	0.234981323410206	0.675043459961111	0	3.36081875226264		-0.23258406166288
M828.0934T7.78_3	metabolomics_plasma_c18acquity_pos	MX2	c18acquity			4		M828T8.2	828.0934	467.04786		[M+Na+CF3COOH]+ 671.116	337	329	@M828.5942T7.78_1|-13Cdb	1.56298539138552	0.0014790538748504	1	0.128140783792219	0.881760560135774	0	3.3823659355724		-0.249849931992646
M710.0813T7.78_4	metabolomics_plasma_c18acquity_pos	MX2	c18acquity			4		M710T8.3	710.0813	467.09496		[M+K]+ 671.116	337	244	@M621.0709T7.79_1|+(C2H3NO3)	1.55676591706911	0.0014790538748504	1	0.0842216804259106	0.962038347930898	0	3.40619426934978		-0.28096338547966
M709.7947T7.78_2	metabolomics_plasma_c18acquity_pos	MX2	c18acquity			4		M710T8.1	709.7947	467.07972	[2160][M]+		337	NA		1.47612001998388	0.0014790538748504	1	0.138040122047649	0.843660018708718	0	3.44016506811306		-0.315195404836242
