variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M340.1039T5.35	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M340T5	340.103896079417	320.725560187977			1099	NA		11.7751998920963	7.04736258964388e-05	1	-3.62644943622084	0.0824508867009432	0	3.21262973044343	plsda, svm	-0.0870288003402061
M783.8575T5.7	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M784T6	783.857468612928	342.283652784672			88	574	@M784.3591T5.7|-13Cdb|@M784.8603T5.7|-13C	-1.82217717964457	7.04736258964388e-05	1	-0.694404693354548	0.0722959123097237	0	3.40573334768013	plsda	0
M257.0753T0.85	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M257T1.2	257.075283216202	50.9291572338902			1338	NA		1.84006635776395	0.000206452841539422	1	-1.23304284111204	0.000898298751512872	1	2.76566331982409		-0.483475815908318
M676.5901T4.64	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M677T5	676.590092305336	278.63266222687	[1163][M+1]2+		4272	516	@M676.0887T4.65|+13Cdb	-1.30934176038861	0.000206452841539422	1	-0.474017988030758	0.141384743709721	0	3.24428684230776	plsda	0
M676.3394T4.65	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M676T5.1	676.339373945152	278.832383259109	[1165][M]2+		4269	518	@M676.8408T4.64|-13Cdb	-1.19927453891881	0.000277205473618806	1	-0.435844720920585	0.153333743427023	0	3.17990011212958	plsda	0
M561.2892T4.6	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M561T5	561.289155046599	275.945278281715			4329	NA		-1.68989712398742	0.000712929118642855	1	-0.638288735922334	0.164085352256864	0	2.87839652627466		0
M676.0887T4.65	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M676T5	676.088693506518	278.797038686971	[1163][M]2+		4266	516	@M676.5901T4.64|-13Cdb	-1.21010741445437	0.000981724872756841	1	-0.4608304079857	0.174987860738166	0	3.10324130739025		0
M580.6222T5.04	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M581T5	580.622195784883	302.215496341989			237	NA		-1.33466698129486	0.00201711940685299	1	-0.0936221145474363	0.929831922109524	0	3.31584734378071	forest	0
M561.539T4.57	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M562T5	561.539030273475	274.149813010392		[M+Na]+ 538.544	105	NA		-0.933926332081452	0.00215539178329866	1	0.397101138000421	0.0820094611912419	0	2.8208672118413		0
M440.4485T1.08	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M440T1	440.448451942606	65.0592953860166			18	NA		-1.86707516753579	0.00224839081642646	1	-0.112885603697929	0.953900620619734	0	3.61377272988641		0
M777.8718T5.48	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M778T5	777.871767714387	328.966408138893	[1295][M]2+		1169	570	@M778.3732T5.48|-13Cdb	-0.828780545294505	0.00263080526613294	1	-0.136092543126233	0.703247496649273	0	3.26954360012207		0
