variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M242.0135T1.57	metabolomics_plasma_hilic_neg	MX2	hilic			NA									NA			M242T2	242.01347674302	94.068079642593			939	NA		12.692863596945	1.35090985774311e-06	1	-1.10384374161025	0.48677001403508	0	3.44633138500087	plsda, svm	-0.336639101930172
M338.089T3.14	metabolomics_plasma_hilic_neg	MX2	hilic			NA									NA			M338T3.2	338.089028108226	188.495647124473			1230	NA		11.8821012957972	1.28981411301176e-05	1	-2.18141590969311	0.244474633245249	0	3.25324381554263	plsda, forest, svm	-0.233447464863756
M414.1528T5.66	metabolomics_plasma_hilic_neg	MX2	hilic			NA									NA			M414T6	414.15275974623	339.732499601578	[556][M]-		899	360	@M415.1563T5.67|-13C	2.25780823344399	1.28981411301176e-05	1	-1.12532478519705	0.00225636040564927	1	3.21610319634699	plsda	-0.380701385879419
M233.0783T5.84	metabolomics_plasma_hilic_neg	MX2	hilic			NA									NA			M233T6.2	233.078349112497	350.559723065954	[285][M]-	[M-H-CO]- 262.076	6	79	@M143.0464T5.84|+(C3H6O3)|@M234.0818T5.84|-13C	2.08746942440223	1.46387060617928e-05	1	-1.12412461917334	0.0016621754040549	1	3.12884660705329	plsda	-0.382694328529544
M296.0741T5.68	metabolomics_plasma_hilic_neg	MX2	hilic			NA									NA			M296T6.3	296.074138897951	340.793488874987	[403][M]-		900	267	@M297.0775T5.68|-13C	1.92071899195495	2.32217617073467e-05	1	-1.13088684070961	0.00107270975199925	1	3.06960978919467	plsda	-0.362592977169278
M313.0049T5.86	metabolomics_plasma_hilic_neg	MX2	hilic			NA									NA			M313T6	313.004880663624	351.574961244661	[438][M]-	[M-H-C5H8O4]- 446.063	6	289	@M314.0082T5.86|-13C|@M315.0029T5.86|-34S|-41K|-37Cl|@M316.0059T5.86|-13C-37Cl|-13C-34S	1.68746522765727	2.47749235927416e-05	1	-0.97873787394137	0.00139439412622375	1	3.05773201785968	plsda	-0.356371703728201
M380.1318T5.67	metabolomics_plasma_hilic_neg	MX2	hilic			NA									NA			M380T6	380.1318256622	340.275144377197			896	NA		2.72517262075184	0.000177918914494492	1	-2.26775151704147	0.000129603892836484	1	2.66393627839027		-0.210298550010852
M216.0517T8.52	metabolomics_plasma_hilic_neg	MX2	hilic			NA									NA			M216T9	216.051734459599	510.910534008398			1073	NA		1.02694203248751	0.000361633575197944	1	0.307081472035726	0.280068562787819	0	2.94089674459753	plsda	-0.109662541767192
M317.0068T5.87	metabolomics_plasma_hilic_neg	MX2	hilic			NA									NA			M317T6	317.006796431996	352.452712971867			231	289	@M314.0082T5.86|+13C+37Cl|+13C+34S|@M315.0029T5.86|+18O|+13C2|@M316.0059T5.86|+13C|+15N	1.92821039061157	0.00106465492667863	1	-1.36281305250692	0.0024547137169938	1	2.75324874369399		-0.31757767670458
M239.0025T2.44	metabolomics_plasma_hilic_neg	MX2	hilic			NA									NA			M239T2.1	239.002472737962	146.66636538284			1206	NA		9.86218477951986	0.00186509616561771	1	-0.31158600226324	0.845362990322611	0	2.61732298530601	plsda	-0.024327707235332
M102.0198T5.22	metabolomics_plasma_hilic_neg	MX2	hilic			NA									NA			M102T5	102.019805381746	313.322634097093			688	NA		0.791047901004223	0.00239069234306911	1	-0.600412159338475	0.00245887425728494	1	2.4755915663617		0
M896.9039T8.77	metabolomics_plasma_hilic_neg	MX2	hilic			NA									NA			M897T9	896.903863560393	525.934516961539			18	437	@M897.4052T8.77|-13Cdb|@M897.9066T8.77|-13C	0.918749837780279	0.00472460753190707	1	0.101592056427474	0.853876622461143	0	3.1391955815677	plsda	-0.176777479019532
M597.6006T8.77	metabolomics_plasma_hilic_neg	MX2	hilic			NA									NA			M598T9	597.600574188988	526.417861301548			628	NA		1.03352236583902	0.00490757956975581	1	0.0783498994059286	0.921863276223981	0	3.07815197885175	plsda	-0.0978086581021774
M512.2105T5.66	metabolomics_plasma_hilic_neg	MX2	hilic			NA									NA			M512T6	512.210526227271	339.885660131853			898	NA		2.6323305970763	0.00539134743921824	1	-0.529821029292853	0.473588216930092	0	2.69240604033526	plsda	-0.0166227064046064
