dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
O08997_Copper transport protein.	23.7993126529579	23.3837350059829	23.6021910572134	23.3892614800541	23.7389764579274	23.63615096999	23.2831610002001	23.9567779552453	23.9903858512251	23.6989760120757	23.2600244955269	23.3550020601845	23.8866415857066	24.0103807564983	24.4886788889416	24.2141839187302	24.3810773853026	24.636441086961	24.2646169817731	24.3752952193948	24.0559828994712	24.13170940973	24.174773329963	24.2158665190116	24.1859066715186	24.2715654702693	24.2748921016563	24.3298299999241	24.1728732092849
P61804_Dolichyl-diphosphooligos.	24.3947985210276	23.9585169619555	23.8371567854288	23.7658338033115	24.3000484902372	24.1540971128207	23.5896349182254	24.3554914400448	24.1149388377388	24.4471878036402	23.9952427783574	23.9955533361748	24.370220985133	24.188768264772	24.6866257651907	24.7187896501586	24.7463776703465	24.8371409976309	24.75794092267	24.7705060201537	24.5464627133192	24.5090228973359	24.4290882009662	24.4468748056345	24.2925242717347	24.5134360570806	24.7256723638834	24.9919412146498	24.3215886299929
P62852_40S ribosomal protein S25	26.0256395813611	25.9647927956411	25.882067964691	25.9484696321303	25.9628767707245	25.7594600316697	25.7867000661944	25.9759311239186	25.9246661000156	25.9161849870529	25.7254404240915	25.7335094218364	26.003023208883	25.9794508396845	26.3067462146643	26.370742872484	26.2428430849639	26.4459582557444	26.1812303742775	26.2642770757468	26.2523522975695	26.1391452112651	26.0678748152938	26.1217973423911	26.1067729795385	26.2599795423313	26.2423082843874	26.3052902706329	26.1490646859934
P62962_Profilin-1	27.2069353514983	27.0706619519602	26.9925935060306	26.9215254473932	27.2839751332643	27.1199740834502	26.8788284142144	27.3331492069173	27.1643243259898	27.1644070429189	27.0799145785148	27.1351628495501	27.3013259357398	27.3163369190783	27.5096228022689	27.4360987110213	27.5108130530698	27.6162393276898	27.531232354079	27.6089535655526	27.4217177667461	27.4443582626388	27.377943915905	27.3893251650918	27.3756935961901	27.3182607575214	27.3948957090235	27.3929893417261	27.3564233570624
Q9CQR2_40S ribosomal protein S21	24.4116133920911	24.4833729740906	24.2334003999291	24.0168915806633	24.2627429231245	24.2822974776585	24.0821867323508	24.4177907204978	24.4225615630734	24.170947973668	24.2189632901643	24.1073596491804	24.8884079874589	24.4938901335025	24.8962962759121	24.8461333798264	24.8836224233205	24.8235854175195	24.881411337817	24.7995708600099	24.7082393093749	24.8074098571842	24.7645178087012	24.8158424580273	24.9053908614415	24.679836786018	24.8062404372231	24.7801564590361	24.6991733702151
Q64433_10 kDa heat shock protei.	27.8541321839979	27.4874853169616	27.2246435386014	27.2217262032968	27.8363271144532	27.7012570656298	27.1917791434456	27.8979213254009	27.8029520390432	27.885562515905	27.2065601167114	27.299674355591	27.9625049982228	27.9937209416305	28.0311659167698	28.2519039156223	28.0308390271054	28.3526337526292	28.1166035021639	28.2254063380497	27.6469109974709	27.9351984184195	28.0456786850572	27.9977086623328	27.8413847712967	27.8950423233772	28.1652416200201	28.2676002492259	27.8356625328628
P15532_Nucleoside diphosphate k.	25.5343994251587	25.2297793454329	25.3541709441623	25.3850544102166	25.5046690497935	25.3284489517097	25.2379899167651	25.5747386810613	25.4957659933427	25.3806811530647	25.3052039752047	25.3431737849131	25.4226793523855	25.5174583046967	25.832411617914	25.7055233425324	25.6195369290612	25.9873386184201	25.6352191472984	25.6855786461384	25.894409248125	25.9328216368064	25.7446728046444	25.7475607620908	25.5751785566105	25.8569913641303	25.6819948868036	25.8300030327723	25.7357307807853
P62983_Ubiquitin-40S ribosomal .	28.0129288211679	27.9756477096017	27.6491595658662	27.7361807958941	28.1225664118584	27.9467548688078	27.9446207417355	28.1487758609513	27.9479296525078	28.0450788855472	27.8999695826702	27.9805653179758	28.0084701698092	27.9324839393767	28.3332382153047	28.2270011157335	28.3216204195157	28.3075200518031	28.241872767546	28.23501457342	28.2376441158516	28.224503707156	28.107983103388	28.1505917672515	28.1833234070022	28.1277280063917	28.2981536274049	28.1163923510759	28.1633313527432
Q64462_Cytochrome P450 4B1	17.9187770716777	19.4499755570532	18.0219792886341	19.6512997311964	20.0518121774076	20.126244282326	19.8971763921272	18.1791051232252	20.1142823227974	19.9536015459174	19.9852885738172	19.8688647452731	20.0437562458487	20.2087100603855	21.4414864349457	21.2336087063961	21.4624216415621	21.6081243974849	21.1991322322617	21.3324730007217	21.3366652273595	21.4625440841307	21.3762129779378	20.9823234344887	21.3086827374827	20.9630874551632	20.7402063011794	20.5810159532469	21.5527000513113
P08228_Superoxide dismutase [Cu.	29.8389482518194	29.6223965118248	29.3422906514407	29.5522688660845	29.8628938390317	29.6572601084788	29.4581399824876	29.8929056451856	29.6933694395434	29.8239793167926	29.4427707912087	29.4110476221467	29.7760923183127	29.8507473050041	29.9635965704259	30.0294316469844	29.9584774020032	29.9575608473798	29.9586551920183	30.1337311127084	29.8361151906842	29.960530431184	30.0404609709566	29.9026576544927	29.8494567399352	30.1574536461993	29.9459300223102	30.2928855247407	29.8651301607288
