dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X517f	X518f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W622f	W623f	W625m	W627m	W628m	W630m	W631m	W632f	W633f	W634m
Q9QZ39_Alpha-N-acetylgalactosam.	19.2598749754928	18.9379068121648	18.7523345161642	19.6074314606975	19.4334365789373	19.6503145385047	19.7901080360258	18.8790879321456	18.6079161090391	19.4751424106172	18.1821451465094	20.9150095915548	15.9227076125006	17.9502515688281	16.5639324640984	16.5089085065803	16.8590163149756	15.6992385347976	15.759109754824	16.0190481389509	16.5383065061894	16.1336184973937	17.3849633646257	17.2099272078775	16.4635841588418
Q9Z1R3_Apolipoprotein M	25.2185339704076	25.4137039746212	25.5284456450482	25.1760235161444	25.3507092490209	25.2911737914376	25.0830543277854	25.2894231562909	25.1853948048286	25.2678439580652	25.4089237799116	25.0855669542612	25.7353850680715	25.7750273818045	25.6193920713833	25.670846824539	25.5238526522231	25.7906749250371	25.9959712759688	25.3506276512507	25.6122601927251	25.7448096170076	25.6826123181296	25.7860505203059	25.6593137121783
P01864_Ig gamma-2A chain C regi.	27.8917775856919	27.9501757727893	28.3220393977654	27.5788822728962	27.8859777313348	28.5073741399295	28.4776614396156	28.1817437203745	29.3565054336654	29.0715677629731	27.9931045857088	28.3217738526011	27.6109666932722	27.0001052495431	27.3119771985845	26.845895239003	27.3187586216864	27.3177022832579	26.3311122542675	27.3933083576232	27.5893660963415	26.7503358089036	28.3355500990964	27.50952289584	26.1473757448625
P24472_Glutathione S-transferas.	21.0661493163931	21.1572744538484	20.0405821982673	21.6216817840699	19.7923585908788	18.4138016944292	20.4297230574108	21.2503227087687	20.5216222436832	20.853955402199	17.8507800030209	20.4464752907539	17.7155819944253	16.8396838354776	17.9915495316908	17.4241902416619	19.1185926111154	16.1714522425872	16.253631094043	18.0857453661399	19.9108454488394	20.9916515044367	17.7761446085481	17.1941140110469	19.8576309183842
P35175_Stefin-1	17.5745305224349	17.1253964760842	17.8562512848585	17.7341308704166	17.0607812008197	17.4147180164519	17.004114885484	17.7673745074773	16.8344014220716	17.7174332449549	17.185314498618	17.2437140932374	16.9504051907854	16.7533233423314	16.5325778285221	16.6587080482802	16.5278944939461	16.0331747588554	16.3374398464182	16.0548772985993	17.1303741857438	16.3274875599454	17.4617687086975	17.3610875704494	16.6211170633142
Q60963_Platelet-activating fact.	22.4068848876613	21.8267304046755	22.0567893438443	22.3427048909964	21.6707889199309	21.7447526561972	22.1700012832858	22.1734944580189	22.2483387649099	22.3333160248871	22.231840510379	22.1606425365483	22.2189016710502	21.8000285624561	21.1911024505282	21.9405751845104	21.7898727914259	21.2728860261012	21.2486783933958	21.6869365692106	21.2422637935377	21.5981716821005	21.7057579790739	21.9259788529053	21.2317954026257
P70269_Cathepsin E	21.1679849562877	21.3782830798977	22.1089611568206	21.4216278901722	21.2615212257889	21.2454463688921	21.2033656288328	21.0613964099087	21.7727542287039	21.6092431150308	21.0067177999792	21.2225027808393	20.6926464712248	20.8539512154999	20.8792833449653	20.9729350095634	21.1916537088757	20.9174652345945	21.061525620791	21.4570639460459	20.4127999423828	21.0794554860781	20.7786860616061	21.0396592324	20.917633303612
Q01279_Epidermal growth factor .	25.9677816644657	27.1624122282494	26.9655083815994	26.6340803953733	26.0361080309661	25.8540421783184	26.2815617751894	25.450643422029	26.5589334205892	26.8866094932582	25.9844536630335	26.2099619727585	26.4494921328151	26.3940436850533	26.3581101607073	26.2315607609789	26.1806555435398	27.2016347285602	27.1924680109378	27.1627103204054	26.8436576284193	27.0091337455684	26.5703185185947	26.5547150741032	27.244953313737
P01867_Ig gamma-2B chain C regi.	29.0102702772708	28.8415538866487	28.9877409056914	28.8849917603628	29.2944573889878	29.180071071973	29.3846568977284	29.8217375918831	29.903816768044	29.6046639582397	30.0556928596175	29.2224985061626	29.1024061874171	29.1158714007178	28.6012334047959	28.5622636225195	28.8524372128785	29.0026272211272	27.1944522357076	28.4037654329456	28.1312547325611	28.43400279896	29.443529778241	28.8726527136921	27.1942620981869
P34928_Apolipoprotein C-I	26.2673259203932	26.7476876729049	27.0290165479539	26.8158832957694	25.9012543458142	25.9788009549366	26.2216807781903	26.3987692603086	26.2560534497318	26.1439984564779	26.6031675478901	26.2460314899669	25.9626826455998	25.9728403806332	25.554062884095	25.8207920035669	25.9040994853919	26.1180922631491	26.3576145546106	26.1959165819557	26.1421065897532	26.0977384824685	25.911626325265	26.0093300931617	26.4750654425918
