variableMetadata	set	gene	accession	description	uniprot_id	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
Q9QZ39_Alpha-N-acetylgalactosam.	proteomics_plasma	MX2	sp|Q9QZ39|SIA7A_MOUSE	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1  OS=Mus musculus (Mouse) GN=St6galnac1 PE=2 SV=2	Q9QZ39	2.75146060151467	3.53023331139582e-08	1	0.725296140452595	0.0810740051902515	0	2.65274557793227	plsda, forest, svm	-0.649766361590755
Q9Z1R3_Apolipoprotein M	proteomics_plasma	MX2	sp|Q9Z1R3|APOM_MOUSE	Apolipoprotein M  OS=Mus musculus (Mouse) GN=Apom PE=1 SV=1	Q9Z1R3	-0.413317486319215	0.000345032601633291	1	-0.0547071240192203	0.727882703058659	0	2.5772083234395		0.493013674851309
P01864_Ig gamma-2A chain C regi.	proteomics_plasma	MX2	sp|P01864|GCAB_MOUSE	Ig gamma-2A chain C region secreted form  OS=Mus musculus (Mouse) PE=1 SV=1	P01864	1.10549916366738	0.00563104934091753	1	0.180499240131567	0.706789887044974	0	2.34960186366191		-0.253665136141797
P24472_Glutathione S-transferas.	proteomics_plasma	MX2	sp|P24472|GSTA4_MOUSE	Glutathione S-transferase A4  OS=Mus musculus (Mouse) GN=Gsta4 PE=1 SV=3	P24472	2.1846902997926	0.0164617510194812	1	-0.780005680124283	0.223186440148657	0	2.20928601970346	svm	-0.224798713567535
P35175_Stefin-1	proteomics_plasma	MX2	sp|P35175|CYT1_MOUSE	Stefin-1  OS=Mus musculus (Mouse) GN=Stfa1 PE=3 SV=1	P35175	0.703418349661259	0.0164617510194812	1	0.218508219644278	0.42790243165176	0	2.05410559090949		-0.236230394667362
Q60963_Platelet-activating fact.	proteomics_plasma	MX2	sp|Q60963|PAFA_MOUSE	Platelet-activating factor acetylhydrolase  OS=Mus musculus (Mouse) GN=Pla2g7 PE=2 SV=2	Q60963	0.509784029168539	0.0164617510194812	1	0.202573324907139	0.291859005106687	0	1.97615547539716		-0.0801915230518414
P70269_Cathepsin E	proteomics_plasma	MX2	sp|P70269|CATE_MOUSE	Cathepsin E  OS=Mus musculus (Mouse) GN=Ctse PE=1 SV=2	P70269	0.428976650021323	0.0182590548781605	1	-0.243896946081236	0.0715476848207929	0	2.18512472243626		-0.166618838418449
Q01279_Epidermal growth factor .	proteomics_plasma	MX2	sp|Q01279|EGFR_MOUSE	Epidermal growth factor receptor  OS=Mus musculus (Mouse) GN=Egfr PE=1 SV=1	Q01279	-0.389898636828548	0.0250609413205848	1	-0.807217460556391	1.14049490653678e-07	1	0.882579273342397		0.00984718124704534
P01867_Ig gamma-2B chain C regi.	proteomics_plasma	MX2	sp|P01867|IGG2B_MOUSE	Ig gamma-2B chain C region  OS=Mus musculus (Mouse) GN=Igh-3 PE=1 SV=3	P01867	0.817749155557205	0.0293424494637183	1	0.581517681000555	0.0504873556365651	0	1.7865471112446		0
P34928_Apolipoprotein C-I	proteomics_plasma	MX2	sp|P34928|APOC1_MOUSE	Apolipoprotein C-I  OS=Mus musculus (Mouse) GN=Apoc1 PE=1 SV=1	P34928	0.343987779342836	0.0392716218790069	1	-0.344359230232389	0.00587466372264149	1	1.79112714552614		-0.0316677046897531
P01837_Immunoglobulin kappa con.	proteomics_plasma	MX2	sp|P01837|IGKC_MOUSE	Immunoglobulin kappa constant  OS=Mus musculus (Mouse) GN=Igkc PE=1 SV=2	P01837	0.857908819927442	0.0395123198250075	1	0.248140742151765	0.571303886492315	0	2.01846736820327		0
P01631_Ig kappa chain V-II regi.	proteomics_plasma	MX2	sp|P01631|KV2A7_MOUSE	Ig kappa chain V-II region 26-10  OS=Mus musculus (Mouse) PE=1 SV=1	P01631	0.836100890449007	0.0395123198250075	1	0.359695416143783	0.327416999552654	0	1.91506567807648		0
P52430_Serum paraoxonase/aryles.	proteomics_plasma	MX2	sp|P52430|PON1_MOUSE	Serum paraoxonase/arylesterase 1  OS=Mus musculus (Mouse) GN=Pon1 PE=1 SV=2	P52430	0.325995634695406	0.0395123198250075	1	0.420711118214395	0.000618989930804951	1	1.22483506339436		-0.131691218930325
P09581_Macrophage colony-stimul.	proteomics_plasma	MX2	sp|P09581|CSF1R_MOUSE	Macrophage colony-stimulating factor 1 receptor  OS=Mus musculus (Mouse) GN=Csf1r PE=1 SV=3	P09581	-0.196431405709394	0.0395123198250075	1	0.161301877680465	0.0281599291938886	1	1.967983003779		0.0570552318958208
Q61147_Ceruloplasmin	proteomics_plasma	MX2	sp|Q61147|CERU_MOUSE	Ceruloplasmin  OS=Mus musculus (Mouse) GN=Cp PE=1 SV=2	Q61147	0.166989750249556	0.0395123198250075	1	0.243777781248401	0.000155091624479934	1	1.11069716392612		-0.220650366012587
P31725_Protein S100-A9	proteomics_plasma	MX2	sp|P31725|S10A9_MOUSE	Protein S100-A9  OS=Mus musculus (Mouse) GN=S100a9 PE=1 SV=3	P31725	1.50905356042713	0.0395651750323818	1	0.637482874158597	0.35245515477291	0	1.69596452911668		-0.0231777994113561
P06801_NADP-dependent malic enz.	proteomics_plasma	MX2	sp|P06801|MAOX_MOUSE	NADP-dependent malic enzyme  OS=Mus musculus (Mouse) GN=Me1 PE=1 SV=2	P06801	0.793234656956116	0.0452733272882163	1	-0.170391834002373	0.570797366697812	0	2.06872520165141		0
P35917_Vascular endothelial gro.	proteomics_plasma	MX2	sp|P35917|VGFR3_MOUSE	Vascular endothelial growth factor receptor 3  OS=Mus musculus (Mouse) GN=Flt4 PE=1 SV=1	P35917	-0.226359786469352	0.0452733272882163	1	0.183157009882098	0.036891992704856	1	2.14942098466328		0.0351046083080653
P70274_Selenoprotein P	proteomics_plasma	MX2	sp|P70274|SEPP1_MOUSE	Selenoprotein P  OS=Mus musculus (Mouse) GN=Selenop PE=1 SV=3	P70274	-0.185588262805236	0.0456295887478856	1	0.279157061546545	0.0004002357107049	1	1.91585816901922		0.149596511743332
P06909_Complement factor H	proteomics_plasma	MX2	sp|P06909|CFAH_MOUSE	Complement factor H  OS=Mus musculus (Mouse) GN=Cfh PE=1 SV=2	P06909	-0.221516647516758	0.0538636795133691	0	0.0742726042002744	0.395945990253916	0	2.08463823273777		0.162694524749252
Q60590_Alpha-1-acid glycoprotei.	proteomics_plasma	MX2	sp|Q60590|A1AG1_MOUSE	Alpha-1-acid glycoprotein 1  OS=Mus musculus (Mouse) GN=Orm1 PE=1 SV=1	Q60590	0.587217864272343	0.0575496816717424	0	-0.156718623170434	0.504331144265267	0	1.81398186853666		0
Q9R098_Hepatocyte growth factor.	proteomics_plasma	MX2	sp|Q9R098|HGFA_MOUSE	Hepatocyte growth factor activator  OS=Mus musculus (Mouse) GN=Hgfac PE=1 SV=1	Q9R098	-0.242176991833212	0.0575496816717424	0	0.249159303210405	0.0126800923980116	1	1.7301142289346		0
P01746_Ig heavy chain V region .	proteomics_plasma	MX2	sp|P01746|HVM02_MOUSE	Ig heavy chain V region 93G7  OS=Mus musculus (Mouse) PE=2 SV=1	P01746	1.66881666220968	0.064088771340149	0	0.972674148720472	0.223186440148657	0	1.64427601567309		0
P63242_Eukaryotic translation i.	proteomics_plasma	MX2	sp|P63242|IF5A1_MOUSE	Eukaryotic translation initiation factor 5A-1  OS=Mus musculus (Mouse) GN=Eif5a PE=1 SV=2	P63242	1.13033676833735	0.0733824918910447	0	0.148697650234517	0.871833201693334	0	1.84093806332437		-0.0466862400930314
P10639_Thioredoxin	proteomics_plasma	MX2	sp|P10639|THIO_MOUSE	Thioredoxin  OS=Mus musculus (Mouse) GN=Txn PE=1 SV=3	P10639	1.4064515482701	0.0745291452517171	0	0.686010805043523	0.336924940304201	0	1.73609913743967		-0.0487278253158715
Q9CQ19_Myosin regulatory light .	proteomics_plasma	MX2	sp|Q9CQ19|MYL9_MOUSE	Myosin regulatory light polypeptide 9  OS=Mus musculus (Mouse) GN=Myl9 PE=1 SV=3	Q9CQ19	1.30071560314349	0.0773167707732207	0	0.273375977820454	0.749743664469983	0	1.86689505300292		0
P62835_Ras-related protein Rap-.	proteomics_plasma	MX2	sp|P62835|RAP1A_MOUSE	Ras-related protein Rap-1A  OS=Mus musculus (Mouse) GN=Rap1a PE=1 SV=1	P62835	1.37502186827673	0.0781385997765617	0	-0.074458541516158	0.852586624367729	0	1.97695252241486		0
P02816_Prolactin-inducible prot.	proteomics_plasma	MX2	sp|P02816|PIP_MOUSE	Prolactin-inducible protein homolog  OS=Mus musculus (Mouse) GN=Pip PE=2 SV=3	P02816	-1.69412403975731	0.085549785974317	0	-0.78924095185128	0.388309787819665	0	1.54572316840178	svm	0
P11499_Heat shock protein HSP 9.	proteomics_plasma	MX2	sp|P11499|HS90B_MOUSE	Heat shock protein HSP 90-beta  OS=Mus musculus (Mouse) GN=Hsp90ab1 PE=1 SV=3	P11499	1.09667998499958	0.085549785974317	0	0.711511929532065	0.195846090877126	0	1.61433925872973		0
Q9D1H9_Microfibril-associated g.	proteomics_plasma	MX2	sp|Q9D1H9|MFAP4_MOUSE	Microfibril-associated glycoprotein 4  OS=Mus musculus (Mouse) GN=Mfap4 PE=1 SV=1	Q9D1H9	0.633733064568819	0.085549785974317	0	-0.494426262650844	0.0842809680115038	0	1.69282682766648		0
P20065_Thymosin beta-4	proteomics_plasma	MX2	sp|P20065|TYB4_MOUSE	Thymosin beta-4  OS=Mus musculus (Mouse) GN=Tmsb4x PE=1 SV=1	P20065	1.10913848324147	0.0956388274655759	0	0.829668090274915	0.127530596328169	0	1.54475576521639		-0.0518914311275791
B2RPV6_Multimerin-1	proteomics_plasma	MX2	sp|B2RPV6|MMRN1_MOUSE	Multimerin-1  OS=Mus musculus (Mouse) GN=Mmrn1 PE=1 SV=2	B2RPV6	0.982346935034265	0.10344124338722	0	0.00249408792866035	0.947488080244397	0	1.67335327157425		0
Q8K426_Resistin-like gamma	proteomics_plasma	MX2	sp|Q8K426|RETNG_MOUSE	Resistin-like gamma  OS=Mus musculus (Mouse) GN=Retnlg PE=1 SV=1	Q8K426	-0.787151605741226	0.10344124338722	0	-0.362123562732386	0.410763123649249	0	1.38486869081126		0
P04104_Keratin, type II cytoske.	proteomics_plasma	MX2	sp|P04104|K2C1_MOUSE	Keratin, type II cytoskeletal 1  OS=Mus musculus (Mouse) GN=Krt1 PE=1 SV=4	P04104	1.53247262231983	0.105782404772462	0	-0.790126992774763	0.288506262699476	0	1.65788415126435		0
P57780_Alpha-actinin-4	proteomics_plasma	MX2	sp|P57780|ACTN4_MOUSE	Alpha-actinin-4  OS=Mus musculus (Mouse) GN=Actn4 PE=1 SV=1	P57780	0.553342310063442	0.105782404772462	0	0.550117430281666	0.0396623376213599	1	1.43260237353465		0
P29533_Vascular cell adhesion p.	proteomics_plasma	MX2	sp|P29533|VCAM1_MOUSE	Vascular cell adhesion protein 1  OS=Mus musculus (Mouse) GN=Vcam1 PE=1 SV=1	P29533	-0.149340426047559	0.107676067006114	0	-0.118735087128687	0.116802249087122	0	1.57535366594593		0
Q9WVA4_Transgelin-2	proteomics_plasma	MX2	sp|Q9WVA4|TAGL2_MOUSE	Transgelin-2  OS=Mus musculus (Mouse) GN=Tagln2 PE=1 SV=4	Q9WVA4	1.24076651473516	0.111955427523819	0	0.479179904916094	0.53506827042663	0	1.67735633823653		0
P35441_Thrombospondin-1	proteomics_plasma	MX2	sp|P35441|TSP1_MOUSE	Thrombospondin-1  OS=Mus musculus (Mouse) GN=Thbs1 PE=1 SV=1	P35441	0.59432000083169	0.111955427523819	0	0.0714078510852296	0.904875880869583	0	1.78821228681327		0
Q9R1P3_Proteasome subunit beta .	proteomics_plasma	MX2	sp|Q9R1P3|PSB2_MOUSE	Proteasome subunit beta type-2  OS=Mus musculus (Mouse) GN=Psmb2 PE=1 SV=1	Q9R1P3	-0.475374525464201	0.111955427523819	0	-0.0257735178355958	0.994109140646594	0	1.49857512434141		0
P31532_Serum amyloid A-4 protein	proteomics_plasma	MX2	sp|P31532|SAA4_MOUSE	Serum amyloid A-4 protein  OS=Mus musculus (Mouse) GN=Saa4 PE=1 SV=2	P31532	-0.405357492975821	0.111955427523819	0	-0.60347756551559	0.0019737364627461	1	1.06867502646491		0
O70410_Vomeronasal type-2 recep.	proteomics_plasma	MX2	sp|O70410|V2R1_MOUSE	Vomeronasal type-2 receptor 1  OS=Mus musculus (Mouse) GN=Vmn2r1 PE=1 SV=1	O70410	-0.221230495017149	0.111955427523819	0	0.572513410568025	1.65822820341236e-05	1	1.35963512445254		0
P98064_Mannan-binding lectin se.	proteomics_plasma	MX2	sp|P98064|MASP1_MOUSE	Mannan-binding lectin serine protease 1  OS=Mus musculus (Mouse) GN=Masp1 PE=1 SV=2	P98064	-0.154355498660344	0.111955427523819	0	0.0150462278448735	0.803603254024082	0	1.96849397244869		0
P01868_Ig gamma-1 chain C regio.	proteomics_plasma	MX2	sp|P01868|IGHG1_MOUSE	Ig gamma-1 chain C region secreted form  OS=Mus musculus (Mouse) GN=Ighg1 PE=1 SV=1	P01868	-0.855155703721437	0.11261827785636	0	-0.268036520387508	0.644956574044361	0	1.42036986661676		0.0401776731685754
P63101_14-3-3 protein zeta/delta	proteomics_plasma	MX2	sp|P63101|1433Z_MOUSE	14-3-3 protein zeta/delta  OS=Mus musculus (Mouse) GN=Ywhaz PE=1 SV=1	P63101	1.27053074155073	0.1238870569912	0	0.726898928354501	0.327200541234438	0	1.51430628910479		0
Q61207_Prosaposin	proteomics_plasma	MX2	sp|Q61207|SAP_MOUSE	Prosaposin  OS=Mus musculus (Mouse) GN=Psap PE=1 SV=2	Q61207	-0.238689803260062	0.1238870569912	0	0.502347594409521	0.000243999975149341	1	1.5139820020876		0
