variableMetadata	set	gene	accession	description	uniprot_id	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
Q8R1I1_Cytochrome b-c1 complex .	proteomics_liver	LAT	sp|Q8R1I1|QCR9_MOUSE	Cytochrome b-c1 complex subunit 9  OS=Mus musculus (Mouse) GN=Uqcr10 PE=1 SV=1	Q8R1I1	-0.599253003591869	0.000435552235438903	1	-0.437867460687059	0.000297245294653831	1	2.20715266288469		0
P62852_40S ribosomal protein S25	proteomics_liver	LAT	sp|P62852|RS25_MOUSE	40S ribosomal protein S25  OS=Mus musculus (Mouse) GN=Rps25 PE=1 SV=1	P62852	-0.477391635847685	0.000435552235438903	1	-0.26461740160039	0.0058568607934702	1	2.76625215967795		0.132950929598895
O08997_Copper transport protein.	proteomics_liver	LAT	sp|O08997|ATOX1_MOUSE	Copper transport protein ATOX1  OS=Mus musculus (Mouse) GN=Atox1 PE=1 SV=1	O08997	-0.545375669947429	0.000649223450502853	1	0.197958732228518	0.0232340604827214	1	2.57724651381713		0.200893285901835
P03911_NADH-ubiquinone oxidored.	proteomics_liver	LAT	sp|P03911|NU4M_MOUSE	NADH-ubiquinone oxidoreductase chain 4  OS=Mus musculus (Mouse) GN=Mtnd4 PE=1 SV=1	P03911	0.515836255281641	0.000649223450502853	1	-0.469481465875973	0.000209660368319205	1	1.85260909827998		0
P61804_Dolichyl-diphosphooligos.	proteomics_liver	LAT	sp|P61804|DAD1_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1  OS=Mus musculus (Mouse) GN=Dad1 PE=1 SV=3	P61804	-0.445538230673218	0.000649223450502853	1	0.342374671862022	0.000327034321912879	1	2.22611224003658		0
Q9CQC7_NADH dehydrogenase [ubiq.	proteomics_liver	LAT	sp|Q9CQC7|NDUB4_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4  OS=Mus musculus (Mouse) GN=Ndufb4 PE=1 SV=3	Q9CQC7	-0.36267368321781	0.000649223450502853	1	-0.254727139313697	0.0104021059179936	1	1.82522635120483		0
Q9CQR2_40S ribosomal protein S21	proteomics_liver	LAT	sp|Q9CQR2|RS21_MOUSE	40S ribosomal protein S21  OS=Mus musculus (Mouse) GN=Rps21 PE=1 SV=1	Q9CQR2	-0.320415382443493	0.000649223450502853	1	-0.156186270345831	0.0322410049905948	1	2.67273086671665	plsda	0.381406247152339
Q9CQZ6_NADH dehydrogenase [ubiq.	proteomics_liver	LAT	sp|Q9CQZ6|NDUB3_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3  OS=Mus musculus (Mouse) GN=Ndufb3 PE=1 SV=1	Q9CQZ6	-0.369252027248539	0.0017502980354491	1	-0.285153838113359	0.0191969847015224	1	2.32390029221095		0.00572296968521283
P62830_60S ribosomal protein L23	proteomics_liver	LAT	sp|P62830|RL23_MOUSE	60S ribosomal protein L23  OS=Mus musculus (Mouse) GN=Rpl23 PE=1 SV=1	P62830	-0.249781225729681	0.0017502980354491	1	-0.0777739370039114	0.178388019039651	0	2.72303471491372	forest	0.413820612928666
O70133_ATP-dependent RNA helica.	proteomics_liver	LAT	sp|O70133|DHX9_MOUSE	ATP-dependent RNA helicase A  OS=Mus musculus (Mouse) GN=Dhx9 PE=1 SV=2	O70133	0.757848650155392	0.00237854010921144	1	-0.485667360692798	0.00246662358687523	1	1.28328263953416		0
Q06185_ATP synthase subunit e, .	proteomics_liver	LAT	sp|Q06185|ATP5I_MOUSE	ATP synthase subunit e, mitochondrial  OS=Mus musculus (Mouse) GN=Atp5me PE=1 SV=2	Q06185	-0.311018658385059	0.0025065336935387	1	-0.171066540702906	0.0279287333904384	1	1.9839093750381		0
Q99JH8_ER lumen protein-retaini.	proteomics_liver	LAT	sp|Q99JH8|ERD21_MOUSE	ER lumen protein-retaining receptor 1  OS=Mus musculus (Mouse) GN=Kdelr1 PE=1 SV=1	Q99JH8	0.975075458599765	0.0026768587637793	1	-0.961301688816921	0.00201315757601924	1	1.36665961180555		0
Q9CQM2_ER lumen protein-retaini.	proteomics_liver	LAT	sp|Q9CQM2|ERD22_MOUSE	ER lumen protein-retaining receptor 2  OS=Mus musculus (Mouse) GN=Kdelr2 PE=1 SV=1	Q9CQM2	0.690818608589701	0.0026768587637793	1	-0.727335225474302	0.000223218661175778	1	1.24703191061128		0
Q8BZS9_Putative pre-mRNA-splici.	proteomics_liver	LAT	sp|Q8BZS9|DHX32_MOUSE	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32  OS=Mus musculus (Mouse) GN=Dhx32 PE=1 SV=2	Q8BZS9	0.554690716266073	0.0026768587637793	1	-0.543184517298418	0.000515647365383648	1	1.61008915236128		0
Q9CZY3_Ubiquitin-conjugating en.	proteomics_liver	LAT	sp|Q9CZY3|UB2V1_MOUSE	Ubiquitin-conjugating enzyme E2 variant 1  OS=Mus musculus (Mouse) GN=Ube2v1 PE=1 SV=1	Q9CZY3	-0.459101380974396	0.0026768587637793	1	0.682047334780911	0.000148678518029485	1	0.533940946544445		0
P62889_60S ribosomal protein L30	proteomics_liver	LAT	sp|P62889|RL30_MOUSE	60S ribosomal protein L30  OS=Mus musculus (Mouse) GN=Rpl30 PE=1 SV=2	P62889	-0.273060309667713	0.0026768587637793	1	-0.0739732313808226	0.267331058256067	0	2.65626257383892		0.0859094997372683
Q6ZWN5_40S ribosomal protein S9	proteomics_liver	LAT	sp|Q6ZWN5|RS9_MOUSE	40S ribosomal protein S9  OS=Mus musculus (Mouse) GN=Rps9 PE=1 SV=3	Q6ZWN5	-0.209313787021344	0.00268648946098497	1	-0.111989367837353	0.027307962758783	1	2.71809278846895		0.258899082404554
