variableMetadata	accession	description	uniprot_id	limmaM_WT.LAT_diff	limmaM_WT.LAT_BH	limmaM_WT.LAT_signif	limmaF_WT.LAT_diff	limmaF_WT.LAT_BH	limmaF_WT.LAT_signif	limmaWT_M.F_diff_LAT	limmaWT_M.F_BH_LAT	limmaWT_M.F_signif_LAT	limmaLAT_M.F_diff	limmaLAT_M.F_BH	limmaLAT_M.F_signif	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2
Q8C196_Carbamoyl-phosphate synt.	sp|Q8C196|CPSM_MOUSE	Carbamoyl-phosphate synthase [ammonia], mitochondrial  OS=Mus musculus (Mouse) GN=Cps1 PE=1 SV=2	Q8C196	0.162019304829329	0.74729386917707	0	0.434023207414505	0.0246837161050041	1	-0.24704565278612	0.174378859307776	0	0.0249582497990559	0.924931858806752	0	0.0611901034208913	0.755245832752264	0	-0.233888589967677	0.119317029368689	0	1.95296060147604	0.427740489160311	E	E	E	E	E	E
P19096_Fatty acid synthase	sp|P19096|FAS_MOUSE	Fatty acid synthase  OS=Mus musculus (Mouse) GN=Fasn PE=1 SV=2	P19096	0.0760110339841731	0.927823136580748	0	0.290157488193255	0.499539935537418	0	-0.290596236139638	0.232811037678895	0	-0.0764497819305561	0.889362568424219	0	-0.00785283273625126	0.993213030297441	0	-0.119501269881226	0.59844104491884	0	0.511968660367926	0.149936415316021	E	E	E	E	E	E
Q8R0Y6_Cytosolic 10-formyltetra.	sp|Q8R0Y6|AL1L1_MOUSE	Cytosolic 10-formyltetrahydrofolate dehydrogenase  OS=Mus musculus (Mouse) GN=Aldh1l1 PE=1 SV=1	Q8R0Y6	0.168575484360201	0.62370918459399	0	0.419363397792967	0.00433215916560709	1	-0.205430102469109	0.0466386481385797	1	0.0453578109636581	0.796726982366868	0	0.226461085016009	0.00783213501618198	1	-0.265600094575468	0.000543252988611391	1	2.58641732567577	1.80937346099713	B	E	E	E	E	E
P63038_60 kDa heat shock protei.	sp|P63038|CH60_MOUSE	60 kDa heat shock protein, mitochondrial  OS=Mus musculus (Mouse) GN=Hspd1 PE=1 SV=1	P63038	-0.0124064692403429	0.959032373970278	0	0.00348422501238943	0.974565912422209	0	0.118876588166174	0.0875624674110541	0	0.134767282418906	0.119948070725999	0	-0.00616094460064076	0.86792241228491	0	0.124587900631344	0.00306444590190382	1	0.00473090695631039	0.170573998484442	E	E	E	E	E	E
P56480_ATP synthase subunit bet.	sp|P56480|ATPB_MOUSE	ATP synthase subunit beta, mitochondrial  OS=Mus musculus (Mouse) GN=Atp5f1b PE=1 SV=2	P56480	-0.00974066149418462	0.974953156543705	0	-0.00640657329422467	0.966718002740523	0	0.0539386909386117	0.543369488799777	0	0.0572727791385717	0.566975064507811	0	0.0316361160499099	0.714468102786179	0	0.095394711577466	0.0680442417700276	0	0.0574932015081092	0.539433713353621	E	E	E	E	E	E
P07724_Serum albumin	sp|P07724|ALBU_MOUSE	Serum albumin  OS=Mus musculus (Mouse) GN=Alb PE=1 SV=3	P07724	0.0777700166731599	0.761101998290141	0	0.00115252541957744	0.994231065722833	0	0.159863189426584	0.244118856656089	0	0.0832456981730019	0.603377095529265	0	0.0820546434980507	0.539255964023014	0	-0.00634744881259053	0.936457152579827	0	0.660206171422755	1.0701461865819	E	E	E	E	E	E
Q05920_Pyruvate carboxylase, mi.	sp|Q05920|PYC_MOUSE	Pyruvate carboxylase, mitochondrial  OS=Mus musculus (Mouse) GN=Pc PE=1 SV=1	Q05920	0.1354343172118	0.725845375156762	0	0.226372612953611	0.425530635003618	0	-0.0468812967152417	0.85391313709268	0	0.0440569990265693	0.845832233082518	0	0.108309673361589	0.612568232438752	0	-0.0794969177430467	0.614420891999621	0	1.14860735208555	0.70090645021858	E	E	E	E	E	E
Q9R0H0_Peroxisomal acyl-coenzym.	sp|Q9R0H0|ACOX1_MOUSE	Peroxisomal acyl-coenzyme A oxidase 1  OS=Mus musculus (Mouse) GN=Acox1 PE=1 SV=5	Q9R0H0	0.112890904689301	0.62370918459399	0	0.0993373095354677	0.435228849295537	0	-0.378337487483059	0.00181391655754055	1	-0.391891082636892	0.00254575611460338	1	0.0838593020712679	0.151657139236002	0	-0.383858696393915	5.60660049411685e-08	1	0.551359215557979	0.515697308463169	E	E	E	E	E	E
Q9DBT9_Dimethylglycine dehydrog.	sp|Q9DBT9|M2GD_MOUSE	Dimethylglycine dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Dmgdh PE=1 SV=1	Q9DBT9	0.119047059698271	0.683006510025221	0	0.378365301154666	0.0151169169952521	1	-0.125099238388806	0.389624087378994	0	0.134219003067589	0.14156461199541	0	0.242697772950557	0.0205721343118909	1	-0.110636840395852	0.186158972013831	0	2.31636998484337	1.90241479429264	E	E	E	E	E	E
Q91V92_ATP-citrate synthase	sp|Q91V92|ACLY_MOUSE	ATP-citrate synthase  OS=Mus musculus (Mouse) GN=Acly PE=1 SV=1	Q91V92	0.188555732600658	0.711391960016155	0	0.404197484962186	0.0280157049284733	1	-0.22966130658028	0.0790317100418254	0	-0.014019554218752	0.965745876413679	0	0.078025080863668	0.600198066026378	0	-0.283043921263818	0.016343910296135	1	1.69024955972637	0.78071735201757	E	E	E	E	E	E
P58252_Elongation factor 2	sp|P58252|EF2_MOUSE	Elongation factor 2  OS=Mus musculus (Mouse) GN=Eef2 PE=1 SV=2	P58252	-0.0586238028942994	0.695897075574279	0	0.279929159733644	0.0238956275274152	1	-0.264498254941962	0.00601288923174011	1	0.0740547076859812	0.380639192221125	0	0.0730669969111517	0.284932537669541	0	-0.291608851491162	2.95815955454165e-05	1	1.46252698706993	0.55897193721661	E	E	E	E	E	E
Q8BWT1_3-ketoacyl-CoA thiolase,.	sp|Q8BWT1|THIM_MOUSE	3-ketoacyl-CoA thiolase, mitochondrial  OS=Mus musculus (Mouse) GN=Acaa2 PE=1 SV=3	Q8BWT1	-0.0466463746694998	0.820533353909218	0	-0.0941786725820144	0.154297229999097	0	0.0654070897470476	0.363567009459656	0	0.017874791834533	0.860412861391233	0	-0.037971668490961	0.528851521822483	0	0.0759795708094053	0.0993725914491588	0	1.17168387216977	0.689477887928108	E	E	E	E	E	E
P11679_Keratin, type II cytoske.	sp|P11679|K2C8_MOUSE	Keratin, type II cytoskeletal 8  OS=Mus musculus (Mouse) GN=Krt8 PE=1 SV=4	P11679	-0.035912286424999	0.887151238515615	0	-0.00103004839631282	0.993435726257253	0	0.0663571818063993	0.494692790177401	0	0.101239419835085	0.419435173687668	0	0.0226229136450229	0.843674593841214	0	0.0528769306670362	0.451679511242355	0	0.0100325587958764	0.167012282547023	E	E	E	E	E	E
P50247_Adenosylhomocysteinase	sp|P50247|SAHH_MOUSE	Adenosylhomocysteinase  OS=Mus musculus (Mouse) GN=Ahcy PE=1 SV=3	P50247	0.0555330296367273	0.708780108944153	0	-0.0155502363644651	0.854601544048597	0	-0.053176019519551	0.429380414388215	0	-0.124259285520743	0.0689055808638089	0	0.0811012859380362	0.0908798768619719	0	-0.05465151054457	0.156396201428117	0	0.0372540526864431	1.32441938372925	E	E	E	E	E	E
Q8VC30_Triokinase/FMN cyclase	sp|Q8VC30|TKFC_MOUSE	Triokinase/FMN cyclase  OS=Mus musculus (Mouse) GN=Tkfc PE=1 SV=1	Q8VC30	-0.234855981501386	0.661142932243263	0	0.241584260924999	0.191980010157109	0	-0.505798476444493	0.000203144318285204	1	-0.0293582340181082	0.9311304604169	0	0.0341452464053056	0.741695987579329	0	-0.301166112224678	0.00171478777457148	1	0.217976826329	0.0568474523798043	E	E	E	E	E	E
Q9ET01_Glycogen phosphorylase, .	sp|Q9ET01|PYGL_MOUSE	Glycogen phosphorylase, liver form  OS=Mus musculus (Mouse) GN=Pygl PE=1 SV=4	Q9ET01	-0.0728578550951546	0.776215407910458	0	0.299940411769175	0.0993996869189109	0	-0.274981510524796	0.0375068824019484	1	0.0978167563395331	0.568201956501494	0	0.0549822305299728	0.620903541440056	0	-0.209790094749447	0.0162056755024531	1	1.15025313026046	0.554548055151642	E	E	E	E	E	E
