variableMetadata	set	gene	accession	description	uniprot_id	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
Q9QZ39_Alpha-N-acetylgalactosam.	proteomics_plasma	LAT	sp|Q9QZ39|SIA7A_MOUSE	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1  OS=Mus musculus (Mouse) GN=St6galnac1 PE=2 SV=2	Q9QZ39	2.62057864976068	1.31044416377483e-07	1	0.321789250705947	0.348035961621319	0	3.09123401598758	plsda, forest, svm	-0.634282047969676
P01746_Ig heavy chain V region .	proteomics_plasma	LAT	sp|P01746|HVM02_MOUSE	Ig heavy chain V region 93G7  OS=Mus musculus (Mouse) PE=2 SV=1	P01746	2.09714622472097	0.0225139194414537	1	1.07889593995253	0.0797737570953485	0	2.41987957781919	svm	-0.345703188610278
Q9Z1R3_Apolipoprotein M	proteomics_plasma	LAT	sp|Q9Z1R3|APOM_MOUSE	Apolipoprotein M  OS=Mus musculus (Mouse) GN=Apom PE=1 SV=1	Q9Z1R3	-0.395179643063894	0.0225139194414537	1	-0.0674073218873659	0.601105986614295	0	2.80621371736343		0.36697029823407
P09803_Cadherin-1	proteomics_plasma	LAT	sp|P09803|CADH1_MOUSE	Cadherin-1  OS=Mus musculus (Mouse) GN=Cdh1 PE=1 SV=1	P09803	2.0793041919342	0.0361013633136675	1	0.40322012897116	0.598871751461465	0	2.31150806655114	svm	-0.0867796474524241
P28063_Proteasome subunit beta .	proteomics_plasma	LAT	sp|P28063|PSB8_MOUSE	Proteasome subunit beta type-8  OS=Mus musculus (Mouse) GN=Psmb8 PE=1 SV=2	P28063	0.420965353625562	0.0361013633136675	1	0.22718449481647	0.100004399903189	0	2.19602201212274		-0.188420754113134
Q01279_Epidermal growth factor .	proteomics_plasma	LAT	sp|Q01279|EGFR_MOUSE	Epidermal growth factor receptor  OS=Mus musculus (Mouse) GN=Egfr PE=1 SV=1	Q01279	-0.415094721179468	0.0361013633136675	1	-0.819785544657108	1.31887778493931e-06	1	1.32049798433193		0.191354093850508
P06909_Complement factor H	proteomics_plasma	LAT	sp|P06909|CFAH_MOUSE	Complement factor H  OS=Mus musculus (Mouse) GN=Cfh PE=1 SV=2	P06909	-0.333898122935043	0.0361013633136675	1	-0.0544637047170795	0.644297708557419	0	2.72300137570429		0.275364519072827
P01631_Ig kappa chain V-II regi.	proteomics_plasma	LAT	sp|P01631|KV2A7_MOUSE	Ig kappa chain V-II region 26-10  OS=Mus musculus (Mouse) PE=1 SV=1	P01631	0.829781928634006	0.0752087387777108	0	0.628415458882031	0.0467982234157231	1	1.78501629364661		-0.0924103389846212
P06728_Apolipoprotein A-IV	proteomics_plasma	LAT	sp|P06728|APOA4_MOUSE	Apolipoprotein A-IV  OS=Mus musculus (Mouse) GN=Apoa4 PE=1 SV=3	P06728	0.274680624987443	0.0752087387777108	0	-0.0900156656638877	0.359839380358936	0	2.2769453245542		-0.21970008490542
P31532_Serum amyloid A-4 protein	proteomics_plasma	LAT	sp|P31532|SAA4_MOUSE	Serum amyloid A-4 protein  OS=Mus musculus (Mouse) GN=Saa4 PE=1 SV=2	P31532	-0.411145048656621	0.105178977230166	0	-0.958835551744968	1.32659116557857e-06	1	1.24207866565279		0.120314808307527
P97399_Dentin sialophosphoprote.	proteomics_plasma	LAT	sp|P97399|DSPP_MOUSE	Dentin sialophosphoprotein  OS=Mus musculus (Mouse) GN=Dspp PE=1 SV=2	P97399	1.08453189729057	0.124224122879883	0	0.280524726280102	0.572071165462739	0	2.36357219757382		0
Q8VED5_Keratin, type II cytoske.	proteomics_plasma	LAT	sp|Q8VED5|K2C79_MOUSE	Keratin, type II cytoskeletal 79  OS=Mus musculus (Mouse) GN=Krt79 PE=1 SV=2	Q8VED5	-1.04473584031958	0.124224122879883	0	-0.458670697670094	0.291612425309082	0	1.74213924211947		0.0279639151768525
Q8K1I3_Secreted phosphoprotein .	proteomics_plasma	LAT	sp|Q8K1I3|SPP24_MOUSE	Secreted phosphoprotein 24  OS=Mus musculus (Mouse) GN=Spp2 PE=1 SV=2	Q8K1I3	-0.507541353522292	0.124224122879883	0	0.158355344577682	0.444638273478045	0	2.22166602000733		0.117677839906236
P98064_Mannan-binding lectin se.	proteomics_plasma	LAT	sp|P98064|MASP1_MOUSE	Mannan-binding lectin serine protease 1  OS=Mus musculus (Mouse) GN=Masp1 PE=1 SV=2	P98064	-0.218261871393384	0.124224122879883	0	-0.0537247102202336	0.58903911442465	0	2.4518306977572		0.16515826553553
P42703_Leukemia inhibitory fact.	proteomics_plasma	LAT	sp|P42703|LIFR_MOUSE	Leukemia inhibitory factor receptor  OS=Mus musculus (Mouse) GN=Lifr PE=1 SV=1	P42703	-0.280368890621467	0.138271872264332	0	0.427096447929177	0.000888632732595011	1	1.78449953671311		0.109076456196647
Q60994_Adiponectin	proteomics_plasma	LAT	sp|Q60994|ADIPO_MOUSE	Adiponectin  OS=Mus musculus (Mouse) GN=Adipoq PE=1 SV=2	Q60994	0.366943095197424	0.15297020690732	0	0.74434205030126	4.08652798365562e-05	1	1.38558316870151		-0.018615627304061
P06801_NADP-dependent malic enz.	proteomics_plasma	LAT	sp|P06801|MAOX_MOUSE	NADP-dependent malic enzyme  OS=Mus musculus (Mouse) GN=Me1 PE=1 SV=2	P06801	0.7217138531256	0.169199293993066	0	0.100015151429471	0.791475532364126	0	2.22221887401513		-0.0146618060805625
P70269_Cathepsin E	proteomics_plasma	LAT	sp|P70269|CATE_MOUSE	Cathepsin E  OS=Mus musculus (Mouse) GN=Ctse PE=1 SV=2	P70269	0.322864914698091	0.169199293993066	0	-0.0422725637570451	0.784031308308422	0	1.95405956750569		-0.00543100334707025
Q02053_Ubiquitin-like modifier-.	proteomics_plasma	LAT	sp|Q02053|UBA1_MOUSE	Ubiquitin-like modifier-activating enzyme 1  OS=Mus musculus (Mouse) GN=Uba1 PE=1 SV=1	Q02053	1.309214035524	0.171825089385561	0	1.50998465265865	0.0137812846175463	1	1.72471847020965		0
P00329_Alcohol dehydrogenase 1	proteomics_plasma	LAT	sp|P00329|ADH1_MOUSE	Alcohol dehydrogenase 1  OS=Mus musculus (Mouse) GN=Adh1 PE=1 SV=2	P00329	1.12297026628027	0.178312306554702	0	-0.0390064218232702	0.936837359881274	0	2.01924869523287		0
Q60963_Platelet-activating fact.	proteomics_plasma	LAT	sp|Q60963|PAFA_MOUSE	Platelet-activating factor acetylhydrolase  OS=Mus musculus (Mouse) GN=Pla2g7 PE=2 SV=2	Q60963	0.368143284828182	0.178312306554702	0	0.235572603541193	0.153601772930102	0	1.79247591690835		0
P57780_Alpha-actinin-4	proteomics_plasma	LAT	sp|P57780|ACTN4_MOUSE	Alpha-actinin-4  OS=Mus musculus (Mouse) GN=Actn4 PE=1 SV=1	P57780	0.482231351112052	0.182424632980348	0	0.714029966544786	0.00256285906006738	1	1.20419074336586		0
P24472_Glutathione S-transferas.	proteomics_plasma	LAT	sp|P24472|GSTA4_MOUSE	Glutathione S-transferase A4  OS=Mus musculus (Mouse) GN=Gsta4 PE=1 SV=3	P24472	1.87687820243918	0.185672532457654	0	-0.444059428342861	0.63012081199994	0	2.19953597380512		0
Q07456_Protein AMBP	proteomics_plasma	LAT	sp|Q07456|AMBP_MOUSE	Protein AMBP  OS=Mus musculus (Mouse) GN=Ambp PE=1 SV=2	Q07456	-0.18799811809799	0.185672532457654	0	-0.0415214585062991	0.670041057815618	0	2.0789204174256		0
P70274_Selenoprotein P	proteomics_plasma	LAT	sp|P70274|SEPP1_MOUSE	Selenoprotein P  OS=Mus musculus (Mouse) GN=Selenop PE=1 SV=3	P70274	-0.167471731754706	0.192313318278998	0	0.13338163981313	0.0935347039310487	0	2.12409519564946		0.111958980635188
P41317_Mannose-binding protein C	proteomics_plasma	LAT	sp|P41317|MBL2_MOUSE	Mannose-binding protein C  OS=Mus musculus (Mouse) GN=Mbl2 PE=1 SV=2	P41317	-0.157802105341833	0.199179390542759	0	0.620190973932004	1.93669652386984e-08	1	1.09565088855022		0.0226393701576732
