variableMetadata	set	gene	accession	description	uniprot_id	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
O08997_Copper transport protein.	proteomics_liver	MX2	sp|O08997|ATOX1_MOUSE	Copper transport protein ATOX1  OS=Mus musculus (Mouse) GN=Atox1 PE=1 SV=1	O08997	-0.636033538929663	1.87620435113097e-09	1	0.298851874910874	1.38926186386569e-05	1	2.69149310737183	plsda, forest	-0.482262343979847
P61804_Dolichyl-diphosphooligos.	proteomics_liver	MX2	sp|P61804|DAD1_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1  OS=Mus musculus (Mouse) GN=Dad1 PE=1 SV=3	P61804	-0.514778761654526	4.83817006854898e-09	1	0.36573134725478	9.37460742143506e-08	1	2.45103378734287		-0.420079813466188
P62852_40S ribosomal protein S25	proteomics_liver	MX2	sp|P62852|RS25_MOUSE	40S ribosomal protein S25  OS=Mus musculus (Mouse) GN=Rps25 PE=1 SV=1	P62852	-0.331267486112171	1.0369901073297e-07	1	0.108551457342625	0.00506182283906391	1	2.83015776896618	plsda, forest	-0.36576952524598
P62962_Profilin-1	proteomics_liver	MX2	sp|P62962|PROF1_MOUSE	Profilin-1  OS=Mus musculus (Mouse) GN=Pfn1 PE=1 SV=2	P62962	-0.304986792382905	2.89873081418593e-07	1	0.155711510200192	0.000202428070318717	1	2.63389649984988	plsda	-0.280930078616207
Q9CQR2_40S ribosomal protein S21	proteomics_liver	MX2	sp|Q9CQR2|RS21_MOUSE	40S ribosomal protein S21  OS=Mus musculus (Mouse) GN=Rps21 PE=1 SV=1	Q9CQR2	-0.485607507718939	6.3644935880094e-07	1	0.127466983967114	0.0353568943652937	1	2.81551873018241	plsda	-0.281303638565693
Q64433_10 kDa heat shock protei.	proteomics_liver	MX2	sp|Q64433|CH10_MOUSE	10 kDa heat shock protein, mitochondrial  OS=Mus musculus (Mouse) GN=Hspe1 PE=1 SV=2	Q64433	-0.430723938525148	7.42001525599547e-07	1	0.421220007353398	7.47368968860898e-08	1	2.1563978895511		-0.365182553950363
P15532_Nucleoside diphosphate k.	proteomics_liver	MX2	sp|P15532|NDKA_MOUSE	Nucleoside diphosphate kinase A  OS=Mus musculus (Mouse) GN=Nme1 PE=1 SV=1	P15532	-0.36331619009167	1.57160878041684e-06	1	0.0437019819220836	0.302960204749109	0	2.90438890843794	plsda	-0.217350797893572
P62983_Ubiquitin-40S ribosomal .	proteomics_liver	MX2	sp|P62983|RS27A_MOUSE	Ubiquitin-40S ribosomal protein S27a  OS=Mus musculus (Mouse) GN=Rps27a PE=1 SV=2	P62983	-0.264742263265166	6.21610125996784e-06	1	0.111035748737251	0.00630580230525103	1	2.53096028557554	plsda	-0.140653212822324
Q64462_Cytochrome P450 4B1	proteomics_liver	MX2	sp|Q64462|CP4B1_MOUSE	Cytochrome P450 4B1  OS=Mus musculus (Mouse) GN=Cyp4b1 PE=1 SV=1	Q64462	-1.70507851492435	1.08071391132692e-05	1	-0.0633507530269704	0.993741943083255	0	2.47736538391397	plsda	-0.0512837133664186
P08228_Superoxide dismutase [Cu.	proteomics_liver	MX2	sp|P08228|SODC_MOUSE	Superoxide dismutase [Cu-Zn]  OS=Mus musculus (Mouse) GN=Sod1 PE=1 SV=2	P08228	-0.331201732562402	1.79682342596286e-05	1	0.188569863200136	0.00103889802751872	1	2.5202082847206		-0.161375712264015
Q9CQ91_NADH dehydrogenase [ubiq.	proteomics_liver	MX2	sp|Q9CQ91|NDUA3_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3  OS=Mus musculus (Mouse) GN=Ndufa3 PE=1 SV=1	Q9CQ91	-0.625038400463097	2.18263815890116e-05	1	0.174145696509452	0.0778009623669237	0	2.74206617226885	plsda	-0.148960114640341
P63323_40S ribosomal protein S12	proteomics_liver	MX2	sp|P63323|RS12_MOUSE	40S ribosomal protein S12  OS=Mus musculus (Mouse) GN=Rps12 PE=1 SV=2	P63323	-0.295491748967244	2.18263815890116e-05	1	0.0726533223017398	0.115654564536672	0	2.85054056685659	plsda	-0.0868451552337755
Q06185_ATP synthase subunit e, .	proteomics_liver	MX2	sp|Q06185|ATP5I_MOUSE	ATP synthase subunit e, mitochondrial  OS=Mus musculus (Mouse) GN=Atp5me PE=1 SV=2	Q06185	-0.262590386869675	2.18263815890116e-05	1	0.166175082006546	0.00047536526334404	1	2.24139122107934		-0.166212081463439
P52503_NADH dehydrogenase [ubiq.	proteomics_liver	MX2	sp|P52503|NDUS6_MOUSE	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial  OS=Mus musculus (Mouse) GN=Ndufs6 PE=1 SV=2	P52503	-0.405184633759447	2.55451504121994e-05	1	0.108390950618674	0.094079231290361	0	2.65005139824629		-0.0647169334350055
Q9CQ75_NADH dehydrogenase [ubiq.	proteomics_liver	MX2	sp|Q9CQ75|NDUA2_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2  OS=Mus musculus (Mouse) GN=Ndufa2 PE=1 SV=3	Q9CQ75	-0.369177553825715	2.55451504121994e-05	1	-0.0081214872882569	0.941600423578816	0	2.49762940616917	plsda	0
P31786_Acyl-CoA-binding protein	proteomics_liver	MX2	sp|P31786|ACBP_MOUSE	Acyl-CoA-binding protein  OS=Mus musculus (Mouse) GN=Dbi PE=1 SV=2	P31786	-0.547863154981201	2.58585032649573e-05	1	0.182067818847035	0.0448129743592211	1	2.40029994514848		0
P99029_Peroxiredoxin-5, mitocho.	proteomics_liver	MX2	sp|P99029|PRDX5_MOUSE	Peroxiredoxin-5, mitochondrial  OS=Mus musculus (Mouse) GN=Prdx5 PE=1 SV=2	P99029	-0.24594060687842	2.59517070571516e-05	1	-0.230161755216301	9.51208188812082e-06	1	2.34758290144662		-0.0798502618662507
Q9CQ54_NADH dehydrogenase [ubiq.	proteomics_liver	MX2	sp|Q9CQ54|NDUC2_MOUSE	NADH dehydrogenase [ubiquinone] 1 subunit C2  OS=Mus musculus (Mouse) GN=Ndufc2 PE=1 SV=1	Q9CQ54	-0.302307780682142	3.00863900174032e-05	1	-0.0273339081898385	0.802440595853394	0	2.73676591251625	plsda	0
Q9JJI8_60S ribosomal protein L38	proteomics_liver	MX2	sp|Q9JJI8|RL38_MOUSE	60S ribosomal protein L38  OS=Mus musculus (Mouse) GN=Rpl38 PE=1 SV=3	Q9JJI8	-0.3728719739374	3.603287755048e-05	1	0.036418850697153	0.495977707293134	0	2.52998153390798	plsda	0
P10639_Thioredoxin	proteomics_liver	MX2	sp|P10639|THIO_MOUSE	Thioredoxin  OS=Mus musculus (Mouse) GN=Txn PE=1 SV=3	P10639	-0.333884135903499	3.83724353589247e-05	1	0.19991487626196	0.00147135843195278	1	2.3737113573497		-0.00581684846381261
Q99K67_Alpha-aminoadipic semial.	proteomics_liver	MX2	sp|Q99K67|AASS_MOUSE	Alpha-aminoadipic semialdehyde synthase, mitochondrial  OS=Mus musculus (Mouse) GN=Aass PE=1 SV=1	Q99K67	0.440850941413252	3.88846207541505e-05	1	-0.362167946110091	6.68319105186284e-05	1	2.20761330760598		0
P97371_Proteasome activator com.	proteomics_liver	MX2	sp|P97371|PSME1_MOUSE	Proteasome activator complex subunit 1  OS=Mus musculus (Mouse) GN=Psme1 PE=1 SV=2	P97371	-0.297930301388085	4.31821832257449e-05	1	0.182691652077708	0.001346491783533	1	2.35700238499829		0
Q8R1I1_Cytochrome b-c1 complex .	proteomics_liver	MX2	sp|Q8R1I1|QCR9_MOUSE	Cytochrome b-c1 complex subunit 9  OS=Mus musculus (Mouse) GN=Uqcr10 PE=1 SV=1	Q8R1I1	-0.354721069196664	4.56329321134697e-05	1	0.0753673031589308	0.200759278175058	0	2.5514556685862		-0.0255050344810338
P61922_4-aminobutyrate aminotra.	proteomics_liver	MX2	sp|P61922|GABT_MOUSE	4-aminobutyrate aminotransferase, mitochondrial  OS=Mus musculus (Mouse) GN=Abat PE=1 SV=1	P61922	0.219831821515275	4.56329321134697e-05	1	-0.095950500762946	0.0163011751489149	1	2.42846820506315		0.0310833505643611
Q64105_Sepiapterin reductase	proteomics_liver	MX2	sp|Q64105|SPRE_MOUSE	Sepiapterin reductase  OS=Mus musculus (Mouse) GN=Spr PE=1 SV=1	Q64105	-0.205825616300036	4.56329321134697e-05	1	0.182316103499168	3.3156012435806e-05	1	2.07281630205182		0
P56391_Cytochrome c oxidase sub.	proteomics_liver	MX2	sp|P56391|CX6B1_MOUSE	Cytochrome c oxidase subunit 6B1  OS=Mus musculus (Mouse) GN=Cox6b1 PE=1 SV=2	P56391	-0.309194215623755	5.22198323044911e-05	1	-0.0524825520412229	0.527973066338925	0	2.68508783742288	plsda	0
P62897_Cytochrome c, somatic	proteomics_liver	MX2	sp|P62897|CYC_MOUSE	Cytochrome c, somatic  OS=Mus musculus (Mouse) GN=Cycs PE=1 SV=2	P62897	-0.293475985677336	5.37863168385046e-05	1	-0.0149218295727742	0.959119789071285	0	2.68796136336914	plsda	-0.00827036435654605
Q9CPP6_NADH dehydrogenase [ubiq.	proteomics_liver	MX2	sp|Q9CPP6|NDUA5_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5  OS=Mus musculus (Mouse) GN=Ndufa5 PE=1 SV=3	Q9CPP6	-0.303684830814127	6.45405772894791e-05	1	-0.0446892120298052	0.61457322649321	0	2.64712075655515	plsda	0
P12710_Fatty acid-binding prote.	proteomics_liver	MX2	sp|P12710|FABPL_MOUSE	Fatty acid-binding protein, liver  OS=Mus musculus (Mouse) GN=Fabp1 PE=1 SV=2	P12710	-0.289690055554097	7.73198700682796e-05	1	-0.0186873808745993	0.915338248084267	0	2.66650120350559	plsda	0
